Rest In Beats - Tribute to Nujabes & J Dilla [Chillhop Music],Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
13,Moreno Valley,7dWtLXk1NmHoLNSf2Pqfij,Nokiaa,0ikgHu560bYMZOOXFQnRLN,Moreno Valley,1b3zwc9cRIAhgpMsIzhLg0,36,https://p.scdn.co/mp3-preview/e8a95177fb7af1a338172339a127597828a38e48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Cereal Keef,4gTJqdm9ZqxtjmxviRy0sE,7apes,4smeBjKru2y3oeQkGSfotv,Marbles,4tMJEK1hHkbuBpnWXMDl2P,49,not available
15,February,3tkuOfCJcJyzLHc06sx0wj,Sup Nasa,4FlqZhoTqYt8tpct6QwgZR,J Dilla Ruined My Life,1sHWxUgRxsdOTAN3ghD5lz,40,https://p.scdn.co/mp3-preview/ddc3e4bf9dfb417e5fea2ed6479d275a190dc928?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Stupid Ill,5xohXJq71dO2AW5nnfedMb,Kankick,1F9XUalYzU3FBioU2EBJro,Time Warped,6I15jOGD31fbFfX3MTGbiL,16,https://p.scdn.co/mp3-preview/26238c30000c28120ce607a4cfc8cbee023a72e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Last Donut Of The Night,7yOvlbit5H8K3V5ZMyc9fB,J Dilla,0IVcLMMbm05VIjnzPkGCyp,Donuts,3WBB77ZEYHvQiwNDZg5y15,0,not available
18,Driftwood,18NBwccM1sFW7t1lixlBHN,Leavv,7sNw4pNLLJNGrU62O80WGE,Chillhop Essentials Summer 2019,0xqLG9KaR7gw3Bkc5Bza1v,58,https://p.scdn.co/mp3-preview/38207fad31653f0722d2006a5d3de3f09682e27c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Drop,7sT3O2PXs1o12XnCKlv204,The Pharcyde,7yk35uHNQclPXFGFoTU44w,Labcabincalifornia (Deluxe Edition),05Qg48LlYGKYdeXrNGg00g,57,not available
20,Untitled / Fantastic,5BfDOzXmeVMnBLzzJq6SqZ,Slum Village,1020a42xVklY6c56imNcaa,"Fantastic, Vol. 2.10",3bF7UefpUmG1BAriPPLLez,38,https://p.scdn.co/mp3-preview/d7c7f69772965d26a481be87754d4c0185c54195?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Kumomi,3GUqoL8LDEpw2GH6G9onE0,Nujabes,3Rq3YOF9YG9YfCWD4D56RZ,Metaphorical Music,5FrjDW96mCYw9ECc74c637,49,https://p.scdn.co/mp3-preview/b731d856ef9965ca023cbc926286f30c75729b70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,zodiac killer,1w7b8gafrHpKEMiy4vFT40,mommy,0DJoMHFNyxWdoGqi8XMdfk,unwanted tape,14jR7tX64J8PJQ7wsnAFrB,21,https://p.scdn.co/mp3-preview/f2f174d56b1dffe0e7e2c1bd02bd8fac18404595?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,River,4Fr5Zirir4ZgEKjaNfZyuM,Freddie Joachim,0GgkfnO3Bu2CFn65ZH31TF,Beyond the Sea of Trees,2lm8DYfm9qTdTJjj9dlR4A,26,https://p.scdn.co/mp3-preview/4288ed8a3507799f0e463f5d678e5b494db1b799?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,reflection eternal,6eGMwVVABqVTe9bWRIm498,Nujabes,3Rq3YOF9YG9YfCWD4D56RZ,Modal Soul,6nVACH6a27eOWiumAJhDWS,51,https://p.scdn.co/mp3-preview/2983edf95c6c141d6f49bab6f2aa5d13897a817d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Show Me What You Got,3GK6jOxAF2qZgeA2ySs8Uw,Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK,Anarchy (Explicit Version),2lIZst69wS2xmePqhCvLRo,36,https://p.scdn.co/mp3-preview/8c2e3b3abdc1d6ebbe274d4145fdea52ccd5849a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Motor City 17,3edrFaXc7OHQoLU22n4ThT,J Dilla,0IVcLMMbm05VIjnzPkGCyp,Motor City,0v9TomxoVagPyvVNGhDbyB,46,https://p.scdn.co/mp3-preview/647df550f14b738837e5ec48058b209e9b33e5f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Untill Sunset,2Y3Dehoq9vKXGln5zw6KPJ,Dontcry,3vzJueN7TkCtYpz1myVmDU,Untill Sunset,4JU5czLkg9a3mSczULlMFg,57,https://p.scdn.co/mp3-preview/6dba5d3af1043ee4728a307f313c02cb8540f086?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Bullshit,4fDEfe4dirmbuuYzq5CCKY,The Pharcyde,7yk35uHNQclPXFGFoTU44w,Labcabincalifornia,25TUVygHpPTMBO4qq22MI0,36,not available
29,Bow Down,6bQPZXLhw9G10MDl449uU8,Sraw,3DQt38FyIDLmlxC4AwlMpl,Clouds,3xu5tURbx9QrVLwc4yvcS7,18,https://p.scdn.co/mp3-preview/3bbcb55165b64b9080da1aa2a2c802e2427a1ca1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,For Oscar - Instrumental,1PoHiDytzC17UTde4p3DrD,Joe Corfield,4PTdN7iZceYLYGvOTxwAgl,Misty Blue,3398Jht4QuvN5MgvLbhxJJ,45,https://p.scdn.co/mp3-preview/d492dcae39e17ea6e4cbbb8e3c6b453f507aef92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Find a Way,2MAaiV0bbeq4FpSwPe2rR8,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,The Love Movement,0FH3WsTCWaDmfpEojJ4sN2,62,https://p.scdn.co/mp3-preview/b9992cdff1f5eb6f5c25e24d5df4497a5f835b19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Time: The Donut of the Heart,7oeWitA7Lu8O76NrmhfgZ8,J Dilla,0IVcLMMbm05VIjnzPkGCyp,Donuts,7xJ7jHNu3JNfdnao9xwMho,46,https://p.scdn.co/mp3-preview/56720b52caa642b31037581e7190712ca5b4a0a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,I Do What I Do,6KcWwnwGkleNUn7U2G3hVI,Dave Sparkz,3pWusjMi6fwps14oP3ELb2,Ivory Lounge,2AG33RwgOq7DmUPUWa9NHq,12,https://p.scdn.co/mp3-preview/6bf11dcece11d44abe03cf45a7c4728423528338?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Just Methods,3KwHBhC8C3Ah3DALX6QhdS,Kankick,1F9XUalYzU3FBioU2EBJro,From Artz Unknown,2vN4U3ov7Q5LjS9Cv25Zpc,35,https://p.scdn.co/mp3-preview/c9f134ce2e9cc33d4d50f8670397532dbea0595b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Effervescent,4pPL6ISxDI4k40xj2vN9Zh,Toonorth,5cnRXRa8otbppSiXvfdmo3,Effervescent,0CsShqHvizLnWq7Y0OoocG,53,https://p.scdn.co/mp3-preview/8e92b70668a641a07c2a690ee6a633046cdbaced?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Life,72ukfQM43NpklDbmtYFUJU,Ckwnce,6iKha1agkoQ3NVFvwW9MiQ,Secs,11AadKsmV19sJgdLPCA2Oe,29,https://p.scdn.co/mp3-preview/996dce1b8da47896dcb9f399f9a7d787e9359772?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Blessing It -remix (feat. Substantial & Pase Rock from Five Deez),4MbUcaX58NkUmKXe6FuBaV,Nujabes,3Rq3YOF9YG9YfCWD4D56RZ,Metaphorical Music,5FrjDW96mCYw9ECc74c637,51,https://p.scdn.co/mp3-preview/e775877b6c2e4929c5207c442e7f4c9f557999fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Wholelottabap,5IgNvEe3bMedvG3ijjEx4d,Dave Sparkz,3pWusjMi6fwps14oP3ELb2,Ivory Lounge,2AG33RwgOq7DmUPUWa9NHq,37,https://p.scdn.co/mp3-preview/a3a1a9e53877769f30db8e5492c34434b05c9ca8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,City Lights (feat. Pase Rock & Substantial),0fbnqrpTlUdy0PUwMdU8Pl,Nujabes,3Rq3YOF9YG9YfCWD4D56RZ,Spiritual State,724juUMeWRW82bDoyH91Vd,48,https://p.scdn.co/mp3-preview/53b4878ae6d0a0c86f4c59d77d0ea4c4ca361311?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Affection,7MdZQXUBijQxcBkYz4G1Z5,Jinsang,5FsfZj0Mp6YwEWytuJUcWt,Life,52qF0r4f9WihHYUDcINmmC,68,https://p.scdn.co/mp3-preview/53495b26f172a1388402767e44b4f1bd87e86e0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,i've been missing you lately,1ZzpnNOU6rbXFZEm4MBdjR,aimless,5dGqZk0lZFQB6MIus08k8e,beats from 2017,3NRmTDRgI4ezIjMy34arDg,53,https://p.scdn.co/mp3-preview/67a7798b5bbe99af3412d1216b8706f40a9b9f9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Reunion,4o8DOGfUL8nIKltWIpDvBa,Slum Village,1020a42xVklY6c56imNcaa,Detroit Deli (A Taste Of Detroit),2mpzeA7pHNIDAPii4EEKsB,36,not available
43,Somethin' That Means Somethin',0JcUlX9YOjHqnyvnxNmLnC,The Pharcyde,7yk35uHNQclPXFGFoTU44w,"Jay Deelicious 95-98 - The Delicious Vinyl Years (Originals, Remixes & Rarities)",1Kzsmaj20RL3kKjgEoGshC,0,not available
44,Luv(sic.) pt3 (feat. Shing02),4xlpJ99yL9xYQtzG6c3hwk,Nujabes,3Rq3YOF9YG9YfCWD4D56RZ,Modal Soul,6nVACH6a27eOWiumAJhDWS,54,https://p.scdn.co/mp3-preview/eb3fb3aee20a93e7f73cc88ac8313b172b1e8338?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Thank You (Tribute to Jay),4G04Vljm1HyBzx9zvdBsVH,JuSoul,4hkKcGhHUrnX9Si9uAWmQz,February,4ybwsEU39zljJDZJakW6pV,31,https://p.scdn.co/mp3-preview/4c6bc7ca093d8cbb053215d67a506f9c065fb021?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Feather (feat. Cise Starr & Akin from CYNE),2ej1A2Ze6P2EOW7KfIosZR,Nujabes,3Rq3YOF9YG9YfCWD4D56RZ,Modal Soul,6nVACH6a27eOWiumAJhDWS,57,https://p.scdn.co/mp3-preview/ffdb6a7ce756ff9ff6e1e6c02592c5520cdd869d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Fall In Love,2KBo6O5rkNdtYT3wYjkEkq,Slum Village,1020a42xVklY6c56imNcaa,"Fantastic, Vol. 2.10",3bF7UefpUmG1BAriPPLLez,59,https://p.scdn.co/mp3-preview/6b3a87075b2f6b44ea0ada84602d901c20f9cc6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Bullshittin' - Remix Instrumental,76gfzoBO7alyCKwHjDm7KQ,J Dilla,0IVcLMMbm05VIjnzPkGCyp,"Jay Deelicious 95-98 - The Delicious Vinyl Years (Originals, Remixes & Rarities)",6oCNEIjBtMujq1papEFLjc,31,not available
49,So Far to Go - Short Edit,3pe1Qj20AXkk3BiuFVDijZ,J Dilla,0IVcLMMbm05VIjnzPkGCyp,The Shining – the 10th Anniversary Collection,13U6VMbPcQMgIswWcRUMnI,46,https://p.scdn.co/mp3-preview/a3ad4fdb99e8a4b4a2fbbb3ff433da728b821a86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Time: The Donut of the Heart,13M5MzGon20Tlur0CU2OYI,J Dilla,0IVcLMMbm05VIjnzPkGCyp,Donuts,3WBB77ZEYHvQiwNDZg5y15,0,not available
