Late Night Vibes [Chillhop / Ambient / Lofi Hip Hop],Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
19,eau,4azoV50K4s4eBkGRHSVWYV,yutaka hirasaka,0stmdx2IonUUUIlWQ9bLYZ,breath,5Y7XsJULZgG7gU1mreV5XJ,39,https://p.scdn.co/mp3-preview/ba8a8a4c75f34cebb21af54f1725e6ff6264429d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,lake,1sVLrqG2I1QkxgXlpPGtgP,Delayde,254ga0emOv4GhfUUw5J16h,things have changed / lake,4W97qeKgwrLV4WLe2tWITu,52,https://p.scdn.co/mp3-preview/b4c595ab06646991a0dfe9a7659ee1925ca9c77a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,eternal moment -ambient guitar loops take-,2zQEzhSl4rDscsZr1x10Xk,yutaka hirasaka,0stmdx2IonUUUIlWQ9bLYZ,element,6WdUpcLg7U35GnIW13p2l1,33,https://p.scdn.co/mp3-preview/215b1f20b826a95a3e9f9dd664b75a433f16abb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Changes,2sbDoHZNQqvnOGBh7C4xl8,less.people,0QmdasntOdQpEwRd40wyp3,The good life,4rQ5mrqCP4yklEJC87K2cV,26,https://p.scdn.co/mp3-preview/ccd6d0b50153968eab50e880f32535d7caa593b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Adventure Therapy,5MDx3A4IYVsqEv05oZiyhZ,Kyle McEvoy,6rRqxCKHpl9C5Imf2uinft,Adventure Therapy,5WVIvopT9KzjMvGNL48z3c,33,https://p.scdn.co/mp3-preview/016e368934d6d4f43bcdae2ebe94da46d92c965a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Changing Lanes,0arRQZG8MVlmzyc1Wbmh8K,Sugi.wa,0XUBVuE1odesNug0oKt9Me,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,54,https://p.scdn.co/mp3-preview/32087698fed8f914f27981b112882c8c9050862d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Blue Sky,4pqRc9gRR5sUcxuv8noTPk,Laxcity,4YUBqnGDhH4JphZIhi9cdB,Purity,5zTzxif1tJENo9YoMbLFSR,29,not available
26,wish you were here,0kxwL9YJ0hmg7yVWHgNMPJ,mommy,0DJoMHFNyxWdoGqi8XMdfk,lovely currents,4GGxYcwekc1EFgTw9HlZS3,28,https://p.scdn.co/mp3-preview/b75706263f21feeddb9f3d72d134d12052d8f16a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Ease Out,2AqjABv8xBA4rKXv2mtKug,Ajmw,64StAk1W7veJKQ9x0rlE2R,Eternal,3rsR5odp7XMk9yetDLY9xT,43,https://p.scdn.co/mp3-preview/568ca98e7698df15232a6d603bc8354a811d5e2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,On My Mind,2zyC5WU79wxwfnM8MRlra5,SwuM,2Fc1UZXKRmPpWWx1sxcb9m,On My Mind,2Wf2XeauiSl2cCYejsZ899,40,https://p.scdn.co/mp3-preview/b252524821dcb6b90603836c5e8365e0df90fa4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Awake,6Ueaikv9p3jrvyRPNpKbw4,Allem Iversom,6RaUtVLO8R5TsVdJIxSrq1,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,54,https://p.scdn.co/mp3-preview/272ebeb63842e642cf6493d5df9070f94743a381?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Ruby,7LzvXmpve6RSuDxuAwFVVG,Amparo,55FRGLGEoc58o9fNM6gEdf,Rains,2zdtmoClxpkz0kz0SElfB0,32,https://p.scdn.co/mp3-preview/3b706b23328c97e3740b7c77866c20ac874dc5a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Alive,3vU0WH6qHOd3MRFZt5nJJF,Ouska,1BhytEyR0LxnxXoeQPxGVV,Alive,66JkP4mCVvp100VxM0c5NB,53,https://p.scdn.co/mp3-preview/087916ea3bf72782ed2a6333a537cb57730fa40a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,light leaks,1Hycm4OOemG3Thy3Cgbf84,santpoort,7KtVS0f2RQoEhjxDcSGBtJ,inward isles,5at6uY1cIUKGgYggp2nDM0,34,https://p.scdn.co/mp3-preview/35eef67afbd590c43039e57bc90fc1a375d888d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Chance Of Rain,0qe2gxtyYx8Xh37QR2lOBr,Kyle McEvoy,6rRqxCKHpl9C5Imf2uinft,Chance Of Rain,6rNH7ZoJ6K5Yz8fOPvbETE,33,https://p.scdn.co/mp3-preview/050bb042a1670ebda2e74cf9b73a108f614545b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Power Lines,7jb752cOFiYigxA3Ott2wo,Middle School,6AjXxPL8C44rc1yJdi6RZB,The Finish Line,5e5ZeUKvE0Iuqvw6XPa0Le,38,https://p.scdn.co/mp3-preview/eadf1e06b45f429228325793d91032b70f081e49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Behind The Sun,0tjsbPPxRc4hfqQajTqvXn,Melting Rivers,37XnFyBW6yeLfuePNRPci5,Behind The Sun,6Rmo14p2A9T6RkMyaeKeyn,30,https://p.scdn.co/mp3-preview/1319fc3bcb96884ceb4819793344e858807d3e7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Oasis,1ZNB5t4gaEtpUQWOcNm1fG,Himalayan Beach Ensemble,2mbmAHLUOR1DnyW3i2fu8o,Nothing but Oxygen,1k5qaaAXPyTPgUHmYNW4fX,30,https://p.scdn.co/mp3-preview/a8f70414d86dbd28e22cb2dcd621fda57d84daf3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,strawberry season,5JzV5Uc7EXeaxufJqWwg32,afternoon bike ride,1iXLcpr2SlUwrU2oCP8nI9,strawberry season,5ULAkRi1O2bloOVi0yacNA,35,https://p.scdn.co/mp3-preview/22591f2be8f5203c35a0f43cce8cc33446829466?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Oslo 6:00am,62iw0ULVJ2MFMKSHvqSBfw,Eyolf,4Gdv2m4NbCrIt4j6zasrx8,Recollections Vol. 1,6ix1hZTHk45Npp220mqv7j,34,https://p.scdn.co/mp3-preview/61950d0871ab86baa2fd3cdbcadf658b3e894fbb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Slow Dance,3LLZfaRYz1vRLMPePpxzi6,Sleepy Fish,1IJe80moz409PtxW4llPFw,Sleepy Fish,0NF3s0CAgzORgDiJtn4w8s,35,https://p.scdn.co/mp3-preview/fc30f30eee8df0665efdb1ede0bd8448b196a994?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,We Can't Be Friends,7k6OEvolAy5WjWKAZRgBil,Dream Koala,0tWnElR8nnWIsopg1o3xmg,We Can't Be Friends,57duq84dAoE5YXmustOx59,60,https://p.scdn.co/mp3-preview/2878a71851da23381ec7c437fcc1b472d8fddbe7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Apple Flower,05EN1f3Tp35O9dmm8ZCxMu,HM Surf,6TeBxtluBMQixZcKkJ3ZrB,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,54,https://p.scdn.co/mp3-preview/290823ea7c81caf4c6ab7c7b4a4be0c38a4da614?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,wannabe,1zHXsP69ulvwOM9tcChePo,Middle School,6AjXxPL8C44rc1yJdi6RZB,Chillhop Essentials Summer 2019,0xqLG9KaR7gw3Bkc5Bza1v,45,https://p.scdn.co/mp3-preview/8e2e326ca94df866ba5a4fa3d09758b81e29af88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Distant Travels,7xbg6rwijiTcND5Rv0k64P,Smeyeul.,4IXRiE1MOvty3H8tQ0KvTO,Distant Travels,3OyqS5YQ4sK7vHcteaRBt0,44,https://p.scdn.co/mp3-preview/009812d7e790dd63249c8795cc57633a18b723d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,And Then I Woke Up,2JErckA5eFroTqlPJLUx0D,Idealism,6YJ4EgQzDfJnIHRbqIHAdD,And Then I Woke Up,5vUVRxGUWaHTbxTC4lwKoj,56,https://p.scdn.co/mp3-preview/b5355b3c999554aa8989ca029d93380f027b04c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Supergloom,5tGeAAPLyMOvV6sDc0RCSJ,Osvaldo,1cF9THe9zDQOEEBFuiRcJ2,Chillhop Essentials Summer 2019,0xqLG9KaR7gw3Bkc5Bza1v,47,https://p.scdn.co/mp3-preview/405e6c9efc77feb59bbb48ff37485476e14f7301?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,sincerity,7tAd4J0nIygMJHU8pE3PmF,Ambie,1qtjA9qRydrebXqoZCL5Z5,sincerity,4XjZIKP7t8Dz7h1r2m901C,34,https://p.scdn.co/mp3-preview/ca85003a0f3efff5db94680d61a40b5f149b502f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Epoch,6EYkRt0rIM8nuGZGZ31IKW,Sunlight Jr.,5yuCMtz7erXhuUeOVIvClC,Epoch,2csG7NAKTb3UXTVYTInTtC,32,https://p.scdn.co/mp3-preview/c026f8d854116dca9db17595745004ff87a6dd3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Irvine,0AjqAJxnasZJTS81NK7a4v,Aso,45Ui3GdcxzbdJhhTtZLXO8,Irvine,1XVJbLm3mUbEB1pO0GW7fg,29,https://p.scdn.co/mp3-preview/21bf60901651a5875354dc093787077ede2742ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Wait,71XSjh3gJXavb0c2j0oZ4A,Nuages,30tUlKZ8oLo0BnN6n0GZKD,Wait,2fp2MAPFPVoMafmW8sjsbS,44,https://p.scdn.co/mp3-preview/6342b5e4c9fc22e960709b90883e1a2e5cf05010?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Birthday Girl,0UgHTPXcW728KHbr7JbKr7,Blue Wednesday,7185Q95lPFld0aoPqO6e0U,Chillhop Essentials Summer 2019,0xqLG9KaR7gw3Bkc5Bza1v,47,https://p.scdn.co/mp3-preview/cdd707271a09f9e007166326d11caede423cb95a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Reaching for the Clouds,5gmvibJ0FCRMN6kDh4d0fh,AK,33Cf4O1KAVbtQa00scMi2A,Reaching for the Clouds,6WTzw7461KZ47tYPrwugLz,38,https://p.scdn.co/mp3-preview/7b71e0b5b34f28df1dacacdd71790dd36ad9f7e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,stranded,0SEhDtOFvDaJgk9quoBLm2,santpoort,7KtVS0f2RQoEhjxDcSGBtJ,cloudstreet,1DlGN5z8Eg1MScg5aJhYwn,2,not available
53,Broken Clocks,5klm8QNzuhTOBeEIWhyWPT,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,53,https://p.scdn.co/mp3-preview/5d99b3a0ef0a410df7f2c378859f4658a0e3fae6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Valencia,6JceJqoVaurWzcsENM99y5,Sergio Díaz De Rojas,0dhkL5V7ldKvybgSy3ps27,Memoir Collections I - Beginnings,538wzM7bIQT5TAuv79sHRU,32,https://p.scdn.co/mp3-preview/27c5d5bea822584cffd5d0e3ad5e1e68286efbf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,The First,6nAusSD1YlsxMo3HKWf8GL,Psalm Trees,5pmXkV6A8yQdoa64xzvZ0S,The First,2sqxXUyCOFzr68AzSAAOCG,46,https://p.scdn.co/mp3-preview/8484b21c7079f6ddd1b4799e2dc21be2b04efa79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Thinking Chair,68rhoDJqAR1y1g8JGC3IFP,Aso,45Ui3GdcxzbdJhhTtZLXO8,Home,4l845so4pIo4GbjPArqmjb,46,https://p.scdn.co/mp3-preview/a1c18a9084b402b72f1465c171435e8726b24fa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,"okay, but this is the last time",24cNN5OoqaWwiNdHlJd8fY,Mt. Marcy,2V0UuIGjvXowEGsi9clJfJ,"okay, but this is the last time",7MJjKyNuC87osAnRx0NPlu,4,not available
58,Mr. Balloon Hands,4l1DZmDeTSbMSLfqkYHCMQ,Allem Iversom,6RaUtVLO8R5TsVdJIxSrq1,Notes,6ShHgKk0EnMFxMdxgQVzPn,40,https://p.scdn.co/mp3-preview/9ed8c2f228d132593f456100e4905380006f9126?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,graduation,77mcMf5wrHvl8RtGpPWOUB,mommy,0DJoMHFNyxWdoGqi8XMdfk,lovely currents,4GGxYcwekc1EFgTw9HlZS3,36,https://p.scdn.co/mp3-preview/113bca792aa8e6887dfcab3334e433eff497783d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,quiet humans,0EAcFHBCqmKtsqIvvTqdFU,Delayde,254ga0emOv4GhfUUw5J16h,photorealism,5ciFwVVpdQVSFmXgJGRG4e,46,https://p.scdn.co/mp3-preview/dc75786ce62fed405ef9823fcb3d4862e48b1d02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Gray,24MXo0MuF6sRxjmK1NKqSP,Allem Iversom,6RaUtVLO8R5TsVdJIxSrq1,Notes,6ShHgKk0EnMFxMdxgQVzPn,48,https://p.scdn.co/mp3-preview/0b1574d59540f8e90fdcec23073f11d3ccafcaa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Abrazo,7xKIuw7UIsy5PraYeBmNWh,Kyle McEvoy,6rRqxCKHpl9C5Imf2uinft,Abrazo,3yfjJbNi4Z6mFQmWUUTuBV,38,https://p.scdn.co/mp3-preview/9973e8d9c472148d87495a4eabeb9c6225550489?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,gorge,1DryFlz9GE3GM1FneruABy,"quickly, quickly",5XTn5Az9AcSKu0oaauC5ES,gorge,5q4UKuEjVFpzZZhGuPWQQ2,41,not available
64,Procrastinating,6jInavnstNIC9tjcKPKcUI,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,56,https://p.scdn.co/mp3-preview/fbd19aa78e906a6e1473ea4129e2003162a72c48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,throwback port,3rclsytutZxiC3moc3QIPZ,mommy,0DJoMHFNyxWdoGqi8XMdfk,Inaudible,6mOgPOHFf2JTZBqpIxBMBd,46,https://p.scdn.co/mp3-preview/416e05e28f88d98b64f7e15e221662aa3d540e05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,moving in,56CwjNFN56XFF5PrUlojtJ,Aso,45Ui3GdcxzbdJhhTtZLXO8,Home,4l845so4pIo4GbjPArqmjb,34,https://p.scdn.co/mp3-preview/55ef6ff2ee0c31ab83830e057ede55b87ba49467?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,The Burn Marks on My Epiano Wont Go Away,6IsX4N6M7i9OrYc4t70Swv,A L E X,3nCJkmgdZQ6l8o828Y3vNQ,"Growing Up, Vol. 1",1qxLJGTmKJZVXzqKwLdzxD,58,https://p.scdn.co/mp3-preview/38882e6c3614b4172e7250b3797eb63429e323f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Dreams,0fHESBSGpScr0FzBRvpevh,Philip G Anderson,0eQbtwyYUwzYwkq5MEdKrZ,Recollections Vol. 2,7y3qsOYaa4d7PPAjGA3ioE,37,https://p.scdn.co/mp3-preview/6852b0fae07a5407cd724b0c96dbbb8e2620edf4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Climb,3FDxbdBGPk2luklJzIEj0M,Michi Oskah,1UYXB0UUV3eR6KPVq0NZ5j,Climb,09SLlmuOuTB86K5CorHUcw,38,https://p.scdn.co/mp3-preview/6ae6bef073783012248361cde85ec371f4e15c94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,you are smiling at me,4SPm3GNjOIi9KglChjZBOe,Falls,3ATHXs1f58nnxQGsP90xbz,i went to the woods ep,6apXGi0WZHdWkwpVd0KRoY,23,not available
71,Fall's Echoes,6e9PEl2mvN7I9sflyuBfv8,Sleepy Fish,1IJe80moz409PtxW4llPFw,Chillhop Essentials Winter 2018,3u1k0CIc2zQdXxlhrBbPCV,62,https://p.scdn.co/mp3-preview/6d6d2132204f5180d6dabb5aec6de983d8a797ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Void,639uY7skJ8RxdMOxkJ9Smr,Toonorth,5cnRXRa8otbppSiXvfdmo3,Fear And Loathing In Beats,3r56km0GffRuObnmmBb1V2,21,not available
73,Leaving,4S6F3ZGDEYjcrcnQ7zw29V,Aso,45Ui3GdcxzbdJhhTtZLXO8,Home,4l845so4pIo4GbjPArqmjb,39,https://p.scdn.co/mp3-preview/1b77c04dd84856d7e6d428e93b54d1a8a314c232?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Amor,4Ze4bWfgjUlrz65rYRS5Pq,Elskavon,5vDfVxwAH8ANpuIKKxfOeq,Memoir Collections I - Beginnings,538wzM7bIQT5TAuv79sHRU,29,https://p.scdn.co/mp3-preview/9ed1a6fbfa8cabb2af2691ec5606385487b9c67b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Intro,6mHSCQ8OvdQ5MnuTNGsnOu,Barnes Blvd.,1sWWXO9dckUfAgKYJLZ8Nc,Last Summer,0cruHSkBmlUqwXDFxyAGl8,50,https://p.scdn.co/mp3-preview/4ddcf95390e13db263c8807230ae414645dc545e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,The Afterlife,7yd0rLbcXDhRvNgYDe7jFZ,fantompower,6psQOFgr41pQ2CiL2CCi47,Memoir Collections I - Beginnings,538wzM7bIQT5TAuv79sHRU,30,https://p.scdn.co/mp3-preview/4575429a8190476b260b10043aa1863798bafa2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Pictochat,5SoJfm3g2jm2FM6A75LkER,Dwyer,0hDO4d5eFDFevAkXTvN2Mv,Night Swim,7nSgPluLZGqVyuakQnQHxY,50,https://p.scdn.co/mp3-preview/1eee0c912256a84ea5cc6e7b288ce5946aa31c67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Blue Dolphin,53tFSvfhr9WC3oSfg5ahXW,Wun Two,69cjjIQEN8M6heOBT2SqZE,Dolphi,3jrPlf7YK9a6nDjK8uMbKn,39,https://p.scdn.co/mp3-preview/e13a2ba4c75786637179f66b5f30ee972b07bd65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Coping With the Heat,5VgQoDeg2xI9jGgNyBL5N4,HM Surf,6TeBxtluBMQixZcKkJ3ZrB,Mujura,264T6B8vHgza4gfR6JCPAt,49,https://p.scdn.co/mp3-preview/c694aa091a24ac3ba47e8ca82bfbddb3c5ae6eba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,blankets,0uNKf8j4cNI1DLWpps877e,fantompower,6psQOFgr41pQ2CiL2CCi47,Chillhop Essentials Winter 2018,3u1k0CIc2zQdXxlhrBbPCV,55,https://p.scdn.co/mp3-preview/1da03055b4de240edd1f978b102080da654dcf53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Through Walls,0ATh7cJ3jq07hhi3txH1yx,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,54,https://p.scdn.co/mp3-preview/23be4cb50c0c7eeb5ee3f394b928f26188185b75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,north fell,0mkM19QK1ZYcJzBKgY3ckK,Delayde,254ga0emOv4GhfUUw5J16h,finding solitude,5dGVNzu8loE37KsA5RTsjr,43,https://p.scdn.co/mp3-preview/f9289382bb67bc69d24f9deaf76f250fa1a2ff1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Sunken,3SOcuNzZfMTB20m3HD3Aw4,Aether,5UyjnQfu4OsLGiOi3sIoEN,Memoir Collections I - Beginnings,538wzM7bIQT5TAuv79sHRU,49,https://p.scdn.co/mp3-preview/f5b6f88112745d00c6148ce21784a10b16eeaacb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Ur Ok,3ugwSyN9KyORA7hZloX43K,Aso,45Ui3GdcxzbdJhhTtZLXO8,Home,4l845so4pIo4GbjPArqmjb,35,https://p.scdn.co/mp3-preview/9eb5fef7551cdd3909a391425b36a23a85780684?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,I need to paint my walls,7EnhGSOY5RbeIkFaoxiHZ2,A L E X,3nCJkmgdZQ6l8o828Y3vNQ,Chillhop Essentials Winter 2018,3u1k0CIc2zQdXxlhrBbPCV,62,https://p.scdn.co/mp3-preview/1ea8a50c7ca238920644a9587e156b0d5642c80a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Never Felt The Same,0EgjN5H3ExDRLbewY8FXQU,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,53,https://p.scdn.co/mp3-preview/255acadd41b1bfed381f607c997c4ca95a82ff5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Soup,6HWYlWMaoGg1PcPIwlaPGo,Joe Nora,2ShIqcIbteAk5jwdZzF2NZ,BLESS Vol. 3,4Q8Wv8ognM992IeS9iy1zj,16,https://p.scdn.co/mp3-preview/cb108a43457daeedfdc2bb7bc0de74d3f77dcf89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
