Sub Pop: Sink With Seattle,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
68,Siren Echo Valley (Part 1),7EgD1WaAmBmGOTKMhDfxcX,Grand Archives,7k0P5clsa0laFO0DPGhWOK,Keep In Mind Frankenstein,6soG1UEVk6bM3P6misRVjR,0,not available
69,Siren Echo Valley (Part 2),6uXOv7g8IdbsT7zjvTel5o,Grand Archives,7k0P5clsa0laFO0DPGhWOK,Keep In Mind Frankenstein,6soG1UEVk6bM3P6misRVjR,0,not available
70,In A Ditch,1tKeLxku9yqHmWay8rlxVu,Scud Mountain Boys,0M02NJYkmh4eYhsKVAgVbJ,Massachusetts,4cvFncQ95aMma7kM1OR5RC,0,not available
71,Holy Shit,5UOZ1ovPqqls32mijlqp9r,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,"I Love You, Honeybear",2A8IKX257C4hJaYUHMhLP7,45,https://p.scdn.co/mp3-preview/2413f1887d9931bb44d61f4458ea157c13837e17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,The Earthquake Of '73,7lkEjKjx2W5HpXIsHlLI9w,Fruit Bats,6Qm9stX6XO1a4c7BXQDDgc,Spelled In Bones,1H18bzVkCPHe1EirAHzxY7,0,not available
73,Stumble,5vpqMW71kjpsa5uq1jUcsY,J Mascis,1PokjXeIq2zVosXbTEaNlx,Tied to a Star,1RSO63oaHi6R2ZfBL5jF5i,22,https://p.scdn.co/mp3-preview/b7a115a6e152a1cfb7692aa330043f8a04e3dedf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Warning,0OyrmEX26TXod3UClAVqBg,Lyla Foy,3cwKDuj7rWyhvCM4lMTDps,Mirrors the Sky,4SzIpAMMprn1lzbEKogwCI,10,https://p.scdn.co/mp3-preview/3c26835618d3b4a0389f754daea74f02a73ec87a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Planet For Sale,0zYMytxn2Pnyqu11Jv7Cio,THEESatisfaction,3H1MzPCZZQ0SKoKQlTNfqa,EarthEE,0c8JLytjs7pk4PDPwhYCOH,10,https://p.scdn.co/mp3-preview/2705583e5f8ced8d65bb42759bf16030ecfc8f00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,We Killed the Moonlight,0tkxRMfqV9NH2e604jBqi6,Still Corners,4zKYrXs8iN4AeHmO8ZxNqp,Strange Pleasures,66I4VlmRYrzUvO5LRgZfOf,0,not available
77,Funeral for Lightning,4xGlShh1qK92t1t43MPy19,Doldrums,1YAv2yohpdjlPVbtqZCGLY,The Air Conditioned Nightmare,5zR8HWmbCVFNMtROX7MNEg,6,https://p.scdn.co/mp3-preview/eb545b7e0f22386781cb166577219c35b80180b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Suddenly Is Sooner Than You Think - Remastered,1PYttGnT2Wd04O4ZiYrbX6,Dntel,1jf3CssdtSksxNa3uIpPzS,Life Is Full Of Possibilities (Deluxe),2RxcUcneYSl9nXsz0HrI32,0,not available
79,Run Run Run,3gzZG2foGHS9HnT0DfMLK0,The Notwist,1o4xLcugkCtDDOw7POAMha,Close to the Glass,0RTY6BRUIsyJEgWbZkFj3D,10,https://p.scdn.co/mp3-preview/241192926765c530ca35cb0bb944414969bf74cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Halo Sky,0C19hjhJyvAPDSwa5Q8scr,Heather Duby,3BKHtFE54f3OZPQX8PVBvb,Post To Wire,7MiCdRuaxvuxWZDOhELSev,0,not available
81,The Lord Is Out Of Control,5tlfJ1hUfNEoi997rnx8Q2,Mogwai,34UhPkLbtFKRq3nmfFgejG,Rave Tapes,7Bi4YiLqsBbXkWhFe7kMTp,18,https://p.scdn.co/mp3-preview/35e0d37deafe6571d99a6ba75920af6ec20f51bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,The Breath of the World,4iz4IDDmkAr91JcNzjn7Bu,Niki & The Dove,4hiLNlqr4vQdiuo1aQKSXS,The Drummer,1HkL4Z4zeiP3Fti96bCxv4,0,not available
83,In Real Life,0NgocyJG5x5mCewP7lWJ1a,The Ruby Suns,5qnkr4yiMJnEvxZm3IFTkZ,Christopher,1hk9zZwCqdXul9mHscoIXP,0,not available
84,What Remains,3I78ZYVI73FRVsBrAOhU6J,Foals,6FQqZYVfTNQ1pCqfkwVFEa,Total Life Forever,7vEyoJgU1GnhhfyutZ4Qc6,0,not available
85,Hide From the Sun,0UrioMtbhABxc6YzYBBaJf,Goat,6jP9Z7o6WlbYvKUOeO5SbP,Commune,4a5B4wmMazZt1hJx5iXUPE,0,not available
86,Goodbye Baby & Amen,4sPN379Y8S8cVD1UwmBZrQ,Constantines,2olXFp5y1AwrgJA9YSV4Sn,Shine A Light,2xp97GIWOgPG8sMHAq3bmo,0,not available
87,Grave,3PBMtG6PqlSVKVcMPRnRXW,Spoek Mathambo,3qw0OXlLhqI78xEWw9Ys8O,Father Creeper,554Uaot7vqKgo5ujZPrKsy,0,not available
88,No Way Out,0fNr1T6m3ZJoG6XnlB1AZh,Thee Headcoats,69C0pRNo5qCmYlKS9Lctfe,"Heavens to Murgatroyd, Even! It's Thee Headcoats! (Already)",3tr1gM5mhd1c1ETj0OPYie,0,not available
89,Don't Need Smoke to Make Myself Disappear,2JZaTr2v3LGIAeRO6wXDyO,Pissed Jeans,6FTONkEJQsCSpoDHqaAP1V,Don't Need Smoke to Make Myself Disappear,1SKB3Zy5UGjY5HaEEueB5M,9,https://p.scdn.co/mp3-preview/6632d57852b7f2ae165c5a1e3a5b3d60e9ac45ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Fire In The Hole,7bcRBjMQyYvGlWFShFwnJy,Teen Angels,0HOfgZhaeyV32CUBUKea6j,Daddy,79RDYUcw6iwAWkRD17yEjq,0,not available
91,That's How We Burn,3i0D53FedHx0zD0Cz45qFB,Jaill,2AubscTHZ6Gqo7hlIyDEaH,That's How We Burn,4Fv5EvAledZGhOTe0hj7G7,0,not available
92,Run Away,102ivkoef0n7Sw0pcrXyzp,Eric's Trip,5nzD0ZoeBRaeAZYaPt2DBs,Forever Again,48MVwIVgwvl0ikjdTI1Lcs,0,not available
93,Energy,2PlhN5rJCwJ7l9VfELawpo,Elevator Through,1WwgTYI78AxwLCoV5GpcQU,Vague Premonition,0eb921GOBhBkBmViyUu0ni,0,not available
94,S.O.S.,0que2Ue86rh8rptlAJD5Qo,The Helio Sequence,6JoxwT8CwvpxxNaP55R6q2,Love and Distance,59lPTHhuHnLjSiOMVoReTz,0,not available
95,Nothing Makes Sense,2GDbHAwl8xfENK8Qa2D5jq,Jennifer Gentle,26d30HFKWRCPykuhChrua2,Valende,50nLVU14Ka5UXvT0JEkKi3,0,not available
96,Sound of Screams,2Iqwo7mFZnZBr8kOdk0rFR,Thumpers,6tDrK7qikYyJjxTBjlDHO9,Galore,0UqYGm2a3KqN9FKFcDPLed,8,https://p.scdn.co/mp3-preview/3d18e6f9cbb46d917d81ea77c53a6b2bc4287f6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Madness,3bFkdK7yNQeCkfeFI0miyW,King Tuff,0uI2HyW0eIbTbyH3S2XDHI,Black Moon Spell,1D2eoTz82hmyArupokjyZ5,24,https://p.scdn.co/mp3-preview/26e55006cb92994a34f031c3130f244e4dabe690?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Storm,70AiBLUXfDmNqSyi7pSmPi,Jale,4rfhfTVnlzDLa60LRqtgKX,So Wound,799Brt0xRPA43YmY2T3G1z,0,not available
99,Oceanwide,1FZwQ120tMUGw968Fz93Oo,The Spinanes,6lz8TrJesUMdGhKoyXTTda,Strand,2QMpgXFC3amY85DSLdeYko,0,not available
100,Mother Nature's Way,7nFOh5wT8CoOfhfz0z1SOj,Kelley Stoltz,6NZ4NDGpMT4p82PCJh57Ec,Circular Sounds,2LPuZFufZdJZEZzc5mpETM,0,not available
