Sub Pop: Songs from the TV,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
13,Gallows,4xGnlF12j9XklgOJ8QRPfE,CocoRosie,05fo024EFotg9songSENOZ,Grey Oceans,7A4XnSXpvIBMN2TqD1qAVA,34,https://p.scdn.co/mp3-preview/16998565f29058a7e020e6251f4766c5a1fdd955?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Swerve... the reeping of all that is worthwhile (Noir not withstanding),6zlfO5ii8DEInf7R9dpkBW,Shabazz Palaces,6C403AR4y6PjN0xNNGh42m,Black Up,7BivjtZDPMhWSyCPCt7rau,39,https://p.scdn.co/mp3-preview/41ae6f24e5677e83e898a392fea9a53fa20080c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Back And Forth,3lFXDF7JUOwEItn6Rfkap4,Obits,7nr5WIJhnF5hR77kS98avs,I Blame You,3Gs9cqUpPELdk1kNlN9Gmm,13,https://p.scdn.co/mp3-preview/492e8cccd54462a1794abed2a6350a3e3c443ec2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Happiness Reigns,30zRs1zf9XyjSGe9SbTiem,Cullen Omori,0P0xfWeg32j9iUTHCullrj,The Diet,7y5uNW5Bgb0XsLYJi2mYpX,16,https://p.scdn.co/mp3-preview/61acc1b111d8a94c61776eb77cb8927781066901?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,The Measure,4lAl2QP7kOwEeX2keRMS0Z,The Helio Sequence,6JoxwT8CwvpxxNaP55R6q2,Negotiations,4tvbWjPZW7wfvYoi5pj3QQ,39,https://p.scdn.co/mp3-preview/55ec9251689b0ab0b9d686b448720e69878a0696?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Fireflies In A Steel Mill,0KaHMgIvd86YANpReIu5kj,The Elected,4XlCuR2K45h5RxyxpnyXpB,"Sun, Sun, Sun",264osv0C00e5TVNkWr3kvZ,13,https://p.scdn.co/mp3-preview/73e98512400be5866cb7d40967d268ca4df15c88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Bad Thing,3zB1SXdHSsC9YkslJIIyNj,King Tuff,0uI2HyW0eIbTbyH3S2XDHI,King Tuff,1aR5ucNgsjrtLMowsaMgcd,32,https://p.scdn.co/mp3-preview/a8b416248842b7d18569580ca0f9e2345791a022?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,An echo from the hosts that profess infinitum,3jnrt2gEadlTy3BvRzYJMO,Shabazz Palaces,6C403AR4y6PjN0xNNGh42m,Black Up,7BivjtZDPMhWSyCPCt7rau,37,https://p.scdn.co/mp3-preview/2942d94f369d03b43c342824e2875a0a6e0b8b78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Turnunders and Overpasses,67qoGMdS32nzFKXcFq4DZi,The Baptist Generals,1tKdSeGO9UcaJ1n6rnjCbt,Jackleg Devotional to the Heart,5bXcuzXn16IWZEqFMpm32s,23,https://p.scdn.co/mp3-preview/0b0611d3afbcbe269a508e41fddb6bdc5750413b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,New Work,7DiiPhnz9UAowR5TM4zHQA,Mass Gothic,5CjfZsl2kJgBUJvdJEBRBs,I've Tortured You Long Enough,5zh3dqzdBXEdMCmfP6cnSC,7,https://p.scdn.co/mp3-preview/b75d7c037dbc9952046987ae20e62d02d4b28458?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Ringing In My Ears,6ivc0w9cgNAn50xTW1ZtD8,Hazel,2UJocJ75xCjUNbBYsetuxz,Are You Going To Eat That,0h7nQSYCxIAOUDF0iGluYf,9,https://p.scdn.co/mp3-preview/18148ce9a078154941c0c6056cc6fc61ceb64962?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Lust,6GvxHyPHf9AoKOplmnl8Ni,Perfect Son,5gxQbtNcYkmZxURsjTQZgI,Cast,64VPkIULc4lgIOZ1845vgg,11,https://p.scdn.co/mp3-preview/766e6f02d1e6c20162041307221fe44a6b57e64b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Chem Trails,6oxHuw3EyYLBius7PMVxIr,No Age,72acCeElLYGL9nBHcZzX1h,Everything In Between,2z4uH38UepxHIt6wKF0ArH,12,https://p.scdn.co/mp3-preview/5603d40c91ea4d281eb76497670fc47522b341e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Who Is Speaking?,2eODfcFnwGZtmiQNu7pA8N,Loma,4oCcCzMjKNCjQTzxtVlOJT,Loma,1yXlpa0dqoQCfucRNUpb8N,24,https://p.scdn.co/mp3-preview/68397520de2b9878576d71c4b2ff5f54a3d5197b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Black Forest I,0OJ5hWiiI2aadUSYOcqFEh,A Frames,1wcu8z5WcFtWop2dclDKJS,Black Forest,6Fowv20dIAGkpn62uhJbhG,7,https://p.scdn.co/mp3-preview/02d64140e1c9dd37353bca35346a7bb913628671?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Modern Girl,4lWi8GnQbYUmX9j0Y1Cx9u,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,The Woods,7hcefwuxgBS2mssgOtUSJy,52,https://p.scdn.co/mp3-preview/9a4fa4d1d8aa5c6c8dab83d52cef31d386c4a33b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,No Cities To Love,0ZdviWQ9dmO2doDba1DtA2,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,No Cities to Love,1l7gMbzE7RRAdYddJSfM5B,37,https://p.scdn.co/mp3-preview/d5d1e13556eb4fc76052df0eb35a50d5d54270f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,In Your Wildest Dreams,3zDBJqXo4WHZZJUXTFhYIN,The Reverend Horton Heat,4byZW0sEv5RUoyQBfv7CPw,Liquor In The Front,5g99BddqqGiyZCAhByycXU,24,https://p.scdn.co/mp3-preview/cf107966723920d4ad654d1d1045be483efaf8aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,"Halfway Right, Halfway Wrong",2nMVPAHliRlwfG8YVURotQ,Preservation Hall Jazz Band,2S0rCVs10P1Q0v51wmOrM5,That's It!,6JYR0JXps5x2upNuCKaA00,16,https://p.scdn.co/mp3-preview/eb367bdff377f8b32db66dadc0cd8dcc95ec88a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Shove,0AeIgH9Cmx08QL47ZBPAN4,L7,2zMQOJ4Cyl4BYbw6WqaO3h,Smell The Magic,1pXoAahgLu9ewP3HVt3md5,35,https://p.scdn.co/mp3-preview/7b0f995b4c5c1ad54933d5eb1fb03c3a91cb709a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Incantation,4wrlZ9Mp77GwI5RBRwIgNP,Wolf Parade,0XSqX2PB3C5dTMv7SZaxSm,Cry Cry Cry,1v6kERVjlCD906B3mmuKkx,30,https://p.scdn.co/mp3-preview/63d1195f1bc94315e215c764f9abe9779fd38fb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Sunrise,4njbjPZZGvuSJa9kMNPMtk,Mark Lanegan,1fpXM23IoNckJ7NDAm8YJQ,Whiskey For The Holy Ghost,4i16jVfcnBj0s0wVRYLWfs,19,https://p.scdn.co/mp3-preview/94c2f66a66726f65cf9286666c999435da6e77b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,New Slang,2cP37n7TZEe0oBxCbZu0KA,The Shins,4LG4Bs1Gadht7TCrMytQUO,"Oh, Inverted World",6tMeipxbqiKnp7F368cwsi,73,https://p.scdn.co/mp3-preview/cddd138adb6362fbce441a8d06acedbd960dc4d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Black Car,3pvmkjuacq6719H5su9ixl,Beach House,56ZTgzPBDge0OvCGgMO3OY,7,4qftBBO7pnYlek3mRENIvM,54,https://p.scdn.co/mp3-preview/3a75f813248d1378097ba81ea4f83b830be4348b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Ragged Wood,0DrPfPbgV3TxsxgqEjQzPk,Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,Fleet Foxes,6XzZ5pg9buAKNYg293KOQ8,59,https://p.scdn.co/mp3-preview/621d6510eb943d851b159f9d91d41a68a74e8637?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Fast And Frightening,0GLlGaNAqRkQRlgj9toYo8,L7,2zMQOJ4Cyl4BYbw6WqaO3h,Smell The Magic,1pXoAahgLu9ewP3HVt3md5,37,https://p.scdn.co/mp3-preview/c793f13bacb3d205cd8c47d2a216c8548257cd09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Seven - Remastered,5quv9YDjbVlXddPEk08N0H,Sunny Day Real Estate,2lZkXWxkZsZzBocxMjN1or,Diary (2009 Edition),2BpIgyANTKnyMIIRvXOjm2,46,https://p.scdn.co/mp3-preview/73b95a6cbbe3b5b178f7352322b737d891cf337c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Convergence,3tZ8Ckcyly6SQlfJ2cyNR9,Preservation Hall Jazz Band,2S0rCVs10P1Q0v51wmOrM5,So It Is,2CUw29ZyWYRRPU26dNNbp3,0,not available
41,La Malanga,2IDbX8Sh4N1Meo2DGnqfOJ,Preservation Hall Jazz Band,2S0rCVs10P1Q0v51wmOrM5,So It Is,1NckW49WY4yHcI6j2kuZpV,25,https://p.scdn.co/mp3-preview/9483bc962d4c2cb7f84d200fd3126f9084a93dfa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,I'll Believe In Anything,6JNmQSxi6HOzOozEQMsbxp,Wolf Parade,0XSqX2PB3C5dTMv7SZaxSm,Apologies To The Queen Mary,71C2qNuimejWFgJGi0i72P,53,https://p.scdn.co/mp3-preview/96b98c6f2c59ac6756fed302c765049ceee41af3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,No Going Back,6wot2rcgCMYVwpGwSXTOqN,Yuno,36BjLtXEXIifbRrfc1Rtqa,Moodie,3zy1yXThxasrQ5mNeDpzCP,35,https://p.scdn.co/mp3-preview/1e9b0031c2137538461cab0e5d047b24cebae87a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Call It Dreaming,0iWUW8UNkmyUa8Aa6anow6,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,Call It Dreaming,05I7y2yV3DTJWf0VNwiVjW,67,https://p.scdn.co/mp3-preview/5745f1181b155fa923204e4435b610c4b4443700?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Birdies Singing,2h8QksgvMSIKjJIFKkpKzq,Kelley Stoltz,6NZ4NDGpMT4p82PCJh57Ec,Below The Branches,2Y7PiDQejO1uftkVvRSdXI,15,https://p.scdn.co/mp3-preview/115572a19292c769cc9fa43e2a00b0f6118f0c8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,10 Mile Stereo,6ub9RjCyIJcAOZVdQnG5d2,Beach House,56ZTgzPBDge0OvCGgMO3OY,Teen Dream,4sYpTER2iT2Y7Kf4VsfUne,43,https://p.scdn.co/mp3-preview/b7ddc0f910af7b436935a988b00108c5a18103ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,The Funeral,27IZXTdeGYjU6m5lTyDpmr,Band of Horses,0OdUWJ0sBjDrqHygGUXeCF,Everything All The Time,4BozXZbBYOnLakhZNUv40C,72,https://p.scdn.co/mp3-preview/ec0526b1578ca7bb8a753640a78a331c4116360b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Take Care,2XccfEuE57RfV6g0T16jYK,Beach House,56ZTgzPBDge0OvCGgMO3OY,Teen Dream,4sYpTER2iT2Y7Kf4VsfUne,53,https://p.scdn.co/mp3-preview/ceac62a59dca0c0732b70797a3c194964401e5dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Cambridge,2iWegttre4h0zzWYTOamJC,Luluc,2Jtfa8vjvzAAGxDfgIkU72,Sculptor,49N5SqdWiPFbsZA6en3NpS,16,https://p.scdn.co/mp3-preview/ce9c6e0b42e803605d4e8941147bc88903e8ed96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Face 2 Face,6M6YlMXyeqlHXSNQrBrLMj,Kristin Kontrol,0KWGzZDg5s1xz5Mhdwh5Hs,X-Communicate,6qINutdftMiUUKzklSg3eq,7,https://p.scdn.co/mp3-preview/4f132bb7eb90bac68045cb4da4ec3e64094b99c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Alala,0SjSBHY5RZS9MmVkRHkVDw,CSS,2K13AVg3bFpHSxDM1vJ0qA,Cansei De Ser Sexy,6IiKo8hbnqheYfEHaEmHoz,39,https://p.scdn.co/mp3-preview/f8c8423768289e82a7e91dedb55a48755aa0ced0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Coming Down,4JsQ7ERzbaWUrvU4vYU7LO,Dum Dum Girls,65ewrL6LvcNGMMRVlksNGS,Only in Dreams,6ySCt5f7nOzIxI0E3vFLVD,51,https://p.scdn.co/mp3-preview/41f0d31e98f30cb3ca2cdbed95d90304046de977?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Accommodate,10JU6XDCqPAR7ANqQLtWuS,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Vessel,4hJOMXjaw7mYC0vbWAqbe7,33,https://p.scdn.co/mp3-preview/533c34409362e3cb391615d14bb70669e6cc942f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Last Ride,3Z8viVKTcHuyMmPjqSdPxo,Beach House,56ZTgzPBDge0OvCGgMO3OY,7,4qftBBO7pnYlek3mRENIvM,42,https://p.scdn.co/mp3-preview/733c4950a150a01e98db42fb0271d10fbdb982c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Levitation,1oCUj7YvKxxSKRDAU3pePN,Beach House,56ZTgzPBDge0OvCGgMO3OY,Depression Cherry,35vTE3hx3AAXtM6okpJIIt,50,https://p.scdn.co/mp3-preview/559ed573ce7b4ae53a35c760db7e295ec1986795?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Talking Straight,7zfzFbRc07YsbFef5xnz9h,Rolling Blackouts Coastal Fever,65mMkD9WW39U9Yadv0dWUF,Hope Downs,2sIj0XFYhXv3GDSIv9IXn6,49,https://p.scdn.co/mp3-preview/01f6a715b98933c2ba7a4b7c591840758ed368ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Mainland,4oGdO6bAblqvWDBJ98VmVF,Rolling Blackouts Coastal Fever,65mMkD9WW39U9Yadv0dWUF,Hope Downs,2sIj0XFYhXv3GDSIv9IXn6,38,https://p.scdn.co/mp3-preview/b7b78bd35508d3502a7a384b8f333554bb3cbea4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Tempter,5Robr5No2wDiTq4tp82ZVL,Stereolab,3Rj0tDHoX7C5NFq5DKIpHt,Refried Ectoplasm [Switched On Volume 2],6grZsNH92wnHOtj4VDBEeY,26,https://p.scdn.co/mp3-preview/452e2f54ed7ba7302ad23e95b1947f009a8d81b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,A Wall,4QpFiTFBtC4RYELg6aBONw,Downtown Boys,7l8uFATeRemkWEA8Gn15YC,A Wall,1j2IpT27OKZa63lvRKY5Oe,22,https://p.scdn.co/mp3-preview/8f721584cbee650b0b23023b34509ed03fc598ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Santiago,0N1B0iyB9Ygl4w3d3V2nKG,Preservation Hall Jazz Band,2S0rCVs10P1Q0v51wmOrM5,So It Is,2CUw29ZyWYRRPU26dNNbp3,0,not available
61,White Winter Hymnal,3QVtICc8ViNOy4I5K14d8Z,Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,Fleet Foxes,6XzZ5pg9buAKNYg293KOQ8,64,https://p.scdn.co/mp3-preview/2451c6ca4ad5edc0002c847c61af69ced4dfce53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,I Found The Star,7FIVQcUBD5QF5y6L5ECAnF,Fastbacks,2mlDM1k4J5XijZKXALxhDT,"Answer The Phone, Dummy",0t7IwKIHz1LkEeIc9NUn5S,0,not available
63,Eva Braun,1Q4lMAYvecKURktrxRjyjM,A Frames,1wcu8z5WcFtWop2dclDKJS,Black Forest,1NWJOHmfoEZUdcyzfgPRe7,0,not available
64,Down From Above,0gb2NPpX1vGjLLXRHtDEbj,Vetiver,7ACSlU8kTcQIbvpwLWze8E,Tight Knit,2wUNVVsJ1rgX6kKL3QP3MN,2,not available
65,Cuckoo,5XuJszI1jeEXvWxK7lBHQE,Still Corners,4zKYrXs8iN4AeHmO8ZxNqp,Creatures of an Hour,5btfg0tmB6N9ummtzuiVza,32,https://p.scdn.co/mp3-preview/2ff9e4ed6a220007a2f7fffbcf0c2d77fecec16b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Shove,6YY0Mce0iv4UFVpVC0cG0n,L7,2zMQOJ4Cyl4BYbw6WqaO3h,Smell The Magic,0qKpJwcPXY7lQOPBbwUnT7,0,not available
67,Seven,1QpHhKFLbcN2alQ9YFRL0l,Sunny Day Real Estate,2lZkXWxkZsZzBocxMjN1or,Diary (2009 Edition),6c7gEp8KqjMsTmvloivm59,0,not available
68,Naked As We Came,2gUSIsapdX6jEJ0DvjqTt2,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,Our Endless Numbered Days,20OPxsW0aYB6InxDImJRdt,22,not available
69,Wildlife in America,0tFoQMgG6JSaoskwv0nQ3W,Shearwater,0CoiIc6ZLBvF9Cjmb1Cj49,Jet Plane and Oxbow,6C3nCWp1EnjUENpFv6AKYi,18,https://p.scdn.co/mp3-preview/c6cc63a502c3af15d485e3438146b3548f2fc975?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Get Over,2rJc1CMOfb7oCr5JW2AXWs,Kelley Stoltz,6NZ4NDGpMT4p82PCJh57Ec,Que Aura,381q49HPxFDsLFuieNuCmN,18,https://p.scdn.co/mp3-preview/6700755238a89fa36dc66069ecdafd8e12a6f694?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,The Trapeze Swinger,7f1rzHP8aCGTHjTq9CIYqo,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,Around The Well,4sgupIgP8AaivCBO5gXA2g,9,not available
72,The Dirt,5VB9VqBUzxR8lj49Scmly0,Mirel Wagner,599W9qxs3LzkiiEmkoK6Kx,When the Cellar Children See the Light of Day,1yqDoOZkNFPbZVwELwWieW,34,https://p.scdn.co/mp3-preview/c2e0c8a5cb8c2072f0e994ae19698bb15401f3f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,An Air Conditioned Man,27BinKJ3YEfkNGGAXpaduw,Rolling Blackouts Coastal Fever,65mMkD9WW39U9Yadv0dWUF,An Air Conditioned Man,1fuVB95xqUooeDLR3GplNT,0,not available
74,Ringing In My Ears,114Xk7lZF0AF3RWN4o7z1t,Hazel,2UJocJ75xCjUNbBYsetuxz,Are You Going To Eat That,7mmjUbtO9ZxpZomQxlmIdK,0,not available
75,That's It!,5TRChKItEqK11O6YtEBEtb,Preservation Hall Jazz Band,2S0rCVs10P1Q0v51wmOrM5,That's It!,5KTC2fPjOd0SFfw5ARXL58,2,not available
76,Hangout at the Gallows,5MIrEL3UsDmD7RGezOi4AP,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,God's Favorite Customer,0hMPUtgjezv7gUsmhztvPv,52,https://p.scdn.co/mp3-preview/c512f76247dd42f1a8f0c3ae2557bc98f7c7b15b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Mainland,1kyQW2y9uREsnH9RMYkGwC,Rolling Blackouts Coastal Fever,65mMkD9WW39U9Yadv0dWUF,Mainland,6j2rpasfk4q1iJqBOglxM3,0,not available
78,Talking Straight,7mpjeF0mRz2ZBnp9KLDsxh,Rolling Blackouts Coastal Fever,65mMkD9WW39U9Yadv0dWUF,Talking Straight,2qQnmxQurL1s9lgXOptXAw,0,not available
79,No Going Back,7rig9YRhho4jJ2LBMGekfj,Yuno,36BjLtXEXIifbRrfc1Rtqa,No Going Back,4Wi4LqdAihpu1DMkHLaZZF,63,https://p.scdn.co/mp3-preview/1e9b0031c2137538461cab0e5d047b24cebae87a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,The Company Man,7szpv1aaSWNBidJqtUnApf,Lee Bains III & The Glory Fires,1oTNCl6SRphYGb9NQ0toVE,Dereconstructed,3rJkLSue9WOCtQCyD58DTa,22,https://p.scdn.co/mp3-preview/16837983693c3d28d600547479b988419a0011b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Time’s Been Reckless,78eBg9Patq4rWjmDkCzfxb,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,I’m Not Your Man,2Jkylu8bVA6naEwwVKuG0o,33,https://p.scdn.co/mp3-preview/a583902ed499f3f101d248dce1a7b7751aa582db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Back And Forth,3FRTzQDSl39AkaRuCTPF7v,Obits,7nr5WIJhnF5hR77kS98avs,I Blame You,3Dk0cjbpKJduZF6BX2ZyMu,0,not available
83,White Glass,7z1yKkq2UT9tMDp85WwJzK,Loma,4oCcCzMjKNCjQTzxtVlOJT,Loma,1yXlpa0dqoQCfucRNUpb8N,25,https://p.scdn.co/mp3-preview/79faf206a4dbf8d07a26f415e65e475a5ba633cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Psycho Star,2Gk5NUGgihEG36CRyzpxaQ,King Tuff,0uI2HyW0eIbTbyH3S2XDHI,The Other,3x3rZHLmXFkRMapEbGa0VN,41,https://p.scdn.co/mp3-preview/3b304f14b3e4e322feca087699e2860b21b7f742?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Artificial Life,0EtiUZbn4f7nYd9DzXqdtC,Wolf Parade,0XSqX2PB3C5dTMv7SZaxSm,Cry Cry Cry,1v6kERVjlCD906B3mmuKkx,25,https://p.scdn.co/mp3-preview/ee1a84483dc868e93e3df12c3fa9468232346277?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Planting the Seeds of Insecurity,3qfjOvmy7DANBAV2z2TXhF,Sarah Silverman,0LNZb9cF31Omf9ShZJ3CSa,We Are Miracles,0LqMoHT9f9AzJk1HurESVp,26,https://p.scdn.co/mp3-preview/c2afbdd522764962c3d12a669b446cb430bda279?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Shanty Man's Life,5X8C6bPwLEmaKcXS5EE5mT,Mark Lanegan,1fpXM23IoNckJ7NDAm8YJQ,I'll Take Care of You,1ZIm7w2HIf3cCfg0eZxwmP,0,not available
88,You Are A Runner And I Am My Father's Son,3Q2ubsXZ0UibneN8z96v4I,Wolf Parade,0XSqX2PB3C5dTMv7SZaxSm,Apologies To The Queen Mary,5wvRs33deheLi3hwbvVz8W,0,not available
89,Wriggle,5HkIMCxKCqLZL2LUBwcTRo,clipping.,5HJ2kX5UTwN4Ns8fB5Rn1I,Wriggle,2hCgbNyMtaNS84dpDN6KZY,40,https://p.scdn.co/mp3-preview/272c3105e38e6649d9bc3a741995c0a595bb093c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,It Don't Matter To The Sun,5ufneeevX7OAtXdWADBIyD,Rosie Thomas,5Tw6OSRLoU7IHTO8kHGRQr,If Songs Could Be Held,3Pjf7eW6kxHaI5BiIbNPgT,0,not available
