Massive Dance Classics,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
38,The Girls,1bHhtkFwH6eBNTka0DnGzU,Calvin Harris,7CajNmpbOovFoOoasH2HaY,I Created Disco,5gDkjyJBK8VLZjKqqUd79K,52,https://p.scdn.co/mp3-preview/e9d8b1e1cf89222fabe7809adb4254de73ab7a6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Groovejet,2KeAqVOxKLU4XyPLcHTL2h,Spiller,4bmymFwDu9zLCiTRUmrewb,"Power up 2000's, Vol. 2",0vlkJT7l0tsjGVYLk2bVW7,21,not available
40,Sun Is Up - UK Radio Edit,227ftQ5S697FAxmeA6AyoL,INNA,2w9zwq3AktTeYYMuhMjju8,Sun Is Up,1euyLnEU0sFcRHVhTglcay,53,not available
41,Wearing My Rolex - Radio Edit,5liQj4sVRmEEESvvcb64o8,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,See Clear Now,6jyCINx0IQwks3MnchgcOR,63,https://p.scdn.co/mp3-preview/3590d62e44888e92346fc806af09d51943ec6887?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Stupidisco,1RZrwASQmcjtG0rPo5uf1E,Junior Jack,583EYzsIVCz1HsEKZbuJ1k,Trust It,6fGzI2hsL0HGcc2RVzbCoM,54,https://p.scdn.co/mp3-preview/4584592fef15e9e946f81a34727cda0c25fb9317?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Finally - Edit,6Q0eCWxfqZCGYcgtAI9iXl,CeCe Peniston,5UoVLCWzOKMIJ9iioof9OD,Club MTV,74ASIBBpAHGqnJjd8ViXn0,43,not available
44,"Rhythm Is A Dancer - 7"" Edit",5iEDwEp82uLN3X6llJdqen,SNAP!,2FrKQPjJe4pVMZOgm0ESOx,SNAP! The Power Greatest Hits,3SxQyJ7t7NVkUrJYh0TZqi,19,not available
45,Drop The Pressure,243NB0yDHxtapXQvJvCaW6,Mylo,5YjEVrNMrIRw2xGbjTN6Ti,Destroy Rock & Roll,5hEmQDypt7E7hJIQeTo6as,50,https://p.scdn.co/mp3-preview/8c4ca644846268d5b28fc5321f551861b08fb702?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Day 'N' Nite - Crookers Remix,34sGnIHB3ZthMvHpNX1i7e,Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,Man On The Moon: The End Of Day (Int'l Version),6oPPKtAwNNlkW4wwHfQDfM,63,not available
47,U Don't Know Me (feat. Duane Harden),0TN9m8rp3ZuNi4JwCKSans,Armand Van Helden,3cQA9WH8liZfeja1DxcDYE,2 Future 4 U,00XVrVh53A6ENcRbErr81y,61,https://p.scdn.co/mp3-preview/25e73618480cab0ef8111c6c500db350b00c0378?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Feels Like Heaven,7HlxqDDzdWE3gK0i6fS6Bt,Urban Cookie Collective,1QYMj6ouUhi6yis1HE8M68,The Very Best Of,6IjQa4ZCnkSa9cnUvA3yJG,48,https://p.scdn.co/mp3-preview/1635fdfb19ffd7221567f1084d258afdb78fdf60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Heaven (feat. Do) - Radio Edit,4Ju8pNta5r29QBLCSMvwdn,Yanou,5SWX583ExJOL7cv8572Crs,Heaven (feat. Do),1CVDLH6Wt7b7ENiIZVEEEj,3,not available
50,Love On My Mind (feat. Amanda Wilson),2d6kU8J16F3fqpbYKZiLP3,Freemasons,49H2dQUNhIlso7VNkS8nFR,Unmixed,6RJScagruOkzWCCOiXRNND,52,https://p.scdn.co/mp3-preview/d0344d28d3cd5aec73c7263fb99fc2f987c71624?cid=fa83a2fec7c440b7a2795d600d6b2c7e
