Chilled Reggae,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
26,Je suis venu te dire que je m'en vais,5LOO5nwxH6G2RnvwNRFaZT,Alpha Blondy,41ekW4MXG59xJMXR8dX1OG,Je suis venu te dire que je m'en vais,3PqRvIcIg1jSNybXYKT0Nw,47,https://p.scdn.co/mp3-preview/6508e89165022c491c79ff4f905220a44f932a37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Did You Really Know,7waIDkggFqghfb8xhNMMm7,Mungo's Hi Fi,0Ism1B2cF9NxpXAwdUCkxK,Soundsystem Champions,08C6xNOwGqXS1WgpgcAJXZ,52,https://p.scdn.co/mp3-preview/ab89896677db0136b4f2b7b044d6f1d3efb69c3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Me Love To Sing,58YhCs78GFBQn7XjUSuWIo,The Hempolics,6gTdfUDImVBjuPjAHZGHUS,"Kiss, Cuddle & Torture Volume 1",2NDMv7U6n5sTUu2YFpdKQq,4,not available
29,Ain't No Sunshine,2FiirucndV8DAViDghrqNZ,Ken Boothe,6jg1EbpTL27toPdfzveorJ,The Ken Boothe Collection: Eighteen Classic Songs,12NP8Zg49uP77ozUUSTe99,46,https://p.scdn.co/mp3-preview/4581fb55c5cbe16e4864b6565f7167b545f36c8e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Deeper,4pbQqdxHDI1oJpKxEfHxvq,Alaine,62I2kfviQAwxvxNMvTj1Mc,Strictly The Best Vol. 36,5OAh9E576gCvvut3xHh89G,50,https://p.scdn.co/mp3-preview/bdbe22cef1eee256a6360adcb5f5f313c4e8c186?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,No Money,7iKjwcwtWKvPItHxmPYQi6,Romain Virgo,6HCIRVlJ8tvmKPAtFnxyFg,Romain Virgo,67tTLoSUvrnjq9wanpwt50,49,https://p.scdn.co/mp3-preview/a78b3f2b2c53b12cfa02e4a759902456b6938840?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Carnival Horns,6QkMomU6O9OQ0ZXtY4kAz7,Mista Savona,4Y6SrIz24cWZIWuG28CVgz,Havana Meets Kingston,528X0ChTANFhSOJWXOLHsy,4,not available
33,Living It Up,6JKDAb81DiChlgYbTAuYNe,Damian Marley,3QJzdZJYIAcoET1GcfpNGi,Living It Up,4OavmBCfycKnIYUiZv7fPk,5,not available
34,Amsterdam,19LXhmESLLMBb6bUJC02uR,Mungo's Hi Fi,0Ism1B2cF9NxpXAwdUCkxK,Amsterdam,3WVrgqUT8NWgAuicUPcKt0,50,https://p.scdn.co/mp3-preview/bb451b903d253cc6dfab0ab4fe17e900246ec726?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Beautiful,3uz5tvXgo73lxn0mtYGP2h,Damian Marley,3QJzdZJYIAcoET1GcfpNGi,Welcome to Jamrock,6tqa7pPWXrtdGVFqZx3b1j,40,not available
36,The Voices Of Sweet Jamaica - All Star Remix,6ueDnmAamC2RcxY9izQQia,Shaggy,5EvFsr3kj42KNv97ZEnqij,The Voices Of Sweet Jamaica,7CZ9pJ8wS1qyal2hnMf2qj,54,https://p.scdn.co/mp3-preview/48dac13e692f70a516dcd5d05d7ed988ac0800e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Superior,6IMrEEIarZEFi5CvL0v7vW,Gentleman,5tlNJfV9UIpgnbWmvUEFu7,Confidence,3idqYCALAfTCNWZGMFK5o2,47,https://p.scdn.co/mp3-preview/2d5bc23856f082324b01aa848e640ec09387c857?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,I'm Still in Love with You,3MhdH8PxqH1FuQp3HBptUI,Sean Paul,3Isy6kedDrgPYoTS1dazA9,Dutty Rock,3nAwSh2fcp3M8voQKZS2as,69,https://p.scdn.co/mp3-preview/037ee7e911edbebef2b816f2c01e823672acd7bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Cool Runnings,70A4fwnfHIok2WsdKY7X0P,Duane Stephenson,4jdHfc4ZIDd7RYn1reuDg2,Dangerously Roots - Journey From August Town,49dwhhUPqqjIbfPfVoRIc2,51,https://p.scdn.co/mp3-preview/2e6f720c9052b0848ae6e36a4fc57cdbbfd48192?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Real Love,78aaIdueQSjI00fWUMAqna,Jesse Royal,4aXUVIuNCDbLoRAYfuVDi1,Lily of da Valley,3JAvtVbq8XLocOQl3CzOwE,38,https://p.scdn.co/mp3-preview/8a730236f7addb12401722b853d04393bbff7d92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Can't Stop Now,3Ux0rrBpawDu2Wl5n8v8jz,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Guns Don't Kill People...Lazers Do,4ICw5ualRoQjCO8K61B6i7,46,https://p.scdn.co/mp3-preview/bb1772775233b91091f302ac4130c41dd352d9b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Just One Of Those Days,6YUTHNchsxKwWs37fFaV95,Sizzla,72T7x96EAqN2UWvAgobYfv,Da Real Thing,6P6cZYXPzjL5mwHhgkJBC5,52,https://p.scdn.co/mp3-preview/f7905b7681c98154e03759db24f888415a9715f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Skankin' Sweet,5W4pbLaMo6B64C80vUiAYV,Chronixx,2oZcMYiKpjaA2Et5mU3RPP,Chronology,0ZRlLe0jPtxYObYIgKZz9R,5,not available
44,Loving You In Dub,7GrE7TxZgCqYL2jSAiia5h,Etana,6oF8gXhgD5ZTQ0biyaw4Cm,Etana In Dub,564Zk4j8ByOPGLrYN266ag,4,not available
45,Missing You,5BkEtAa7LHwm5qs2vLegX3,Sanchez,6550dJCDSrZ8Cv6IDAjHpf,Missing You,3688VgiRVASa05x5FHEmc9,49,https://p.scdn.co/mp3-preview/d2ad8cdc499f09d5a51846ab16589af3324256e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,The Rain,42GC1AfXG6J0avUTkShlM9,Gappy Ranks,4rkmaLySgI7sl9cKfJ3tT8,Songs For Reggae Lovers Vol. 3,62bN9ksCCuwYuZcivlPgO8,45,https://p.scdn.co/mp3-preview/cd7f68b12ea61fd83eae587141720afa4ac283bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Nuh Compatible,4IEpWG9UqdmoVbZXe4gcXr,Bugle,4J51t1ZO7ed5qgsXmz9VXM,Nuh Compatible - Single,54YBDticTMz4paTYdLqniq,4,not available
48,Love And Affection,4o6ZuLYr04LqFQNiSGVK4u,Pressure,009IKtLg2rg2QMbvNtWaoh,Reggae Gold 2007,4SPmILNzFDI8pwcj6VSr9X,50,https://p.scdn.co/mp3-preview/ccbdfcb291f45b537c1cd1b46446d579f700947f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Kingston Town,2OHQhOiGIYaXqqJVIMpNrF,Alborosie,78u1jLVBjPSXQVmHBV43yG,Soul Pirate,3hhWPRjFBsNYm3v3nbOqQC,63,https://p.scdn.co/mp3-preview/79f864cbd972bbc0c6a60835c133eca61112787b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Superstar,4xaHi2hhM0b5EuJuOTO6eX,Hollie Cook,1fwuUuFbqXJx3B17PUhFCE,Superstar b/w Superdub,2DXIS3dIsWYQQFZDpMU5pu,43,https://p.scdn.co/mp3-preview/d57b5a7cf9d8d40f464bb19dc1703508c5abce08?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Nobody Has to Know,5nLmO6pp71pmiVZwyTPfq9,Kranium,1LKo6ZA3RNvKtLa6zDu32S,Rumors,1MZfu40bPBKw1HzXGyGoMX,61,https://p.scdn.co/mp3-preview/034fb24379b6df8105e07cef223149549f80dbe8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Welcome To Jamrock,3jtd9Jslk6phPPYzBqfomg,Damian Marley,3QJzdZJYIAcoET1GcfpNGi,Welcome to Jamrock,6tqa7pPWXrtdGVFqZx3b1j,52,not available
53,Brown Skin,1m2c9ZjrXRGRvvPhVOUXrV,Richie Spice,3PqSrKPGZXefu4krgFCZSP,In The Streets To Africa,0scr0WIAfItBBbefIYqvuc,51,https://p.scdn.co/mp3-preview/b538b29af8caaef5fbd08f43ef59de8bc5303e96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,That Day Will Come,6chKRJFe2qXIFHZKBDWqtw,Capleton,21J3YJTyq1biE3SvSNjzuf,Universal Message Vol. 3,24Be7w6AnOelK8QRfvVMPX,44,https://p.scdn.co/mp3-preview/c23b98356ccab770a7c2907b55da3e09676dcaf1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Mirror Dub,11JpHKvLriD2imIxPb13ti,Vibronics,1nLw9CVpFRIjloeNQZteT3,Show Me A Purpose Version,1si4Eb2rp5RXGUQNgBELRV,44,https://p.scdn.co/mp3-preview/e9d0c1ff43c1288c8e7c5546516519c26ab9b7a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
