The Weekend Wind Down,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
35,Fare Thee Well (Dink's Song),0YOOXnCJihgyluizqhAcrz,Oscar Isaac,5opRYqktzpMFqZ7jtnp7yy,Inside Llewyn Davis: Original Soundtrack Recording,1HlwBBTjItwW2VN4OG1rin,55,https://p.scdn.co/mp3-preview/a3bd7c27192b594320b825fd00ee39f36dd5d831?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,The Greatest Bastard,3jFfe4W9gyX1QQbHYPXNiS,Damien Rice,14r9dR01KeBLFfylVSKCZQ,My Favourite Faded Fantasy,1dMqVfKYgHAjG76ZZufxSW,45,https://p.scdn.co/mp3-preview/f2412051978aeaea42e40679cbe4ce4e3aca85a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Riding To New York,0yVsB7VhYZ0lIAfGU30TWk,Passenger,0gadJ2b9A4SKsB1RFkBb66,Whispers (Deluxe),07zipwkXiiNMgvtyQlc4W4,35,https://p.scdn.co/mp3-preview/8cc7c211ad5843b9efcf47aa935b1c08bdf07b18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,I Don't Feel It Anymore (Song of the Sparrow),1nkmSCRaSVcr1B01ZcBHaw,William Fitzsimmons,41FEVJCBGidsJwbjq0KfgM,The Sparrow and The Crow,7rmQznoVB5JUjNwMsekpvl,3,not available
39,it could be better,3fJoRsW6lYC8PuOndPP52Z,Lewis Watson,40ELTAg7Kg6vbWnlyx2n9R,The Wild,0iyv3RfKBGrf88K5UPbr9h,22,https://p.scdn.co/mp3-preview/47b0b5250a5bfb774ba9bc506c90efc339d1d5d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Mainstream,6EFPek9oLqIudUr5FIAMN3,Martin Carr,3b02YDnufwl9CPIblMomrD,The Breaks,0kSvVC17WDpm7b4ZwJOfE0,0,not available
41,Bloom,0nFSlhUZzcGIF3elC38WGf,RHODES,07FfkbljNIdl45Ijlh1aXS,Morning - EP,4ZD0BlGT73fs9M5UEa3O6p,0,not available
42,Memory of a Free Festival - 1999 Remaster,2rYwxiSDxyJF4cde4BZL9S,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Space Oddity (1999 Remaster),2LQYvrh5jOxAAZjiBX3f2b,2,not available
43,It's Raining Today,7bZvj2lcUzoc11vNjucXVM,Scott Walker,04tBaW21jyUfeP5iqiKBVq,Scott Walker - The Collection 1967-1970,6STtM6ZUkIV8E0VB3EkGSu,0,not available
44,Pale Blue Eyes,1WGZ2aP5SnBPjaEDg2pVDd,The Velvet Underground,1nJvji2KIlWSseXRSlNYsC,The Velvet Underground,4kR4Yr84lErTVOaZ0uiULu,2,not available
45,Georgy Porgy (feat. Cheryl Lynn) - Disco Version,3DMLIuLMG051Nmhlq3VjK0,TOTO,0PFtn5NtBbbUNbU9EAmIWF,Sunday Morning,1WzKyOIFW45U8ZSuLVHGLq,33,https://p.scdn.co/mp3-preview/3ecd5ce3249ef79fbaac5d3f28daa0954ced724c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Big Louise,2COWumjvwtqX99wczNnTzD,Scott Walker,04tBaW21jyUfeP5iqiKBVq,Scott Walker - The Collection 1967-1970,6STtM6ZUkIV8E0VB3EkGSu,0,not available
47,Open,4nLaeAathdcgAhhB0h5aWe,Rhye,2AcUPzkVWo81vumdzeLLRN,Woman,3kSUJ193A42dfs82PmOUP0,9,not available
48,Summer Dress,6WoGpYk4Cl0UzosUZrUeEc,Red House Painters,2GATzeg62cr6sH29wSOVWe,Ocean Beach,3wjMtECVHVYFJY9QlsHJJV,25,https://p.scdn.co/mp3-preview/0e47b834966b973975855b166055e3a81e93ef8e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Weekend,4BYDM80yqzAxzWt5gJWX1z,Robin Gibb,4vZduJO8Uukqzx64de5JxV,Robin's Reign,6EXyqhkUjt33nKh0q7tHyX,0,not available
