The Roots of Americana,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Gals Don't Mean A Thing,3LeB7aIYMNlyEnMmUdA7vY,T. Texas Tyler,608TXCUlfj4PMre9XNksEf,The Unforgettable T. Texas Tyler,23g4yCXaDzQrORgCLSOY8W,0,not available
11,Praying,0vdsx8LWKCD0wzoy4qakEl,The Louvin Brothers,3TUYqYNCqgqeqkBZVyxEi6,Nearer My God To Thee,2TKh0ZWbEtJgCzOl7vzVoQ,18,not available
12,Mr Moon,3N9aqyJk5IeDKw0KHkNKuP,Carl Smith,4FmgWM5kNxZ8ibCNPS6hHN,Satisfaction Guaranteed - Best of Carl Smith,1dMdf2vhgJ27aV0PehH3x0,11,https://p.scdn.co/mp3-preview/183d09b7a23c5fcfcfac952698dd633eaca9bc18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,I Must Be Saved,6wk2FxF1OBb5tKb79N2Rw8,Howard Seratt,0XygZhPbs6raDOfv728qao,I Saw The Light,0cmJSfsLjywQpIvi8Eo0At,0,not available
14,Lover Boy,3nUjo32HfaKdU5UbrDtOFJ,Gene Wyatt,4ahZcSBRnJIkpLq8khXx86,"Rockabilly's Rarest, Vol. 4",3KDNr9EmhuAq7xZJCKHSEX,17,https://p.scdn.co/mp3-preview/ea74af1dcd856a00fcc89b446401118019089343?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,My Mistake,28GNIkgerHzoUI6WjrRLJA,Paul Monday,5bWvy35cNGIi1GOaPrDeBd,Blues For Dootsie: The Blue & Dootone Sides,1Vuc3akTc6u3ZSei7eJoXB,11,https://p.scdn.co/mp3-preview/8aafcbeb06db8283bcde8f5777cf6afe595bb6e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,The New Wears Off Too Fast,6ILrt9y957AW2al02Zi16C,Hank Thompson,42tDjhK9kdS7CCHxs8ysz0,Backline,0bQX4mlbWL7cNu1pGyaZrY,0,not available
17,She Ain't Nowhere,0P1LYVjrcaMZ2737QSDCH1,Sunnyland Slim,5IrMTnoQ7OgoLpFfsisXX2,Stomp Boogie: Great Blues Performances,4HCEyuz0J9RgX55iR5WDIh,0,not available
18,Pastures of Plenty,49Cl45LNOx0cZ9qG5wGTCB,Woody Guthrie,4rAgFKtlTr66ic18YZZyF1,Woody At 100: The Woody Guthrie Centennial Collection,0HLyBbcohIOD6hkz5EigTo,26,https://p.scdn.co/mp3-preview/da2b55edb5c7bcbda8f0546c25a62a043ad7b2c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,What Do I Care?,1qwDVWsn89hqpFpgIB4T8F,Johnny Cash,6kACVPfCOnqzgfEF5ryl0x,100 Hits Legends - Johnny Cash,1ApmoIyzYiCIijUdGFLIYr,12,https://p.scdn.co/mp3-preview/403d7ca2f78d87e335cba9205e09953723af914c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,I Take The Chance,6cO5TrVhjAbAJDW04Ud8sb,The Browns,6GDSMFwAQBfnrrZf981Yji,The Best Of,1DVNEChnjNaOz3khTZIykk,11,https://p.scdn.co/mp3-preview/233f610ce3970977f4b84e728599ad631e9c94fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Sugar Diet,60oPVkDFw463YYtsf29azq,Charlie Adams,1L60Q5XUOSm5DXsy2EuKvH,Rockabilly Insanity,5cZvrLii3UfiNn7UYgVJtL,0,not available
22,Your Troubles Are My Troubles,4PAvprj4CpuXShav14uCzk,Merl Lindsay,70khEJHHdQPrKDZIUURwxq,Early Country and Western from Bullet Records of Nashville,2V9TroqtT1IkrLGAjXYk0p,13,https://p.scdn.co/mp3-preview/d72ac6417872c2563117e8c6c2af95d667482c6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,The Angels Rejoiced Last Night,1iKyvYnHYcjAH93Hizvy99,The Louvin Brothers,3TUYqYNCqgqeqkBZVyxEi6,Satan Is Real,0CluD7Nl9LuRCn0kSUysBK,21,not available
24,Peepin' Eyes,20nMV97uVuQyhg5dX9pXwD,Charlie Feathers,2EcNV0nlF6f6ZDtJJG2vKN,The Legendary Sun Classics,3NVX14fsKVOBt8mPbUMgwj,17,https://p.scdn.co/mp3-preview/7de8b4c69e4856affe8f2c812bee739002394ae0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Treasure Of Love,5FjSgMa495AmRh2xAHyxsE,George Jones,2OpqcUtj10HHvGG6h9VYC5,The Very Best Of George Jones - 100 tracks (including his greatest hits and most requested favourites),7LfgxTPbLEcjNUnvADywqQ,0,not available
26,Crying Holy Unto the Lord,22ft92u7UjlZpuQtAnS39Q,The Blue Chips,3qIS4Yj89xOJmrV1Iwqz2h,The History of Black Gospel Volume 3,2Tldh5zeNdWitI4a6yiMe1,0,not available
27,Dream - Edit,2EFptJdeDydEaEEquxMh2q,The Pied Pipers,5o8E07TcYqIefZpDejymAd,Autumn In New York And Other Classics,12WM42c5YXNkzI6gjVm2uC,45,not available
28,Holiday For Love,7yw1n4uprfO9qHzZNR9kOf,Webb Pierce,1ARZrF9nU4zgdDHuBIfqMq,Rockabilly For A Summer's Day,3Mt7tynQQ0WOpMmXB3xF1k,0,not available
29,"Do Right Woman, Do Right Man",6uAEJQpAPoYmM6Mb0tJN2I,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,Soul Queen,3nIxtIMxYqCiD7ZDE0payb,36,https://p.scdn.co/mp3-preview/51f5d4977724bef02e2253a6b8f6bf0cab5d55b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Crazy Arms,2cwGK6ZYfiZ1EZva2VEKSN,Ray Price,5sAg1HZePcFfhrs0G8A8OP,Greatest Hits,1iIdCS3AKg1XSovy1KsfXX,42,https://p.scdn.co/mp3-preview/477f0f63ef4093d1d37336e75bece227539407cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,That's All She Wrote,0w1kuaG3d41pKK1dZm1Fsj,The Skee Brothers,4XYRQRf7CEoaC6tV1DYDE5,I Put a Spell on You- The Okeh Story,6ugdpTDty4Mi2eilTR7jK1,0,not available
32,Dives and Lazarus - Dip Your Finger Down in the Water and Cool My Parcherin' Tongue,4GWdKjUJ5cbBBW07x70DLr,Horace Sprott,47vaowxmQwBozE4mGD7s74,"Music from the South, Vol. 4: Horace Sprott, 3",3yBrP3iXV5Oh9IBMzw91V0,10,https://p.scdn.co/mp3-preview/30f78e3eb9197ea701f87025c5801f4e37bbd57f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Geisha Girl,7GKA8Dt24WkQB3wymIdIYN,Hank Locklin,46Unp6DY3Zmy7QS1Fx47yq,Hank Locklin Fifty Favourites,2YYZ8OJjakRfWqg6NUOQ0T,0,not available
34,I Saw the Light,3yoAt2DCcs5E8qRMEM3qbL,Hank Williams,1FClsNYBUoNFtGgzeG74dW,Forever Hank Williams,1YTDh1X4KDSdvneIJhtFUj,0,not available
35,Worried Life Blues,7qOUBIQ1rKXU3AinBjafiC,Big Maceo,6MaCG0Ef8DahWf6Mn0Ikve,"Big Maceo Vol. 1 ""Flying Boogie"" (1941 - 1945)",33nRL1RdXnWldNCa5a8nys,12,https://p.scdn.co/mp3-preview/d91219f6f47b53ba534dc9090c5e9797d960afca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Teardrops On Your Letter,7Ev30U8RFBvqNLK9OGXD1H,Hank Ballard,3R0XvRGDJEL5cGXVLiAbDB,Hank Ballard and The Midnighters + Singin' & Swingin' (Bonus Track Version),5bBk3ENNMH8hGjRo92yrZc,0,not available
37,Pick Me Up On Your Way Down - Single Version,51piaTRq9ywWeNHokbyQzw,Charlie Walker,3tsk4jo72o6tDjCGaMJUGF,Charlie Walker: Greatest Honky Tonk Hits,6KUUQoxIu4qp3Ug526mTi3,30,https://p.scdn.co/mp3-preview/cbf4aa0783c0cc6d26bfb44b797896000aab129f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Spanish is the Loving Tongue,3j36jprlxevW8QiIv1BLed,Bob Ross,64TlhRlTRlSlmoZGAy6sNM,American Folksongs For Men - To You With Love,3PIWa3g696mfLvTHNtNh1Z,14,https://p.scdn.co/mp3-preview/18655c6f05d6bb4de385409ed83ab36059ccb784?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Music Makin' Mama from Memphis,5aii46Wucn7cnLp8DVkPxc,Hank Snow,3fq6r0bSIm4McymHKNMk4S,Essential Rockabilly - The RCA Story,0XwTTy7fsQuQZvwjJVfII4,0,not available
40,Dark Hollow,5RxMyzlkmPDpTsqdASQFfy,Luke Gordon,6ihJnBxHAS6gTSLYrJ2HtM,Pastures Green,7HjTOEgdy0OyrvOWZyzyry,8,https://p.scdn.co/mp3-preview/319c65871e885f20ef58089c39ede7fb7a38d641?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Little Glass Of Wine,5o2vdQaXfKqyZTGwe0LKmW,The Stanley Brothers,0qqGnmHBX2yVvCITRAvuRD,The Complete Columbia Stanley Brothers,2JxhOmYxViLM4IW6DebLs9,18,https://p.scdn.co/mp3-preview/133e620c039ac2e4c23b632b06bc0510aa7b7e60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,"Root, Hog Or Die",14d7DmYD9w28aI2KlwWIp7,Mother Maybelle,1B2bDUw0nlnTleO0hrJhpD,The Essential Chet Atkins,0lKXTFKRUH3eyflNhlSlQZ,21,https://p.scdn.co/mp3-preview/9822ab8551afc650035fcf5305ef6b445ef79f94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Send Me the Pillow You Dream On,77JBQmou3YADKLCRUHGJE2,Hank Locklin,46Unp6DY3Zmy7QS1Fx47yq,Essential Country - Hank Locklin,0YEUsHqqMXiCYgLAH9uR3m,0,not available
44,Mountain Of Love,6LjCUIFV6pHuXNTBYroZHN,Harold Dorman,1wM79nvxGvl9iTEPg6m2WM,Rare R&B Hits -16 Hard To Find Rhythm & Blues Classics,6mVJHt2TulbsEM6U7k11f7,0,not available
45,Nail in My Coffin,3qwtYxBIjN9pUR7xOoosC0,Jerry Irby,52iKYxUJZz6GzcCsll57YA,Boppin' Hillbilly Series,0PAxZBS5IzA7rhmU3D1oFf,10,https://p.scdn.co/mp3-preview/25fad04bf8f2fd4abe7064a5da679b8a201afce9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Why Not Confess,6NlV0CEMaNziYNl4WPtMQk,The Maddox Brothers & Rose,71e9BJNnvSUEnGA7XWZfCp,Vol. 2 America's Most Colorful Hillbilly Band,4ThVbaKhIZlp15X0Y8DPfL,14,https://p.scdn.co/mp3-preview/be97e8e0df1a702562c3c178d2d47383f0e8739a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,The Stern Old Bachelor,6U5VH4QeWbnCJZM8Gb8uVI,Joan O'Bryant,5xQNogFxKfkHzoPPbLihW7,American Ballads And Folksongs,32JghJvXwOyAiUTVrDokrN,9,https://p.scdn.co/mp3-preview/32aee9c0246eb0718b0f5629cec2a7496d2c432b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,The Dark End of the Street,1oZjlALOeXKvwTYaCFVCrC,James Carr,59fzcTUsoozikLmRY1SwHS,The Best Of Goldwax Singles,23EAg9oTXBIRzKs5FQkw6Z,13,https://p.scdn.co/mp3-preview/3b343e25600c3777e552f956c0577be563e12e7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Beer Drinking Blues,3otau6xlYbbdeTup9gj3EP,Eddie Noack,69QgxPDHaeDRDMl6icLzCp,100 Classics Of Rockabilly & Rock N' Roll,7ku1oM44gviLwCO8UCzmyC,0,not available
50,I'm Movin' on,12vz7dk2txUPgnbuAWQWst,Hank Snow,3fq6r0bSIm4McymHKNMk4S,Six Pack - Hank Snow - EP,7eTI6fClTH1DIsD5UKs6u7,0,not available
51,Half A Mind,0njuVVWLKS5reATvhpocI5,Ernest Tubb,7gS1Yv0RynyzKX5ICtKIhS,The Very Best Of Ernest Tubb,0dzkpGAse18U0Rvw3WOdxX,0,not available
52,(Prayer Is The Key To Heaven) Faith Unlocks The Door,3Hc1C9ZkrqRqRRO3rx5J5U,Don Gibson,4xcYVPssil6vbG6tq3W43S,Oh Lonesome Me / No One Stands Alone,2e0peBHs6nGhw4eK0JFbEh,0,not available
53,Big Midnight Special,3D4RmtDyAmF2gJqGPBAdPw,Stoney Cooper,151pVpaq4HKrz8omqcssMm,The Best Of Wilma Lee & Stoney Cooper,6fhbr5nosD9RT0PfRWDqDb,9,https://p.scdn.co/mp3-preview/de56015fa536b3e7cf35f5963bf679171053cb82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Trouble's Back in Town,4VdTDeSQ4JPTVkeUPeKD7A,The Wilburn Brothers,5e8KWR0Z1CsumXvxgitADH,Mama Sang a Song,5vOitQqzVcZm3y5sjseGSI,0,not available
55,Hold the Phone,6N7xeeov7MdoqJHreSKnGg,Hank Penny,6W07XPRu62EPkBuzauIQTI,Crazy Rhythms,7yB2G1ES7N3UBPlKH94iOx,0,not available
56,Funny What a Pair of Fools Will Do,2drOIqmvP8Nay5ETnhsbLm,Carl Belew,0neRLDD4J0qgyevSJm6HGW,Speak to Me,61GATaqCbNeaJXl6zBoLJ9,0,not available
57,Hard Up Blues,65tCjYZ0DX4CTKG9OdK5ge,Blankenship Brothers,0Pu0zxhKrj4UDeea37yK8i,'50s Rockabilly Pioneers Vol. 2,7mhh6JrSzt2CzVDeclmw3L,0,not available
58,When I Lay Down and Die-Do-Die,54nsmHJeRMWM8nSHomeai1,Herta Marshall,3T7C4DaKi1dGpzBqjbjJoy,To You with Love: American Folk Songs for Women,4x0w2pZHZRwmcTc2nmW8Su,10,https://p.scdn.co/mp3-preview/fcf537277ca51a23bca3ff773c39558bbe5fe298?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Stuck Up Blues / Mandolin Boogie,1nyJ4L4ANgaeW0F0F8M4cW,The Armstrong Twins,22ApFSlt0B6QKGuXC1HTVM,Cliffe's Stone Radio Transcriptions 1945-1949,7xmA3xZ0izf9tthJNqC29o,7,https://p.scdn.co/mp3-preview/57edd252655745ac72099bfa10ad0b38a58933e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Are You Teasing Me - Bonus Track,3BnPS4FXogUhdHlVEEoSez,The Louvin Brothers,3TUYqYNCqgqeqkBZVyxEi6,The Family Who Prays (Original Album Plus Bonus Tracks 1958),7bMx3eYorwsUP2qMzWoGep,9,https://p.scdn.co/mp3-preview/78394b9ab514d36763b0dd73857f9107ffe36724?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Any Old Time,6oKL69YL54E4nKm6KrG9Em,Webb Pierce,1ARZrF9nU4zgdDHuBIfqMq,Golden Decade - Music of My Life (Vol. 21),0VDxyhSGhWp2vmqLGNYqsz,0,not available
62,Conscience I'm Guilty,7e6CAqXceIXC2YD37HRL5A,Hank Snow,3fq6r0bSIm4McymHKNMk4S,Golden Decade - Music Of My Life (Vol. 20),17FRed0FjgYuzusS3eJXqZ,0,not available
63,Long Road Blues,66GTORDTLNBy5Uhz7QqgtA,Leroy Carr,2FtoVJBkfbE89zyZJ0E9eR,"Volume 1: ""How Long Has That Evening Train Been Gone"", CD C",1qgcybWjZYpWiCehvzM0AU,10,https://p.scdn.co/mp3-preview/fa68f3113680b21440ca2050c6c698d4c9283d69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Temptation (Tim-Tayshun) - 1949 Version,4pfpHy6zIdoZcJ3AUOVweW,Jo Stafford,1Jqk46QvzUn7SnwmTGX6Cw,Autumn In New York And Other Classics,12WM42c5YXNkzI6gjVm2uC,19,not available
65,When The Train Comes Along,7v0kz3StZbkqf4syMPaRwq,Henry Thomas,1FGYC9AcBsascq5DSXX1Ie,Essential Blues Masters,0ZGJO740Up2qeiRjESYUpM,8,https://p.scdn.co/mp3-preview/8d31c6c23a85d693ceb1bd209b3c2bfb350a40ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Troublesome Waters - Original,74JJ3d4CpiNybpjuSnYNBZ,Howard Seratt,0XygZhPbs6raDOfv728qao,The Sun Records Story CD2,0yM9CnBGAdf4q46yPxfs0F,0,not available
67,We're Getting Closer To Being Apart,1iO9KmANU5ppIHyxyQpHZd,Charlie Feathers,2EcNV0nlF6f6ZDtJJG2vKN,The Legendary Sun Classics,3NVX14fsKVOBt8mPbUMgwj,11,https://p.scdn.co/mp3-preview/5ff4ed6d664fcd0ae5ce00a3ac5d2cc5f9b94df4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Take Me As I Am,5HDtSf5RWM3pd2PFA9e9JG,Don Gibson,4xcYVPssil6vbG6tq3W43S,Oh Lonesome Me / No One Stands Alone,2e0peBHs6nGhw4eK0JFbEh,0,not available
69,A Bundle of Old Southern Sunshine,3gRdLmQq1jWfYYKXr3unUB,Jimmie Revard & His Oklahoma Playboys,7bMRHvuJtLWfxaGInuStfe,Western Swing 1936-1940,36cP7kPGKXSBAGJ4rWwO2W,7,https://p.scdn.co/mp3-preview/783c773389da0b0183ce5d7c94abd1f009e5ce08?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Wildwood Flower (2/24/62),6W8ZhGVMIuTvli3BxDKyey,Mother Maybelle Carter,5lrRzJMDAfZ53pdfdXXFjm,Louisiana Hayride - Legendary Performances Vol. 1,5NMmzFqcdzoyZu6k3npBy8,0,not available
71,Sweet William Died,36Jvw6MwNyHnBMraYXk5Fl,Joan O'Bryant,5xQNogFxKfkHzoPPbLihW7,Folksongs and Ballads of Kansas,3205YFsZbVk2kMTageN1CU,8,https://p.scdn.co/mp3-preview/75b18cc24fc600525dd0bcec324ee482266daa2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,The Band's A'Rockin',7myi95zSKRNFRLjn4x1cKF,Johnnie Lee Wills,7vmE810Rgsbtf2KTZCcOeZ,Hillbilly Boogie: The Roots of Rockabilly from Bullet Records of Nashville,2F8iDiLGe1HOwfy67z7rfS,8,https://p.scdn.co/mp3-preview/7340876213d46895d8aa39a92376015fc720a162?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Little Sadie,0Eq4xEbQtMUz52KtIJtXZI,Clarence Ashley,62OfrERsnZFWXyaruPhOh7,Classic Old-Time Music from Smithsonian Folkways,2sSEJWGni8jg8PpA2BJNMa,20,https://p.scdn.co/mp3-preview/43b935889779445a027e0b81576bcdd9e0f0b2b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,It Keeps Right on a-Hurtin',4Siovxzaih7ZKfWyfkWNtZ,Johnny Tillotson,36msvw9B10rxW90NSQ2794,"Talk Back Trembling Lips, His Greatest Hits",1bAoNHF3wUi3Ol0AazAGvj,0,not available
75,Forever Lost,1GvC7Uvrt3kggk5KHoSjPM,Monarcs,5uoeAMU63m6arIiFb0wHXw,"El Vampiro: El Paso Rock, Vol. 8",3wr9rZBcLYf9sAWAWg8YI7,9,https://p.scdn.co/mp3-preview/08162336a01d507ba7c679527a62c6365297c5ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Drink to Me Only,1Zkz778wt3cJnRwcLS8Cqd,Bob Ross,64TlhRlTRlSlmoZGAy6sNM,American Folksongs For Men - To You With Love,3PIWa3g696mfLvTHNtNh1Z,11,https://p.scdn.co/mp3-preview/ac3363aa2054f38d09e06f9fefb309b05c03e7f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Bad Bad Day,6R7ZVSIpxSCKS48uwhC2HY,Don Gibson,4xcYVPssil6vbG6tq3W43S,Oh Lonesome Me / No One Stands Alone,2e0peBHs6nGhw4eK0JFbEh,0,not available
78,Molly Bann,5I0F4qijKZAI4ZIolVTqph,Joan O'Bryant,5xQNogFxKfkHzoPPbLihW7,Folksongs and Ballads of Kansas,3205YFsZbVk2kMTageN1CU,7,https://p.scdn.co/mp3-preview/e23d6b682ad20ae340989acf8684d4d2f4313642?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Somebody's Back in Town,0e0w7Nh4VNzsi5461BU232,The Wilburn Brothers,5e8KWR0Z1CsumXvxgitADH,Honky Tonkin': 87 Tracks from the Golden Years of Country Music,62xbzu46TsRUFXvjPIuV71,0,not available
80,The Angels Rejoiced Last Night,4mRVr5QRGnQY8PhGzVkvun,Gram Parsons,1KA3WXYMPLxomNuoE22LYd,Sleepless Nights,3BcxH2o4CiqBGZQxlUFwjB,0,not available
81,Boogie Woogie on a Saturday Night,5Pqnw2vXxZpF35U6D985mi,Hardrock Gunter,1oDOPUgtFsqFLv9Pujv5D4,Dance-O-Rama,08sjC2fkbesy3w8gJfc8Rq,8,https://p.scdn.co/mp3-preview/4242e1ccc705e58bdf3856cd8f1ab13ac6c50fc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Alone With You,7MZms20F5HavPgVtjSbjS0,Faron Young,6uvq6FeVsmhOWfJHxVNeBL,The Best of Faron Young,7G4TNjbHZridOXYxVgFsCb,7,https://p.scdn.co/mp3-preview/949c6cd2f76279c026ed9043b3f66b50ee5a9ab8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Saturday Jump,0ILkqOtHMEhuD41UciS9QF,Rudy Hansen,7zf1KqziW01AOwefTmjI5T,The Roots Of American Psychobilly,62TtOptCVuSwGxVjim2B8Z,0,not available
84,When Will I Be Loved,6nUpEv31KYCPS0nPfCClut,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,The Everly Brothers Top Ten,5OHS2nLucCclImxqiw5K3P,0,not available
85,Heart-Breakin' Mama,4oBUJeHKM5rgH99mUC8zWO,Skeets McDonald,4MefoMHX012T3pRW0FzqAZ,All the Best,2GP0basUZ7To4Vxib4cw9c,0,not available
86,Barefoot Baby,0IZfNsvhMUB0u77QYNikzi,Janis Martin,4pjH9s7TgSke527nRDcgqq,Soda Fountains and Saddle Shoes,3p7bh9nMdKnkw3mM0qU1qw,0,not available
87,"Lies, Lies Lies",6RUgqWTKO02ZOzSSQf8JKi,Norman Bullock,5AVCBSnMkCL6giLbNQk3IT,Rockabilly Hoodlums Vol. 2,6O2IM3NcXUq4LtWoPL87ad,6,https://p.scdn.co/mp3-preview/7ff5b9dbc444bbbb15c5c726825b4ec4e6a706fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,"Let's Elope, Baby",3ilmk5fmnYEylG0sSRM9R6,Buck Griffin,7iqxgg2Pcnm4zUy5rp6KhI,Golden Anniversary*collector's Edition,1v6XvIeRtS5UqL7XYzwUKs,8,https://p.scdn.co/mp3-preview/05693198388fcfdc4c8ee37f4629b48036778043?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,I Wonder If I Care As Much,74W5E63PsVDzojQ4N8rDQC,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,Bye Bye Love,7q3mjPhzFeFdPkRPpUhoQD,0,not available
90,Twin Banjo Special,2gMLdIY5HVDMgm77Ymu760,Joe Maphis,78jG8Y0sek0gP9WpBuludG,Fire On The Strings,3pD2nOIWefiw0m51dCbPR8,11,https://p.scdn.co/mp3-preview/3b77ae7fcb3a128cb90dd0d5f85c169189be90d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,I'm Not A Fool Anymore,6S40tk1IkUkKkjX6tcd25J,T.K. Hulin,7kitEiRYbimAJPWDRZ2J0C,Kawilga,1yyrLm9iGa9GNbn7BRajfJ,10,https://p.scdn.co/mp3-preview/573c9f699d306a2acee22c313ad1c2d3582a6208?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Blue Christmas,0isnZB8X9yCHNkeRHgQ3ln,The Browns,6GDSMFwAQBfnrrZf981Yji,The Three Bells - Country Greats,4yA4SPgXascSkFWhOeFeK8,6,https://p.scdn.co/mp3-preview/477db9405dedc43b44a48f3849a145c086255cb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Pretty Paper,5uyeOM5ylkMskhbzrBGwXt,Roy Orbison,0JDkhL4rjiPNEp92jAgJnS,"Rockin Around the Christmas Tree: 30 Essential Golden Oldies Christmas Songs Including White Christmas, Silver Bells, Jingle Bell Rock, Rudolph & More!",3rTqzHoDckUfyUH0BnAzMw,0,not available
94,Can't Find Time to Pray,72MDzxoLqUpBZDR52DFz2z,Cast King and The Miller Sisters,3eFY7PGAmXoQzf2gSa8vES,Sun Gospel,4W4jzPSjKLCvvnNt2M1Bnd,0,not available
95,I Really Don’T Want To Know,5yiREehZ0iyKvIxiAmaQtf,Eddy Arnold,5QsUbpxSE8lCZ5ga5rnD22,Country Greats,6KdQLKCcKQAX8x6yMKwQE5,0,not available
