All New All Now,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
11,Early,6AcFiVsHvDtat3rmHNK2Nf,Joy Crookes,5XMyhVhi5ZN2pi0Qwi1zXS,Early,5Q7XISk90DAYHFghAvKYI9,55,https://p.scdn.co/mp3-preview/912d9f1fd69b80465bebceffd3fa01b421d64696?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Changing,56SkLjnwBXnAkHSf6jBPk3,Becky Hill,4EPJlUEBy49EX1wuFOvtjK,Get To Know,1vlHG5JJCSsWBuA5vPTY7Q,61,not available
13,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,91,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Lose Control,7CHi4DtfK4heMlQaudCuHK,MEDUZA,0xRXCcSX89eobfrshSVdyu,Lose Control,1qSOaTvsCOyFJya3v1UzkP,63,not available
15,Stack It Up (feat. A Boogie Wit da Hoodie),1xU2QZ40MY4Ex2pfczZa9U,Liam Payne,5pUo3fmmHT8bhCyHE52hA6,Stack It Up,3R4bm24vpp2UiKr567EtAD,79,not available
16,47 (feat. Stefflon Don),15rEEVR9tYJS4hbubgS3u7,Sidhu Moose Wala,4PULA4EFzYTrxYvOVlwpiQ,47 (feat. Stefflon Don),5pCqjR7JPOm2CLasRDtn1E,59,https://p.scdn.co/mp3-preview/e4dda4eea77c024f40a5abf7e1a01b9f28ee8200?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Finally Feel Good,1QyxXnQXlGqG28syVg3LyP,James Arthur,4IWBUUAFIplrNtaOHcJPRM,Finally Feel Good,6avkPAfv7cjDlQL4Cotd5S,72,https://p.scdn.co/mp3-preview/95494fbdc79e3b91870d31e26ee7a85cce1e064b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Sun Queen,3gvop6gMwnUvGiCfY5iCJK,Gerry Cinnamon,7cpCnhhBIU1gA7EhTFApN1,Sun Queen,6PH8j9lUH84RcVkbU5Q2Q8,52,https://p.scdn.co/mp3-preview/80163545972def84559e37ffa423b23f11dcf8ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Go Out With You,1ETajdK6h5qub64KFsU8e4,BLOXX,4wYzzR0lpEub1gUU8bbBTw,Go Out With You,33VOTiFZa62yttu5roeQVa,49,https://p.scdn.co/mp3-preview/d070b8ef580cb9e9a02deda87da3e7e44cecb228?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Writing on the Wall (feat. Post Malone & Cardi B),7x9nXsowok1JszkVztI5NI,French Montana,6vXTefBL93Dj5IqAWq6OTv,Writing on the Wall (feat. Post Malone & Cardi B),2ZoLcA4NMOjJGFKeANgNpF,86,https://p.scdn.co/mp3-preview/6c8eb657e76ea1d0a774627794cfbd8a247f46e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Cry for Me,40nPimvmG05WYS7983bawZ,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Cry for Me,2dq4ae5hiyxlFPG1s8rlq5,83,https://p.scdn.co/mp3-preview/be6616aac8c7cc3aeaf0c58a96857259c0bdfd55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Talk Nice,5GZ4TWUVuQeA3xhSkTf5qH,No Rome,6auWB5YAlcKaHyrbTH66nd,Talk Nice,5McUs3kD5JytbY7H39Ori0,35,https://p.scdn.co/mp3-preview/0527e8a5b064a0aeeb15be2cedca6fdb11e62e68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Falling In Love,1eoC1H5GBM9IikwdHxsdhJ,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Falling In Love,4rcgLAYSMhKWeUSuJaEO9u,59,https://p.scdn.co/mp3-preview/bc42b3f7ce04661c68cc41812121fb4ef72f8374?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,"Givenchy Bag (feat. Future, Nafe Smallz & Chip)",26BkXpWAaajgL2Eh9TA95B,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,"Givenchy Bag (feat. Future, Nafe Smallz & Chip)",3kMflVVnVzgLP7EjQbidFU,67,https://p.scdn.co/mp3-preview/d01dfa82d8607294ddeb3b901df46142bb6bc545?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,The Wave,5pJcojrJEaHPD6zMdqwqHK,Barny Fletcher,5q9zHGohILrZ2j1bSL1VeG,The Wave,14R6eiLjiA9pVQDIv3SnbB,43,https://p.scdn.co/mp3-preview/7dc86a6725826a675660331cf3d9130bdd157ded?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Cat Pack,1i3UvjbQS0OoBoKkILthR2,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,Cat Pack,0H346vuauoKWvLPXuYGRDb,66,https://p.scdn.co/mp3-preview/5907237d06e26b373e332f33def6b813cf7ecb43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Into the Surf,55o8LNTefCEX475jcSn4qH,Foals,6FQqZYVfTNQ1pCqfkwVFEa,Into the Surf,0025Y5D7IOZVpEfQtpvHIi,65,https://p.scdn.co/mp3-preview/9366a991d9ecb49fde2275b80d78c87e08ead238?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,The Least That I Could Do,7B0agS1sIVLUGYG5oVHZ3V,Plested,2nJYGgfTf2846LtVB3AES8,The Least That I Could Do,1lQkmbE6ix1E4uUhrselp4,48,https://p.scdn.co/mp3-preview/bd7efaf365f08d2c198e7a2ed833fdb1e374e3f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Something Has to Change,7LuM3Sd4C9X7OC1VmS20lE,The Japanese House,3IunaFjvNKj98JW89JYv9u,Something Has to Change,5Bzl8KUmOrlQmbDYFDqjaV,45,https://p.scdn.co/mp3-preview/d6a4dd1acf276c2c743f8fb48c313464cd04985d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,HIGHEST IN THE ROOM,2uDTi1PlpSpvAv7IRAoAEU,95,https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Home,711gGx1GpUv9YW9KTSfJfH,Caribou,4aEnNH9PuU1HF3TsZTru54,Home,00sZIJm0igl6aBYNktEuSy,56,https://p.scdn.co/mp3-preview/a786e173cdac2c990756e74321782a43b54386a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Good Luck,2apLrBlEQvFa8ob0dQcu6i,Broken Bells,6dgwEwnK0YtDfS9XhRwBTG,Good Luck,1HXt6ZlEaXQEEt1YjxHUPy,62,https://p.scdn.co/mp3-preview/4842d7f101ff3f1703bfb8917314cb308095e27a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Second Guessing,0RqVERbWbIT2fVvOOvqcjr,Arlo Parks,4kIwETcbpuFgRukE8o7Opx,Second Guessing,70V6CskkJwrwwVVuFYnfok,56,https://p.scdn.co/mp3-preview/671b1b3b8970f935abd762a6d3f98522c8841b5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Want (feat. Octavian),17AAzX2TvtYxqa7PAjPLDy,J Rick,3b0OO3bmtd9oXo3EOW8KHZ,Want (feat. Octavian),1Cn8iO3i1TXau2sFKxxK98,54,https://p.scdn.co/mp3-preview/f6f3c161ac9df80e9ff79793db721efdf76b387d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Bigger Picture,20qypeUyWsDwkCfpIx2RUn,Mabes,1kTrYYWMLQsBKlbINUg1Su,Bigger Picture,1gqDh348uLalOX9wL18pBH,46,https://p.scdn.co/mp3-preview/33d3c36b871ff34a47a6170651cbc86f702887f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Pills,3uv9BS9PNubCZtM0mCLtgs,Love Fame Tragedy,04Ye3owBSFJF5hnYWHtq9Q,"I Don't Want To Play The Victim, But I'm Really Good At It",2E8f8Dz7kvzo8cBmzMMZxM,53,https://p.scdn.co/mp3-preview/8941a4072e76a54058486f89d65b696b5b809fe4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Hit the Back,7ww6gTkfd21QU9CD8PG39m,King Princess,6beUvFUlKliUYJdLOXNj9C,Hit the Back,6QgNrl3BSgNmnhDBAeMTpf,66,https://p.scdn.co/mp3-preview/5a9e6a2d79203e7652f664751f50bdbaa11fb708?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,clementine,7ozvM98YyrdyOBh1lItVHc,Halsey,26VFTg2z8YR0cCuwLzESi2,clementine,4Hw4CuL2FH67FfY5mBJl8D,75,not available
39,Terra Firma,6y0cJFHfwfLBiAYKC9Rkeo,Franc Moody,10GT4yz8c6xjjnPGtGPI1l,Terra Firma,0kvf09evPDPzkns4gAflPp,42,https://p.scdn.co/mp3-preview/61fb1f5fa4390cc03998573cd25401eae74122ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Death Stranding,1KOGBw8kuawbxJWqcHypy0,CHVRCHES,3CjlHNtplJyTf9npxaPl5w,Death Stranding,3HfucWtXUkkhEVwIohmJRs,67,https://p.scdn.co/mp3-preview/579d62778381c2933df173374ec3cb29da6be748?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Heavy In The Morning,1ERPi46mkhiCL5XmTAdZAc,KAWALA,58bHgbHOExsHSOGlf0uUkL,Heavy In The Morning,6jp1isHMWcqdyXJQPc8fML,46,not available
42,Take What I Can Get,4oiruLsVSpSrjInP093vrX,RuthAnne,31rVRoX5ZG9ZyRbHvlEwjA,Matters Of The Heart,56GwQuFFJwfFMcSsmvwUYK,40,https://p.scdn.co/mp3-preview/fc43a440b234554ce2b48213b7ad7bf9aa741c56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Used To Love,6WC27GPEjsX24Vv12VX6mb,Alfie Templeman,6QzMY3tnu0m56eKUnr4uCF,Used To Love,2oGxWLARSLplTHJ4HhiwPD,50,https://p.scdn.co/mp3-preview/2b7c8cc44731173ef40dfc48aac0358cb6d8ee62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Comfortable,4J2KQlWCZ001RtFD1SfUJh,AWA,0dR988NNn8lrFhXTOxyJfZ,Comfortable,5LVaNQm0WggYgf4WFYqz6t,37,https://p.scdn.co/mp3-preview/180ff8a572bc651878e97099344f1fcc7d48703c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Play Dead,41Mjml1c34xmJG3Xvd1WXz,MAX RAD,2Igm79AVp3dCbQhfF6I60Z,Play Dead,33kzrljwlNVW7ueOWh1omI,39,https://p.scdn.co/mp3-preview/924bf65efa64f4dabd666610a361ea9f58111f42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Fingers Crossed,15sorfdMGuiCbMeTyXJEDF,GRACEY,7xBGi7Eign0fX7jGQj5KlJ,Imposter Syndrome,6iUoY4khlqLoEH9hEOf8kO,42,not available
47,Problems,3we2wKhprvYskBRKIIHT4Z,Dylan John Thomas,3cyAuWiMIGwIeimE82NFKb,Problems,4jthlua1enUB1EKMc9Ej4k,39,https://p.scdn.co/mp3-preview/330ba742fdc14d563eb16930df9b65f6834e76cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Everything & More,5mVoeGuLmmzZ7dUrgfIWuw,Gengahr,2ATweaQe83QUQVjM8LMh7J,Everything & More,0YB47xmwpBv11Ad48ueGMp,42,https://p.scdn.co/mp3-preview/6579243fbcb9ec51653a8e9d388946fe02185fba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Pick Up Your Phone,4hIppgm5PYoVIoGtCCSJnh,JC Stewart,2TAqN8fwfaKauvviN4pOsv,Pick Up Your Phone,0R4xeAX58W4xrgIQ9OIJ6q,58,https://p.scdn.co/mp3-preview/a612ea34285bc778bcc78d53df16fce7f38c1feb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Trust Issues,2cgELeRnPeDFuGrY96Lj6m,NSG,31Ua7zSTJxegjyd49ujbSA,Trust Issues,3pVRk6iyvY8RDu5aQl8P41,66,https://p.scdn.co/mp3-preview/9613344662a8cc16ee71afb393a90154c7f4f556?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Boys Like You,73yR3kAdE531RRYUdFLWad,dodie,21TinSsF5ytwsfdyz5VSVS,Boys Like You,2Bx4wirLMd21SZ3cR1WkBF,67,https://p.scdn.co/mp3-preview/9ce2da39d895aba9cea83d5f81d19db3ccb95081?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Love Letter,74fbs9ctXx4qohDRgQ1Y82,Litany,2z6JjrrJKNLilqlx8mlxcc,Love Letter,1ms96q476XqO4N55m8r0M8,47,https://p.scdn.co/mp3-preview/b42fe142ab6efa36edd5afba735ff5b143ee7d33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Mr. Sun (miss da sun),2dhPGfqPl8LEXqRiU8tfPl,Greentea Peng,5z9wLR0RGBcWMXr4fCZW0K,Mr. Sun (miss da sun),5Am0UN7kEecKT7yhFJk3xp,49,https://p.scdn.co/mp3-preview/d0cdbbfbbb8ef16ee2325e68904a2d2460e74c26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Private Eye,0cDpyfAXMCKgKEEnkYzb3D,M. T. Hadley,3O9qxLTLMvR9Dn1OAFoWaH,Private Eye,53HF3F8zek1HU3H4MG0bCG,45,https://p.scdn.co/mp3-preview/e66304604b2037927e1900de8cd066628b4541d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Playing For Keeps,1W8UflmoVZXS3TUFftuulB,D-Block Europe,5VadK1havLhK1OpKYsXv9y,PTSD,4dnKBBeSoiEc39sCqItmWk,69,not available
56,Walking On (feat. Krept),1KHqs8ZvMsHpf4deIgR7Hj,Deno,58ICshZ0AgBMNJiLHK3U8l,Walking On (feat. Krept),0JTw9vFthMJ6QoC5X5oQ8D,55,https://p.scdn.co/mp3-preview/a6c64c8bc6c81eaf9cbba3ed38e2c994a7b52184?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,One Of Us,30W0p4Gg7MeQKggG25b0J2,Catholic Action,7weMxddXvIGbPk8R8SkH5H,One Of Us,3yO97ochB2Y1Ta3T3Rm2Sk,39,https://p.scdn.co/mp3-preview/0ebb3d795b2f4ecc259e4a42a21ceaa6e3b3eac2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Love Yourself (feat. Example),1vH1VpLVpo63kUyN6P7BVc,Bang Bang Romeo,0pYrJEBQD23sHMvxsBM3fO,Love Yourself (feat. Example,05Dcndpoy8h8wkFENUIZtY,42,https://p.scdn.co/mp3-preview/b5ef72748e028e42bee3a3d057bf294d7d11cae8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,I Remember,4wHNUqz04MZsV07gW9Faz5,Alex Gough,1rNNeas60ogZm9uhv1VZOh,80%,1lDfvLByat5zMISUkXd0x1,36,https://p.scdn.co/mp3-preview/b70d7fbd36ce59235029f4e7143cbbafc94cb01b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,The Inconvenient Truth,2ytc0lcdULjVATN29fFnjv,Nervus,4vApur54D4XetXX1xnIAKv,Tough Crowd,4SnGyNZdZsFWNYFmANxfH4,36,https://p.scdn.co/mp3-preview/2531e2c6712e38988d8cd91db859bd74f57dca38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
