Chillhop Radio 🐾 jazzy/lofi hip hop beats to study/relax to,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,Interstellar,7BEA0aIXF1nTvOK9zVcVkm,Arbour,3pSfwb3p6BVPTYDkNdgxS2,Interstellar,7165sDSepUygmn7sd9Ovzu,66,https://p.scdn.co/mp3-preview/980cb9734c111b61d5e3943e94749d9485122222?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Distant Travels,7xbg6rwijiTcND5Rv0k64P,Smeyeul.,4IXRiE1MOvty3H8tQ0KvTO,Distant Travels,3OyqS5YQ4sK7vHcteaRBt0,46,https://p.scdn.co/mp3-preview/009812d7e790dd63249c8795cc57633a18b723d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Reminisce,3sGCaVqwZy1TlnA993xGuk,goosetaf,46NCqFl8vhQZD77y7XkvJs,Migration,1hnkm0snTeChvw0VdNdfrm,43,https://p.scdn.co/mp3-preview/318764af77e84d77f5cf03707f3ae6298b07d9c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Cypress,3oQPMwQ6eoAdfYmLSV54DW,Middle School,6AjXxPL8C44rc1yJdi6RZB,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,61,https://p.scdn.co/mp3-preview/32e233969fb01219843915a8295f03c01f0d0f24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Tiny Sailboat,3bPsHHJ6EL2xZSflLsIve3,Kupla,7daSp9zXk1dmqNxwKFkL35,Coniferous,2dPa5nSDfNDStYSYJBc6sU,66,https://p.scdn.co/mp3-preview/459dcb630b9879c6c101472674553f88ddf5b84c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Move Together,4Aok41Zz86CM9073eLfOpF,Yasper,1axdL80XjVHdInGsJbURyt,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,48,https://p.scdn.co/mp3-preview/b216e8fb818a9d1ed9778fb97a9d57728d36423f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Dandelion,19HUPoD43krRBjcF5XzFHn,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,54,https://p.scdn.co/mp3-preview/06244e8ebdfec0f0ef1fb475ec92e7f0f446c965?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Longwayhome,0Z2QIzFfHpWrDdZGdQltbm,Fenick,05h9KcJkBORkLFnDXcGyOD,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,57,https://p.scdn.co/mp3-preview/85b8777f83d175cc02437d106446f522da905270?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Companion,2vuLi6xjzvK3idG8EwHVbJ,C4C,5jZeLexrrwGNUy6nv7tzdr,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,58,https://p.scdn.co/mp3-preview/c4443b6e0df4032fa66a44b86e573eeb33167cb0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Broken Clocks,5klm8QNzuhTOBeEIWhyWPT,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,54,https://p.scdn.co/mp3-preview/5d99b3a0ef0a410df7f2c378859f4658a0e3fae6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
