Nashville News,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
32,Her World or Mine (Layman Live Acoustic),22aIOkLlrXP0f8LEKP9ErI,Michael Ray,6ghiFYcwn2Vzl6K50U0UPz,Her World Or Mine (Layman Live Acoustic),1Ji3jxnKEmJfgx07y45h3A,31,https://p.scdn.co/mp3-preview/252e45d6339ad69bb87f273452f8ec5c0f146d13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Hell Right (feat. Trace Adkins),3y8xKFhQWc8DARB3fuGMGA,Blake Shelton,1UTPBmNbXNTittyMJrNkvw,Hell Right (feat. Trace Adkins),48YMXYbvuTk4iY7MhZY3ML,73,https://p.scdn.co/mp3-preview/683824f862e97e573dcf3c6d06e78a5d5d949df9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Highwomen,7aGpNpXbk0gIfZUe1mWoKK,The Highwomen,3iyG1duuxWpcuWa57VSeZ0,Highwomen / Redesigning Women / Crowded Table,0Uwv4WEMv2lX0QDkVLGWg1,55,https://p.scdn.co/mp3-preview/a13f0c7aa8bea3793b201889ab667adc569ebd7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,The Good Ones,5OS2vP6hEJfp5bLzaWNkTj,Gabby Barrett,6Iz3eq2aQGFf7TbGT2iahL,The Good Ones,7ffPgoB9VEJ5AaqcLWeKxW,63,https://p.scdn.co/mp3-preview/8ca270b1fbf01ea8dcf716c1959444d931420b59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,My Song Too,0amZAptfnpLiI5MJG4eldc,Hunter Hayes,7H6dkUChT5EoOQtUVMg4cN,"Wild Blue, Part I",4AerVX7JHKcRt0riwyMMcZ,59,https://p.scdn.co/mp3-preview/d72b4c8a49df72cc27cadc0325802ab24583f6fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Tip of My Tongue,40ufL61vEaDaaOitYhnlQ7,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,Tip of My Tongue,2neKEhAldnGfCDEkPE4kW0,75,https://p.scdn.co/mp3-preview/1aaa3d8e7f79f50d2b795aac98f972667fe4565c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Field Party,53mqsVYTvKt31qT69jCNeU,Kassi Ashton,1LCsAfmP4l13EYtzDaLMAg,Field Party,0XAtXoSV2Mh1vJNPrg4AFa,48,not available
39,Her Name Was Summer,1g2gd5b7QSOYHjzYz2xa7Y,Ryan Hurd,7lDVEkjIURPMyUYwoQRrpw,Her Name Was Summer,0ZvVredNmzfUtYLneE10pz,52,https://p.scdn.co/mp3-preview/82dbdcb85b989f5764f406c9dd8bb04b42515752?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Whiskey Drinking,0pkJQJajOfeFu5GXFwYUi7,Rachael Travers,0Mf9PHmgrZaCRHIh3W1OcL,Whiskey Drinking,2VALcoUX0TKL9HfduudsfG,7,https://p.scdn.co/mp3-preview/5ccb9d015c654b28095d1097a97d8e656cddc72f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Say About Me,3jgd4aLcckCxRAl2EN3k53,Chris Janson,60gmlHZmT16wiO9GiXKYK9,Say About Me,2m0mJcgITAM7eZW9XmJHUI,44,https://p.scdn.co/mp3-preview/a618fee15dbe6421a1c61d1bf6eafc9144a12a35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Pictures,7tOxeuLL1WGDKPrWo2h2qG,Lady Antebellum,32WkQRZEVKSzVAAYqukAEA,Pictures,47j9mADOdfq16tdvrXPD7c,57,not available
43,Loved by a Country Boy,2n8pSdQ0HrzoRzwXsnYzuj,Trea Landon,0uzF7KK6coJpJvOW6Vrv1H,Loved by a Country Boy,4FGbK1IXsP6HRGaOi40VOm,58,https://p.scdn.co/mp3-preview/7b4ad421877c7573daa2d8177be5b6e63a07ac43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Mess with My Head,1rR0l6YBjzAHdgKO06zEek,Miranda Lambert,66lH4jAE7pqPlOlzUKbwA0,Mess with My Head,1EnaGLHShixNcEdfJ0IjkP,55,https://p.scdn.co/mp3-preview/dc44e304a085fb988219de0179de9cba30c69827?cid=fa83a2fec7c440b7a2795d600d6b2c7e
