Latin Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Si Se Da,5KbBGUpIZd6gVFUU8tqYiQ,Myke Towers,7iK8PXO48WeuP03g8YR51W,Si Se Da,3qxwpUjTISxyXKXrHx7zwX,83,https://p.scdn.co/mp3-preview/37230e91b6943118b6e4dd910c5c788b3dda1d2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Swing (Bonus Track),5zUGr7GcNo7UNjvkNYkjiH,Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,Swing,4mLP4ltcWDj24dufv7cXvA,15,not available
12,Tal Vez,46lvmzK8wxAy66tjzXXSh0,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,Tal Vez,039RvHRSbMCfQLsYcg70BQ,84,https://p.scdn.co/mp3-preview/81d539af654a182904987b109ac3d6274d268bed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Otro Trago,1Ej96GIBCTvgH7tNX1r3qr,Sech,77ziqFxp5gaInVrF2lj4ht,Sueños,3TgOrQ3p23Af8zSsxK8fdX,89,https://p.scdn.co/mp3-preview/c57342df8f5a3c2265eb6c22f6c75d7929b5b59b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Te Vi,059bcIhyc2SBwm6sw2AZzd,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,Te Vi,02XOoh8XrlCc466QkkjGk5,84,https://p.scdn.co/mp3-preview/4cec92c7db1831f52f6704f2b104ee28942eef48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,Lunay,47MpMsUfWtgyIIBEFOr4FE,Soltera (Remix),2m9Vuc9Q19qhSm6RQmBgsR,92,https://p.scdn.co/mp3-preview/dd6fc3e183f2643f0f4a3d650fa4f923c2a46040?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,qué bueno!,5oxWWmZLJIH0y6v2isD7Lt,Noa Sainz,3kN2uYBnEM2IqRxa69sxkr,qué bueno!,5NF8Q7vFhmT1RJ15czoEL7,43,https://p.scdn.co/mp3-preview/4260e3e8abfb9f2aa4636919aaf7bf09bddd0819?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,11 PM,7KbF6AdprOXEEHlsq11Z6d,Maluma,1r4hJ1h58CWwUQe3MxPuau,11:11,3YIUNL7qFE8NP3X3zaYSND,91,https://p.scdn.co/mp3-preview/2993254fae01c3abd401c55d9d30937a8b130c9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles),53rkN7z3bKorDSIxDvqXNt,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles),5GcW2cCrVqjPm3dgDJOBRF,73,https://p.scdn.co/mp3-preview/d36d7e85c75fe0b7a763d255214ddf3e6e09975a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Con Calma,5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,Con Calma,1otwHKoQ5KPaiekpYk4tWh,90,not available
20,Con Altura,2qG5sZ7Si6sdK74qLxedYM,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,Con Altura,4bxHLppgdmaYJk0yfdcP0l,90,https://p.scdn.co/mp3-preview/db95e1fba1c9df7e2f6966ba91347df3c36a9630?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Mañana Es Too Late,3AnFYXJMTNJtQUwsJWmTK4,Jesse & Joy,1mX1TWKpNxDSAH16LgDfiR,Mañana Es Too Late,7v9WfsNc6pr7uK1FpV0qau,77,https://p.scdn.co/mp3-preview/80c750f1c5fb6a148b9d32b79f3b8b3e99dbc8a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Pa Mí - Remix,224EVTFiLsdQignUFLvDeH,Dalex,0KPX4Ucy9dk82uj4GpKesn,Pa Mí (Remix),4OyP4eAtpTHXjpVBjJvPNG,42,not available
23,Latina (feat. Maluma),00Ia46AgCNfnXjzgH8PIKH,Reykon,3PAwspMN27PDm81WwXDsMf,Latina (feat. Maluma),0S3696V7LiaqAJ3DKChAdL,81,https://p.scdn.co/mp3-preview/2b997bd18011b662bafd0f68b985602a00684a92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Callaita,2TH65lNHgvLxCKXM3apjxI,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Callaita,06S3Qjh4QWLtn6c7CVhYh7,95,https://p.scdn.co/mp3-preview/23c0b25cf824c1bfd7a814fe7cd1264c31a5a9dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Por Eso Vine,5qN1G8fSHq4Sv5FRoOkNGu,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,Homerun,0qJkFmVwwNXP6fvSemDZqn,83,https://p.scdn.co/mp3-preview/f21641ca49013205f52e931712545333b6a347fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,3 Minutos,3JjClKGTdR7yyBkbadZEfE,Tommy Torres,264nbMzGPSkDZqTY8nXwCG,3 Minutos,6QMiZRE5HYDoRUhOrg3WEV,59,https://p.scdn.co/mp3-preview/f3a5f46268371008cbd99211b537defeba1924d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Verte Ir,4lzxJ4jCuFDXXGkE1LmpKR,DJ Luian,64aJYyrXljOodnUG6jvhRD,Verte Ir,76XsfdI0kGODDdhHAJKZi3,88,https://p.scdn.co/mp3-preview/977db034b13775c79b1e16a2462553380b23f232?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Te Robaré,6v0lAdFF4haL8xjBIUjtOw,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,Te Robaré,4ykGcrqJO8PcTePuNOFMxa,88,https://p.scdn.co/mp3-preview/757805d8232dda44ba6081bf55ea65142b7a8b79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Sin Ti,2fcGU8AyKHG1ZLxOwokc5i,Axel Muñiz,2TwjyKRJpvRn4SpsniXJka,Sin Ti,4bzgBwfSnekVgT74WomhLN,61,https://p.scdn.co/mp3-preview/c1f9f8f6200a7dad5ba92f985cff5ac1dc9378fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,YA TE AVISÉ,0VPT6bnlXk78wODLmgYRpL,Paula Cendejas,4EiI7Vls0NB16jLuexzCHC,YA TE AVISÉ,6q8mHP8JOdSJpEEdWjNRHG,56,https://p.scdn.co/mp3-preview/f96144b1f5c3d81f43df027d228a94223ef11f19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Guayo,4MR1AZhe1p0zTuH2HGhX9L,Zion & Lennox,21451j1KhjAiaYKflxBjr1,Guayo,7wGdslyqdVvqMV3nPAL6uN,78,https://p.scdn.co/mp3-preview/d67edb69091c4c85decb28dc6886c9459bee8a31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,Pedro Capó,4QVBYiagIaa6ZGSPMbybpy,Calma (Remix),1tFnP9PwIMeMIuj92mfswZ,88,https://p.scdn.co/mp3-preview/acf9b4cf204f350851f699c3a3a360d413056f0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Tu Boca,3yIHRDTXL6NSM7RVFX3eaF,Leiden,6fvjP4AZ19ce4gwJSr5qnI,Tu Boca,6Z058bPv0OnfrA3WRLzdPZ,50,https://p.scdn.co/mp3-preview/8aecf78dd020a6e0901f4602e5a53b7155532185?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,R.I.P. (feat. Rita Ora & Anitta),6JqpFboOH2bq9pzaYbkKBn,Sofia Reyes,0haZhu4fFKt0Ag94kZDiz2,R.I.P. (feat. Rita Ora & Anitta),2yN1kxrx1Z1CHO5VMdO2Yk,79,https://p.scdn.co/mp3-preview/2613c3e23661682d68a3e8eee0281c8a0bb5c917?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road,38kpkGLuPr1nNfD3iEyOlJ,72,not available
36,Dime Cuantas Veces,4t8YQE2FIpTIq9SxeuOuuP,Micro Tdh,1aWJsBQa67l72j1VT3D6Ow,Dime Cuantas Veces,1wSMAcEuohxdQXrz8uBzqd,74,https://p.scdn.co/mp3-preview/931b5f0deabbd745ccf15ff2415294f641618914?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Secreto,5W83ErFkO3aKAIS1WMi6u0,Anuel AA,2R21vXR83lH98kGeO99Y66,Secreto,6owzcG80ifZRDApCpzJYK1,85,not available
38,AY! (feat. VICE MENTA),5oqjBjNmGwA4bIH0zmrluw,Mario Bautista,0AspLZGQkP38yddNoD0pLn,AY! (feat. VICE MENTA),2WlX2NXi3BMFCpx8ebt5O5,66,https://p.scdn.co/mp3-preview/73fd8956840644a65ed5f271fa0a06a1dbf73cac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Desconocidos,0s5DNDV6LAKn2u2Ufa3VjQ,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,Desconocidos,0vfE72mb2weKSONtBC6SPJ,82,https://p.scdn.co/mp3-preview/6c05d1e43979585a14b20013c2ed41cff4d706e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Rayando El Sol (feat. Pablo Alborán),3uKdu7AtigAJ8GgTu0yJTe,Maná,7okwEbXzyT2VffBmyQBWLz,Rayando El Sol (feat. Pablo Alborán),7h8WIue8MJiW8Erw1Nr6N8,75,https://p.scdn.co/mp3-preview/946b8e2503fd7605e057c6ecdd9c53546cbac11a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Saber que tu,6EQ3s04gLa6kqelwMAONq2,La Pegatina,4xvB67czbtvemGVXGa81oK,Saber que tu,08JSZdC3KRbc6fjReANNq6,58,https://p.scdn.co/mp3-preview/2ecc1f8c0ad3940c18b6fa111df17c7260b1d139?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,La Boca,0UQwlF2pRkr1lMN6kNNUj3,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,Para Aventuras y Curiosidades,01yYW0rRRwlEZx1dMmc5ff,83,https://p.scdn.co/mp3-preview/6e4c31e845edd168e92c6e7cde206b4fb206cc19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Comerte A Besos,6Rh1rwJagYUEbzoAXtu1LA,Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,Comerte A Besos,3zm5wqIhfUhMkouSb0ytIH,32,not available
44,Contra La Pared,3JjaofJ0lCeEsFSZqppzOp,Sean Paul,3Isy6kedDrgPYoTS1dazA9,Contra La Pared,3QO84Eeh2IRwRCiHHQ4C83,35,not available
45,Serpiente Veneno (feat. Ele A El Dominio),63c2jMnVyf8dtnbaQK910d,Kidd Keo,0VZrPa7mWAYXH4CwmYk8Km,Serpiente Veneno (feat. Ele A El Dominio),5vPhvxs6I4n2HgigAGk5bh,71,https://p.scdn.co/mp3-preview/2a591f023f09fd3fe2f5ac66d7fd7e3e67ef1b91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Un Año,5BDP2tky8oMQJPS33frKVp,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Un Año,4Vtx3PxyOfBUBuEYAIocsP,80,not available
47,Stay (Don't Go Away) [feat. Raye],4YhN72dRYL2Z3MsaKyT7rS,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Stay (Don't Go Away) [feat. Raye],581MrXg5n979mmvZaC6AOE,79,https://p.scdn.co/mp3-preview/e861389ed2b773dc0aa5f5b96aa2bc0eed9bd09d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,No Lo Trates,4gqMVEJSaL5nNeKj5WmVoT,Pitbull,0TnOYISbd1XYRBk9myaseg,No Lo Trates,4K6B1KumSxNR0SfbLk66N9,81,https://p.scdn.co/mp3-preview/728d1032b35d9b31f2b079c83fc20ad315b5b2e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,La Lá,4kitLAHbmBBXYHt9g22md3,Mike Bahía,1phfTBIocBW3UwqcYjaEN6,La Lá,2JPVwNK84tcKKynGJn2s8s,77,https://p.scdn.co/mp3-preview/c83923f98d7c7d827f52895a68b9c3510fe19669?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,No Me Conoce - Remix,7rknFhrVDyxzTJkPSf7LoW,Jhay Cortez,0EFisYRi20PTADoJrifHrz,No Me Conoce (Remix),2t2aNgqXTXuCh9fqT05g9U,89,not available
51,"Instagram (feat. Afro Bros, Natti Natasha & Dimitri Vegas) - R3HAB Remix",2UdCIrsZR9bw96kcLAyAyh,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,"Instagram (feat. Afro Bros, Natti Natasha & Dimitri Vegas) [R3HAB Remix]",3Us31bj6yOAYiINnFcvGfq,64,https://p.scdn.co/mp3-preview/e848eae6d6f69b75e27db6c613b9627b4286ded7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Tanto,3bCuNSiaBHqxdevMYEnGpe,Jesse & Joy,1mX1TWKpNxDSAH16LgDfiR,Tanto,3mBRgkagJKALFDxm5ptevT,69,https://p.scdn.co/mp3-preview/60c7b19e6699f2da06f50e6150c8e54152b505dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,A Tu Manera [CORBATA],7ylkmI5exdKG5Myo7DuH2p,Sofia Reyes,0haZhu4fFKt0Ag94kZDiz2,A Tu Manera [CORBATA],0iGPhmdLQ1P3bZeTQmK3qB,15,https://p.scdn.co/mp3-preview/b131afa9f947d0b2e9e2f76bf587499775999eb0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
