WOODSTOCK 50,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
35,"Piece Of My Heart - Live at The Woodstock Music & Art Fair, August 17, 1969",6vP58GXFuniePZLJkJzk0g,Janis Joplin,4NgfOZCL9Ml67xzM0xzIvC,Janis Joplin: The Woodstock Experience,6U1PifBvvskUGjsJGeKGp4,39,https://p.scdn.co/mp3-preview/2cad281d2868cd766016ac82f36e5509033f63a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,"Mama Tried - Live at Barton Hall, Cornell University, Ithaca, NY 5/8/77",6h7RCPkZvG7T4Rp02Xa0sE,Grateful Dead,4TMHGUX5WI7OOm53PqSDAT,Cornell 5/8/77 (Live),3T9UKU0jMIyrRD0PtKXqPJ,45,https://p.scdn.co/mp3-preview/2f29c15543b405fd50b568e9925bd367ec9965da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Rock and Roll Hoochie Koo,7wpf3a7NpPNtohFf5s2hV4,Johnny Winter,2ODUxmFxJSyvGiimNhMHbO,Remembrance Volume II (Johnny Winter Authorized Collection),40MVvNWJIwLyV43Orslpim,4,https://p.scdn.co/mp3-preview/20d1871e2aa69382540f8c5c7c4e6fea11637d4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,The Weight - Live At The Academy Of Music / 1971,209sborqEqAG7CDYTr4cQv,The Band,4vpDg7Y7fU982Ds30zawDA,Live At The Academy Of Music 1971,1qDR31BZNhAH8ExjJuHhAj,25,not available
39,Marrakesh Express - Remastered,3bIB8JVXIbCTwJtsweAqeq,"Crosby, Stills & Nash",2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash [with Bonus Tracks]",6vUWpE8qciYHOhf7mgaGny,42,https://p.scdn.co/mp3-preview/a4714901ae5a5cbb42ef46e499c0e8eec16154c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,The Night They Drove Old Dixie Down,0XC3aT1TNon03pv33loweI,Joan Baez,1EevBGfUh3RSQSGpluxgBm,Greatest Hits And Others,1ycddMO4m3ij8zGNIYVITj,37,not available
41,Rock & Roll Is Here to Stay,51Ufz5ffDBGqlNhlXXw7bB,Sha Na Na,2SmjZ060s1uBMud6afmImP,Grease For Peace: The Best of Sha Na Na,54rM7cNrvBWJBb0Vxyxz5k,4,https://p.scdn.co/mp3-preview/87959a7a39b93fe70d6d9cf637b6057365285975?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,"Voodoo Child (Slight Return) - Live at The Woodstock Music & Art Fair, August 18, 1969",7kh56hGsZme1loWCPUETB9,Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,Live at Woodstock,3ok1qnMfMHuJTjPo5G0sQc,36,https://p.scdn.co/mp3-preview/9e934779c8e3d225077d3685a763c72b4fe00b16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,"Johnny B. Goode - Live at Winterland, San Francisco, CA, March 24, 1971",3lPTxkuBMtSYZVu9OBrdV1,Grateful Dead,4TMHGUX5WI7OOm53PqSDAT,Grateful Dead (Skull & Roses) [Live],0ObxRAQTpVO1u7bT3VxrIN,29,https://p.scdn.co/mp3-preview/56ef94333e8660b823617558a00e8918716cabba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,You've Made Me So Very Happy - Live,6ZePWwVzjn5Ev9ZSU3HWrE,"Blood, Sweat & Tears",24GaH9tRBgZjlvOhpFuKi2,Live [Live At The Street Scene (Downtown Los Angeles)/1980],2S7Btx9PDY5yiS8IJcDoEG,10,not available
45,Before You Accuse Me,5vDImXyLguoCbkYASPf4xQ,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Cosmo's Factory (40th Anniversary Edition),4GLxEXWI3JiRKp6H7bfTIK,48,not available
46,Mercedes Benz,1MntHPLU1T7a9W4tojbg8g,Janis Joplin,4NgfOZCL9Ml67xzM0xzIvC,Pearl (Legacy Edition),3j7nicLAWXM0Fb08q9XGyf,58,https://p.scdn.co/mp3-preview/ba9be09c1c37b926cb7b1b9a8b01b39d4fd54b55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Mississippi Queen,7rwZiRxAlXC2ybTaRVayAG,Mountain,7LCp4MN0SOIVWlssid9KyE,New Year Concert 1971,2KR20wZD0qXF9FiSiKtpNj,7,https://p.scdn.co/mp3-preview/415d0f69881b3aed36a51743ed2d6634f6a72a39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,"Tobacco Road - Live at The Woodstock Music & Art Fair, August 18, 1969",6gttrdKKRO56JPynr67ekw,Johnny Winter,2ODUxmFxJSyvGiimNhMHbO,Johnny Winter: The Woodstock Experience,0eVzMYs0TMHO9uMP1dAOsK,33,https://p.scdn.co/mp3-preview/b83fcdd2c0b76ce6d648ca7842447524a5016052?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Flying High,5v0ibjQegpYdMUGL95dI1a,Country Joe & The Fish,0a63dfrxBQKqh160P8iUNL,Electric Music For The Mind And Body,1PdqT2EZfFkWTsN18x1SZk,35,not available
50,Summertime Summertime - Live,2F1UpBOmwbGqSlfAmRIWix,Sha Na Na,2SmjZ060s1uBMud6afmImP,From the Streets of New York (Live),4nMd4nK5vL5r1A62eQtiT7,3,https://p.scdn.co/mp3-preview/36fcfa146eee46ae71f6b836db0e4db6f1aac1e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
