Alternative Nation,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
28,Mover Awayer,1yyIxshSIfW89EPTW0xkPH,Hobo Johnson,05SdqPzK4m3k1ljK2wrTSP,The Fall of Hobo Johnson,3QrkHSj8pBzE1Kwhpnktkw,67,https://p.scdn.co/mp3-preview/57dab033d29349ef8cbe628e5e784b5a8889305f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Doin' Time,0cLS7FslBJgsuWwJNRnPWB,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Doin' Time,7FsoMmWTbDXgdwvO1uCQ7d,68,not available
30,Lonely Miracle,5ZwO46wSnkfv2xAAZYzdj9,Parker Bossley,6DI59JqTc9M9leStW4If1P,Lonely Miracle,55l16cib7NopOrZrvmuJ02,36,https://p.scdn.co/mp3-preview/7e69be931ea187d719c06e9a1c1b387a63e2fdb2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Eagle Birds,7Dd1v8u05vTL3py8d1a5ZA,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,"""Let's Rock""",0aA9rYw8PEv9G7tVIJ9dKg,65,https://p.scdn.co/mp3-preview/2cd052b2b2483ca0ef6eefdf4c3c1a6de0b61184?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Charlie,6SPOM20nWbQSBvTwzgIzqg,Mallrat,4OSArit7O2Jaj4mgf3YN7A,Charlie,5p3g2nCVAeUIXzhBtTYWux,63,https://p.scdn.co/mp3-preview/5084c5cc78953d87c394a040aa745b6ed83ee03d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,CHAMPION,3FnrpYP8QSbYXbp8i8UQKO,Bishop Briggs,0yb46jwm7gqbZXVXZQ8Z1e,CHAMPION,6aBOJ17zCUODL1PO3LUYSg,65,not available
34,Daphne Blue,3GzZfni9NCD54x1prgpIYl,The Band CAMINO,6d4jrmreCmsenscuieJERc,Daphne Blue / See Through,2B4wLLLPV8rAnpmdBAykxs,48,not available
35,The End of the Game,4zB544yCIaSw3cuHltMCRJ,Weezer,3jOstUTkEu2JkjvRdBA5Gu,The End of the Game,2oIIKGUt4telkfiygjJ4il,68,https://p.scdn.co/mp3-preview/92c0fc163f37f1081f9c9d0ae4fa5da5a2e0809b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Pretty Waste,1j6XqVdSE5KlgfOxfXwiGX,BONES UK,16kd5X3pBMOtXdLlX5LcAw,Bones UK,3oGWjFc2ol3g4iIiCAXav3,50,https://p.scdn.co/mp3-preview/4cbe78995b1f778692c465accd148b280033a947?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,ley lines,7rxKw7YGU0sdk1SWPfxnm5,flor,0szWPxzzE8DVEfXFRCLBUb,ley lines,0IraxrE9AO91GkUZCd85Y8,45,https://p.scdn.co/mp3-preview/0a0f626695c34707af47f0b4bf8e7218e8333801?cid=fa83a2fec7c440b7a2795d600d6b2c7e
