Morning Coffee Acoustic,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
41,Lady Like - The Rosebank Acoustic Sessions,3I25USozW1U6D6bVGoKoaE,Ingrid Andress,0jPnVIasXzBYjrlpO5irii,The Rosebank Acoustic Sessions,0tYV61doIAdkQCmn84Llyf,36,https://p.scdn.co/mp3-preview/90cf0c16ec5a2f49e040f7e5f40e13d2d268c1fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Lovers & Life & the Stars,1dElvvtcxBo6hgncUsfO1W,Monica Heldal,0OzR8yVFsezkr01beN2ec0,The One In The Sun,4DXawyeE4kw5W7RW85Zd6v,25,https://p.scdn.co/mp3-preview/4ec6cc5405f5f006eda8094440779cdb92d64994?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Motel,0i8LbhP5oFUCnc2ejEoYaU,Caitlin Canty,3QOwPxkPpGvhbiPaEs7Pnl,Motel,249cweJRnd81qJ4gprHFjg,32,https://p.scdn.co/mp3-preview/370173ae8d74e5eb49f202fb2fd74c27cca8dd25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Old Time's Sake,3IQSmhYf1nst6Gp5BbW3xE,Charlie Worsham,1nYvElumwIjMkOczb985bq,Beginning of Things,24XNUmmNY44uGmG4aY001K,47,https://p.scdn.co/mp3-preview/b7c42a7db309f45dcb3448caa537caaf5bea212f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Arms,48HT7Zzd3We4ZjG82lsbdK,The Paper Kites,79hrYiudVcFyyxyJW0ipTy,On the Train Ride Home,52nbX1xWBxOQrFSCqepCUz,66,https://p.scdn.co/mp3-preview/475e75306def85d9ce4bd8d62196e34e91d3fe77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,You Do Something to Me,6nQyroCZ0sEQ39LykGLGae,Bryde,0N8tTwUhQQD75uLOyqhfVU,You Do Something to Me,2ouWIk4vUNKSvm6hldAG6r,26,https://p.scdn.co/mp3-preview/7e01d156ace0b872e296364370d7cf3901df9d02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,California Zephyr,4eBvIlQ3EhaP2b8At53Woo,Jay Farrar,4tPRMBm25eaPJaceUBPqTK,One Fast Move Or I'm Gone Music From Kerouac's Big Sur,3Lki97wGb11VOTrjCEAgCj,35,https://p.scdn.co/mp3-preview/b7309e59ab88ed97ffcf61e2274fda74d68e8eb4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Less and Less,1BmgjydLIiPX3a4jjq4pS2,Matt Maltese,12j6dJrPXanCBwY599pZxf,Bad Contestant,6TQBSDaY7mVEjwK3QxQUfA,43,https://p.scdn.co/mp3-preview/d6b07b07826632a62e227ee3eba28096678339b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Absentee,3AuLHRNT0DC8YWClSMhXaO,Cass McCombs,2iUVQjheBnvOt8vaBrxXJz,Absentee,4u4QrSEgYqY5xrZNhkwQLH,2,not available
50,All Fired Up,2tQeZDN9J6EA2HBXWBNKCP,Matt Corby,7CIW23FQUXPc1zebnO1TDG,All Fired Up,60g9QSw0st1Zz1ij2ImHiK,0,not available
51,Learning to Lose (feat. Willie Nelson),0Pr7l3Zvr9F4upwYZFpkS7,Margo Price,09yvLritEUxHrzx5TlFvbl,All American Made,2ZxlcZ2NMgupfqGcyjnmkE,11,not available
52,Same Old Eyes,0x2xErt1R95NpZPNjccGnu,Savannah Conley,4iyGL0YdGnDUVbmuca9e2G,Twenty-Twenty,0RSBs1Y1uzFkIomZNyrgBO,40,https://p.scdn.co/mp3-preview/b5f2eead9917b300faa69a200eb46d8b6670cace?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,"Jesus, Etc.",4wd09wCccmxUB7XVJp0RNn,Wilco,2QoU3awHVdcHS8LrZEKvSM,Yankee Hotel Foxtrot,0rPtXOMN42nsLDiShvGamv,66,https://p.scdn.co/mp3-preview/f0be3e4391b1c65468aa9deb6fd506396ab9fed3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Tears Don't Fall,6XrGGmIDzpy5lt2zAH4BiB,Terrible Sons,3eaJ1prUilN6z7yoFx9u2g,"Half Awake, Half Asleep",520NYRBSaQQJR3fUF6jFK9,56,https://p.scdn.co/mp3-preview/664c64bef5241333d102531862f37d268be60c61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Arches,2zg7bU1Y7BqfEi8iTHwSJv,Olivia Chaney,0IRzm0TuehkXRBVKNzSX7e,Shelter,6LLJ8sHSiPlTXBNcNTiKOC,25,https://p.scdn.co/mp3-preview/861dd7aa007b2eb952cd6e4274ca6d45e9b080a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Bloom - Bonus Track,41yIvlFgvGwxq8qTqAR7eG,The Paper Kites,79hrYiudVcFyyxyJW0ipTy,Woodland - EP,5l8axHOB8sCsWqfK5XVtbF,73,https://p.scdn.co/mp3-preview/4eff0d595f64fc2f8afa7cfe7b891c35f5f979b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Follow You Anywhere,1GHXVtRkiOj96w7I2vdQWh,Monica Heldal,0OzR8yVFsezkr01beN2ec0,Boy From The North,2GEvu4o40L04KnG0RZJufw,41,https://p.scdn.co/mp3-preview/0d65ea62742927a8cedcde89ea5ca29c6fabb915?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Wreckless Heart,0ELWm49HJEJqIvqzTdZK3n,Glen Hansard,3Caot8EtHX6wLpNF2wRzS0,Between Two Shores,3tjUgeVvMqN457eeVeunb0,36,https://p.scdn.co/mp3-preview/52cd30c7fb24154d6ceae1f46bb0ff79f3670c35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Where We Left Off,6EFLuuYmbEKptZ4wE7va44,Brett Dennen,0FC1LIeQXKib0jOwZqeIwT,Por Favor,3xh8mYf6G3AaJaJ5AYlrWN,36,https://p.scdn.co/mp3-preview/5c92d16345fe3852b75ced5023a71abc9af45ab7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Simple Song,11fpLMWAcwPENBFe3jVxJC,John Paul White,1yDI9pWnlrJmi9kZn3gkCb,Southern Family,2cKzkXbgcoQjaFMCPbJDdi,26,https://p.scdn.co/mp3-preview/f657735fac0bb07dfbc17b96f3febcc1e18fc010?cid=fa83a2fec7c440b7a2795d600d6b2c7e
