House Music 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,I Was Lovin' You (feat. Dots Per Inch & Ayak),5fOJe6vJ3vJXMrN6v362WJ,James Hype,43BxCL6t4c73BQnIJtry5v,I Was Lovin' You (feat. Dots Per Inch & Ayak),4ezQbrx5XOoMMfx7Ux7TAC,66,https://p.scdn.co/mp3-preview/91d2ab4c9070c7fc3bcbd089cb0f51b90f24acaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Take Me Back,2HQb8gTiNfVkwCxLNkhHJO,Coldabank,3JOvRLynmP4mA6dvlWARoA,Take Me Back,5PunbldroWOHqyqAM6jSaa,58,https://p.scdn.co/mp3-preview/33c28c431604d1c772c2dd3c247f86593663830d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Perfect (feat. Haris),30cW9fD87IgbYFl8o0lUze,Lucas & Steve,5wwneIFdawNgQ7GvKK29Z3,Perfect (feat. Haris),3hOyUjdcI6wGuhk52tuH4g,24,https://p.scdn.co/mp3-preview/9ee78c41bd4d406e52233ca477050464b42c2abd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Animals (feat. Rachel Chinouriri) - MK Remix,6YpTSni4hLWImgdCYIOFrP,Preditah,5qYCZ5FQuzZSjOnesvuYiD,Animals (feat. Rachel Chinouriri) [MK Remix],1ESD5DohVDoRoGDOga7WfI,1,https://p.scdn.co/mp3-preview/98b04327d6b3fe051c1ec754a384d2b44873febe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Pump It Up,0GiwV6v3AgJfdu59tj719Y,Endor,6F3vLfyutkUhpM50G84eMt,Pump It Up,3D8C4a5lYbpEu5bPQmOpJj,64,https://p.scdn.co/mp3-preview/8644bc59bd6cba7995a2a24590f15913e18e5454?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,I Feel It,5FzuDFYmUFcvjraadJXv28,Leftwing : Kody,7eYXtOjJGhrM16cK2hRmnR,I Feel It,45DCBEkvzjYfjpZNaphhg3,69,https://p.scdn.co/mp3-preview/aaca1f62d5bce8416ebc2236dc67d48f0691f3c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,The Stand Off (I Want You!) [feat. Hayley May],1KMhHimZZdUqsgDeZCyRa5,Tobtok,6pcxIOhQCNb7DX2iuEXgxL,The Stand Off (I Want You!) [feat. Hayley May],6Tqq5RFxYpc4CqjYz0hMRX,56,https://p.scdn.co/mp3-preview/923bf6c71e9f93e646c92f9fe67d244ea395a4e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Miracle,2lPSvn7iahl7I2L4HVtF0N,HRRTZ,6VpuPMBN4oVa62K1wS9bGS,Miracle,1gMIepNfM5QOJA100tbErJ,57,https://p.scdn.co/mp3-preview/3171360518232c11585aa7e1acfe24481ac181db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Hold Your Breath,7jCXeMSEAlRmsLT4W1if0I,Jack Wins,5v8ZROs9c26k4yGMxUkebt,Hold Your Breath,6FqeBKlHftwFlyufTvPW9o,55,https://p.scdn.co/mp3-preview/29e4049f7f97ecb524d1ee62daadfdcc6fd7e649?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,So Cold (feat. Lily Denning),0j1CiuNObut67Rw72mUNy0,Mahalo,1SeU8Y2rEUpEoeWmUCdQIR,So Cold (feat. Lily Denning),0HN1sewB9quN6cj1uNyUXO,58,https://p.scdn.co/mp3-preview/6664fa370f13fb01a7911e86455f827fcb499ad8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Choosy (feat. Dantae The Kid),31F6r4J0qRBpXOUELOiybQ,Robin M,2XOzTjiQuB1TeW6JQKU3j7,Choosy (feat. Dantae The Kid),5IeFlI8T3riBG5jT0rsm1q,55,https://p.scdn.co/mp3-preview/50b1c362722a602bb90f5c7fc4c0e8ae49c0f27f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,All Of You,5OmmrKLwGEh0JLtNw7nCPz,Fuse,7xCCjSSqo7y2OUpJ2DMMrs,All Of You,1NR1nYJ7RbkE9Riysb3U9j,54,https://p.scdn.co/mp3-preview/770021ddf650527478275be61bef37cc2943c136?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Repeat After Me (feat. Melissa Steel),3t2Cyq3GntNxnffzRRlCLp,Nathan Dawe,2gduEC76ry33RVurAvT05p,Repeat After Me (feat. Melissa Steel),6xP8h3MXi0cfTo2qx3ut0g,59,https://p.scdn.co/mp3-preview/d96ac94550c45898b7e1d6bd5129db417053918b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Hey Now,0hrCOZMMDi6gtP7xjhh0Ys,D.V.R.X,5l5l8ilKoJWKGRDFujKWii,Hey Now,53q9XjUk0k1KWjuJuMwxvt,50,https://p.scdn.co/mp3-preview/1461920383e137e3c491c4b33f79aa83badbc060?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Is It Real? (feat. Salena Mastroianni),5wM4n7Y50JPMOwdJPZFL5G,Tobtok,6pcxIOhQCNb7DX2iuEXgxL,Is It Real? (feat. Salena Mastroianni),3HY4iFcFdoCjPHaaG7jMh1,9,https://p.scdn.co/mp3-preview/ac27411e7124d1162cfe8891daa5ce1a49214b13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,All Mine,3c9RceD6okF9YiMGUpuCdE,Disciples,5EehXjjMktLuJmbRsM7YfB,All Mine,0z7KbZJJ7SfvI2RRG4O0vK,63,https://p.scdn.co/mp3-preview/2cd93bd3c13da000226bfbb4f9ac6f46c3530b52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Amnesia,7GBiEPnY33o1boPlWi7Pap,Crazy Cousinz,6VXB0WH4MfmhZyongoEYZr,Amnesia,4Bn1VP4XVpMIuWRg3injQ9,58,https://p.scdn.co/mp3-preview/423b888cc2e1ab296c92230d40884ae61e88e025?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Keep On Rising (feat. Michelle Shellers) - OFFAIAH Remix,7COd0pAxVedPeQNFHxMvhd,Ian Carey,2QFXAOEj2ow8a3xVkD8Ntg,Keep On Rising (feat. Michelle Shellers) [OFFAIAH Remix],0qDGvlMRDYqNFMaVfgAaEm,56,https://p.scdn.co/mp3-preview/d92ce876635d6501f1bddae12fe8402a7959ce1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Wild Game (feat. Monique Lawz),4fN26JupZ7C3HVuA77K5uI,Michael Calfan,4CuipEvwcoQggmCV8jpKF9,Wild Game (feat. Monique Lawz),74l1rTN13POgDL83pFOHRt,38,https://p.scdn.co/mp3-preview/0c74d1db15727fc5f6adc6529001d4e1368defa9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,All Around The World (feat. Bryn Christopher),1oW9LQ9KyFZ6rihgDbn14z,Matoma,4YXycRbyyAE0wozTk7QMEq,All Around The World (feat. Bryn Christopher),2ALCG7YyutXUzcbzRPBX0A,66,https://p.scdn.co/mp3-preview/59c2d2e79221fad527e956baed965f9808ca3d49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Taste Me,3ViqdG9YyNRTqG07hFZNpp,Enkode,5OsTZlODtkuY6VgcRSBBee,Taste Me,0P6c6417JnyltkdYbXfFJ2,55,https://p.scdn.co/mp3-preview/fcb459c9da3b2f941a7ae05dd3d2fc9aeba30e61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Little Love (feat. Grace Tither),5FQUb9sBnjA2Cd0lujJ3hr,Blinkie,0nJcDqY6ox4kHB92AuRA8j,Little Love (feat. Grace Tither),6lHj117hPNngTDVKswcP5x,59,https://p.scdn.co/mp3-preview/bdeede3cce848c46161184f185e69a78cd73c238?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Break Up (feat. Kelsey Gill),2c0oLbC058vGMb89pAJ9EZ,MRK,7vX253va0fqx0oGl2KuW22,Break Up (feat. Kelsey Gill),4Id4enKhHcA7Wuz9kWHVxp,55,https://p.scdn.co/mp3-preview/5e6afcd5948cd8b25252cf5d5eba6e4e0f5cd2a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Close Enough,49TVPvb4yx2Dara4VihElL,Alex Ross,5pK858DFAWCmE2tM4jZxYC,Close Enough,0jLYtpZZh8uq91br0ywXKH,57,https://p.scdn.co/mp3-preview/39284d4088a86e55fb6225e978bf98c655526a53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Pretty Baby,4EJI2XGViSQp6WscLKgYDD,Redondo,3T0HSMgUpuH1hXbT1JPwQF,Pretty Baby,3z2v8LSyrSGvCc8vOSLNCi,59,https://p.scdn.co/mp3-preview/5dddf5fb384e2f7a6792292a1facb260b15c224c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Death & Desire (feat. Harrison),3xmJo7JydhDml7GAS9YTcN,Knife Party,2DuJi13MWHjRHrqRUwk8vH,Lost Souls EP,3Gnp75gdbUn4ygyXRJw8GM,63,https://p.scdn.co/mp3-preview/9da6ec76ba2d0084b2e945b2638a31f3cee03eed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Would I Lie to You,1DV5T7iCGaC6D39aNDdxTv,T. Matthias,2R7k2SovVWGhTcvPx1JbQv,Would I Lie to You,3gou6fLwfvhxbKWfS6Iy6A,56,https://p.scdn.co/mp3-preview/0939a7ee2700552c675f5315ad1f3ab64d18236c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,This Groove,6ZvLKwgPKlyZtDPkTWjPI7,Oliver Heldens,5nki7yRhxgM509M5ADlN1p,This Groove,6V2cksv4xWiubhZdh2Kb1H,72,https://p.scdn.co/mp3-preview/e751aed5dca8fae345b6d51df0541297117ecdc0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Falling Deeper,57zxXaYzEBC5SjhmFxWzDY,Rich James,35KtMJ3zEIvITK6xssqTWq,Falling Deeper,4H6GWEMCZBAmnRHY4CBhkE,53,https://p.scdn.co/mp3-preview/fec8bdb5ff2ee1566f9eb223e1514e9cdfe85450?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,19TOAlTFq0NDHvUPQR0tkr,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,South of the Border (feat. Camila Cabello & Cardi B) [Cheat Codes Remix],3BjxjIkTZKUpeZ6n5MYMNx,74,https://p.scdn.co/mp3-preview/b823ea3fbabf8808b8680c0c2d397d237408fbb4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Let Me Take You (feat. Jeremih),2tVzoSuPQpZ1yY7HHnXw7B,Whethan,0vqJkZ0RpLZixt3lTmD8vP,Let Me Take You (feat. Jeremih),0m6UWMibesmAYJE7e2qnOK,64,https://p.scdn.co/mp3-preview/a4461591f40e4430427028427f0ca876ef8bc16d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,I Love This Club,10EdSF5PEhNv7kD6YEk3oh,Minus Manus,22ZMBKCKYvSLoplZDA3Pl0,I Love This Club,47rKn9LTYhnM0ae3ewpNDc,51,https://p.scdn.co/mp3-preview/92d5a5f08f103973b76ce8fb571faedd1e5f4f22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,You Little Beauty,71NOmiKvk7s5R7dUurNjuy,FISHER,1VJ0briNOlXRtJUAzoUJdt,You Little Beauty,5DJeZP2GgxLqCl2JsxppbY,36,not available
43,Torn - KREAM Remix,7AasLZ4TYgh7dbJXZxcZVE,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Torn (KREAM Remix),6gKLNSKPll9DAG5xiygMxD,58,https://p.scdn.co/mp3-preview/d3159dd0c5660fb6a767cf9c9e0165266f05fdf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Something About You,6SjKZJ2RkBfmWy84uPsIWH,James Carter,5344K3N7rx7kw1HjO8psuq,Something About You,2uvYYibXEXdsROgqevXPBl,57,https://p.scdn.co/mp3-preview/113ff924be3ebb9c3c7a8e679d07b72a9e09e6d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Mean That Much (feat. MORGAN),08kVZWMJxBjvoRO5VIr9GO,Rudimental,4WN5naL3ofxrVBgFpguzKo,Mean That Much (feat. MORGAN),7HHDVVZ5wpxUshOOXGFN1k,61,https://p.scdn.co/mp3-preview/60e49233b4f3ef41715374aad4561b2294d83a1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Lowly,6DobA1V0AAH0su3g7gSjjC,Sagan,5JHw3zW4kgwIZlh33geR1K,Lowly,0XFbxOiR3lbAHf4Ka33tyK,55,https://p.scdn.co/mp3-preview/fafc098e1958e6e12c0695cf6af335a77a988eb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Stay,2ugjxfenU5AJMO5cozCuUv,EDX,7GMot9WvBYqhhJz92vhBp6,Stay,7DckZOfg9FcjBOpXlItnxI,61,https://p.scdn.co/mp3-preview/0fa7cd755f4f02f9c0ebfecfaf0d4aea35dcc8c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Don't Worry - Axwell Cut,4fX1PGVgbxqY6NVzZqhMuz,Redfield,2cW1LUTqGx2JMe0oAGx9OV,Don't Worry (Axwell Cut),26HyQIXrWpS7638X2pvedE,62,https://p.scdn.co/mp3-preview/79c768d9e67dfe12f2ec9010444ac64305a2e9c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Spinning Lights,1sCYOhntVEa5C1cvvj6TzV,Jordan Jay,3htJBdRyfwyCTKgpZAj6pY,Spinning Lights,2rTkNWaTED2hDoW3SHxufz,53,not available
50,Take Me,0ZOhxiNYHikGyeDnSweNBT,Salasnich,3AGYevFLXCIrY67MwyAjW2,Take Me,4AXSEfWOz7aRpvWqIAeMOu,54,https://p.scdn.co/mp3-preview/fd8c67ac212a550268a61046f5c8d1e6f6874dbb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Who's Got Your Love,5EpR6BqAnwR9PPl6sIrzGy,Cheat Codes,7DMveApC7UnC2NPfPvlHSU,Who's Got Your Love,2ddicfthS1XeBDkhDqnWI3,66,https://p.scdn.co/mp3-preview/a0d49bcfcb0debd88241834d64775f9ec2269f10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Ain’t Got You,6XjqbO09c9FP2krzYUuCtZ,Steve Void,3WSK3JppX3N41XHVwQp7Gt,Ain’t Got You,0s01BTtutn8qqiIiWFKXfo,57,not available
53,I Know,59jHH3RyODRyVPCgpM106o,DallasK,7uas0F5EhsZg6KDJ7yy7rW,I Know,4aV2pC92HD6Dw1WTEihept,56,https://p.scdn.co/mp3-preview/847f8492c6b7d77980d0ce833cc9bd1aa4bce93d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Pick You Up (feat. Penny F),1ztOeR0UMNFGj6B6b1sAi4,Redondo,3T0HSMgUpuH1hXbT1JPwQF,Pick You Up (feat. Penny F),5iEdVMinksTe5aO1ZIWBpm,58,https://p.scdn.co/mp3-preview/4c098a5ceb5f76db6aef459f18dbdde07c377c67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Morning Light - Arno Cost Recut,5e82nY6zdUrUMRr3nmSrE4,Norman Doray,1UmLUPNgy8HS6oI05zdGjD,Morning Light (Arno Cost Recut),2YbwT9FkNPqfxqHXyDmKfw,57,https://p.scdn.co/mp3-preview/e817f4d2a47a20c0baa89709c7b2b11295a6efdd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Good Dream,0uL65436R0LEWAmXS5QmzU,Midsplit,5FDIxEGRvg8QrMoNr9BoFl,Good Dream,3bE5bIj5rLKSWjjcC1SrlU,59,https://p.scdn.co/mp3-preview/56227f7c29425702d02371cd2bf47b4682e34cb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Out of My Mind,5xuS9wBiEM8D7F8TUvucm1,Luxe Agoris,6ejyZKJqfU1trzNHiAA3Ro,Out of My Mind,4vVq3ShxxSAVPZucousFs6,57,https://p.scdn.co/mp3-preview/12e9513bb2551a852b77148f879e96fb339886c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Bug A Boo,1D3tgMuJxzaZJMJs8yFVYJ,Joe Stone,4kwEd1P9j15ZqUVP5zK7Pv,Bug A Boo,04HvInEdYlipubXgZuVqCr,60,https://p.scdn.co/mp3-preview/636108e3f1ee4da80bdb903caace0e2391760d07?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Moon Funk,55gRWQhKKa4wOQMGHYfacM,Ellis,00CYRdkMnA0mwfy1VQPA7X,Moon Funk,2CR5i5J2FdgCX2oKhPxTVl,54,not available
60,Dollar Menu (feat. Dani Poppitt) - GATTÜSO Remix,2nhZEX9GxxKGOohXmPi6D7,Two Friends,44Ewva5aHOX00EwaX2D2mh,Dollar Menu (feat. Dani Poppitt) [Remixes],0gxqgKIAWjVN7whgUYzym5,51,https://p.scdn.co/mp3-preview/ca1d5de69e2e97b4a7dc20bb95ba61474fbe9a8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
