Fresh Rap,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
39,En double appel,4Dw7n80Ktn8PHQfW42W7s6,Niro,1wAtSe79kItIb9nf5EhI2Q,En double appel,7x0cA9EXUAxfYIl9HjsxKU,62,https://p.scdn.co/mp3-preview/a3502738ad2f700d3dee1037e25cc1d751d5a7ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Ma belle,3Aq1SJ1hWlfazx8IIC6u1D,Moha La Squale,4vtz0m60CCrcsQmqDunDIR,Ma belle,3AIfofJ32ovPG9ODRPKen9,80,https://p.scdn.co/mp3-preview/0d8709b118afd0d387c3998e2370384e2ce66839?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,7.65,1gP845NpcAZv4BqANMBGaj,Zola,54kCbQZaZWHnwwj9VP2hn4,Cicatrices,7wyEWWnkMq3pMPPx8F1899,64,https://p.scdn.co/mp3-preview/b0fdc0c0a131fc02ee70bf4e672ad066823170b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,La zone est minée,4svihQR3W0IYm9N8GKyNRe,Niska,7CUFPNi1TU8RowpnFRSsZV,La zone est minée,6FgZJVVSI8y3cPs4Qp3ZYB,59,not available
43,Notes de piano 2/2,3mxlTRlvv5FPiLaFbpysJG,Rémy,1rT9J8vtPCzEKL7oGntxnr,Notes de piano 2/2,1NOUH9OUTr9APpJ2fKimNB,51,not available
44,Normal,1enmKQik9Yxw1jISYS2UM0,Dika,1rBnd8KxDndiiiIyjOsFtw,Normal,0vPGvLRPYqaKjFydEVUNFr,47,https://p.scdn.co/mp3-preview/36ead8b90385bcf7473f2cd453fc602ab9c04d6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Canal,4ue5wBIDNJelqiHkm1aMWi,Dosseh,3b5bg1k6N9u31OtzSfK2dP,Summer Crack 4,5X3ZqzQfQGjyrQEvKEAjWB,66,not available
46,Avant,6yd2cfmwQNZ1i7e4p9GSu4,GLK,3dH7pcBScIJQboDyMzUzez,Game Over Volume 2,1ZXriFvQh1GFpsARC0NERB,64,not available
47,Beatles,1F1qebfYF2rvc1Q0CpM5hf,Larry,0YqeL4iGLLNiwRXZvew1TM,Beatles,6ayNZ4DPR3ipeAGs4jjTzJ,62,https://p.scdn.co/mp3-preview/ea54c7cfd51c7d512e03400b166b7fcd90403924?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Sacoche,0UiIVhj5DxVfgGfsFWg0An,Larry,0YqeL4iGLLNiwRXZvew1TM,Sacoche,4ml0EEVUiNSa2HcdBYMPrk,54,https://p.scdn.co/mp3-preview/317982e5747233b3bc7e5bbf1b0d99be19fbb5fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Boss #1,3HDEswzZh7P8vTNwvuxcYl,Junior Bvndo,58lWi9l7zeTHdUz6Glzm9p,Boss #1,0qWZ9fexkIuNeJFBgc3jnl,54,https://p.scdn.co/mp3-preview/aafb07b67685d37eff0f6f90287d7bd08c3913cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Salam,0qbeb4KsoYHyoXsOXZVIis,Kalash,3J7r4VsNmuWixU0nXvyPd8,Salam,2b8I4B4h2tzjzEYoicJ7mM,54,not available
