Grand Hit,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Plus haut - Radio Edit,7hnkg8ndTHugcyXJoyEVig,Claudio Capéo,5KBbs98MK59UNMF1VTwMmz,Plus haut (Radio Edit),3KQmVs98jBryt91TuRWByw,57,https://p.scdn.co/mp3-preview/925861f503abb6733cd44c9773edd7daf501c09b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Toutes les machines ont un cœur,0C4Tc2DpnXZz9dx6lS6nih,Maëlle,5Ha8JdCWeJ8vdqEhzgiSU5,Toutes les machines ont un cœur,2nGEBorw6EWtTjyfV1ypVN,60,not available
12,Allez leur dire,5jKKyEfE8fQRySR8uTDAEH,Silvàn Areg,4A4VF3t15bxwPrQTyCG3w8,Allez leur dire,2wOg8dXmqzcUjBRpGyA5XY,48,not available
13,Côte Ouest,5Q8gCS68FITJDiWnedMejb,47ter,0aXaZj4wB5jLF2E2d8WEVi,Côte Ouest,6MQs1Wt5328zlD3m33J9d8,69,https://p.scdn.co/mp3-preview/fd17b3891d9ec4a293ba776578b0a07f0e45cd80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Nue,3rfDjFBGWeDW88inQfLzmm,Clara Luciani,2oVrruuEI0Dr2I4NvLtQS0,Sainte-Victoire (Réédition),5BnINulXJFyn86yZ0EfOPd,67,not available
15,Mon beau-frère,0AFmUmPR9Tl4SGw2l1fIUG,Black M,7lMgpN1tEBQKpRoUMKB8iw,Mon beau-frère,7h9bnMLZqzkPkvzN7r7lps,61,https://p.scdn.co/mp3-preview/a191a8fbe9ed4f3d672cbe9449a9e20325fd07e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Voulez-vous,5dX950fKHDIdR39RoUShyO,Leonie,0oHobVIFdzypUfTGTalD0X,Voulez-vous,3FgQcjncTm8Wu44Aphjbol,53,https://p.scdn.co/mp3-preview/a4d93aac3b5270ddca94a6bf17100cfc956e81c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Ne m'appelle pas,58w5oNUlgSNZtW1T0c2MJC,Cœur De Pirate,2eRNMtoi82UZUuaL6naDjA,Ne m'appelle pas,4DdOBoBB5tXo0DsblGs7o9,50,https://p.scdn.co/mp3-preview/de1592a73bc93c157f7d65f2aeb8a4d7c8a5879b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Les planètes,5MYDvUdIBOCX3a42L85kM3,M. Pokora,6euPnGzBlDysAC5ecVguNZ,PYRAMIDE,4SGj2EwogAMqiN2imHvJSb,64,https://p.scdn.co/mp3-preview/a5cca9f8cfcb31af96936ae2c62ab8f4284851ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Je vais bien,3IUu37J3cfh8KH2Xyrj5a5,RIDSA,4TGltjqP0MQxdGeSIrM4es,Vagabond,4IPr3540N0H3Usrw1oCRd7,57,https://p.scdn.co/mp3-preview/72631fde6875cfbe0cc6bf27dfb673ce967187bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,"C'est beau, c'est toi",1ZWuWQbLLzN8DEWmIujfmJ,Philippine,0jm6JzrAGaSgKY02PI2k4E,"C'est beau, c'est toi",0tKXkeceB90s5pYWfehHwq,55,https://p.scdn.co/mp3-preview/e3054f9fad984616391721f3314c27a31b499088?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,5 minutes avec toi,6iM4P6am0dIL2lNKPbg1Xw,Amir,6rl53MP8HSoiugpqzA50Zh,Addictions (Deluxe Edition),2Qvew38NyZ03edl3Lfi9JB,57,https://p.scdn.co/mp3-preview/2afa061991ef03b618897f31b141d3f2ba188cd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Pas eu le temps,7m3xVqRKzOBPI2RJ1OjSS2,Patrick Bruel,0vmrFTWCwK3gFGDzeUzeMg,Ce soir on sort...,46ayYNdKAGUxHqng5NRTzU,61,https://p.scdn.co/mp3-preview/98cb333fab088edbbb24e6dea2fbcf92318c103b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Désaccord (en duo avec Dadju),2f9LgBIy1glMdBYElWqB7f,Vitaa,0Ntl0oWMPWfBOoi9Qcr9ht,Just Me Myself & moi-même,3E0tT874y5wNFoH7vSuYpT,62,https://p.scdn.co/mp3-preview/a02906798aba79848c0f61a7ecfb649950740e5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Laisse-les parler,4A4prwJSzXd5u1lxeDOdF3,Keen' V,5iZMWWLoDJH1u6Ru2rOEsd,Thérapie,6XBPxI17DMzcIilcCgYFLo,59,https://p.scdn.co/mp3-preview/ebcbc01f46689337c4b3b8339ad393a6642c5077?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Sur la lune,4Krth8PN7wLNGxDlRTztke,Bigflo & Oli,5mmEMfYChd6MImBagU7zCs,La vie de rêve,5y3uJxz1Xkw27jNyPP7SaL,42,not available
26,Le temps est bon,4WBDVbKHiNHmFpPLuBHYdu,Bon Entendeur,2lwjwKfYZCuPEJOo8t32CD,Le temps est bon,06wUYwI8FuobA5RoDopEOF,67,https://p.scdn.co/mp3-preview/c56b1978df3872de5d91025804b1f0294af322d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Soldat,7JLz24ZQtl7tIb0ePwlBfI,Aya Nakamura,7IlRNXHjoOCgEAWN5qYksg,NAKAMURA,4D27Q5VjZPoGzq0Ls7KbXS,72,https://p.scdn.co/mp3-preview/aabc389c6a7ec04c3d4d0444d5e246add031b7b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Petit à petit,784v9YCbkyslPWRTpKAP9k,Arcadian,6AsX53NZ0rVrVnlKLy1KvR,Petit à petit,6gKNopvxZhcVMsE9mWVHaM,56,not available
29,L'Homme nouveau,4ySsoq8tlVo3YoxlOgAvzG,Jérémy Frerot,4lhtlpMg6j1absrQvXYlRK,Matriochka,4lXTDTBv4geOKHRh9O8lPv,55,https://p.scdn.co/mp3-preview/eecb1ead38470dfa72c4eae1b30f326b32658b85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Je chanterai,27nsINK9u7ghf7IW9KFUez,Erza Muqoli,2LaNU9yZUvApYGMs7lw9bt,Je chanterai,1en8hgepphKmXzoRb2dgHb,58,https://p.scdn.co/mp3-preview/73c7c4d8aeb7d0f021c9dc2b82a9af3b66517aee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Encore,7llncGoKNVtPHHI2JHJEcx,Alliel,1IWuxxA4ErA0vjaIhgQ0CU,Encore,0FRNTKsuUmnsDIaAgBf2J5,53,https://p.scdn.co/mp3-preview/5cc7f6a20da8b3edda795f6e48acf8debaf4eab1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Si la vie avance,6cNWAn88JEOexCMV8WXc6b,Boulevard des Airs,6px2zTzjQAPLkuea5qQ2Gx,Je me dis que toi aussi,4XhhZdOOMpvrvSVckfOUEq,50,https://p.scdn.co/mp3-preview/06df287761089840b471a7b57fd3edab15b3615d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,À nous !,1f2wKyQinAEX6RwhZXC83Q,Trois Cafés Gourmands,4wngxtsP87ozrQh05D90dO,Un air de rien,7q0vvjpDUdacKdjeThEx9V,53,https://p.scdn.co/mp3-preview/0d36d28501e9a9effa63784150f5f5070c3e4bc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Que Dieu me pardonne,0hHNjDAThUngWzegMB4YYU,Kendji Girac,4IS4EyXNmiI2w5SRCjMtEF,Amigo,29ct57rVIi3MIFyKJYUWrZ,63,not available
35,Comme c'est bon,0l7iZcjZCLTBA5DXIJYDY1,Jenifer,7p0bICJNx2HM4jS28qexvv,Nouvelle page,5PIKD9PXYxnG7M3JSJKcSk,58,https://p.scdn.co/mp3-preview/2bc14a378ed3e7558a869bee0d22ec65a05fb9e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Les gens,2RgPLOszO0KYOIeA8LxrE6,Christophe Maé,7jgnJBnpZTiGnCF2Wvka2Z,Les gens,6aoPSt2NivHfTrBmF4F0Ch,57,https://p.scdn.co/mp3-preview/0cde0bd7a0b5613463b8e5614b3d0e5031a5e1ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,D'autres que nous (14 Boulevard Saint-Michel),0Jj15b04yk4s4rqLFHeOb9,Ycare,0hNK6eH7pXpC1yvhnFXTWB,D'autres que nous (14 Boulevard Saint-Michel),1QHRHCWAGgbAbB4MVIyVlv,51,https://p.scdn.co/mp3-preview/546d8a9cd9a569e0b505f8a5177e8cea2538d80b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,En nuit,34CEsiML6bfwxCVJdYr8f8,Videoclub,3rp4f58JlRHkk8hpdLCer1,En nuit,5H3GHIBEtGcesu1psCc67T,58,https://p.scdn.co/mp3-preview/63f8a835c3b9c271cec0b20b18b21de3c2e1fefc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Laisser couler,5xpxOFl6GvhkmHci7GS1lN,RIDSA,4TGltjqP0MQxdGeSIrM4es,Laisser couler - Single,1VCvBcIOB8Q4oZZOtjhqTQ,57,https://p.scdn.co/mp3-preview/2ed5992150cda1af5a2de1f3be69cd0a2f71638d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Promesses,29eR89Zvti2fOAHD0d3MPh,Bigflo & Oli,5mmEMfYChd6MImBagU7zCs,Promesses,0vVBCR0bF2lHH3vIwvDWcP,65,not available
