After School,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
19,Moi,5wjnVQYci4XK8XjiC5fRWZ,Lolo Zouaï,2qDIR2WlcW3llkGqJWg9VJ,High Highs to Low Lows,7BIWzE3cE84suTh7nPQXcE,49,https://p.scdn.co/mp3-preview/cd89f2015cdeaa241485af5ebb1e1b9f9ce42601?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,2wY79sveU1sp5g7SokKOiI,How Do You Sleep?,7baaCf70tVcUBL2bbkuXjo,96,not available
21,Jazz,2cJb7E0M81nAKl4tkZS3v9,Eva,5nH2klYTzn8CNvUv1GOGQO,Queen,2rZ7prJfPaDIwP4EVj4yqi,68,not available
22,Ride It,2tnVG71enUj33Ic2nFN6kZ,Regard,4ofCBoyEiGSePFAG500xev,Ride It,4zOhjJfe0dwqsNdDYk622E,89,https://p.scdn.co/mp3-preview/e19c28e007c0ba7471b1f06831fc431caff17ef8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),3NkJNL3WqO1Lqc3uNDxvCN,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Don’t Call Me Angel (Charlie’s Angels),2qWVO5SXPdWAECnwEWYOJH,94,not available
24,Panini,6fTt0CH2t0mdeB2N9XFG5r,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,7 EP,4IRiXE5NROxknUSAUSjMoO,93,https://p.scdn.co/mp3-preview/8871fb467ee763bec16fe5260c103a1bb9e852d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,1NAmidJlEaVgA3MpcPFYGq,89,not available
26,Que Calor (feat. J Balvin & El Alfa),1G2CAJeP7rCwOZjlSJ0Zw3,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Que Calor (feat. J Balvin & El Alfa),6RrC644Y4IxLrWXtCO6z90,58,https://p.scdn.co/mp3-preview/bd11e202ed780e29e695c044051789399eca76ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Feelings,0y675KDleCZEudjoeL1sQQ,Lauv,5JZ7CnR6gTvEMKX4g70Amv,Feelings,1MFxXAGWNIuz0X1hS9VRiS,83,https://p.scdn.co/mp3-preview/542f5d521155b6839d135e41e08d232982cfe112?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Jalousie,3U5x1rplpJNKR3Xg88EfLi,Angèle,3QVolfxko2UyCOtexhVTli,Brol,6KSvWFf4g4PrIldtchJsTC,64,not available
29,Trampoline (with ZAYN),1iQDltZqI7BXnHrFy4Qo1k,SHAED,3KwmxIhSe9UTSEF37kwngR,Trampoline (with ZAYN),5QqqBZmdQmY1MvlnpBkagB,79,not available
30,Higher Love,6oJ6le65B3SEqPwMRNXWjY,Kygo,23fqKkggKUBHNkbKtXEls4,Higher Love,4wquJImu8RtyEuDtIAsfcE,92,https://p.scdn.co/mp3-preview/a74efdaa12f708673a14fdf67bfb6ec365d8ebf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Tombé,399mh97iAmjU34de5MebHp,M. Pokora,6euPnGzBlDysAC5ecVguNZ,PYRAMIDE,4SGj2EwogAMqiN2imHvJSb,66,https://p.scdn.co/mp3-preview/23c3af4934a23a9b4c26c55df7e0ea3b07ee8520?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,White Mercedes,7fOFeVSyL18q7RiU6cnhiM,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Charli,386IqvSuljaZsMjwDGGdLj,72,https://p.scdn.co/mp3-preview/e8c53850910eb95a6ca279c2a8a5468e0bc67c5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Mother,6rVNnvyNeibts1uOqdSNIw,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Mother,5OrSjlgjIvI3GmTnTt6wnT,77,https://p.scdn.co/mp3-preview/5792f5b46d7747a02eae853dc1dda8393274df34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Nous deux,6RUi02oiLXx3QTapMlD1fP,Lorenzo,62zLrboqOTPyozwi721CVy,Nous deux,13jwvJly2A0KopbHAnQ8lC,48,not available
35,Qué Pena,5099x34vBakWpGkHourFxP,Maluma,1r4hJ1h58CWwUQe3MxPuau,Qué Pena,1Db95k6t4rCPHSmdfsTeDl,82,https://p.scdn.co/mp3-preview/b82a2d454d23261612a6511904e5498dc064de04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",322tcqPhma7F6hfCeLisx0,Lauv,5JZ7CnR6gTvEMKX4g70Amv,"fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",60sI3iRfHfu7YpcTpZ29W1,92,https://p.scdn.co/mp3-preview/f516b7ef3c83e390a1c965c5b3730ebe4a6c667d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Soldat,7JLz24ZQtl7tIb0ePwlBfI,Aya Nakamura,7IlRNXHjoOCgEAWN5qYksg,NAKAMURA,4D27Q5VjZPoGzq0Ls7KbXS,72,https://p.scdn.co/mp3-preview/aabc389c6a7ec04c3d4d0444d5e246add031b7b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Never Seen The Rain,0JQ5MbyriK6ruD3t6RZ7ix,Tones and I,2NjfBq1NflQcKSeiDooVjY,The Kids Are Coming,2pJXQvY0YeDvVJ9gMU9G7j,75,https://p.scdn.co/mp3-preview/98b16717df653369ecc4edec25ed896d0272f2a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Alibi,4xRUhDubut2cp4VdeiabeK,Eva,5nH2klYTzn8CNvUv1GOGQO,Alibi,14ofIvR3nV9tbkHRQ5aFKS,58,not available
40,Graveyard,6V9fHiv84WlVTg7CSnIVY2,Halsey,26VFTg2z8YR0cCuwLzESi2,Graveyard,66QwiCFDLtRbrZ5Vs9wlL9,89,not available
