Slingshot,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
43,"Siri, Open Tinder",5AJfahYQ4mbhVMhYFznHVR,Childbirth,3XHOP2aNX2wGtamgbkqfuw,Women's Rights,4wwc802peccfDdJCppjIIO,38,https://p.scdn.co/mp3-preview/69fe2ca868856bba35762354d6e1eebb36e34ac5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Animal Totem,66DhLz26h41yvBhHXbV8jQ,Cock and Swan,6epN4Ft6y74g1fsF6z0e77,Secret Angles,2TsslhK2kCJq8Rb4ajz1yo,14,https://p.scdn.co/mp3-preview/f504fb7039ebe889be3d5204b8b0332d3eb66700?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Flower Girl,6hFngWzxf2yXEbTL5NGGht,Sloucher,6MGCxD7birGVfSKmQHiTz0,Certainty,34rRtwyrzEEV124jtKulyI,29,https://p.scdn.co/mp3-preview/6e2b8ada70008bf4ca1d13630fd0677a3573d4db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,The Key of Black (They Want Us Dead),7qa2UrmuMCFRRVHwJH5JPC,The Black Tones,756gZe3CRrsmKQGhCTmQ5J,The Key of Black (They Want Us Dead),7L8nwUgVlvRpjSmlaLMEKi,10,https://p.scdn.co/mp3-preview/82bf077dba60e6f63a9fec873b33f78577ed8832?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Two Colors,4s37Oi8yMjWzO3DlOPq5ZT,Chong the Nomad,586OHhbBhXRpOY8LezbUcK,Two Colors,4gFVcH001DpwPXzob2poQm,29,https://p.scdn.co/mp3-preview/a87764377afc3952a240b2608dad4b30603b6dc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Waiting,3VuJ5t9JXL3UUoy26ZKGgb,Dark Smith,576u6jNflRz1oy3mSrJQcG,Degressive,4Og77naz3oRGql5JTYUyCg,10,https://p.scdn.co/mp3-preview/246440ec017335f0889106c040aef13b23fb6b75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Magic,4oANsjHMa0O8W56wqv47qb,Donormaal,2g7nufClPxZ7D1a29Eoc0y,Third Daughter,47SwCAQNaYrU76rVP3kJn7,9,https://p.scdn.co/mp3-preview/34289f7613db3aafd4f432d81574c70766390ca1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Come Correct,2iBJmZizVROOBnQx7T08iR,Gifted Gab,0qSaAqfR0p0oPm7Mv9Q1XT,Come Correct,0OSmheKxFBjHSwL81MvEuH,39,https://p.scdn.co/mp3-preview/826ff07299ce5955a3c2555be3e71d004db138ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Green Beanie,7zI2JvF20XHFH0Yxfrqanz,J'von,3dQZZuz1lE7E872IAyIhTq,Orange Suit,2BGyDeP6KLizcM5hwfMF3R,1,not available
52,Revolution Lover,3qBg6BeHJlGgwl5aCa09EC,Left at London,3xPCFC8f7U3raEXOXQ3MrE,"Transgender Street Legend, Vol. 1",3d6LObGaY1hWjNP4LsrYqk,45,https://p.scdn.co/mp3-preview/223fef67dd9cb67ab1869dbcaf1af88f12eeab8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,My Dreams Never Sleep,4WYXHssKs6i34d8S5tXJJJ,Knife Knights,5MkIifBOV94xvm2tr6XliJ,1 Time Mirage,2ECHYflSemkO7lQ9cIlmpw,15,https://p.scdn.co/mp3-preview/2e37d3ed79265b31f77f51563ad748c42a635943?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Human Highlight Reel,2CTG6uRemTULzmNwpoKe04,NAVVI,5oTcfscmHhEknUGkGmOeSU,ULTRA,5kELREodDnCU5RK50NLTFS,17,https://p.scdn.co/mp3-preview/a906118e704048f2ddba4c688d50da6ea61e4028?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Ballin,7HKTEtjVFQrMzXzjBpTfns,Parisalexa,7CZXfBcIhQ2dPEqk3N74vV,Flexa,0mvCnt0RjO7X9jLX1VSTOC,48,https://p.scdn.co/mp3-preview/3151269c4090e80d309cd845bc065363653d9f9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,A Couple Highs,2coyDMFMyQr6ZQDtns6rNr,Julia Shapiro,278GKwKbKXZXFAk1ns0aPR,A Couple Highs,7joL9aqNubcZrAKyojYxvw,22,https://p.scdn.co/mp3-preview/10b2c6f95a3a7b5b45be0245ede215639e3e688f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Livin',1fkuyh4mgpmoJfX9sbVMej,Jerei,6R1J3gWOQmQniSJOcEXFK0,Livin',4iPbOguWuTYbFVVZn6oEDD,0,not available
58,Ding Dong Scrambled Eggs,3XIix024v2pjBYS23kyWKH,Cataldo,5rFQl8QehNSMIJVnyhTmzY,Ding Dong Scrambled Eggs,7z4Np2TqOfINvsgVDv15ZP,29,https://p.scdn.co/mp3-preview/387fd53164a5d1f6ab760cffce899378f2693a5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Nothing is Safe,27c82C78XMsMcoCeeVAAF6,clipping.,5HJ2kX5UTwN4Ns8fB5Rn1I,Nothing is Safe,2a0Jq6FvrPz6h9sQxPJFRJ,50,https://p.scdn.co/mp3-preview/3c63235a6b7cee58c5a8b2a4b3bcb72d32a7e8a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Slow Burn,0hgOHOlAMmx2Dr4b32SbSH,Flora & Fawna,1ho4PSxp0DKdwjchLa7sj1,Slow Burn,65C34gIGcO4FkzzZ0GvWKp,23,https://p.scdn.co/mp3-preview/ac3d24dfdab55d862fe73e53591be248d4c469fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Natural Affair (Single Edit),651sHsLdF05cX2TM51dSiS,The Growlers,2RhgnQNC74QoBlaUvT4MEe,Natural Affair (Single Edit),61zjlhXpT2We8dRbZGC1eC,56,https://p.scdn.co/mp3-preview/0eddc2165918ea4a87be287e63a093385bbf2dbd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Redwood Tree,7tthtIvsXqBLHru3nJkQg3,Jamie Drake,7rvB7ONJSqlmaCrcbhelir,Redwood Tree,3WsZy6HDKVIO8qAO1MA8ep,50,https://p.scdn.co/mp3-preview/f810e6ce6947c4cdfc9d43c674ecea62e1f61d67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Main Attraction,4ZSyW6b7swz86ONngnW9SG,Jeremy Renner,3XlASyLS4HSUX3inS3tIc1,Main Attraction,6rb5G7qgfkFvmcbqgSSOxZ,61,https://p.scdn.co/mp3-preview/f6e47d57c04b2e66023ea37baaf8a0ec70100adb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Coinstar Song,7aded1J6TjTxLCWqcgwwoW,Juiceboxxx,0PTyA08B3iE3XUokbUC9k8,Coinstar Song,1wmyXo4hVUVCzIU4K7QgzA,29,https://p.scdn.co/mp3-preview/7f454c4f88d181c82be3bd94351a17c84a9a797b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,It Ain't Easy,1SJXCQVFhyOXOdfRD3ngbG,Julie Dexter,2Dgv1vI9ydksG1ZlkyzqyR,Déjà Vu,7AUkkutO42f4jbU5ARMDpT,7,https://p.scdn.co/mp3-preview/f9694bb223a09f205d28e280866bc01e2cea3e98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Come On In,0rN1OjmFyAPQmLOloqUBMs,Lady Wray,1plioVQ0mcgAO7uhvWkJJy,Come On In,5iYv0d7ZxqnChACBUskqP1,39,https://p.scdn.co/mp3-preview/0c7e763a17154731bab1fe427ede2adbee1c68f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Radio Flyer,129hamAElpoetiUwPdttaU,Particle Kid,5dwBB4lz6Gmuo8v7cgaFli,Window Rock,3S2d0CSNZQ6f4NKnNTJ0vL,16,https://p.scdn.co/mp3-preview/8bedc292a29b50a9c32c8d81a103dba3ff3fbc32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Charlatan,0ZZ5GutqYmpZIMFe1nhUyc,Pony Bradshaw,0ATGYvt8HyUK8ydaxJybSi,Sudden Opera,5mczfTrIuyQboTG7frLuUE,22,not available
69,I Dare You,5ZUafcm9KEwuCR4V7rfYJH,The Regrettes,67WNUxmM7y4WzHPAVzBu3E,I Dare You,7mCf2aj4ms8UPVjMtTDZTr,52,https://p.scdn.co/mp3-preview/db74c41d865b4a9afe673ab17fb83e7703c22f5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Gloria,5cKsolMaSRtB0ACxPIJEKW,The Shivas,2OZfuhYQm8IY95egVPC1U9,Gloria,2kJ7XIzLBJY3b2PnsHdTGi,34,https://p.scdn.co/mp3-preview/927f871d328d56518d45c43e8a2be2688bfff06f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
