Now Playing at Warner Records,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,My Type,5KBARWIxeMGkvUax9VtVC9,Saweetie,6cK3NBO6uP7hh0oyuVELFl,ICY,7mdpibDh6Sec6o6zItcSEH,85,https://p.scdn.co/mp3-preview/7a97ae9661d1c1acefeccf2b356435e722f547ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Hotboy,0PG1SS6oXYSigmlrozEIlf,SKYXXX,6FImsFRRKFwS472Er0a0FM,Hotboy,0C1BnZa04Z4GaVVmuaZR6q,50,https://p.scdn.co/mp3-preview/58b83692389f4602ec21e9532de023aa2f8aca3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,On Chill (feat. Jeremih),3TXKwYk2H7hZQFB0j8z4yq,Wale,67nwj3Y5sZQLl72VNUHEYE,On Chill (feat. Jeremih),6T6uGWwXe0mq15ndVGvU2n,79,https://p.scdn.co/mp3-preview/6a7b7e75ae5dd5710051f4ab6d6c954c0b7b4f20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,It's You,6moU77g9RQyMzHNuKEaQKq,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,It's You,40vQONzvJb6sKejDN3eWza,93,https://p.scdn.co/mp3-preview/1219afc55c445aa7c2776f6389a361a4fb55b570?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,I'll Be Back Someday,5X994INngqpRLW5360JQi4,Tegan and Sara,5e1BZulIiYWPRm8yogwUYH,"Hey, I'm Just Like You",0oulzC3sVGffa8DS1jgekz,38,not available
28,No Cap (feat. Lil Keed),5TP4H03EiTLBiXuigOZr0g,Robnhood Tra,3U6QnM9NTNaBkuPAQmINy2,No Cap (feat. Lil Keed),2PpYtVKRegFfz8oEo6hdOv,38,https://p.scdn.co/mp3-preview/6002a2fed854cb55901f16ca046fc4be62c0bdf5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Fake Pods,3jfomnmufV2Px34YndRvhj,99 Neighbors,5uhqkMm8dyQvX83kl4Znq0,Fake Pods,37dKNYRGC6VC4RY8XPnkAc,54,https://p.scdn.co/mp3-preview/831d039956e1d1496a836dd04f50771cd74d4253?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Caught Up (feat. Khalid),1opARDDYaOeE1QUdwXmBGu,Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,Caught Up (feat. Khalid),3LHVZayhkrZPdryYqJ5JZu,78,https://p.scdn.co/mp3-preview/8be0cf2a32d7731fc9bf9c59391a573b3c47175c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,La La Land (feat. YG),3TpBefRZ1vFcOH6z57PQRI,Bryce Vine,1ShZZUjkbXCjhwrb18BA8I,La La Land (feat. YG),0uEsmL4LP4fOPwa5ZVXICS,70,https://p.scdn.co/mp3-preview/115c5df0a239e80e454b96b80143a89050a44f4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Typical Story,3CTBO7cZM8tM3jIZmAWiFr,Hobo Johnson,05SdqPzK4m3k1ljK2wrTSP,Typical Story,1I7OXajBucy6Mlkf0NfrsE,65,https://p.scdn.co/mp3-preview/168d89a56bc314ab7a449fae5ba634d5c0384284?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Sharpest Edges,3YAKKLkaNHlPmziEmRjZBe,Gallant,7wFDo161xYdeaiLz3KIHoM,Sharpest Edges,31OLQGS2LF0F3gUIBrVtgv,49,https://p.scdn.co/mp3-preview/e70fccec6d51acbf47629d76165761c30c8011e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,That's Life (feat. Mac Miller & Sia),5h0Jgt873QtgL6nJRBGfT6,88-Keys,6RedK3o51NbUJuJxXlT4kj,That's Life (feat. Mac Miller & Sia),1a7behQFUiQ9iHjSJxiZXE,72,https://p.scdn.co/mp3-preview/7a29bb84794555fc0f10b71f71e1413a52947464?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Bitchuary,4dV3okcjbQwTcg4ObIGr4N,Shordie Shordie,5fyvTyetDr7gvLafBsEEhU,Captain Hook,1ScpeEwDjOM56tOz09z0Yg,78,https://p.scdn.co/mp3-preview/98cc1d2f16ce5f95a8d9a20aae3106197fb2acf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,Bad Bunny,4q3ewBCX7sLwd24euuV69X,MIA (feat. Drake),0p0W4RXcnc59jgatcdZozO,86,https://p.scdn.co/mp3-preview/1aa25af8a24b4c54dad8958fe3478b78ce5088bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Self Care,5bJ1DrEM4hNCafcDd1oxHx,Mac Miller,4LLpKhyESsyAXpc4laK94U,Swimming,5wtE5aLX5r7jOosmPhJhhk,79,https://p.scdn.co/mp3-preview/0d9af259d04efa68f88bd1ca8d85a75df32fd647?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Treat You Better,3B8Tx2eKzZ1u6bPnozOL1h,RÜFÜS DU SOL,5Pb27ujIyYb33zBqVysBkj,SOLACE,5Jazpq8mEgSgQs06mdwkQd,66,https://p.scdn.co/mp3-preview/763431eced53db76eb42e67b40925f7ca38df926?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Meant to Be (feat. Florida Georgia Line),4e4fqjx0Izh4svvTef1z7e,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,Expectations,4TOkZvtqNpg5UHyGxCn0mS,73,https://p.scdn.co/mp3-preview/47ae99be51862e068f3d482e5a93958d51b21965?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,Look Alive (feat. Drake),7GGoJfKFOwDNuiLjjfzyCS,81,https://p.scdn.co/mp3-preview/4c9c1f93e4b6032679d772a0a8c3c28cef5a42ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
