We Everywhere,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Like Tu Danz,1JseAs562lQva7llJ0bibp,Juls,7BIkk865pwBrSZetA8Izic,Colour,6DZAEmjvBrJq0a8sVHbf28,52,not available
11,Simmer (feat. Burna Boy),4JSEMSiKPVcIEBQIlmGuI3,Mahalia,16rCzZOMQX7P8Kmn5YKexI,Simmer (feat. Burna Boy),1l08IrLHEL9QQfsYBEs9MM,73,https://p.scdn.co/mp3-preview/27decbe2ead96b166523cbf973b9dc08ba84444d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Boasty (feat. Idris Elba),7cz506PyIgh2bMN90Mc8Tn,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,Boasty (feat. Idris Elba),7JoyVaXzxpgTPjkgB8mWk3,76,https://p.scdn.co/mp3-preview/c5c6bfce58de92ec322568b3af849311c853fab8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,BROWN SKIN GIRL,0B3FovCVaGKS5w1FTidEUP,Blue Ivy,3XV0lFzNs8BCTwhJTcMiBr,The Lion King: The Gift,552zi1M53PQAX5OH4FIdTx,77,https://p.scdn.co/mp3-preview/919c83819c5bb9a0097635dd978f9c74135a9cc2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Fashion Week (feat. AJ Tracey & MoStack),78KyOmqWmqLkQcXO1cA7MO,Steel Banglez,6k970rXaWAWVfWMjqWtFNI,Fashion Week (feat. AJ Tracey & MoStack),6OvaMPD9RAQ3tVTijCTgz8,73,https://p.scdn.co/mp3-preview/5bcc0a842656fe97ff3ccac949e915d27ce4ecc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Rapture,0PtDNK2Q49fAM4ZbKtN0mz,Koffee,1gWjcmBsveEYMxOZ0VRi32,Rapture EP,0v1VLjgwVun46wA13DWUJI,66,https://p.scdn.co/mp3-preview/054fb70f36f5da1dce06b316d4d334c2c88ca988?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Gum Body (feat. Jorja Smith),5u85l53Y04W59OfzQUsQX6,Burna Boy,3wcj11K77LjEY1PkEazffa,African Giant,277z75G1Gdz0SWN9pegrrs,38,https://p.scdn.co/mp3-preview/bdc38128e67089698b6ddce24a5becec4e88ddca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Snack (feat. Kida Kudz),1ZY68CrezgYbtpMVEGRnCh,Ms Banks,4imxqng3RrOBmykL2DhIJC,Snack (feat. Kida Kudz),1qgSczp9wcyKsKTEPoyzUF,59,https://p.scdn.co/mp3-preview/19b74f311108b8c04e59f3b8911819f9145a7c94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Too Bad Bad (feat. Mr Eazi),46B65q1LbqKB9ikpuGMI6D,Shakka,7fqDRFkiuwzFDde1K0taVs,Too Bad Bad (feat. Mr Eazi),5vZve4QjlsMH4YGVRAT9GO,61,not available
19,Show Me Mercy,75lVHFgJiFKV9sj5rtmGKd,IYKZ,0TBZNOKMncugSI36qT2i4L,Show Me Mercy,6ovzWCYl8TzhBsmUIxNZXy,47,https://p.scdn.co/mp3-preview/6169093d77ac63af54be9d43896aacbb0c3810bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Miss Diva (feat. Yungen),3mTSAVBL7yd7iHAaglXUPY,One Acen,16plk1BhihSieDutGFbLt8,Miss Diva (feat. Yungen),2v8CY04DxF2k3PgfyEz8mi,66,https://p.scdn.co/mp3-preview/643264e93863ad0f6ef5462d2a1e6a49aa40e256?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Secret (feat. Jeremih & Serani),3KSnA0j67IFkiwmEotMGin,Burna Boy,3wcj11K77LjEY1PkEazffa,African Giant,34vlTd4355ddD4q9pPsoqF,66,https://p.scdn.co/mp3-preview/04fb8637edccbc648bef63a9e64a4bd2bedfe87b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Options,2cytBOLpwFRX7J9URCrFIe,NSG,31Ua7zSTJxegjyd49ujbSA,Options,35MvbFXqp1ESDkKNqYfOIM,73,https://p.scdn.co/mp3-preview/f20004a49a52baf62e8877674c94ff4d1fc1bfd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Energy (Stay Far Away),11RIJRbBfyLlJut96itSFd,Skepta,2p1fiYHYiXz9qi0JJyxBzN,Energy (Stay Far Away),6c2FMAZeFKi8pui6dlZqXB,70,https://p.scdn.co/mp3-preview/e42c0417f21c6afddd90a46013681c5e4dd57acb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Sensei,609xDejvWBG3sBUAfvKUTC,ZieZie,26XzvosH2cl8Re6KSo9m8Z,Sensei,0hIKsgXEh1KcYOTjXPIq5l,65,https://p.scdn.co/mp3-preview/b5593ae408d063b74e2ead547a484a97ae8604e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Needed Time,1k65BavLispRXs7vzBuRLV,Yxng Bane,5AbLpsnTQVNB3OEadYiVrK,HBK,4izRWE4MnP9bLwKXteQ7FH,65,https://p.scdn.co/mp3-preview/62bdbdff6ae2b2f0f3e0fa70b03d44cc425a8bd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Anybody,6BtXtwOOy9CfpdlClUscJv,Burna Boy,3wcj11K77LjEY1PkEazffa,Anybody,0iiyqZDjLMi7qb9UwnTrwT,26,https://p.scdn.co/mp3-preview/1466bc7cec0747c69e9206fe2171086988196860?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Raw Dinner,2PyJgiGTC2jhNkqtPBwHsv,Santi,15GgEOJiFyjQm4tZ4D7qih,Mandy & The Jungle,4IMFZY59ree679oXQS36xM,55,https://p.scdn.co/mp3-preview/d764b26b1f430545fa0023452b31e7910bac6d27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,To The Max,2ruNaiZLwzRXnM7vJ2y1RZ,Nana Rogues,24HNTbd7Y2qVOCyzIosYi9,To The Max,0zQleOSgNnH1cd0o4CV7rm,56,not available
29,OT Bop,6bAirj2qDf0agxdMuIdq1p,NSG,31Ua7zSTJxegjyd49ujbSA,OT Bop,40epv3b5tvj0DOqv48IS2B,71,https://p.scdn.co/mp3-preview/7f280b9a1bc148030caa6a38eeb66c563f8063c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Hey Mama,77vC5gu81gOMLHgLA0YPAd,Geko,5vfmmb3UHpuQWJ55JP9slk,Hey Mama,1U5iv3OkLdRJ1CJ9EUmLv5,61,not available
