New Music Friday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
13,Big Booty (feat. Megan Thee Stallion),3g8sG483Es7NcJyXgkF1nT,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Big Booty (feat. Megan Thee Stallion),109HkQfABlciphATRx9VnF,66,https://p.scdn.co/mp3-preview/b40c40518744a1ae9a5c18a48ba85fc45025d6a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Jopping,5WrEilrRI5cIW0DxMvQYPZ,SuperM,5BHFSMEjfLVx1JwRWjAOsE,SuperM - The 1st Mini Album,1C1qYeSC9RdgbrKXpZCTSJ,71,not available
15,Bottom Bitch,1gbN2eRl4SfFe0zF47bSpq,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Bottom Bitch,5iPxMv6wrpGSM3xIoUwyS3,61,https://p.scdn.co/mp3-preview/f49a9b67fd564649e1159d2c3cb69e859d2b0d36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,OLD DAYS,5ngIhUXMkUoihh5TaACT1p,Russ,1z7b1Pr1rSlvWRzsW3HOrS,OLD DAYS,5iAGf8tX95VgX37ROwsLMd,60,https://p.scdn.co/mp3-preview/3b8feae0b5eb130c8b1aa4f2fd03b02a1f9d9493?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Better Half of Me,114xcQz8sZ6fxRBTZmgmNE,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Better Half of Me,3qMdA1s9e4FiWOlVFViq20,60,https://p.scdn.co/mp3-preview/399031dc531b563a49779932cac87f9c9f161d85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Death Stranding,1KOGBw8kuawbxJWqcHypy0,CHVRCHES,3CjlHNtplJyTf9npxaPl5w,Death Stranding,3HfucWtXUkkhEVwIohmJRs,62,https://p.scdn.co/mp3-preview/6936e4c87ae4b0c2412507c8ca55fcd9c3dbb678?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Rumors (feat. ZAYN),6XjNLIoUiU2XKdbNp7PvHl,Sabrina Claudio,30DhU7BDmF4PH0JVhu8ZRg,Truth Is,4vfE56g4oK4p8VVx7pThrU,61,https://p.scdn.co/mp3-preview/c75161034667556dfb6c4868a6f312ec812578fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Bandit (with YoungBoy Never Broke Again),3t6Z2qoBVCS4NHNI25XECH,78,not available
21,Don't Get Me Started,7MFL1GD1NtffPkogskoilF,Pia Mia,1BhWF9W2PngtPSyobKg0rP,Don't Get Me Started,69lLTPKbTnVIyOnA21r4Xb,58,https://p.scdn.co/mp3-preview/b279f82d2d1ba7483452d3987f49edd597bb26ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Don't Speak - Recorded at Electric Lady Studios NYC,0gzMEfErGPaCFbQJdb2HQb,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Spotify Singles,0tUnCfqBLeZlivAkbxvbib,55,not available
23,Beat of My Heart,76CrkEsjBMyJyxymvmx2hK,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Alive and Feeling Fine,1oBajnDtZiBg03ebaFZYoj,33,https://p.scdn.co/mp3-preview/64702056e8b3733203d4c9c7ea9d320a140c4fdb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Hit the Back,7ww6gTkfd21QU9CD8PG39m,King Princess,6beUvFUlKliUYJdLOXNj9C,Hit the Back,6QgNrl3BSgNmnhDBAeMTpf,60,https://p.scdn.co/mp3-preview/5a9e6a2d79203e7652f664751f50bdbaa11fb708?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Lost My Mind,3CTr7gEOXRI2Jhe6bVVZUd,FINNEAS,37M5pPGs6V1fchFJSgCguX,Blood Harmony,51V8Fme8o9GthQ3O1RNMtE,58,https://p.scdn.co/mp3-preview/791ef5fba33525dfa9fbf25d04e2f9e740a51e7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Good Day,7iTwzSe2fg5xYwCgXXFkEe,Surfaces,4ETSs924pXMzjIeD6E9b4u,Good Day,1HPmeTZ2Mgx0NvynTKpWOj,56,not available
27,Love & Loyalty (feat. Mannywellz),740vfmatXFtyNO8FzsQpSN,Wale,67nwj3Y5sZQLl72VNUHEYE,Love & Loyalty (feat. Mannywellz),2P7btxS7XO271QeOm21qme,50,https://p.scdn.co/mp3-preview/3c8c15f7c5d98df3284dae042f9ee549eacc3894?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Superstar,4EYvuvqzUepdNaUlUZKVve,Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,Superstar,45ScJwTLqnrTpmsjehHPHM,58,https://p.scdn.co/mp3-preview/bc9ac69e0dbf531a29d55286aa6e1ba08d0d2818?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Own Me,2CnscesDhDpF7LpURtgBEv,bülow,5vBrKGOjN10BMwB0cJADj4,The Contender,75OmZv2K9rN3ySHEvc8GIQ,56,not available
30,Far Away,12H6iTEgiX4HPnCPphYSMk,Jessie Reyez,3KedxarmBCyFBevnqQHy3P,Far Away,6oSnvw7yQpDFFTZIZA4Rxx,60,not available
31,New Love Cassette,4SsWVvNKAHJP1T2bP6d2ut,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,All Mirrors,0RedX0LZkGUFoRwFntAaI0,58,https://p.scdn.co/mp3-preview/d75ccf98fd8ce989406ebfbe149959fd10bd1ae4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,There Will Be Blood,3MTk8zTFCHgMei64ycr6GH,Kim Petras,3Xt3RrJMFv5SZkCfUE8C1J,TURN OFF THE LIGHT,1DHYrQEevTTen4mqPgaxfH,65,https://p.scdn.co/mp3-preview/1d5c358ad9c79a948ca9f4fe79d90cb02fb7f865?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,These Nights,2n0oy8RGDpy6WGcLImTteI,88rising,1AhjOkOLkbHUfcHDSErXQs,These Nights,2ZHGnhsomLmLezueESi9ou,66,https://p.scdn.co/mp3-preview/ba3665499461dbe4f22bedef1b7f2d4941777cb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Play Your Game,51T2yBmmeBieiKK6wcQhgl,X Lovers,1Hr5Adjkxh6ihfsoahOY38,Play Your Game,7spN8eJUXtXdACDJMTPWth,48,https://p.scdn.co/mp3-preview/5d853e084633a097868b0a6eb166f3badbc32d28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,SPRAYPAINT,0q7hrSNFUmsgBOxGAUIdCK,JUMEX,4WSweIJDD3aAMDeHA5MK0j,SPRAYPAINT,6qrXSYAN56m5UrmnaDhkzl,47,https://p.scdn.co/mp3-preview/ffa378514f234d183a192b1dbc0d5b37ee41cae0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Tokyo Ghoul (feat. Young Thug & Terrible Johnny),6YP8ruvFSc6UdLobWKXn9F,Highly Suspect,2pqd3HsfsvcBGtHvPOg6eg,Tokyo Ghoul (feat. Young Thug & Terrible Johnny),3UtG96LxPoJbTdR3x95oRJ,55,https://p.scdn.co/mp3-preview/96ff3a602b5d0812bf0c8d642abb13f796d56eee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Problems,5fgHQws1Cj6KDLQmlqM6lF,DeathbyRomy,7aWpPjjgItUnXljFxYYKZI,Problems,5qrMJHElz2d5ig6NDIY6cv,48,not available
38,War,0JhonNQL2ixH1JcsgEj4Hn,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,War,7rF0hkAw7bmas9Cd44F7tA,57,not available
39,Hold You Down,5HdFkD5LlBRkY5jkAKopga,Quin Nfn,3M1quhETLChtt9NHKVaajX,Hold You Down,6HdKHn52eAadMNXK5EJjh9,49,not available
40,Legacy,4tBhxkSjuIDQkJoYw1gdic,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,Legacy,2TruOZvZLZuiREt6k9L9Wu,55,not available
41,getaway car,5tu8h2BVlAwZHmAohYjEDn,Carly Rose,0Z49rYPKsyCCLGq1UiHrBe,getaway car,5hzpMbAZo15Ufv14NtYJCl,48,https://p.scdn.co/mp3-preview/e0780904e3e55e1936f16c1c99527435fd7bc297?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,boys r dumb! duh!,2fswhJOAJ4myANknmgOl5W,Silver Sphere,4xjJOu0MWVWuaDVZOy0Dx2,yikes!,7MMhGXIuHsVNqck2wTf8kZ,47,https://p.scdn.co/mp3-preview/8d771154207171baf069a845064cbcf7e52b7fb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,One Two Things (feat. TOBi),4uHnGCtTaFxaUhCIS2LGmf,Party Pupils,4F61H4lx1js4wtWfb2Rfnt,One Two Things (feat. TOBi),6F6k1AA61JnJALFyEqSTiM,51,https://p.scdn.co/mp3-preview/5bdf57b2162c138e972b73f041237943d370c8e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Hard Times (with Robinson),7aeC1lsf7WzBm6aUePXQpr,RITUAL,3RP50pmG8Wz1mhNCidQj68,Hard Times (with Robinson),4rZ1IoGgZ4PwXwRIsSxMqo,45,not available
45,Lonely,4wuybd1JKCuq6mIau4Emcf,R.LUM.R,7JBZN2pehWRUu3fX11lP2y,Lonely,4NBonKIKFsIZajgNW1QD5U,47,not available
46,Spaceship Jocelyn,2CaqYrRQlR3bkryL4lXpxS,Rema,46pWGuE3dSwY3bMMXGBvVS,Bad Commando,1LLXYglTLoygbDr70iZyyu,44,not available
47,SOMEONE'S SOMEONE,0nP9JFMx8z5QNl5Ph8ExEa,Monsta X,4TnGh5PKbSjpYqpIdlW5nz,SOMEONE'S SOMEONE,3CFYV1F2RIDoHyinrBv8y5,60,https://p.scdn.co/mp3-preview/704ccd4d4a6ba5beb3e1d6d0b0e6dcab7493328e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Daydreams,2UM5jlU2iLXDEAtzIfa1m0,ARTY,1rSGNXhhYuWoq9BEz5DZGO,Daydreams,4NPQLgALvm7TeWwMT1HZe1,50,https://p.scdn.co/mp3-preview/d27e89a36bd06b912642d8f18953be9ebadddebe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Where I Wanna Be,1v3PdkTnCS6iICTth1Yw3Z,Big Gigantic,7o7mC95EDbJKTcPAAs8C3r,Where I Wanna Be,0i6gWR8jsFiR8J61QWDFPz,50,https://p.scdn.co/mp3-preview/b18d0e16a6676518e5564bcd3b5bb891ba9332f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,uknowhatimsayin¿,2sBClvs8a18rHtJTGtuEAJ,Danny Brown,7aA592KWirLsnfb5ulGWvU,uknowhatimsayin¿,4G3BRVsGEpWzUdplFJ1VBl,57,https://p.scdn.co/mp3-preview/1a20ca9037c916bbd53425fe5d8308cb9017c71f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,ChopBloc 2 (feat. NLE Choppa),3RzK8spPyswJ5lrEeiJSEz,BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,ChopBloc 2 (feat. NLE Choppa),5Ha42NhWHiUn23pk80YPoQ,54,not available
52,Choosy (feat. Jeremih & Davido),4gWAcvkVLzqnzFOcrYBut7,Fabolous,0YWxKQj2Go9CGHCp77UOyy,Choosy,6TcKWIXJvIVJHXerQtc81l,57,not available
53,Mind Over Matter,1RNqGi1SzNgnGRI9pjVuyL,Anthony Ramos,660YptcR0hNHJ8iEr1qcse,Mind Over Matter,4IIxFzzcyUdj0tW3QTH2VV,46,not available
54,I Love To Hate You,4lSf7DQIzKA9tWFBSUfD1f,Kat Saul,5lrz0mrA1LeRygTr1pOWQ8,I Love To Hate You,5Kh9C0tc6o7NEy9t0n2Mtg,45,https://p.scdn.co/mp3-preview/92fcb19f5653a86ecc695894e734e3a1a9ea8f48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Adore You,3CQqY9BxLZE6HmieR7fvNM,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,"It's Your Bed Babe, It's Your Funeral",1sbCW0I7rP05Zyru3gSyiH,56,https://p.scdn.co/mp3-preview/bee9946703d334a01d9d4025733dce0c1c12d92b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Tucson,5wMfLe1nd26X7EQszhZjly,Healy,2Yhge9MsE7qKcV0eWsuuHM,Tucson,2Fiy8K1joICL6gSMuOyZ2o,47,https://p.scdn.co/mp3-preview/b9f0a4286955d8cb1b82a73d1623099573609a35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,forgive,0cM5MPgaVH4aHrxA85s7Gm,gnash,3iri9nBFs9e4wN7PLIetAw,forgive,4yhwtGTDnJvodkXpbXBEGV,54,https://p.scdn.co/mp3-preview/002ceb58c5c923fa3604bc0cc00b656108c59279?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Tell The Truth,49FzWoEDUNK9gm8fvg9GNv,The Avett Brothers,196lKsA13K3keVXMDFK66q,Closer Than Together,0TlxSUyEa0YzcLrnXfqasZ,54,not available
59,Ready To Call This Love,0jVkwEBmoTHyxZyXDoCMnG,MIKA,5MmVJVhhYKQ86izuGHzJYA,My Name Is Michael Holbrook,4bVlbOipapiqrTusSsgvIc,54,not available
60,The Kids Are Coming (To Take You Down),0FeqdkXlkARJTSQqGrJY8j,Third Eye Blind,6TcnmlCSxihzWOQJ8k0rNS,The Kids Are Coming (To Take You Down),5tZiW1fgvhdt3QDkecKREL,49,https://p.scdn.co/mp3-preview/99848a29d4141c07cd0f3b67133501805589b493?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Like Before You Were Born,0K8N0F3efUhd55TxNGgmGD,DIIV,4OrizGCKhOrW6iDDJHN9xd,Deceiver,66aYL3AZPfk6leHxlJDYQ0,53,https://p.scdn.co/mp3-preview/7c34f2bace5d51b1124e39bd8e1fce7a267dabd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Drag,3ofqTVs2BaCuY6A1tic49y,Barrie,1pHO6SCEw9tuRx0IVMFL0g,Drag,7znTtzFxCsI5wTT3EMPQB4,46,https://p.scdn.co/mp3-preview/c718ddfbb8276b15e7ed1b33f75b46f0b0dd944a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,No One Knows Us,0r2qWobW2xckEaeMbGU0AU,BANNERS,4qWnlmXWuGv2TtuxtIWlJX,Where The Shadow Ends,1Oy5r0FpHWcYaQZPvsYaWs,49,not available
64,Everywhere I'm Goin',4ISOcOWC77uyGz5pQtW0T6,Maddie & Tae,34bhyY8jfKez7uKakMfy4y,Everywhere I'm Goin',1hQpeaOPxsiKqxMe3nnnpk,51,not available
65,Dear Luca,7Ljup0IeL8UUq66XbVyzeI,ayokay,4BzCdhJTyTS3gumq9xmymb,we come alive. (Side A),2skGwvEYMarZwKaPGXtetw,48,https://p.scdn.co/mp3-preview/d5f5e4785fc1504fc0c6f0ae236104f0e003f876?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Do It To Myself,5JhEV3RFNThUJ8lD5e0iLT,Nova Miller,69iZuswGpLplhnKBE0MxcA,Do It To Myself,7yWVKZehFljtdSWwT0s0gk,34,https://p.scdn.co/mp3-preview/f47055f4628a0980ae07b5425736d87f4605821f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,On My Own,0ALA8uP6Su0STRyIppHQUX,Jez Dior,2tmWjaROlvLpahIZcvPLwi,Handle With Care,52WqdSNr8hQioPuM1mHNIF,46,https://p.scdn.co/mp3-preview/a52df814ffbfbd0676815ada58e6a3a5fb5c1701?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,"Cross the Path (feat. Swizz Beatz, A.CHAL & Jidenna)",2NMHScIl7Ihx0ZozSm8Jl9,Godfather of Harlem,6ss7NRk9Y2P9n8q1yH2HXA,"Cross the Path (feat. Swizz Beatz, A.CHAL & Jidenna)",50zZx892KszSLvmhrvmMve,47,https://p.scdn.co/mp3-preview/19e2ace0e05bcc87a5fd4eb8b3b94d213d123f94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,¿Qué Ha Pasao'?,2zkVH2daHyjS51g7PRJFDn,Abraham Mateo,2bxxlINUlcMQQb39K7IopR,¿Qué Ha Pasao'?,2KSuEqdiRePWkHU15Q9KH6,60,https://p.scdn.co/mp3-preview/45ac9f760521541c9f070c4f52edb3f43161183e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,TREESHA,537rVFLhclG0sKOYLVoZte,Justin Rarri,7atuUUktuP1wDbkkgdNvxI,TREESHA,6kZFIPVkoJaeSvZgdn6yyZ,46,not available
71,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),3950uQm4KQL3ckerKBeXYp,Guapdad 4000,0NcPKaSNIHAM2RfioH9vMT,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),432608DLpP0hExluDkY3Yh,59,https://p.scdn.co/mp3-preview/e726b14668627c5fb930f081c9d799471b93ff0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Randy Mo$$,6Czehi4brvjpYIkNb6fQvE,Kid Ink,6KZDXtSj0SzGOV705nNeh3,Randy Mo$$,0rhhNKTUkqFVzYND5SVKyi,57,https://p.scdn.co/mp3-preview/84a12def44fd11cc6c97589547a1432874fa1ec6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Mango,63G2X3v7ERlgegz692BOan,Peach Tree Rascals,0imE3buPhAowREqCrr4CYe,Mango,3EwfEobd4LwcIojznV2vYl,49,https://p.scdn.co/mp3-preview/5ab52e92801a9514569a7a7e6b88b0c2c46342b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Heartworks,17onAqgx91Bp9MXtF4TvJ8,Wingtip,1Eie0tY91rpi7Y0jtIOXzI,Heartworks,1HIM724n5CusJzGpfbIBX7,39,https://p.scdn.co/mp3-preview/32df75c8c6455f1150ef33f5a096c3d0b73d8d6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,body,6Vei3kKN9pPMpBZ9kgF1w8,Isaac Dunbar,2sBVpvpeQxK01FqIt5t816,body,1Ys8zFS9GLkPWlTnVX0n7b,43,https://p.scdn.co/mp3-preview/43bbcdf8d0b82cc6dceab9760d96b38440203c78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Difficult Love,5B036NTl35McrlKBVEYqid,City and Colour,74gcBzlQza1bSfob90yRhR,A Pill for Loneliness,1FgQzEqXePnyHC8YxaRl04,37,https://p.scdn.co/mp3-preview/784a6daa13841e4393619ff30e85f5196e269a04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Save It For The Weekend,4ja8f7cLqln77RZscRaMqI,Skegss,3SGLeWc7J5Ve0CinAOrb3a,Save It For The Weekend,0qA94rO22Y4N3tsvzEcq3F,51,not available
78,All This Music Must Fade,6pymDBwVLIAyoiW8BdlRbF,The Who,67ea9eGLXYMsO2eYQRui3w,All This Music Must Fade,0joAFKb8bHE3TF3bOomE08,51,not available
79,Everyone Hides,2dZ0PelHrnlIEGJ6nwpcW1,Wilco,2QoU3awHVdcHS8LrZEKvSM,Everyone Hides,0kkc5CptgKQFIil9DaGiu8,59,https://p.scdn.co/mp3-preview/92cbd9fc6d33b1a57afb9b4de93743a3bbf46b3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,NORTHSIDE,7If4214bXXvGH3VdjPCybw,Ama Lou,2tAqnHDAgnGtjnlzyoa38L,NORTHSIDE,3WByquxGzPptj84Mbx1ZY2,48,not available
81,Becoming,6lJbHxypCGCH4rppV1gCps,Diana Gordon,71Ug2zQHWlJFjNCK8swHfL,Becoming,3qNKX4RL9T4yyOpPpRed38,45,https://p.scdn.co/mp3-preview/1904f17f9b463b2cc1acfb2a60ebab1237744fe3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Alone (feat. Jacquees),1367Sa0d0KFI96DHsTc8ID,Dave East,7e10JUMF7MJmmwYpnTSMI5,Alone,2HkdAB5Qb8LrjQgMN9vetv,53,not available
83,Mobb'n,6AmKDBiP9L1RwjjgOf6ZVc,Kash Doll,3u579Gdap91lMptBSdXTpf,Mobb'n,0csuOwEWEyzOsTdfA0i5Ph,45,not available
84,Tanto,3bCuNSiaBHqxdevMYEnGpe,Jesse & Joy,1mX1TWKpNxDSAH16LgDfiR,Tanto,3mBRgkagJKALFDxm5ptevT,61,https://p.scdn.co/mp3-preview/60c7b19e6699f2da06f50e6150c8e54152b505dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Dead Alive,0yjRyCmu3Oj8oU5fZ9cIwT,KIDDO,5pXe6yFchq1oyYK3rq2A8i,Dead Alive,559sIaWsRUmd3uaGVhumjv,45,https://p.scdn.co/mp3-preview/adb32babd1aadc7f33577ae052df348f1601bd69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Jetfuel,5eafDVBKvnfPcXgJlMoecB,Jelani Aryeh,7A47sEe0ih6WpKmNCRMu86,Jetfuel,3uvbj6LtPgPLa8vsosQCuG,44,https://p.scdn.co/mp3-preview/39f325d46a924e2cea40801c3b5806d0c4666101?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Want To,1HFFkBC80X2eHzhtHwjpg9,Claud,5MaQlvNGOaTj39apHsXVq1,Want To,0vuxBG7PlEL28N4x9NhjHF,44,https://p.scdn.co/mp3-preview/a98f3d4597b6af055a7a7646f5715841e4216605?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Forgotten Eyes,6N1ngx4OdhaksnPwMXKUFe,Big Thief,5QdyldG4Fl4TPiOIeMNpBZ,Forgotten Eyes,1aQWvziTqtpK4nJ3Dmnecy,52,https://p.scdn.co/mp3-preview/1d2dbde81661befe84381769cd30457be01bc412?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,WAY BACK,7HJmV84Tud6R7MVWZv0IKa,Niko Moon,6Rw7DRa1dzChBvxGPCpOxU,WAY BACK,3F6EdoZmO25iccaIy1Z2Vr,43,https://p.scdn.co/mp3-preview/c1304841c0a48a9ba86e003dd0fdb975a1e8a1ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Devotion,7gAYVhxrY6sfe8k1f37NtC,Liza Anne,426VSUSxx9puUYFgp7l7EQ,Devotion,1FlGo9LESucX6WF9YazkqF,42,not available
91,Nena,0raf3YvklpSoMfXZ9vOH2v,Melii,4udfTw7V8jI4AHi7PEfJfj,Nena,04uB1TEToENNZe9PSOmjmx,50,not available
92,Joro,3Yt1ovsh3v3VEzRuhI1TL5,WizKid,3tVQdUvClmAT7URs9V3rsp,Joro,1Mj4mLvCC9P4b167keUsRh,59,https://p.scdn.co/mp3-preview/269db9db4e3302b9a37957f442cbd082ddf68639?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Orck,13AsTzqHpaD6qleOQ7ypPM,Gesaffelstein,3hteYQFiMFbJY7wS0xDymP,Novo Sonic System,18y6apqHKwutkZho4fc8Sj,52,https://p.scdn.co/mp3-preview/bbaa17bdb3a628feea1b8229319c8f2c9b3f0b2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Jump,7yEM9hYRsw9R3pJB5W0gxb,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Jump,1y8yeYpcaqJB0DWN9KWUlb,62,https://p.scdn.co/mp3-preview/702b54763fd2a3c7d429ed3b2d626bb69a0f9492?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Long Money,3ddQ1Sr8fJsB9pSdV7rbA2,Peewee Longway,0xTcxl35DKXUeYRWqY10w6,Long Money,3CjmbA0EfQzieBkW8fTRhD,42,https://p.scdn.co/mp3-preview/744144f71c6f2f979b20239bf807eb4075bd8b4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Shoot It Out (feat. Worl & Hott LockedN),0TZbar0k0XFt5KsrYQCESe,T.R.U.,7uwQPQsBYgrSd63xgeMyuM,Shoot It Out (feat. Worl & Hott LockedN),1rNiB73X56HmIrodDXDJIO,56,https://p.scdn.co/mp3-preview/b7a649b3d98feff2809106760d8e49aec56d45c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
