Dancehall Official,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,Deh Yah,16azQRSYm2xZ4SW1Md0irN,Gyptian,2JX4h8xm0hNxCB0aNBWzyi,After Hours (3P),2RClfi9oNThJ1lmqzyE65f,56,https://p.scdn.co/mp3-preview/e0e3d66f675d6f317ee334e911fcfc6ff1491a5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Diamond Body,38oTUkh9XhYUCC4nH4LIcX,Mavado,0eezS9KmhdjGN436RdTIXu,Diamond Body,2Bad0JhmBL35oIcFsvoNjD,60,https://p.scdn.co/mp3-preview/f185c921f3ecc6bdcac1f56ac2a036a078833b4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Pine & Ginger (Remix) [feat. Popcaan & Kranium],1clMgZfPGdDqmsCHxDKM6K,Amindi,1xQIR56DxgWYZPUvOLRIua,Pine & Ginger (Remix) [feat. Popcaan & Kranium],5C7w5ZCyOKNozFFgMBksTD,48,https://p.scdn.co/mp3-preview/30f661ec101f6640322d1737d0207eaddb143049?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Bank (feat. B Young & Russ),5m2kE2JxW6hzpvUr3hPN4u,Collie Buddz,5Ayl2bJtN5mdCsxZoxs9n1,Bank (feat. B Young & Russ),3Gc9RwwGrcRJPJmRx4AEML,33,not available
16,Push Button Start (feat. Vanessa Bling),5CuccwU2a95HwMicccCFYy,Rotimi,1xBARhKI09ZTmeePVDWMCf,Walk With Me,5N5e8acMVgsIZif4NZppoj,57,https://p.scdn.co/mp3-preview/8cc94f3f96024df77d03f625f8345ccdef0fb29d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Really Need You,6RknDgErEVbioetRByWBge,Gyptian,2JX4h8xm0hNxCB0aNBWzyi,Really Need You,4b1FgKCcRajknAyxorvTNB,50,https://p.scdn.co/mp3-preview/c89b1e702300ddf47ad78df3f7790b97c8de1870?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Got To Tell You,0qTD97mpn40iDTBDjvjwfp,Busy Signal,4RfTXjK9aiiIKDaKUHpL57,Got To Tell You,7gNwP8Aapssq6DyBJmBLLK,57,https://p.scdn.co/mp3-preview/ee51f0744b9d23b27ddc2f34b10bcb077e82ba2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Call Me,7iErqjvutti2bN7DWTfIRD,Walshy Fire,3yJLZoq3Ra2VmSW5teVgih,Call Me,2MNM5e9lBOtnNLid9hQwh0,15,not available
20,Explosions,2FUYlQtofoJFnh5kty0zLM,Ricky Blaze,5WFPVKybSiU6x8HBTACfpr,Explosions,52VQFZHrBbCxM8BYlJtWZB,48,https://p.scdn.co/mp3-preview/5bdbfaa483c20d55791ecdec404cf2525ebb2742?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Best/Blessed,6QAmoycyCn5OycLsnjXch4,Popcaan,62DmErcU7dqZbJaDqwsqzR,Best/Blessed - Single,4b9Z0fELATDNZu9D8cPPv7,50,https://p.scdn.co/mp3-preview/7472dcb6beeb55d1b6b22cce0f8eeadc261a2b9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Reach Home Safe,66UfFxJEnXjRtjF1dB0kx2,Damian Marley,3QJzdZJYIAcoET1GcfpNGi,Reach Home Safe,3jZ5w2o2SofnIYaeLlhQYA,50,https://p.scdn.co/mp3-preview/9efaf96a445b48e75d41f49f5a9f6bc0a35c04fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,LowKey (feat. Jayd Ink) - Charly Black Remix,3XQvocnKfdOlLYpe78kzxl,Full Crate,0JeTRYMH7FoBiMcLXg1n8g,LowKey (feat. Jayd Ink) [Charly Black Remix],6I2YPOdl8RCHT3L1qS8T39,48,https://p.scdn.co/mp3-preview/3b641731b79dd5c6c06b0801593d8ddb2ce9c590?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,So Me Move,13o5Xw5AdQjVWbnbS2z4Xs,Kranium,1LKo6ZA3RNvKtLa6zDu32S,So Me Move,1oqXcl7f1VAAVIOX3yf85J,4,not available
25,Not Another Word (feat. Agent Sasco),5G8U6dZnIfrA5EIbpLzQGZ,Protoje,7BGR8y1VZAWK2oR4zD9COr,Not Another Word (feat. Agent Sasco),0Fhb8CZsayHIfSPqzgtrtj,48,https://p.scdn.co/mp3-preview/8c9c914ba5b3a98df140522104fb03b484f6829b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Oh Oh Oh (Lucie) - Popcaan Remix,4ZpWpW8O3GhcCFye63rtwP,Runtown,6mMtnxEQkYoY5FfJIQ9Rhb,Oh Oh Oh (Lucie) (Popcaan Remix),6647i8uAU1yIy6n3z8HzDn,46,https://p.scdn.co/mp3-preview/23e68f35fef50b7533546c5a46df626fbb6c417c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Level Up,2tjFQAZ3QWb6xzvsoQVXAO,Popcaan,62DmErcU7dqZbJaDqwsqzR,Level Up - Single,6aPXOp0apjyLv0dMCib4Ci,50,https://p.scdn.co/mp3-preview/34c15ddf9b14438fe6f5feb8b8acc76752db089a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Nuh Failure (Ghetto Youths),5fADNXh46omYPX5HCrMxoC,Mavado,0eezS9KmhdjGN436RdTIXu,Nuh Failure (Ghetto Youths),68CyI7dVvOk1jCu6WBVGDd,48,https://p.scdn.co/mp3-preview/67deb3f333907ffe454269dc5a97fa57ecfedd98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Nah Mad (Ova Nuh Gyal),2kEaouAnKFG2LsgNAbpINQ,Munga Honorable,4N6urvy01I1p3ZgWLDjmKU,Nah Mad (Ova Nuh Gyal),5WNTNrhqwxr6OpLyQ8lBhn,54,https://p.scdn.co/mp3-preview/0cd70b0dc03a5bca08137dff90814ca98f756da7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Where I'm Coming From,5EoWTReJZUJMhWNTf11lag,Lila Iké,0uAUrmEQbwcDFzg0v7VicO,Where I'm Coming From,0UPMEfaZlZdzuRYn7moavZ,44,https://p.scdn.co/mp3-preview/da29937f8e17d0e8aa3bc4bead7cec30a8f2a904?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Which One (feat. Alicai Harley),3s4QNRx4OQwbcTY1BsnsrI,Bantu,6tt0iYnpHERj05WATWRiom,Which One,74yXwdb50E95zR60nUIrYJ,43,not available
32,Banana,7nF0TnQV9RIzn1mIlr5qxC,Jada Kingdom,2FgooFaZzZy6PUyJImk0kG,Banana,3UeUx9etR6Rg7VeqO8EdPu,54,not available
33,Sidung,0gfPVrsdbHZFjzr79ouUhn,Kranium,1LKo6ZA3RNvKtLa6zDu32S,Sidung,1fssIexokbEgHqA6oVe4A2,55,https://p.scdn.co/mp3-preview/4e008c5a215e72f3a7e4dc11ba03a9da052372a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Collateral Damage,5srIkb35ees5dhgjK3zdfz,Burna Boy,3wcj11K77LjEY1PkEazffa,African Giant,34vlTd4355ddD4q9pPsoqF,66,https://p.scdn.co/mp3-preview/04445328288752defbb0f2dcffb35aa2a7cc238c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,RX-64 (The Jungle),53xA9ueFQDn8r38mqiwqqD,Santi,15GgEOJiFyjQm4tZ4D7qih,Mandy & The Jungle,4IMFZY59ree679oXQS36xM,53,https://p.scdn.co/mp3-preview/12b1b8482984704652620d4d45ec15b338cc320e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Life,3rZvauVVP908ShyvDW4E5N,Christopher Martin,3mrikwg27Va5uscwnBicq0,Reggae Gold 2019,5cfZ5mWTwZwyzSSgDeiFN6,40,https://p.scdn.co/mp3-preview/04a5995f68518bdbcc104dd2b328745f35600b42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Flex Pon You (feat. Wiley) - Zdot RMX,37A8TKrERjYt9qJ635e444,Ricky Dietz,0G4WsuGGJIFhlRRxO9HXuK,Flex Pon You (feat. Wiley) [Zdot RMX],4kaGdvzO14RC9BqvKOdHZq,51,https://p.scdn.co/mp3-preview/f237d2bafea7c59902b9f4bd603dfb8840b22bbc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Back Way,28W2zd8vNWoNQN6RKnfxuF,Vybz Kartel,2NUz5P42WqkxilbI8ocN76,Back Way - Single,3zQGp7oiYnbjfM49B5Lu5O,53,https://p.scdn.co/mp3-preview/90c7d112d7c43e3c8173e078dda3a3b551966678?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Pull Up,3sEcJ4mGZ9srlXdG7G2HK1,Burna Boy,3wcj11K77LjEY1PkEazffa,African Giant,34vlTd4355ddD4q9pPsoqF,65,https://p.scdn.co/mp3-preview/a223f925280988009962b8a4fdff4d4dbc7a0836?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Work 'N' Grind,1RXVM5f0ctVWjpN4rUYzYr,King Perryy,2Srxd4jkUb5hcZEJO1SPnW,Work 'N' Grind,3uGvrowCveGwvRCOoJHob9,51,https://p.scdn.co/mp3-preview/ac45ca2a2bc543959a0a8dd7718c862b6f2ed2e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Pretty Face,2tAi9Q38ZdJnNk2ZgZ9ZOr,Jah Cure,1bSn5aMcE83TXLlLDU9rTy,Pretty Face,5touHvWQhpQ0SDAidJMVFK,47,https://p.scdn.co/mp3-preview/a35412c49e75f7c7b467e436357ef5af061f3a5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,I Don't Care (with Justin Bieber) - Chronixx & Koffee Remix,2Xqm0jHnkvjzrkkVRInzUB,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (with Justin Bieber) [Chronixx & Koffee Remix],1alDPx3BdkU4YBHRZ8gGLu,56,https://p.scdn.co/mp3-preview/baa6b30fb940ba457525dbdbfb8d4064d0fd7af0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,You (feat. Alexander Stewart),6zUnVnCCm02H7NP2R6It54,Shaggy,5EvFsr3kj42KNv97ZEnqij,You (feat. Alexander Stewart),1QefxorzxXxbFOgr1anUAg,50,https://p.scdn.co/mp3-preview/365b8f235f7bbbc833385d6b29486d5b36f18297?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Secret (feat. Jeremih & Serani),3KSnA0j67IFkiwmEotMGin,Burna Boy,3wcj11K77LjEY1PkEazffa,African Giant,34vlTd4355ddD4q9pPsoqF,66,https://p.scdn.co/mp3-preview/04fb8637edccbc648bef63a9e64a4bd2bedfe87b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Come Home,1VFc44SCD83VLUMDJh4psj,Vybz Kartel,2NUz5P42WqkxilbI8ocN76,Come Home - Single,00luAdaCduT3yqmJTdHtzc,53,https://p.scdn.co/mp3-preview/426a1d91625bbaa51ab43a574797e4a19adf3904?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Blessings,28XBIzpPzfgXwrno4B8U1f,Angel,6RIJu05yhEIYskbVgxmk3R,Blessings,6YvdsRy3lNHkjwK7L4ojMi,59,https://p.scdn.co/mp3-preview/818f0d344741af69360d71d2e5fa7c78c0abc119?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Just The Style (feat. Alkaline),3xhoxWAzFWrIiGBs8eHFEJ,Kranium,1LKo6ZA3RNvKtLa6zDu32S,Just The Style (feat. Alkaline),5zryIK1LqmGegvjvnFdIYi,54,https://p.scdn.co/mp3-preview/77c4c7ec5a7224f4afb9ba5f2da48f7375f0308e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Go Dance (feat. Busy Signal),2oTWLUfg4ifWSbynVlgMZG,Afro B,7oMRcCu0OYSCtCyS3P37iC,Go Dance (feat. Busy Signal),1jJ5mZHvsfyw6vuIFIVwxm,58,https://p.scdn.co/mp3-preview/d2adef6a2b4cd8a69624acd2a3238d7e6e4d9d49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Different (feat. Damian Marley & Angelique Kidjo),6F5bERiTAIAVAP8ZUh0tqE,Burna Boy,3wcj11K77LjEY1PkEazffa,African Giant,34vlTd4355ddD4q9pPsoqF,58,https://p.scdn.co/mp3-preview/f1bc6e3119263dae5ff575a0c6701f289cb54008?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Steppa,6Vd6oKgPtrOUtezshMucHN,Buju Banton,4wLAjfeqAsV66AocWNcowA,Steppa,332xkf30SlEzRdjHIExQqu,48,not available
51,Tek It Out,37RUwZUqgBgl6gs5cNbEEY,Vybz Kartel,2NUz5P42WqkxilbI8ocN76,Tek It Out,1SNtCffC79hCQRee1iFTEG,46,https://p.scdn.co/mp3-preview/cbb06c07c7ae1456783a3bc472b29685614cc7c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Bruk It Off,4LDDfSE7PliD1Z4GGGtBHk,Jahyanai,09FXva53dWku8Gu5N73rR8,Bruk It Off,2EukYD8IR5qAR0Wq0oqe2I,49,https://p.scdn.co/mp3-preview/5db2e23773a6d3d8c3bc9b04b473ce0068f3f2a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Pretty in Pink,2wLnz7IP0SV5CYvrPJB2TC,Barrington Levy,5mMuiFhh7faS7qxnTLRA6u,Pretty in Pink,0A2E8lkS8S56y8cIwnG8EI,44,https://p.scdn.co/mp3-preview/f82d82b921d506ad259e89627e163d389871089b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Murder,1vPI4ZNkgNJhkFVTc8aRRh,King Perryy,2Srxd4jkUb5hcZEJO1SPnW,Murder,155yhAtWlULmuNQPhXaMPm,41,https://p.scdn.co/mp3-preview/d6d410fa12827fdbb1e7cd7dabe00827b5dd1df6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Slow Down,5UTGi1OT73vHFZqva6sBDe,Juls,7BIkk865pwBrSZetA8Izic,Slow Down,2y9YzZEPoiiTjknQRn5Z6b,51,not available
56,Badmind,4yv9WdPzD9rftU7SIqol5r,Vybz Kartel,2NUz5P42WqkxilbI8ocN76,Badmind,2SNTIINTYH9dCtVamc1oxU,52,https://p.scdn.co/mp3-preview/ea3fb0cbb55d1cdcaad4cc942db82fc05b333289?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Take Control,24kLQBF5CBJyr0x06lRpiy,DJ Battle,5rQh3Nz0mE7UaBIp9hotMq,Take Control,1w7zh77gLaDTosxWxQ2eNT,52,https://p.scdn.co/mp3-preview/2576b8b4a0b592597e5bf423c4861f67623cfc85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Can't Take It From Me (feat. Skip Marley),1MBtNXoT6cXrrSstG07Lf7,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Can't Take It From Me (feat. Skip Marley),5IBoWR5UtMIFdJRymiH6dH,45,https://p.scdn.co/mp3-preview/15f8762b982db567a61184a0de08d9060e302b38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Temptation Overdrive,5zf0CYU9MiRH6Ejc5FXWq4,Shenseea,1OFOShsIbhy1l5x73yuVyB,Temptation Overdrive,1i56EpwFCUPthAsOFqouzg,52,https://p.scdn.co/mp3-preview/bba53719e2926c6ef8f61f452229fc76c85e803d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Contra La Pared - Rynx Remix,2zsQ90bTE11M83WIbIZM9z,Sean Paul,3Isy6kedDrgPYoTS1dazA9,Contra La Pared (Rynx Remix),741JcwrhOl4TSHIihteKF7,54,not available
61,Touch Down - Banx & Ranx Remix,2AGiLgDmRI00VnFczdoc1b,Stylo G,7qPISKHhhKDLZTmYcX7bWd,Touch Down (Banx & Ranx Remix),6FXaTMDEqhqfk89jp88DWJ,46,not available
62,Backaz,6DUsB0h2C7PM2jesWuF9Wj,Demarco,0af5VM6xubf8EXKvoG35x6,Backaz,5Tly9yJiPAKrjq7r43El87,58,https://p.scdn.co/mp3-preview/e2ab381e996838c9bbdded48ed488e7544bd3c8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Frenemy,40ge8ogeAWKdzmmH52RYlU,Shaggy,5EvFsr3kj42KNv97ZEnqij,Wah Gwaan?!,6omrcDlzK8Xl5TpmR4RMoK,33,https://p.scdn.co/mp3-preview/eead570fa57c4fe4c46fba4ab7205a72be5e01dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Nobody Man,3SqjoLzw3RFsUmIzes5d7Y,Sevana,2TZL5FEo1CGwmgdMSFwsdS,Nobody Man,5zlCSqSCYDPxhAZ3E9WPsS,41,https://p.scdn.co/mp3-preview/c4b2f97899b4452a1bdf12f78cda3a07dac29d68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,One Way,4ZNjJebkXkLJsTxj9PzqnO,Busy Signal,4RfTXjK9aiiIKDaKUHpL57,Reggae Gold 2019,5cfZ5mWTwZwyzSSgDeiFN6,46,https://p.scdn.co/mp3-preview/eb07d04817aeb5a66693f43e547665bf440414e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Designer,3x1MtkFUatkrMWvs0vyR7r,Stylo G,7qPISKHhhKDLZTmYcX7bWd,Designer,6SOzOEqeaHbKBMR88fTmuG,52,https://p.scdn.co/mp3-preview/223f864a3aae7dd76f1e1f420e81fbf8d5063183?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Art of War (Head a Spin),3F0Jr8j0pm6mV60S0GGich,Aidonia,5mYWkDD4b1eM4ZjFq5axxs,Art of War (Head a Spin),68QE1Efk44pHtmIEJpy3w6,31,not available
68,Glow,2vz9fSNvqC3qXL9kNlRn1g,Romain Virgo,6HCIRVlJ8tvmKPAtFnxyFg,Top Spot Riddim,4S6ar5MpnspuCiRZ5N7inz,41,https://p.scdn.co/mp3-preview/18ebbb0a27fea4fa499fcbbe2ab5bea6ceea51c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Yarinya,7GF2bkwlircpq8vjKzEi6v,Solidstar,1Nuq9WJb01OoR56vu02bhX,Yarinya,5PaISw7zgkPfGw0dTua9by,45,https://p.scdn.co/mp3-preview/67fa3b4f00a270d2ce5c6bb20084afe87940f712?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,I Love You (feat. Mide),6ZcCZFqkPJ0vk1TpUpQlJa,DJ Flex,6CDGm9cf1yeCLD147Zs125,I Love You (feat. Mide),0LxHNBIgXXqfvaxGIdq6QX,42,https://p.scdn.co/mp3-preview/0b6aa72b784ef90e6bdae0b8e6d457d9a7b42a5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Drone Dem,5hmB4sNdWHu0tXLtKQnCeI,Vybz Kartel,2NUz5P42WqkxilbI8ocN76,Drone Dem,5X4debOO0S0mGTdHYKriZI,51,https://p.scdn.co/mp3-preview/b3c28262a0eb5b2119dc9d5d3f64a2f9bab204c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,"Magic City (feat. Patoranking, Serani, Jael)",6KqJz24kjUocsofKSGrIFI,Gianni Blu,7xpdGx95yjp1d4c6dViRSx,"Magic City (feat. Patoranking, Serani, Jael)",47GiFnGcJbyEs0ahpHTF1U,43,https://p.scdn.co/mp3-preview/802282ebe020f0fd53c160a1b15e89787cac7af0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Happy Zone,1hztLLxBAek7p477gkgQZP,Charly Black,5sK8BsvyDl4TFA6KaBf8or,Happy Zone,7oF0YfzSRGghtsmB4efKdD,42,not available
74,Dem Fake,6JgXeTB5M3TtxC92hvza5z,Jugglerz,5dM0ApSI0k1TcOseiik0sY,Dem Fake,52Ip5WIO7Qtiw5LrCuEMTp,45,not available
75,With the Thing,4gpTLWA6GC6gS1xxpCBLVE,Alkaline,2LIAgeQ5NZurwixfoG3CWZ,With the Thing - Single,0I5QqSTgBorRx693bHPdOc,48,https://p.scdn.co/mp3-preview/a0537395a7b8d7955be6cedff6301da96d34f875?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Rushing,5Ttn93s4gqOG3SwXJuppfa,Alicai Harley,4HIgMgldxGG0v8nSDWJrnh,Rushing,3MgOPLcWZFCtmCSQPtmMaa,44,https://p.scdn.co/mp3-preview/6d6ac98f412eb8c8854a9b46998a7a37b743d6e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Bad Man,3DhlSLKAUdsglJSCZdSVq9,Konshens,3nwYsifpwrKmCIpw4i0HDW,Bad Man,2HlEFsgOwutq4eZ3KRSOj4,44,https://p.scdn.co/mp3-preview/36a265d3102d79e60cf7c1ab83d387f330197379?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Love Is All I Want,0vQj9BR0Zfbb7m8z6OSFYu,Gyptian,2JX4h8xm0hNxCB0aNBWzyi,Love Is All I Want,31FktioiRo24Qa0A6zRnXS,38,https://p.scdn.co/mp3-preview/5765ea08880e69b8173d94a151a1d8310fb02080?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Radar,7kFd0kDpimR5fTeForXEd2,Juls,7BIkk865pwBrSZetA8Izic,Colour,6DZAEmjvBrJq0a8sVHbf28,43,not available
80,All Together,7weaa7tac1MpZJM4jyuKA0,Demarco,0af5VM6xubf8EXKvoG35x6,All Together,32S6RFy9soxNrn2LEohwQd,41,https://p.scdn.co/mp3-preview/f454b2f881053e2e9cf05550d0e5313513d466ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Walking Trophy,4hGHcdD5IwjAkftalZm5an,HoodCelebrityy,5t6cgFa6vbJbNuxUTgT1L9,Walking Trophy,6ICKorSKAkAq2lQBv00NJf,59,https://p.scdn.co/mp3-preview/44d441d7ca57e61f0f112c7888488975b84029fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Gummy,6PsNyB8vpU2sFEcmupYUGm,Mystro,5vQx74mbiOc3olko0ZM0hZ,Gummy,0QyZ31Qm8UQYzQ96d66a3U,34,https://p.scdn.co/mp3-preview/8bcc78754d4a82ca83e1e48fe96bf2c3ac8921cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Leader,7sxlE9aBtkKW5jQeu6gM84,Dexta Daps,28UDeKu2FPrU0T7dpUiSGY,Leader - Single,1ukTj05773QcCG0pGuCzKl,46,https://p.scdn.co/mp3-preview/be0494b1558a289a7862464f0c1e6f12cd068f94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Grateful,1wslSV8ppr83jS3fWHHYQT,Agent Sasco (Assassin),0CiLVKp7LJTm0c8jdUmQNy,Grateful,5tU3ADncFHfdDScnuzWTXa,45,https://p.scdn.co/mp3-preview/66f1360bc933e6167d00b7d6309466273a569f22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,More Blessings,3eSRHoFb2Q82Bhy4wFS63w,T-Kross,5X2KrtaMPRh1kHgu4D9tdk,More Blessings,1GLCKRPyhyztggaRwXsRFC,36,https://p.scdn.co/mp3-preview/268c1969a6d5c82b5be7e21677678970fd20c2aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Go Fi Mi Money,2CywsqEF9dmW2WMuJgovCh,Beenie Man,4L3GTE04bW5N7azA9QPhjA,Go Fi Mi Money,542jMH3tbvStatl1ndEiTn,37,https://p.scdn.co/mp3-preview/b5edfd2867a3772b2fc847af1eb33098c62d3262?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Gearstick,3f0527lZNWrgE2r4nQ4lba,Chezeeko,2p6U17hC9JBfGFwvpyyhq2,Gearstick,7fLileTkWBuIPrdYsKBd64,41,https://p.scdn.co/mp3-preview/34e74f1c71ea3e2314354c0ffc7b2f097ec5f531?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Txtin' (feat. Alkaline),1rCQsfqLX08cBYZeKbyTGt,WSTRN,5nSAh3wlH7VaqpnkiMjzDs,Txtin' (feat. Alkaline),3pkK9Ahhhzfy3WO9mKiV0P,57,https://p.scdn.co/mp3-preview/0349b75118662cefd285182b0b55c9660dbc7cea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,King of the Nile,1RO04fjB6f8fZfdouhCua4,Luciano,3Vszg64mczF1dWEcW2dU5W,King of the Nile,2PQpkPh1mxaXtGgsgqHosH,35,https://p.scdn.co/mp3-preview/ab3057849950685ec14fbc321000e90cc57ac338?cid=fa83a2fec7c440b7a2795d600d6b2c7e
