Gold School,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Paul Revere,3gKwVWwKmeuFtPubICbOGc,Beastie Boys,03r4iKL2g2442PT9n2UKsx,Licensed To Ill,11oR0ZuqB3ucZwb5TGbZxb,60,not available
11,Top Billin - Acapella,59vYYvb9JS5IQAp8xpf0CY,Audio Two,10toSzLMkc2zIYiiAemHt1,What More Can I Say,4ULe1bx6XkffNvsbB9DHr6,49,https://p.scdn.co/mp3-preview/92f5ae28cd5535427a0fef8d34b36e753272dc4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Who Shot Ya? - 2005 Remaster,2KFg8kjYy0rYjWsXGhEQHN,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Ready to Die (The Remaster),2HTbQ0RHwukKVXAlTmCZP2,70,https://p.scdn.co/mp3-preview/d8119deb7b127492084f53d2152aa4a8d2bb4ccc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Leflaur Leflah Eshkoshka,3RvFnZZz1x00l8FIHE5wxx,Heltah Skeltah,6VimeBsWv0rmWzxd6roZZC,Nocturnal,6ZWiiTI0sHXAuzkv8x4Tth,47,not available
14,Come Clean - E New Y Radio,6wbBrsE2H2pupmnfoVSY6w,Jeru The Damaja,6CsOL9C9iLL0eWKINlDxzQ,The Sun Rises In The East,6WWAC3ZEROk0OlVsubRbbd,54,not available
15,Bad Boyz (feat. Barrington Levy),2MNQMtZbOb7rBWli3TSok0,Shyne,64ovxBmjJ9ZDqkzEXVWpVc,Shyne,3HjNR0QUTdQ5xPBp7ymw2N,56,https://p.scdn.co/mp3-preview/399e260d3df6b8c4cdf94530eeeac93ea723a479?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Ante Up (Robbin Hoodz Theory),550JPXXPgjr1xqxtKIaX6b,M.O.P.,1BH45DVSTeGBvcYXNCd67g,Warriorz,0mw0v424Ribwwrt0oMVB1j,63,https://p.scdn.co/mp3-preview/af0ef90f2c80847e357326627d3d066afa704f50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Definition,4C7Ss9bTPOWJMh3rarF1mN,Black Star,67ei8ib6PLT1w3OkhIb4fB,Mos Def & Talib Kweli Are Black Star,6GRzmk9UGL7odxprOPop1Q,61,not available
18,"It's Alright - From ""Streets Is Watching"" Soundtrack",0v0sQRnEJNvDZHry2hBFbW,Memphis Bleek,4jWzNq3sdzSpqn7BnzvIKn,Streets Is Watching,4vdFcls7VEGzbpc1SU1K2U,42,not available
19,Unbelievable - 2005 Remaster,4heC6SnTBxTZZDef4AIBOk,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Ready to Die (The Remaster),2HTbQ0RHwukKVXAlTmCZP2,55,https://p.scdn.co/mp3-preview/b2577b6174d825a620c48d20aec2fecb6e498b20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Livin' Proof,56whVbEPZ2bRA5VboQPned,Group Home,48elQHSJ3DmffHQpf89jxX,Livin' Proof,3fbcKscWKVKFcgdX1XaWFf,60,not available
21,Broken Language,0ts18XkCju1tJsc1rLRNvl,Smoothe Da Hustler,6tvXjGaccPMuU2XHcbjl0d,Once Upon A Time In America,2RMqKSbE0SWCoEsCNXedoL,43,https://p.scdn.co/mp3-preview/dced0e2a7a7405077c51aeb72d7ec5af862136e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Woo Hah!! Got You All in Check,09WxJCWFMWAxTHBLLelpDS,Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK,The Coming,2wW0v9XWjEpUjOLpz5kJY8,57,https://p.scdn.co/mp3-preview/9968369a327fcd07e6b1908adce01d8565b5b360?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Crooklyn - Crooklyn/Soundtrack Version,3RxF3Mz5wprRMopI8fp9uF,Crooklyn Dodgers,4FjR5GmNXYr2RKHVOXTP7e,Crooklyn Volume 1 (Music From The Motion Picture),0H3alcRRmLP9P5lHLTqEJB,56,not available
24,Rebirth Of Slick (Cool Like Dat),26q6YTrXt9l8qshIveiTX9,Digable Planets,0gqIrDRL7CEPBWMmkuZPdQ,Reachin' (A New Refutation Of Time And Space),5snUbps5KleLIP0cVI72lP,60,not available
25,Time's Up,07fOfgvqHTXEFXIMlmIlYr,O.C.,5XI6qfoZSiEYtmItjfEX1Q,Word...Life,0hGAR0wDBLEph81q5JsYSJ,41,https://p.scdn.co/mp3-preview/6a52fcd49742faf78987b1b4f52c7f855c639bda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,I Got It Made,68DGiGtJrVcGBeOf5UNpVz,Special Ed,3vIFTM70CYTYr122vTVpzx,Youngest in Charge,3R6qOZ2QsPj6yWism4b7vk,49,https://p.scdn.co/mp3-preview/6fc7a4b5e1603ff558edf672628a02a185245f73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Treat 'Em Right,2QHmGfplU3ypWOGgJM46in,Chubb Rock,4dVRITwfej74WkmNpgYVPb,The One,2SRmJGHAMj3Bi8AqvHEJAo,50,https://p.scdn.co/mp3-preview/d679e54b71cb4000ec4951e088769b43ae10f7ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Ruffneck,5BC50dLe7dZKVc3gPvJRx9,MC Lyte,2ZbWlThDW0qSbI3hinpl0w,Ain't No Other,15RwfepdW9BunN0NjfEKYD,46,https://p.scdn.co/mp3-preview/823877f2d61a4031908e082d52812698419c1f62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Liquid Swords,4dmh3OPtAhbEybhGoOG9TE,GZA,6ns6XAOsw4B0nDUIovAOUO,Liquid Swords,3k8xoyOXkGgZxUKgpmxz4P,59,not available
30,Ms. Fat Booty,0IVAlb0cFCH1cQ974iR1TU,Mos Def,0Mz5XE0kb1GBnbLQm2VbcO,Black On Both Sides,5gK2l2LgWY0BA4p9uy27z6,69,not available
31,Get By,1LM6EReMkAxuDXDF26ekl2,Talib Kweli,0lEssBAxQl2In4RpaB1C2Y,Quality,0apVddbk7Juec0DV4LNiBg,58,not available
32,Big Poppa - 2005 Remaster,2g8HN35AnVGIk7B8yMucww,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Ready to Die (The Remaster),2HTbQ0RHwukKVXAlTmCZP2,75,https://p.scdn.co/mp3-preview/7ca5bf638f4ba523d2769c4f63c1edf4988a4d98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Rather Unique,5vxII6AxXbPsAJE5dAdBo9,AZ,7HqrSDuI9lHuH1CDismTFg,Doe Or Die,4wPNy4oz3tDjY3OEeHiOVq,56,not available
34,Smooth Operator,1Z4mVNtYGnpjHUoZVo3IMU,Big Daddy Kane,6futYSDVulYR2PktBjTB5W,It's A Big Daddy Thing,1cvyT4p26JXJicEBbHPzvX,54,https://p.scdn.co/mp3-preview/3a1427f02780bd99f7be87bfa7ce94a4716836db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Bucktown,5fyRqeycMofUoGmDis5Gu6,Smif-N-Wessun,2p0Hf0MF8Nw8lwAXokczf0,Dah Shinin',0TaYPOKCUDyvZU2APQ7kPM,60,https://p.scdn.co/mp3-preview/d3ef6fade4109efbdd2138c5f4cd65b787d3a219?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Acknowledge,23RJg00mFONjIqYML6mtsE,Masta Ace,1wo9h8DP7M0M1orKuGZgWv,Disposable Arts,6oBCrRVCWpqR4YpNIqQRlN,51,https://p.scdn.co/mp3-preview/0d8cc3dfd20163c2b7430dfdcfbd886a21a75302?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Onion Head,28sxUGqZmZyT9AO6lDE9Yl,Sean Price,2x6jz70u3sZq75tW10akUW,Monkey Barz,4zJT6c0bh2o1RcVlZOfcbe,48,https://p.scdn.co/mp3-preview/ac21fb1c7964993619a44a45edc6dd5fd927333f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Pre-Game,0YJQjkm6Xg5HPyas4LAIlL,Sauce Money,16aHGTBi9sStOLH8OPIqlw,Belly (Original Motion Picture Soundtrack),1Z4BjsVx8KRQwegUl2zJ2R,41,not available
39,Shimmy Shimmy Ya,3ABG1UQTk0eLYUAeWkmfMi,Ol' Dirty Bastard,50NoVNy9GU1lCrDV8iGpyu,Return To The 36 Chambers: The Dirty Version,4tI4WJdTN5MzDMRMl2i7VR,67,https://p.scdn.co/mp3-preview/b395f63d0ee72d9b63a5da17564d56828c22cc19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Party Ain't A Party,3plNsz0KQaJjtW75gYTMEn,Queen Pen,0VbIlorLz3I5SEtIsc5vAr,My Melody,5qFxfTMR6bzWVpmC1baGie,45,not available
41,Hi Hater,77bTQGPyEl2yj2bFcDOmWE,Maino,20apXQGKM00jJTvYfyKwlb,If Tomorrow Comes...,1BdMI18B8ZnoHNAYwx8h8h,42,https://p.scdn.co/mp3-preview/c862bbc7690326c73488292e4ae3c2516618d3c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Big Momma Thang,0JRB0l3igltUQX1OmKyORy,Lil' Kim,5tth2a3v0sWwV1C7bApBdX,Hard Core,39xHAZmTUSQJyXt6ebpjKT,56,https://p.scdn.co/mp3-preview/edae80a7b65542ebf9241168120e33ccf35fe27c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Get Me Home,6Xo9osN1HErsEJoqwj4eDg,Foxy Brown,1wvlC6NwleHt1iRD6d5X2C,Ill Na Na,6qLC4weRVEetELyQQgkAMk,61,not available
44,Can't Let You Go (feat. Mike Shorey & Lil' Mo),6lrRIfQDcikJ5y5DtyZPuJ,Fabolous,0YWxKQj2Go9CGHCp77UOyy,Street Dreams (Bonus Track Version),46tIBaFs0Ov0HJsCDrq1Kl,64,https://p.scdn.co/mp3-preview/56a28e7695a6077c3f965f9cc6d8b5470cb0b41f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Player's Anthem,6VCnVPNsNQazuSURA10BF6,Lil' Kim,5tth2a3v0sWwV1C7bApBdX,This Is Hip Hop,48pbx68evRyMYhqOhccp3L,44,https://p.scdn.co/mp3-preview/9aab4406e9176828fe59badf7bd36acda8f9196a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Sugar Hill,0lZWjBImx6kNe3WtOA09Xu,AZ,7HqrSDuI9lHuH1CDismTFg,Doe Or Die,4wPNy4oz3tDjY3OEeHiOVq,53,not available
47,Paper Thin,2ce2ift9TQGKmqB20F6od2,MC Lyte,2ZbWlThDW0qSbI3hinpl0w,Lyte As A Rock,2i8QflzkUsxQOhHHCiJiVm,42,https://p.scdn.co/mp3-preview/c9be194737febcd19d9a8958833a1394382637dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Get It Together - Remastered 2009,6NyHiQGf7zz9nJWewU05zk,Beastie Boys,03r4iKL2g2442PT9n2UKsx,Ill Communication (Deluxe Version/Remastered),3Ba5eDpzB4yLBfJsraQM4G,47,not available
49,Friends,3e8KC0EoBmKGuD5LwBvj4U,Whodini,4dBOV77d0Fy9KcTZkieXcu,Funky Beat: The Best Of Whodini,4ZBTpx9ju9NzpId9WZMBph,45,https://p.scdn.co/mp3-preview/c3b1823db8c459293f6ad6d03c76e1c6deb53ace?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Talkin' All That Jazz,0dyNjjb5cFcW44LhhlZgJf,Stetsasonic,6gl67jXbrwnMYZNZv88MKk,In Full Gear,4VkGqaAWZleNBiFIVPLHyI,47,https://p.scdn.co/mp3-preview/3ef0f0eb0f830e01a877ed9dae518efd3c187a64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
