Workout Twerkout,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Backin' It Up (feat. Cardi B),0PpfPNtQOOvbMNVJijTQj0,Pardison Fontaine,7Gkyjs2OYQpJdOvvmwIz2Z,Backin' It Up (feat. Cardi B),4g9y8J8mzpl6rxnOjhKrwH,71,https://p.scdn.co/mp3-preview/63080779f295ad8998aad07eaaaf2ac1a94ce86e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Everything Did,7vFTzxNHbRpRJ9VBiwOhmt,Molly Brazy,6apXk5PGvEVbgXOTyk6fP1,Built To Last,2eWtirIBLeQ6m4wlxlDvkR,41,https://p.scdn.co/mp3-preview/4447b405cd01aaebb1a4345798c3ccf53e64a332?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Pure Water (with Migos),63cd4JkwGgYJrbOizbfmsp,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Pure Water (with Migos),1ypNy6o0C2ZbuuPPYkavVl,67,not available
13,You Can Do It,1xMPwgmLHVXkIFYL0rvGiZ,Ice Cube,3Mcii5XWf6E0lrY3Uky4cA,At Tha Movies,285aRkpYqxXPxBEGnTWZvo,62,not available
14,Shake That,0nWDgFps67oDM01swzHCcC,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Fever,5WLquTz7nUnsHCj80b6wci,61,https://p.scdn.co/mp3-preview/38788cff6fb0d1e678e5668aad166ebc5c33600e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Tempo (feat. Missy Elliott),4LRKHjC3WH5AKZSGZzlnGk,Lizzo,56oDRnqbIiwx4mymNEv7dS,Tempo (feat. Missy Elliott),1zt4HVA2H5uh8SldrOfCMh,64,https://p.scdn.co/mp3-preview/e75e1519123e780dff439d0eea7de584e0fd0cb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Bouncin (feat. Offset),1YWnrz4pqjtt2zlEOuDIFg,Kiana Ledé,7jZMxhsB8djyIbYmoiJSTs,Myself,4EhEkDClVOByI6FzYxfvlc,68,not available
17,Sugar Honey Iced Tea (S.H.I.T.),3HoUNL9JuiS183RkLn8qDh,Princess Nokia,6lay1nwbE6hTx1jivysUAL,Sugar Honey Iced Tea (S.H.I.T.),1FoWeLNQPaBc9h9OnM0U7Q,65,https://p.scdn.co/mp3-preview/660be09d0c88ecd2c043ab36408ac57b620309b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2Xqs4kJBrZAHN1XVqy9QOK,87,https://p.scdn.co/mp3-preview/dd347607f1db8efba0a312403853ac07ba412ff2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Juicy,4cTm3Ev9bUvy4ChJjB1nhl,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Amala (Deluxe Version),3wOMqxNHgkga91RBC7BaZU,77,https://p.scdn.co/mp3-preview/03562c0a486457356d89519b59a0a31746635d73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Twerk (feat. Cardi B),4DyBx5MYoq8RsU33cEAIxT,City Girls,37hAfseJWi0G3Scife12Il,Girl Code,45TU0GIOO5AxFoiOPk08i1,18,not available
21,"Soakin Wet (Marlo, Offset feat. City Girls)",66W6DcJ8xG0o8ows3P4QRe,Quality Control,6i392l38cR3uBPF0DbNs7S,Quality Control: Control The Streets Volume 2,59zpaLOByFkJhc9D5Xqna9,55,not available
22,MEGATRON,1ZDmxwg7Lywlx68b7SsJjj,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,MEGATRON,4PsIFkX5QIvAI0xB7qHugW,79,not available
23,"Like That (City Girls, Stefflon Don feat. Renni Rucci, Mustard)",6yX3uHN2hq2u4IHO9qRBwp,Quality Control,6i392l38cR3uBPF0DbNs7S,Quality Control: Control The Streets Volume 2,59zpaLOByFkJhc9D5Xqna9,62,not available
24,Duh,0gZDqaMwu8IGzB7kbCjqkC,Kasey Alease,74WfpRATA39vAriZDEy2Hg,Duh,1IKKiIqLwvF1Rg4yK4axHB,44,https://p.scdn.co/mp3-preview/aec739eb7e80ac2102fd071fd1566890efdd76f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Ready Set (feat. Big Sean),5wlwbEGB1y9nov8qj3yfkZ,Kash Doll,3u579Gdap91lMptBSdXTpf,Ready Set,343SSLPC1MpxYdNSZtczuA,55,not available
26,Don’t Drop That Thun Thun,77doqkS2s213W6AKgPC6Xj,Finatticz,49AG5IHkJj7M5faSOVGVAW,Don't Drop That Thun Thun,1gzBszP1QO6VFmRm59yfmf,56,https://p.scdn.co/mp3-preview/f4863eb2454eb0114851738ee8dd8ea358c558d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Wiggle It (feat. City Girls),4vfsh1GHqHZtTlkusq9j5E,French Montana,6vXTefBL93Dj5IqAWq6OTv,Wiggle It (feat. City Girls),7AZN74ru3v8P69ef0TTAn0,74,https://p.scdn.co/mp3-preview/d004b5e85ce93620067cdd75a0abb297f43738e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Throw It Back,3qc67Hflqzvw3hShw2phgG,Missy Elliott,2wIVse2owClT7go1WT98tk,ICONOLOGY,6t1leWJ43SjwKoKRL9YWiX,71,https://p.scdn.co/mp3-preview/56d8a5503b82a24e86c2b673c9d359fcb7b12c0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Slow Motion,6ihObRBTB8xdSH2mlERtOX,Juvenile,0rG0AZBscc8S8q1ahIsasI,Juve The Great,1JfdhweOku5xDD78eiid4A,64,not available
30,Bandz A Make Her Dance,7EZPH9Px3gXlxD5KJDwtwc,Juicy J,5gCRApTajqwbnHHPbr2Fpi,Stay Trippy,7h1ut6IUbndKY7QrqcbAND,65,https://p.scdn.co/mp3-preview/86403b0c1ed41fee7126fe68c8986f36ec5d2035?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Freaky,0NJp8GyCOWnQh71xKSPfuV,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,Freaky,0JDoNU0AZ54Ng8e2iPTKRs,75,not available
32,Peach (feat. City Girls),2G3CKfjQjwbjHRh8lgsefl,Pardison Fontaine,7Gkyjs2OYQpJdOvvmwIz2Z,Peach (feat. City Girls),5JqffrwWEXAVCArbzvvMGi,56,https://p.scdn.co/mp3-preview/48c6ed8bb070903157f92e92239593b8265f6a5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Pose (feat. Lil Uzi Vert),6e9biVAugkOfydEN8OiJpi,Yo Gotti,6Ha4aES39QiVjR0L2lwuwq,Pose (feat. Lil Uzi Vert),6nIe8wxpDcAzUJVj4v2v5r,76,https://p.scdn.co/mp3-preview/a4552ae3bf2deee5fe177fa4c63529ffd037a35c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,A.G.F.,0LgcWp72kH7bkfC9EBjM05,Cuban Doll,32DuKytBMZn90iqyh2HEdc,A.G.F.,1RMkE52BWMC2F0INnpFyPn,51,https://p.scdn.co/mp3-preview/3149982c61e9e398d95ff68ea46694a00152391a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Freak Freak (feat. LightSkinKeisha & Renni),5WRoZoR5hrHSIFMaxpDCZx,Coca Vango,3GeZ2hxlimcfZ7v3qxf5UT,Mr. Vango,2Xr3FGhouU9ykSGYGvS8dg,48,https://p.scdn.co/mp3-preview/58cdfeeb15762476a6deee32709834443b4ab0d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Broke Leg (with Quavo & Tyga),5WJdUrZ4ND1TCZ2AsjYK3P,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,Broke Leg (with Quavo & Tyga),37Rz3XLdW8ci3K4UslRaHs,72,not available
37,Anaconda,5eqiMMbaeUZ32Q7sS00H35,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,The Pinkprint (International Deluxe Explicit),40XGTQ7FN6Y3dZXJhKBe96,66,not available
38,Three Point Stance (feat. City Girls & Megan Thee Stallion),5g7pNBb6ySnFUJknKiCkEE,Juicy J,5gCRApTajqwbnHHPbr2Fpi,Three Point Stance (feat. City Girls & Megan Thee Stallion),3ul0AuKohmiolGCIKrEuly,62,https://p.scdn.co/mp3-preview/33a84c814ee360d73cd5d4e00c773f531056132e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Who Am I (feat. Tokyo Jetz),7mOFGnVvqJgmpT0vw2ekwn,Queen Key,3IhYHKVt0Q9vxCCwiCHahR,Eat My Pussy Again,5BVWhNmid1JCXgQgEMQU6l,45,https://p.scdn.co/mp3-preview/2049bbadadea498127c13732567082c4e6c2d1ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,BAPS,6VdyIlc9dT5tPamLUNNRNy,Trina,4PrinKSrmILmo0kERG0Ogn,BAPS,3EJAd4wL9en9n6cBU1Ym6y,55,not available
41,Fuck Em Up Sis,0RPtWMx95GEhCgd9ZJuDdK,Renni Rucci,5RnUS48fC3nHEjbKeb8TPz,Fuck Em Up Sis,4VMqJhNBqhrQOfPlX2lxL9,52,not available
42,PUSH,0eJiuthkwMbYtPvc2LTFwT,DDG,0WK3H9OErSn5zKOkOV5egm,PUSH,3j2ygRmtQOmIN0qu2tVATh,66,https://p.scdn.co/mp3-preview/58e1af8bd46343a690e5c08c61a70ef467a7fd2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Waterfall (feat. Tyga),5QmrU57enkIv7BVcDcNeTx,Coca Vango,3GeZ2hxlimcfZ7v3qxf5UT,Waterfall (feat. Tyga),7z753JeggW2ISSEUR7wS5K,48,https://p.scdn.co/mp3-preview/3599e331bafee146ffade706b396ea8e6b4b0311?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Hot Cakes,3MhvC9E0mZuEoo6IH6L0ni,Taylor Girlz,2CCqizWr7RQhtABnxW9epA,Hot Cakes,0OMWigaUjLxaw56XKempxD,48,https://p.scdn.co/mp3-preview/88930ff4f010f11c3c3f495125fb3f30694a5a02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,B*tch From Da Souf,6tLWt7gkvvTSjS6OfJjiyJ,Mulatto,3MdXrJWsbVzdn6fe5JYkSQ,B*tch From Da Souf,5Ux8ZuXz6ojbqiSf2y9iHw,65,https://p.scdn.co/mp3-preview/b1c1118ab64ac1469014a88331847fdf7cdf6651?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Shake Dat Ass,5L7uORAm7jmXwMMOSaPweR,Jucee Froot,7BtDOCA9U1krM87JITg6bF,Shake Dat Ass,2yjWswH8LZnfUGVLKa3an1,48,https://p.scdn.co/mp3-preview/07b1d9fdec06af20eadd62d69384753112e55071?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Throw Fits (feat. City Girls & Juvenile),5jCa1A0ZfkaWcKGsJZQ0kz,London On Da Track,5Nf5yishRW9Ye174sJISkg,Throw Fits (feat. City Girls & Juvenile),5gyk9wb9zJCNvBzmH06HUB,64,https://p.scdn.co/mp3-preview/3a37830bdab077ee8e9145474d4962826af66850?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,"My Neck, My Back",3H6JUtLbiZh07T7GLiuTON,Khia,3q7isf09BuwXLyR2khBs60,Thug Misses,7hTbLqmxMV3XquGc60ZJig,56,https://p.scdn.co/mp3-preview/01aac65087bc66c2ae52625fd3c67906939281a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Bestie (feat. Megan Thee Stallion),6nQdrzI6jqsIqYT7D6YLZW,Bhad Bhabie,7DuTB6wdzqFJGFLSH17k8e,Bestie (feat. Megan Thee Stallion),3pt24FvlV5vumEgDAD6dPU,58,https://p.scdn.co/mp3-preview/2c8e9c65b30648a66647f52a86b03f8fe77179b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Blessed (with Tyga),5imCvF3VHty1TZ0qaE1JEj,Shenseea,1OFOShsIbhy1l5x73yuVyB,Blessed (with Tyga),7aTeShQY6NnCiFmjYluvcl,70,not available
