One Hit Wonders,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
30,Wanna Be Baller - Edited,2rMkGuuTi7ek5DkPxBSk7F,Lil' Troy,12mkoe71zJDWs4j0rCeXGR,Sittin' Fat Down South (2014 Ballers Edition),6rH1rQHaOuiSO4NHkJMrBv,30,https://p.scdn.co/mp3-preview/ce0f9bcff85c3b430b15321a70f0e1220bfc3c16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Tipsy - Radio Mix,2lVDc57IMK6nypg2iuEWVR,J-Kwon,1Zz5UxfKSSqc6hpa3xJPCw,Tipsy,5Woeg9DhPiMTP0MwKRqT0t,65,https://p.scdn.co/mp3-preview/567c97a8094481bcf5d94e80ba9f1b974502f8a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Return of the Mack,3jDdpx9PMlfMBS5tOBHFm9,Mark Morrison,6V3F8MZrOKdT9fU686ybE9,Return Of The Mack,6plavTFCGXv5vpy0jZVtOV,73,https://p.scdn.co/mp3-preview/77bbf1e3bc27bfe6339579f71fc0b612391aa5e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,This Is Why I'm Hot,0AA6zq5ArZ1sSH7VIMi4NK,MiMS,76RrKpsvOmSKG8CIjROdSG,Music Is My Savior,42c0PgLPx6qRCZCzB8d7Pk,59,not available
34,Swing My Way,1bp0vOgM6zPMqmK4HAry6I,3-Way Playaz,6jl98QEYNc8nvOGFs4znWq,Swing My Way (Shorty Swings Both Ways),54IGjDdtfB9q1pNClne11a,0,not available
35,Stanky Legg - Main Edit,73GD9DI2EBRSi2l57wyh3Z,GS Boyz,7Ej52CNJlhlwWROkrcjKLL,Stanky Legg (Main Edit),2V7HYmqlLPjYKS1UiQNxmJ,45,https://p.scdn.co/mp3-preview/3ad05672b3182c1385db2674d07b4e65bc8ce278?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Freak Like Me,6Vas6h9lB5mmeVDXdFqlQA,Adina Howard,266SmBZTt4zRzaKEANWbfQ,Do You Wanna Ride?,0Tcn0XVUiS6eXoD8vZdQSk,58,https://p.scdn.co/mp3-preview/4109e2654f907e8b9bcf2541fdf0c2445080b632?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Da' Dip,76YDsWGWezclVy9Z6sDGhf,Freak Nasty,0LthCv77K8NqLKr8B6266a,Controversee…That's Life…and That's the Way It Is,1tiBNNEW1WPa59sVZ71Ers,54,https://p.scdn.co/mp3-preview/6e7e6ffec5b6e09aeeedf96de24657cc7c1b4d88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,My Boo - Radio Mix,3ZDEQClQSfNhnbiWYu2qdt,Ghost Town DJs,4JbmXqez7WvTggoxn3UpVT,NOW That's What I Call PARTY ANTHEMS 3,3Rd3sggQA5U6WGk62jPQS8,23,https://p.scdn.co/mp3-preview/1a4941c3c0cacea9ab01fa372a8625f45fb77029?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Body Bumpin' (Yippie-Yi-Yo),2ksxIiac6CC4jO0EtinlQM,Public Announcement,02JTFUpX3CgLWXNKEXIvcb,Body Bumpin' (Yippie-Yi-Yo),3vvEH1AqsbjQrHaaiDlcG6,35,not available
40,Girl You Know It's True,0C7dYeCLF6ukChtW64UNge,Milli Vanilli,3vRclCt9VnNhYIxFMQCxuM,Girl You Know It's True - The Best Of Milli Vanilli,67QUZa2DQaBdeQvPQGfSkL,59,https://p.scdn.co/mp3-preview/cba566b01ba672fc143dcfaa3945c99bd594a60f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,All Gold Everything,0pgeVJrdNok4KhbiM58ayZ,Trinidad James,0I5HubncQ8E1MFZOlPDY4J,Don't Be S.A.F.E.,2iv2vZcrHoRGfEsZOyQNF5,55,not available
