Variété Contemporaine,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
11,Je t’aimais je t’aime et je t’aimerai,58mXSJoY1qgwq049H7v9hR,Nolwenn Leroy,6suRVbMTiFWlTpB6fdLdF2,Folk,5tGMgVwBnXlqOXR92XZ2MI,45,not available
12,Puisque c'est écrit,1VWZzMqne0UzHqX4YreIBQ,Jean-Baptiste Guegan,1cypnZnCNwbiWN8QKmPTED,Puisque c'est écrit,1SjQWomfK9huwSlPjmrFPZ,48,https://p.scdn.co/mp3-preview/ef8aacd900578474cd381b0d523eea5a2d06886f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Androgyne,4kxc6XzxmNTmCjJrpJgZxf,Elsa Esnoult,4UqemBLSwyT41AG6RYp7N9,4,4OfC84qs6fZWR5oAbUSNLj,39,https://p.scdn.co/mp3-preview/276f9fa897b38126a811c01bf712ce67bf79a252?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Karma Girls - Radio Edit,6iRdBLioxtUwH1bijmG9eI,Indochine,7knmbOGe07k85GmK50vACB,Karma Girls (Radio Edit),5zLIUbzochd02E9fUlU3w4,40,https://p.scdn.co/mp3-preview/524a067061937e04cbedb053d8d2845b6e48e5a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Rafale de vent,3q0UGyMNn9P8SWGsZ58GcS,Florent Pagny,0g7hZVprd3orBpMrSLWeJ9,Rafale de vent,2yykcbtzgfxRN6OWi5MelY,45,not available
16,Tout est plus pop,5kCIbyROw793ZnlFLpnWr6,Julie Zenatti,3CoYG5pUuCzGnXzPoOkaNY,Tout est plus pop,71sVepIoi1uLuNEdjebjvL,50,https://p.scdn.co/mp3-preview/4021b7dd7cba929443171e15f1f09f876292352e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Éternel,5CbIZMwsULTgx7K9YAUnPo,David Hallyday,7uzSMdiiJszDASJE9t8xph,J'ai quelque chose à vous dire,2QEJu7tCWqLVfkOka53x76,41,https://p.scdn.co/mp3-preview/421ef49ac5f3ea6f54238b8a03686a75cb12de1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Missive,38xQlmyCibp1vVHz0tbOU3,La Grande Sophie,76IqDKTydgWzyIuNpUD3Jg,Cet Instant,5CMSNSEwofG4O3gwu70KUT,5,https://p.scdn.co/mp3-preview/3c90fb82b605d2e862dd092f022837c237156dca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Pas eu le temps,7m3xVqRKzOBPI2RJ1OjSS2,Patrick Bruel,0vmrFTWCwK3gFGDzeUzeMg,Ce soir on sort...,46ayYNdKAGUxHqng5NRTzU,61,https://p.scdn.co/mp3-preview/98cb333fab088edbbb24e6dea2fbcf92318c103b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,La petite vendeuse,6u97T4uPZPLKVStNy5qg8u,Bénabar,6xoAWsIOZxJVPpo7Qvqaqv,Le Début de la suite,3lS0CjrHiEV6MGOO6UHWyw,50,https://p.scdn.co/mp3-preview/60d218869ffe18190ec8776f178536b9dadf24dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Demain c'est toi,1gyeYL3RaqMaJK23IJH7QA,Zaz,1mbgj8ERPs8lWi7t5cYrdy,Effet miroir,5aM8gkw3dJQ7XSc2Uq8g8a,57,https://p.scdn.co/mp3-preview/0553c224021ca54127831bae9848237b9bc1dea1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Adieu mon pays,6D2GvDAZHbMuUmwkD5mRgN,Enrico Macias,1n1k5yFQxYhohOmSWVmTo6,Enrico Macias & Al Orchestra,1lucvLL2SdNxFcjTHjMPc1,43,not available
23,Toute la musique que j'aime - Live; Edit,0sVNOKF394CFtzQ363AeyF,Jacques Dutronc,3ayds6VIVBx3CU5NSNCDbq,Toute la musique que j'aime (Live; Edit),2OC1hyJNWaIIHPhAeuG5lo,24,https://p.scdn.co/mp3-preview/d640dc1dd18ec037e7bfa05a18fbd33234085c3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Une nuit sur son épaule,6REJcW4CZ0M3bTXcKwjZlk,Véronique Sanson,4zxH2Yu5AvPNRdEDBz120D,Duos volatils,7aVCkNCbuqS5sw08KmAK9U,50,https://p.scdn.co/mp3-preview/9dfa93cb0ee0002565c8c7dedb9c012dcb40e669?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Bien sûr,5Yp7Q9fvgc3Q393g98rAb9,Jean-Louis Aubert,1NCrHXp9R3ogv8ezWWHFNs,Bien sûr,3ESSyl5jeDGOmk5hyaZ9KV,43,https://p.scdn.co/mp3-preview/97e3459e8a3926ec577e6ecb74a10946f5aa2412?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Vie,08dXiAlFsRcmHS0I7TMYrD,Diane Tell,5y65nQvIt9ABZ2Dkv5191h,Haïku,4RfPrdBu7XCODbdgswuWWo,31,https://p.scdn.co/mp3-preview/92274a27b038c31e13692f23e91d406f7f9c6184?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Parfum d'histoires,7zKD3xasoRqlQwF0KLLqcU,Christophe,6MmRTVIPIe35OsFqWgRKQJ,Christophe Etc.,2rwRU1wX4Ctv8XFZi0tOrG,39,not available
28,On se sait par cœur,7CnMLnUBhKCNjU8KfnFhS3,Calogero,5Nq9MbzweBc5oL4WzsECx4,Liberté chérie (Deluxe),29dKE8c3I7XyTJbK8Yf7MI,45,not available
29,Les plus belles années d'une vie,1m7lMTFMKGo2nV8b2v5qo8,Nicole Croisille,6nKiMtIgRJLOREJtl0eBfV,Les plus belles années d'une vie,2VtgYKPMqRpXv10jJvpKVC,38,not available
30,J’entends des voix,6vMsIoYpc9FluLUBQI5Ym0,Gaëtan Roussel,2FDsdMev4pzIXwoJGXi9zf,Trafic,6QriOvmJsd9myTf4oyyJXB,47,not available
31,Monsieur - Je ne sais pas trop,40etIAOR4bZSpIS35HLJJr,Stephan Eicher,29My6ypNwcVp0mjpy3sX2E,Homeless Songs,1KYLJsST0whYIYjia25m8S,43,not available
32,Par amour,2v4pWoE1iHYpi8w7i7JN6E,Lara Fabian,7ocwZINHqO9DZJgFtc1B20,Papillon,6MxG21msGoU3jb32Ttm3zt,39,https://p.scdn.co/mp3-preview/1e7a8d90155c0e1e64b48200467b16516929bd32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Retourner là-bas,7IIrKRCuXGHE5w5oXOrz80,Jean-Baptiste Guegan,1cypnZnCNwbiWN8QKmPTED,Retourner là-bas,0hkDc8LKy7Wc3RCX5arjzq,42,https://p.scdn.co/mp3-preview/bd7ffdc9eae89ff614299699694dc410820502e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Quand la nuit tombe,6HiUaHT4cOBlTbMErzDWOo,Les Innocents,4yBNT94b6M3yRNVLIy8RhP,6 ½,0itciDrLdUFzpjE1haMiDw,33,https://p.scdn.co/mp3-preview/f14404902da5951ba38248541d474f37b360e087?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Mon ruisseau,3YIsGkzXK2AICSIjSrOzUI,Maxime Le Forestier,63daU3zd0ubMpG5sgOorgC,Paraître ou ne pas être,0rgj5KFlBWkRJaebow7Aju,38,not available
36,Aimer c'est tout donner - Thérèse de Lisieux,61zM83DhwR0kuDw0ZKBqTc,Natasha St-Pier,1miK7RIscxXIgQgHQ0G7ch,Aimer c'est tout donner - Thérèse de Lisieux,7E9cCJVJ5f2xybw93O6cv1,38,not available
37,Morceaux d’amour,5yXwCjhlSzfwQoKSxNLiVI,Marc Lavoine,3K8EYZ4Ltg6ythgGZzrFXf,Morceaux d’amour,48XggfK0m8SponAFkGCS5w,39,not available
38,Allons en fan,70qW19JevIUErKH8Gtg9rd,Pascal Obispo,6XPs6CAjfdxIFrVVUFRrAS,Obispo,6M1kObzsn9f64LKYSSQPdc,35,not available
39,Loin d'ici (en duo avec Laëtitia Milot),4Rlpza6JlC9zdTem3eUOEO,Vincent Niclo,5LpggKE15lP08VnsYZYI5j,Loin d'ici (en duo avec Laëtitia Milot),3MVzD3BerCPXM97lQcP7eY,29,https://p.scdn.co/mp3-preview/a56fe5a10189f1c92385d9f33ae26aac701d4ba6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Traverser la mer à la nage (with Greg Zlap),0uLCMULo5ee8IbVyAQcHpw,Michel Jonasz,1xbjT6BnZk2j6PZhf5VZR7,Traverser la mer à la nage (with Greg Zlap),5HfH8ijB6s9yxJYLLT2Ble,34,https://p.scdn.co/mp3-preview/3d57f2c87ca95f778074283673b6068d4a9bff22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
