Futurs Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
35,Egotrip,7d9VYpmw1zj0Zdeex0uZLf,Therapie TAXI,5MynxBz4ZMqvUzpcxTZl4C,Egotrip,2pvAljd8SURmWheBSYhtbp,59,https://p.scdn.co/mp3-preview/f6027acdb60de157407ddc15de666159796b3c09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Playing Games (with Bryson Tiller) - Extended Version,2xyx0o4xNOLLjBSbOOdcbA,Summer Walker,57LYzLEk2LcFghVwuWbcuS,Over It,1qgJNWnPIeK9rx7hF8JCPK,80,not available
37,Problems,75ylrnob5O80WTKi9ugZ1Z,A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt,ASYLUM,1qnAzDoa24ZYCZDzmP74sL,63,https://p.scdn.co/mp3-preview/b54e8d9c4b1762d2cca4dedf95b0aa5fdfe58122?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Me Quedaré Contigo,6xrov7bSdx0KxLdztHEstZ,Pitbull,0TnOYISbd1XYRBk9myaseg,Libertad 548,4FQ3bjsnGcyyFMnpw28iHk,69,https://p.scdn.co/mp3-preview/eb3c3f7638d389a242fa96f4666c5815f3dbc0a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Loco Papi,5EuVplVa6I5vbAUBuCRnvS,Sevenn,7bNqXqIrIfwJnipx7oGeU4,Loco Papi,7ehHSfldPNGr0rRbdxffcs,63,https://p.scdn.co/mp3-preview/56482a3e527982bf7f7833b4997db6164d16a991?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Guajira Guantanamera,4BgFUr74D8bTkG1HsWBA1R,HUGEL,5PlfkPxwCpRRWQJBxCa0By,Guajira Guantanamera,2HRXHVzK04v5vis8kV1Jwf,63,https://p.scdn.co/mp3-preview/1fd0654cbcbcc379da4d926cf75b5c3d2d51a0f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Graduation (with Juice WRLD),6cjSh516BbrNUs213jDAGm,benny blanco,5CiGnKThu5ctn9pBxv7DGa,Graduation (with Juice WRLD),669dgT2kmrAMrrPaEEHWyE,83,not available
42,Ooh Girl (feat. A Boogie Wit da Hoodie),1mKNyZCNDueEASgBgZuLdA,Kris Kross Amsterdam,4LcUpNlXFEleaLlelmkv2R,Ooh Girl (feat. A Boogie Wit da Hoodie),3wXCIYqdw64MOR8pJtKvPQ,73,https://p.scdn.co/mp3-preview/f8ee78c14d60018786ffc64ce86b4272bcb9802c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Alive,5sYxtT5C8uAzGbplBcjLYB,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,Alive,31x3K8q6G5M5Yu7sIN4rry,68,https://p.scdn.co/mp3-preview/970ddefb418e2bec25f0eb53875e0fa2436a5fee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Ok Without You,7GvzyeeBMoDlC9OziuPMQQ,Klaas,25sJFKMqDENdsTF7zRXoif,Ok Without You,6bonQ3d5MdnDI9Bw5ni21s,65,https://p.scdn.co/mp3-preview/acc8674143a6128180bfac20e736836cd6fed0c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Saint-Tropez,7C39RtGhnEw7cyf0Pyw7PV,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3KziODx7ieQTgYCVrS6nBv,84,not available
46,Shameless,3UYiU57SMiAS5LqolhHJw1,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Shameless,2h1p1JzjT9rLJFAFrIkyrm,87,https://p.scdn.co/mp3-preview/ecbe1041a69343d4ec849876b8f3b2aa71b332a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Slide Away,44ADyYoY5liaRa3EOAl4uf,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Slide Away,0SHGFAL8WZUvpWb5iLPp6E,90,https://p.scdn.co/mp3-preview/0cff2bb99981e4c697a584cbac6f5225d08a1e3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,HIGHEST IN THE ROOM,2uDTi1PlpSpvAv7IRAoAEU,95,https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Panini,6fTt0CH2t0mdeB2N9XFG5r,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,7 EP,4IRiXE5NROxknUSAUSjMoO,93,https://p.scdn.co/mp3-preview/8871fb467ee763bec16fe5260c103a1bb9e852d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,No More,2Sw7gMA8G8XAk2ZdbJMx9Y,The Prince Karma,6ew7qRw24oov125Oly8pFD,No More,7Df6hivEfxcaHlyDztBtSc,45,https://p.scdn.co/mp3-preview/1a7fdda0a9261a0fc9b51e41e089f9ceddfc4cc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
