Génération 2010,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,Toi + Moi,1cl6UxttwMTjJXsdyMDUde,Grégoire,1WycOcJCIRAH5xyzHXtp1E,Toi + Moi,32VFugqdmRt8N8csnrlnZc,55,https://p.scdn.co/mp3-preview/47e51421bc884f25a0927fadd6a392ef96e41d74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,J'me tire,4w47YE9rjhmZUdtZjSCb82,Maître Gims,0GOx72r5AAEKRGQFn3xqXK,Subliminal La Face Cachée,5EU9LqPsBwrhq4Iqx0xMVd,66,https://p.scdn.co/mp3-preview/a3ab4b8b5d4f502d4d895dc1d0fe0d67335ad287?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Je m'en fous,6VSERfFBP1VhLVqQsmL4Rd,RIDSA,4TGltjqP0MQxdGeSIrM4es,Je m'en fous - Single,0jTbnKGT0rLUBMLzvF7gRu,54,https://p.scdn.co/mp3-preview/798fb8ae50fcec3ee69c0fb30561c88404e829c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Je veux,734dz1YaFITwawPpM25fSt,Zaz,1mbgj8ERPs8lWi7t5cYrdy,Zaz,6MuoqipFgorIZEYwGWEFAU,70,https://p.scdn.co/mp3-preview/6b3d41ddd30531dd1d9f64410ce9c387aa2e3f64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Paris-Seychelles,4xSZWcXvu6w4I3dQyQ7QND,Julien Doré,6jStlKLflTMUN6BajxrNlj,LØVE,5fdRqRdlIX33J8ruK9jd3I,54,https://p.scdn.co/mp3-preview/f8c58bd49467b0c3b5a43cbe991483dbc9b95cb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Le Sens de la vie,0trQzsapWGkRe5flRAeXhH,TAL,6JLwyyc3LBwRXEODjugQ4D,Le Droit De Rêver,0qtY8LYCGeGqahbCsr5uk8,49,https://p.scdn.co/mp3-preview/8408a0e8ab758364cd02004d84e61b9183ebadee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Mon Everest (feat. Marina Kaye),6iwkDhmdFfXu9RpjXrgFhz,Soprano,2RJBv9wXbW6m539q9NOfW1,L'Everest,6jnZT7krckxCFer0Oz2JbB,6,not available
29,Envole-moi,5LAVJ4WWYYw5VPGOG1cTj0,M. Pokora,6euPnGzBlDysAC5ecVguNZ,Génération Goldman,0zvPxE5cnie4sgtN9aGqk4,51,https://p.scdn.co/mp3-preview/f5acfc14cf16f45b596c9d456c7e54b73aece46f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Jour 1,13lXv8YxX0YYHM0SCk1KYb,Louane,7wjeXCtRND2ZdKfMJFu6JC,Chambre 12,3Es3rIJujUaxh8HrPZwgmr,60,not available
31,Encore un soir,51yjUe42smRbgWvg9i9pFa,Céline Dion,4S9EykWXhStSc15wEx8QFK,Encore un soir (Deluxe Edition),34ojCO0ZiLZwJlUFXuGx9R,56,https://p.scdn.co/mp3-preview/f17ede52190a9ffa103802956fa5c4b53e8c4304?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Il est où le bonheur,1TM73fujNDKSpigPLfxCZm,Christophe Maé,7jgnJBnpZTiGnCF2Wvka2Z,L'attrape-rêves,5gKqyN7Gths4NJi0mtf3pI,55,https://p.scdn.co/mp3-preview/df70c911856c661b43d0d179a3144ba44b1a631f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Le portrait,3IQnD3qnyLpTpCWtwxDrGz,Calogero,5Nq9MbzweBc5oL4WzsECx4,Les feux d'artifice (Deluxe),4bauhAhQtAvxo0r5cnn68G,54,not available
34,Et alors !,0XKTCQiiJpW9GfQa9eh4Wi,Shy'm,3nXQmlliJxvfXOm3naZf3B,Caméléon (Deluxe Edition),1xKo2KKccXTTmV8cqKFRBf,48,https://p.scdn.co/mp3-preview/b91b1d7351684703c877efd09873813c5e64deee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Avenir - Radio Edit,7culxZiBjN3w3yXqxgKIpD,Louane,7wjeXCtRND2ZdKfMJFu6JC,Chambre 12,3Es3rIJujUaxh8HrPZwgmr,59,not available
36,Il nous faut,6vEgEzB1XfsOsLyIYvUlES,Elisa Tovati,4X9M41I7WyckA4qjzo17pX,Le syndrome de Peter Pan,0he952d5Dlaz81w4Di5kxL,43,https://p.scdn.co/mp3-preview/602db67f858742c3000ae448b71af37205ea1fda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Le lac,0fQIB0rVuLNDNlq3B0hij9,Julien Doré,6jStlKLflTMUN6BajxrNlj,&,2JIk3csX6RdYMCmpyStgVj,56,https://p.scdn.co/mp3-preview/7347db984274ba14db9f154ea2383eaec3858395?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Non non non (Ecouter Barbara),6M6jVoM0ULQ2P12iQg1BOc,Camélia Jordana,2XkCa3HcntokIgOP5N3QO7,Camelia Jordana,1WrPo6fzTlwJHaB1qOAwJT,50,https://p.scdn.co/mp3-preview/082c2257ff91238760c53f961dc1547193f7a88e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Pas là,5tH17ViBhkXSIc5g3c4x2N,Vianney,4Nrd0CtP8txoQhnnlRA6V6,Idées blanches,3UIXocl30yFAZd7wqQNmu7,6,not available
40,À fleur de toi,5JocDNCEC3WYhw41371K9U,Slimane,4OV6uYSnHxSYkjDYuBVBUz,À bout de rêves,6SFxvT7VAgjrRwJRysXv2U,2,not available
41,Les filles d'aujourd'hui,0QprVASPJEbmOhD9P2gcNG,Joyce Jonathan,25eQCECJH4VTpBYV9jhpyE,Une place pour moi,2wghVdeCqQTaOavwTo3yWD,58,not available
42,Folie arcadienne,5e1paVG2mX1A4aHQ8MazoM,Arcadian,6AsX53NZ0rVrVnlKLy1KvR,Arcadian,6KTJzHrDz4z5iNOf3nSVAU,52,not available
43,Battez-vous,7IlmHApoMCIv39Z5JRZyrk,Brigitte,3pwoLiEbkKB4c4Vj9Mzypk,"Et vous, tu m'aimes ?",3YaeTL1gQ9CkWK0hj0foVU,55,https://p.scdn.co/mp3-preview/a9917ff620187bb1ccfe50f9c97a2a08410947e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,"Libérée, Délivrée - De ""La Reine des Neiges""/Bande Originale Française",5pqhqSdrxLXDZY9eeCAtSJ,Anais Delva,2Bgww7ckP3Xo1L7hsAGPUN,La Reine des Neiges (Bande Originale Française du Film),0fd0sVVStoqKR0L5aEJjTb,54,not available
45,Gangsta - Bonus,7IFJNcevREJV8ZkIeITQGm,Bigflo & Oli,5mmEMfYChd6MImBagU7zCs,La cour des grands,0TwkVtzgTlt1Y9kwsqkTCQ,49,not available
46,Jimmy (en duo avec Calogero),3OOF56ZaMLQSJugCAmMcd6,Cats On Trees,3Dcckn2A8PXmu8zLpMuO3B,Jimmy - Single,1bqDSoMDoL1Q7D4EN07bbk,8,not available
47,Tri Martolod,5Riq2iwa2XRSefb7x18I9a,Nolwenn Leroy,6suRVbMTiFWlTpB6fdLdF2,Bretonne (Edition Noël),3JIURfiuUepnczZcCWs3c6,43,not available
48,Toujours debout,26a8faUxZFqjFItxQnswRk,Renaud,15uNxh8omvRvH71kcdIe2r,Renaud (Deluxe Version),56PU6yUfceNvhcQqWVkgql,46,https://p.scdn.co/mp3-preview/8e64ac04a38c54511323d6e4b1ad168c146f06c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Si jamais j'oublie - Sur la route Live 2015,1KkPVmfNmNND1vm5PhUv5R,Zaz,1mbgj8ERPs8lWi7t5cYrdy,Sur la route,2XjgaeNxdUvGMwggCTSLXn,57,https://p.scdn.co/mp3-preview/ab3a9d632cd21621130170357bb91430561b2f3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Smile,0WqNbhOwWTIGI46F7CuayF,Youssoupha,5DW7NxqQ2875JtjuV7KMn4,NGRTD,3UCtCwB9nl9meUYM52Z8t5,45,https://p.scdn.co/mp3-preview/2c784e42e83ff050db1f373c53eef18f32dd5494?cid=fa83a2fec7c440b7a2795d600d6b2c7e
