WARNER REWIND,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
30,Weekend (feat. Miguel),6GnhWMhgJb7uyiiPEiEkDA,Mac Miller,4LLpKhyESsyAXpc4laK94U,GO:OD AM,2Tyx5dLhHYkx6zeAdVaTzN,77,https://p.scdn.co/mp3-preview/ba630b579a7db8ffa5a57ce756841bf66b244209?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Lotus Flower Bomb (feat. Miguel),3MAgQuClHcAV8E9CbeBS6f,Wale,67nwj3Y5sZQLl72VNUHEYE,Ambition,0jCVC8ndYYOooEY2YTO1l6,67,https://p.scdn.co/mp3-preview/575838aedb77beb7c9cfaf7620b1eff486117771?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,By the Way,1f2V8U1BiWaC9aJWmpOARe,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,By the Way (Deluxe Edition),6deiaArbeoqp1xPEGdEKp1,74,https://p.scdn.co/mp3-preview/1b6ca5843bd21973cbb2c2410616dd10564e91da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,When I Come Around,1Dr1fXbc2IxaK1Mu8P8Khz,Green Day,7oPftvlwr6VrsViSDV7fJY,Dookie,4uG8q3GPuWHQlRbswMIRS6,76,https://p.scdn.co/mp3-preview/d31a72f5f5a6fee7c92a32bed95ee4e13ce16dde?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Holiday / Boulevard of Broken Dreams,0MsrWnxQZxPAcov7c74sSo,Green Day,7oPftvlwr6VrsViSDV7fJY,American Idiot,5dN7F9DV0Qg1XRdIgW8rke,71,https://p.scdn.co/mp3-preview/0cbb527cde1477c39d3fdbf58ddc574d5559c2dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Bright Lights,7aO35V27YDi4hKOL9odSya,Gary Clark Jr.,01aC2ikO4Xgb2LUpf9JfKp,Blak And Blu (Deluxe Version),0YaeFHEYGpdzdFIxDRFvCv,52,https://p.scdn.co/mp3-preview/edff53a06a106c2b5375778d39c6cfcbd4ed68bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Good Riddance (Time of Your Life),6ORqU0bHbVCRjXm9AjyHyZ,Green Day,7oPftvlwr6VrsViSDV7fJY,Nimrod,3x2uer6Xh0d5rF8toWpRDA,76,https://p.scdn.co/mp3-preview/e12bf548d4633c9877b3772493bf9a980511b926?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Blood Sugar Sex Magik (Deluxe Edition),30Perjew8HyGkdSmqguYyg,82,https://p.scdn.co/mp3-preview/90e41778392f27b6f7dd82db4c90916b3727aa6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,The Sound of Silence,1Cj2vqUwlJVG27gJrun92y,Disturbed,3TOqt5oJwL9BE2NG9MEwDa,Immortalized,3qFQ4XNQ15alZrAaj5oGJK,75,https://p.scdn.co/mp3-preview/27a108ea31c7a2e5b3622696d2cfe3885c59f913?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Right Here (feat. Eric Bellinger),1jtT12YjJchXSnKFiFZRLG,Wale,67nwj3Y5sZQLl72VNUHEYE,Free Lunch,2KWMRiVC16dYpH9VkERMOF,52,https://p.scdn.co/mp3-preview/8f550ae9f0cd3c30131b68a7b266df1e1d7a0239?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Papercut,1Vej0qeQ3ioKwpI6FUbRv1,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Hybrid Theory (Bonus Edition),6hPkbAV3ZXpGZBGUvL6jVM,73,https://p.scdn.co/mp3-preview/e3fffa13430292c5df046a768db90a03c61f643a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
