VO5 NME Awards 2018 nominees,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
28,We Got the Power (feat. Jehnny Beth),7hQ0ojbeqicGhw0wdUVeaN,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,Humanz (Deluxe),0NvirtaDCaZU5PAW1O5FDE,55,https://p.scdn.co/mp3-preview/b5d294d901836c859ed669de9249d20990115637?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Hurtin' Me,2VoJe7vkKkigs7C3CGnSXL,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD,Hurtin' Me,5HWdfsIN1ixzkWpKHib5Dd,8,not available
30,Don't Kill My Vibe,4WdCxlUyj3TCTBaJx5s9tF,Sigrid,4TrraAsitQKl821DQY42cZ,Don't Kill My Vibe - EP,1fUJMrFtZMbtDS8c2dklb2,5,not available
31,The Weekend,6gU9OKjOE7ghfEd55oRO57,SZA,7tYKF4w9nC0nq9CsPZTHyP,Ctrl,76290XdXVF9rPzGdNRWdCh,76,https://p.scdn.co/mp3-preview/4c112b50719f0d39deb0b9f1fa2601eb0555cc73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Lampoon,4EHoVmJIqvuFjjf06vqBYn,Shame,4IeWU3NYBI9mISFVhzXG8f,Songs of Praise,3A1kutvBmC6czSsSv7aR5E,36,https://p.scdn.co/mp3-preview/c89ddd078a46c0f1c30f97c22d6222b15cefb566?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Alright,3ARyFzyUqCmNH4lUK5QRXg,The Magic Gang,52pNByiBWx6SVMMqqcCA74,Alright,0Y2wSgJvAdebKOirf9ufP9,23,https://p.scdn.co/mp3-preview/420c87354d16c1373e2528789e3476df2410a077?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Something To Remember Me By,1cOWpqJ5Bx6YMAOcdXqH8i,The Horrors,7EFB09NxZrMi9pGlOnuBpd,V,0OUGozF84sfw4lrD0nHYnc,0,not available
35,Fake Love,5o2r7507gCOYdRMeR3noqZ,Drake,3TVXtAsR1Inumwj472S9r4,More Life,7Ix0FS4f1lK42C3rix5rHg,8,not available
36,Wo Wo Wo,3vuK27T8giJR9NzWpDXNZS,Krept & Konan,31lnFZEM6ysvjOx59VyxRE,7 Days,7n7NgiMxMFj2KhwW9OfaXr,1,not available
37,Television / So Far So Good,5OUTFH5acycdnf8OVo21Gv,Rex Orange County,7pbDxGE6nQSZVfiFdq9lOL,Apricot Princess,2NBVxjZcbH5H1N1Ab2ExDH,71,https://p.scdn.co/mp3-preview/94d16245edc30f5f7856cee86ae01a727c59b655?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,How I Met My Ex,2nO7YG8CFXSZOpvxSFUzgJ,Dave,6Ip8FS7vWT1uKkJSweANQK,Game Over,5QsGJ1tErNh5aWxowJojom,58,https://p.scdn.co/mp3-preview/fd374312510f01f403988b6ad45240664bc11e5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,No Bullshit,5auffJfLv9yAxkXbTqbhcd,Avelino,039zhJoEkboZ8Ii6K40Fb6,NO BULLSHIT,6lLS8PNjjP7zhwrbvNSF6L,21,https://p.scdn.co/mp3-preview/36ae13a4436520a11db0bc31120a05c936109dab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Sucker,3Hzk2jGLWjUQJ2aAPmdtbB,The Big Moon,0KU55rzxAihPhi27MAuz9O,Love In The 4th Dimension,6A3pxUItYNmraeFxuRsCqs,35,not available
41,Television Romance,5LlwIpdodfpiWp24aFP3Fz,Pale Waves,0wOej91SVqB1zcYkW6xUtA,Television Romance,4QQscMu5C79isOQymmA335,0,not available
42,I Know You,34t13rSSZtr22CjcmroMmh,Craig David,2JyWXPbkqI5ZJa3gwqVa0c,I Know You,1SaIescHHJvcb0oyGVVIme,8,not available
43,Ding-A-Ling,2SU6W1lSO8j6Y5fJMCZYoq,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD,Ding-A-Ling,1OYxjwJQSiEFGkNSbVx6nN,0,not available
44,Continental Breakfast,6bkzIWOQT2uS4aZQZs0PCv,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y,Lotta Sea Lice,1yotg6IfT1Pvb8hRkR7qjD,3,not available
45,Trigger Bang (feat. Giggs),5f8U3QzmZZrK0BkAeQut2q,Lily Allen,13saZpZnCDWOI9D4IJhp1f,Trigger Bang (feat. Giggs),7n60CxUUyChtRksoF0PekI,46,https://p.scdn.co/mp3-preview/7d46925c1f53a47e2dcf905fad2089bce1f8ee3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Bestie,638s8Qi75q1pXjuH86fJX7,Yungen,3ijd7T9kkzgvfx1az6Z3wj,Bestie,7JlEQYvZ3DU78w1N2Yzb4T,62,https://p.scdn.co/mp3-preview/975b2d0710218bf222e3461f965e3754072d0d53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Psycho,383QXk8nb2YrARMUwDdjQS,Muse,12Chz98pHFMPJEknJQMWvI,Drones,2wart5Qjnvx1fd7LPdQxgJ,70,https://p.scdn.co/mp3-preview/9825aad9fc20222cfd2db3eba32469181b90c8d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Holy Mountain,1w0mBplHPU8Sbv2C8mqGOl,Noel Gallagher's High Flying Birds,7sjttK1WcZeyLPn3IsQ62L,Who Built The Moon?,2focHUDT3BVYS3EJUPC8Bj,52,https://p.scdn.co/mp3-preview/3e60bf3713a31e001507c73c96eac307f65801b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,96 F**kries,5AXMoXQ5oJF0SxXuMd55Yz,Jme,4IZLJdhHCqAvT4pjn8TLH5,Integrity>,1D9L39944TjCRUuLTYJqBn,1,not available
50,Million Reasons,50PWlIBU7PlGGwzgN8TiFJ,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Joanne (Deluxe),4JiY4JUvXdEA7UFIbiAyor,18,not available
51,Somewhere Over The Rainbow - Live From Manchester,3zGO9sVOoZ3KKDUw0BDow9,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Somewhere Over The Rainbow (Live From Manchester),2dX7TU6ENGS2EPh4MRs4KK,0,not available
52,Numb,2nLtzopw4rPReszdYBJU6h,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Meteora,4Gfnly5CzMJQqkUFfoHaP3,82,https://p.scdn.co/mp3-preview/e6ccf7717f8a167bfea4afc1bf7da1a0cd707fbb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Don't Look Back In Anger,3ixTiPABjqkBKPocxq6oIe,Oasis,2DaxqgrOhkeH0fpeiQq2f4,(What's the Story) Morning Glory?,0PTVq4kaAAuROnfvfA7bHG,70,https://p.scdn.co/mp3-preview/45f01dfc5436802169e32f50be6bd6104d479733?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Pretend We're Dead,3z5ggGtcs4t8pizW521gW9,L7,2zMQOJ4Cyl4BYbw6WqaO3h,Bricks Are Heavy,0z7Dc7FRsDH7E4kj32mKyM,58,https://p.scdn.co/mp3-preview/437dae696d8432743ff3746ac936716a23af785e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,B.H.S.,3DUQ7eVTvdqaVq0XGKAEZr,Sleaford Mods,0otAqZw8htTsGHfqR491Yh,English Tapas,22vKtJ1rfOz0CLrHPdompe,43,https://p.scdn.co/mp3-preview/886f77d624ef49fc2b9ac139bd79cf4a64a813e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Freedom! '90 - Remastered,3tyTt5pEWblt96j1HsXiV5,George Michael,19ra5tSw0tWufvUp8GotLo,Listen Without Prejudice / MTV Unplugged (Deluxe),0ZeOyoJHPD6czbTPAT9Qaj,69,https://p.scdn.co/mp3-preview/412a31c96267ab9b92c3903a0662ace4111ea70a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,It's Not Right But It's Okay,3M5CUQzQ59GdpADOQiVW99,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,My Love Is Your Love,2jiDaTcE7WmJr384lZJvgw,33,not available
58,Karma Police - Remastered,24yaR0CyO2oRISmeL2AvVj,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,OK Computer OKNOTOK 1997 2017,4ENxWWkPImVwAle9cpJ12I,51,https://p.scdn.co/mp3-preview/dfef3e26a60a6d7708ca39c09b35f4a3c7b25f26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,When Doves Cry - 2015 Paisley Park Remaster,5wYgc53ayonbzaDc0o3bAP,Prince,5a2EaR3hamoenG9rDuVn8j,Purple Rain (Deluxe Expanded Edition),12DmuRtZNTx84ELHKD3VGL,45,https://p.scdn.co/mp3-preview/ef9934c5c9c3258b7b9463f10bc17bf0be5e4d5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,With A Little Help From My Friends - Remix,4sOAk2nNTildSyJSLSlXuG,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),3LXItxKnnJcEDc5QdTc00n,1,not available
61,Man On The Moon,1A7RrOZG7sYNMG3Zdi82eY,R.E.M.,4KWTAlx2RvbpseOGMEmROg,Automatic For The People (25th Anniversary Edition),53mCB0cuaEBjsqokPSDhbw,8,not available
62,Cemetry Gates - 2017 Master,4LHqNPruiqmgJR7C91M5bm,The Smiths,3yY2gUcIsjMr8hjo51PoJ8,The Queen Is Dead (Deluxe Edition),0vlgxCvO6LQXTR06b8r2rj,49,https://p.scdn.co/mp3-preview/f7679f20fd837c2f8d790b1f8b90bbf5015af971?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Demons,30vNtuQjknAbiOB0IV2KaA,Super Furry Animals,0FOcXqJgJ1oq9XfzYTDZmZ,Radiator,71TkWmHwWVa7hDVFMtCJqJ,23,https://p.scdn.co/mp3-preview/5f8a5cd98d8774c413706f7ac999107f80cf7a72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Man's Not Hot,2nUJvBO87SkxCViQsLc9Zr,Big Shaq,7mnAzEmgquhrVtGob81SmO,Man's Not Hot,65wFooaReDlx2R70m1DN7J,12,not available
