KEXP's Song of the Day 2018,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Song of the Highest Tower,0R8xdR9y7LP2gBvRBGGb07,Cut Worms,2upjmNmngAXZcra9dQRR2l,Song of the Highest Tower,1S8gajzgABaeR8H97cEYi5,42,https://p.scdn.co/mp3-preview/6a11dacde92f64aa689f6f776ad96bd2516dca84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Loud Patterns,16juLqtpYLvRCYyrHJVDlf,Makeness,5xQkKp2z5Kt3OYoOcla503,Loud Patterns,5FIOVAYVrL0ICO4Z5SOaol,9,https://p.scdn.co/mp3-preview/463508b3deba832596ea19480e40bd4a1b7b6523?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,What a Time to Be Alive,0HAtYAUM9GRCLbwuTES3EN,Superchunk,7lmde7T1WJPFwv1eR6melP,What a Time to Be Alive,0k6k3XCX0uGa1wNZfrlPrO,15,https://p.scdn.co/mp3-preview/02bc33a2ea4b8c383612a0a95cab7c539a659d72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Classics (Die Young),7JtvrrsA0Pc4U4JOvoRQjB,Roadkill Ghost Choir,1oAydpuJQRf27egyjg5mu9,False Youth Etcetera,3BHSUEMqmkjyBajUI4BpUd,16,https://p.scdn.co/mp3-preview/08f90670a6fcaa398c557ba93ece9c3845df38d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Stones,3qiPDDmlTOiwDpDcINGDzX,Alyeska,0djZPWnNnEETN5N4fZrJnu,Stones,3yfM78BTQs6o7d2TtQLLh6,9,https://p.scdn.co/mp3-preview/4c6fedae584e6a6f719e6e9141b69ed44dd85385?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,The Opener,1rcqDKjEWd076NFJiP0weZ,Camp Cope,6OtUfATGYDnx5O23FP6C2s,The Opener,5I6z9MHErknfVZYaIquxaP,0,not available
16,I Found Love,1KSLBKpWQjnTqzi0Lt3zFM,Bette Smith,3hFYJXV9rGaHMAPkvP4YZ3,I Found Love,3PcTlgX1ZMDQtVwAbPdy8Q,5,https://p.scdn.co/mp3-preview/6bb527fd8806ac8f5337eac81ad5d356aac50361?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,These 3 Things,68G2Is16gx5pADNa4YKUno,Ought,2VhVBXSB8n2KxuzKVZNxTY,These 3 Things,6Vp4lCH3vGNn5J2WedDpWZ,16,https://p.scdn.co/mp3-preview/85a6cd0e633e4b30b781d10ef6dd08e109b52b98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Voices in the Field,095eOUdCmAYAVlGvP6cXBh,Calexico,1OmdWpAh1pucAuZPzJaxIJ,Voices in the Field,3nMy1aY5NX5VwBim7azBfA,13,https://p.scdn.co/mp3-preview/5accc529b557a64338aa59895a3ba79491e800ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,The Things We Do,4nHAdp4ZybPLDIfaXaxDiJ,Black Nite Crash,3aWYp1DhsqCFF3SBEcqTQn,Nevergreen,66IwbmARiWaTsJdJeyJLDb,8,https://p.scdn.co/mp3-preview/2e081a62a1d974ecd9c9dee6a63e2b4042f4249b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,The Winter Fuel Allowance Ineligiblity Blues,5rEyLObviJlFihm3u2tWkM,Martha,13pUNMhUQ52yyV50VbuhtK,The Winter Fuel Allowance Ineligibility Blues,4B2FFxANy4jRmvuef6iTYX,20,https://p.scdn.co/mp3-preview/807e4d7ca966e1a82477f6c45d11b9648a45a7f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,A Natural,7oxieCokpR2cvK6VpRtiVW,Gord Downie,0hhEcYduSsklQIaMFAgaMc,Introduce Yerself,0TfdrbzGDc8gakrp0wdPim,0,not available
22,Tonya Harding (In Eb major),2LgCwYDgPhPVTLpl8t0tKX,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,Tonya Harding,1BStjb6ky2FMpH0PFGPris,42,https://p.scdn.co/mp3-preview/88e68350e00e8264681944d649855a22db1592d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Fire Drills,1X5zQcYMf7Np85LbdLdSV7,Dessa,2CQAfzpwwaMxj3YNlb4Gbj,Fire Drills,2NkuMMymfXutgyRu2SpJlG,24,https://p.scdn.co/mp3-preview/baac7f9395b586b79a8799c35e5df62f21a71057?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Southern Funeral,19jAfqA4GjBS6FULHaqLXX,Autonomics,416O21MTq8i5V41ET0cQnN,Southern Funeral,1A40u6qvvLL13gGcxZWfKo,0,not available
25,What Good Would Loving Do Me Now?,79Z00wbbRGzMui1lKwvHPb,I'm Kingfisher,0w28yk8l2J8cEMt7bG9N7f,What Good Would Loving Do Me Now?,0eHr6zu6vos865YUEQFUe8,0,not available
26,Everybody Thinks They Know (But No One Really Knows),0xXwyyRr72w2LQyAJ6TrsV,Naked Giants,4KhnLZjONKS3nuYzXoqoXi,Everybody Thinks They Know (But No One Really Knows),7f4SNqLD79LBoGv0pTFQ58,0,not available
27,The Story Bridge,4jif1xMUBJoaG4MOiuyaY5,Breckin,0etEnidai182CUibLqBkGn,The Story Bridge,2tewec8M4vSgfd7RSnzbk5,3,https://p.scdn.co/mp3-preview/b85721ff24a18d4d43b36a162261c1421b48e7e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,King of the Last Calls,6LYjBnxbWQtKA7si8AxqDS,Unlikely Friends,07yAGFl55AJZENVhq7fG8L,Crooked Numbers,5Bml5RS68QSU16F8v82bBB,15,https://p.scdn.co/mp3-preview/04a2c5dad34c621607e0da277214491d620c574a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,The Deconstruction,5Sc0AUFAUa8JwBuunmQoQn,Eels,3zunDAtRDg7kflREzWAhxl,The Deconstruction,18OOddN8NO6ZZL3hJ642AK,32,https://p.scdn.co/mp3-preview/3bb65c900cbb93294b9fc8439fdd4dda10cf9694?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Heartbreak Junky,1fBL850mmy98yC3i2Xw6c3,Kyle Craft,29kOS7p4N9JeqoRgA2PCsr,Full Circle Nightmare,3IXFjjiyiYNp9nUrwv62Z3,0,not available
31,Black Willow,7kaCliCWceojKP40vzwXqp,Loma,4oCcCzMjKNCjQTzxtVlOJT,Black Willow,1QLRj6L0umBpcbID9yxo8s,0,not available
32,Mainland,39q3cfCw2IGCbte6wXkA3S,Rolling Blackouts Coastal Fever,65mMkD9WW39U9Yadv0dWUF,Mainland,0rmwxgNUD93ZlCgCa5Z1Do,0,not available
33,Easy Coming - Single Version,2dUm9Jlof0jllOjHgZbMl5,The Moondoggies,0nigeIZAD68zTl4PfFbVFB,Easy Coming,2iToZI3Y4GTXUp45R9CHsm,10,https://p.scdn.co/mp3-preview/7c40a3d112ade52836e8da397f0fcdc4aec10925?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Donezo,6fi9EndQCaBCReUj0BAL6Y,Boulevards,1OO2uAMcUCXUkFzDdsr7x7,"Hurtown, USA",1MRRtqKjZ3jHT636HIbNRn,10,https://p.scdn.co/mp3-preview/543c2e9361689ba86fdc59ef71c4652214198fbe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Slow Fade,2qcX1gcCUQfXLEY3CIpCD1,Daniel Avery,1EULJuDFWpZ9xg4YwtUGGt,Slow Fade,5P5BNeX3KSQ7FGbLwy4Qc5,19,https://p.scdn.co/mp3-preview/b0a0274542aed4cbfb02b4e5801a56e1e054a8d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Autumn Winds,24xbAUAJZ38jkOEjEIRYg1,Pia Fraus,15cjYStG6SRmTS9d5wNVxT,Autumn Winds,2YeWIO6e5pLAIVmofrYcpP,19,https://p.scdn.co/mp3-preview/a18156c826529975a01a9ee5930ee9a05441ba63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Stay Alive,0tc3RWcszYAFS0GOKuyV4Z,Hollie Cook,1fwuUuFbqXJx3B17PUhFCE,Vessel of Love,5GdBwp9XyC9EBC0f4x2ee1,35,https://p.scdn.co/mp3-preview/7f9887310d543ec7191d1d3b34a0a0e42fb7f227?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Mere Anarchy - Edit,5tQhscGYHfrdCPKB73hYAI,Moby,3OsRAKCvk37zwYcnzRf5XF,Mere Anarchy,0vwee0ESOndPWg7LFydaNQ,38,https://p.scdn.co/mp3-preview/da66206d3d9e8a21eaa5a7d6dde66773d997c807?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Hideaway,3jIXVUgy7ly6oPXWaxe8yL,Geowulf,01TQ6CLvPSOYGUqRQ3nWgZ,Great Big Blue,73b3NhgAXQiC6fmbR0Y2CA,34,https://p.scdn.co/mp3-preview/0dac77b023ebc74178b44f42ed92781011044e75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Listening In,2MiE4uNtlIr7GKM6DwiUgl,Dr. Dog,4mLJ3XfOM5FPjSAWdQ2Jk7,Listening In,5TvAQFSNWzss7r4AZVQyBl,38,https://p.scdn.co/mp3-preview/e7b3eb9d18b3b5e886a6eb17ec85ccd8b3435fc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Winter Sun,1YyqqD6A4ZfRV8uUTXqryp,Roaming Herds of Buffalo,1bmgdLXNqn50DACYIqVYbl,The Bugbears,5owaatMwDEWp6tqeZLPnt2,4,https://p.scdn.co/mp3-preview/2c1f7f4a560ab3ef90fc60c3e51481f3d1367c1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Lucky 88,6c0ZTq3rVKyNp2mtj7U3dQ,Speedy Ortiz,6YHfq8Pg3lZPo1u0PaQ8ob,Lucky 88,6LHS78mrrTWq1pNfpMaSGM,6,https://p.scdn.co/mp3-preview/34d798027e7eb1a7eb77be04ea73f0b24b1865e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Don't Go,6F3LPI8IWbrQ1h1wcXHVdn,Moaning,3CUxaEfS61oOgusURYoP48,Moaning,0vER4xgkshIldX68908O1q,0,not available
44,One Rizla,2ibdYmH7GRHNnUcBa6kbnG,Shame,4IeWU3NYBI9mISFVhzXG8f,Songs of Praise,3A1kutvBmC6czSsSv7aR5E,50,https://p.scdn.co/mp3-preview/2992fbbe91d5db56c69edd0b9c01e806aa2a24ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Everybody Needs You,2AEeyo5EHKPo5aw9ZHFW4X,Laura Veirs,0jkK3K1ATFFHofEWjd2i00,Everybody Needs You,3P6nHQ3qzWcQ4KQRxV8UYF,13,https://p.scdn.co/mp3-preview/cc1a9424552fbe98a4aa3fab20efe4912c768a94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Junipero Love,4Z611cg5jy2kn9UvkEWlGX,Hibou,60S3PHPmmVaBxa0zrcAiHq,Something Familiar,7fAE3RxQ9Boj6AJuwUAsE7,3,not available
47,Here Lies (feat. Tamaryn),68oDPMreKYA3yKxhjSJv8w,Jorge Elbrecht,6NWNbhdPRgn8ONYG93D8bz,Here Lies,6w2dK7qEUbltsZKS5XbD5m,14,https://p.scdn.co/mp3-preview/3c28fe5e19573c423c622807462e5a4cc60de0e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Maria También,0cHO58QLkivmjv0nQiM7DB,Khruangbin,2mVVjNmdjXZZDvhgQWiakk,Con Todo El Mundo,5u103bJ7EsNUAyL9eMACo5,2,not available
49,The Future Was Here (feat. Palaceer Lazaro & Stas Thee Boss),121nXLchdISxxDMap3CUIM,Erik Blood,3TUDmBTZbBivFOzBhVGrV7,The Future Was Here (feat. Palaceer Lazaro & Stas THEE Boss),56tfgzBxIBRiehB58oTdyq,0,not available
50,Elizabeth,2XI5ygZzkNNgj142ujL0hD,Long Neck,6uLaqNlADRk1E28QrczF5T,Will This Do?,0errbrDXgwV4spAikyec16,0,not available
51,Gardens,5gjSYcE3awAzitZkn4gWjR,Parisalexa,7CZXfBcIhQ2dPEqk3N74vV,Bloom,785QgcxIZiMWlx17DivxXz,37,https://p.scdn.co/mp3-preview/09c274586f0adcabf4c0c75d7cdf49966749ccf5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,"The Louder I Call, the Faster It Runs",73RV5tQDzP0pmThKb4zKy1,Wye Oak,5SjNVG3L9mgWQPsfp1sFDB,"The Louder I Call, the Faster It Runs",29iwKSH3cIIw638cDE3WCH,18,https://p.scdn.co/mp3-preview/fb88140daa82f4a52296bc16e5db7abb1b6002ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,MopTops (Twist While the World Stops),29TntWuI752ZzI1qxIfiJr,EMA,0MT8Af4BlhE02l91O6cfyQ,Outtakes from Exile,5PxorOvbDoqY0iGWUrxa88,5,https://p.scdn.co/mp3-preview/feffbb3b0131b0f8275ea6c5eb6334e848c4c789?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Over the Midnight,5XvRIsGyQLvy6tPF6O6SxE,Jonathan Wilson,6KJIIOCWsWtNc7ICINtPEw,Rare Birds,7Bvy3m6GXqlsO3K0S8fOFl,33,https://p.scdn.co/mp3-preview/5882fc41d744a4c18958ccb0ef78b68375c41d76?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Miki Dora,2o46Prq1O4afsk1ps4nmDK,Amen Dunes,1jwOuEBcOKq0BeudSarbEM,Miki Dora,37m11djrDfbZ1HbCwCdRYM,0,not available
56,Not Your Friend,7EnRKVVFU7ujW5XMjRo9pW,Ruler,7F4oc0DOlSzF2HySy4zXaF,Not Your Friend,41XLlMbpgBdXH1ES6J5V2A,0,not available
57,Six Wave Hold-Down,0t2fEpadR7WRnSHGlYRl9W,Hot Snakes,5hEP2P4E1FjoFYdhhxe7vi,Jericho Sirens,6TfHOfzv7RJVKXy9lhB1Zo,0,not available
58,No Going Back,4AKN68fSI8weZ1dbN35QLi,Yuno,36BjLtXEXIifbRrfc1Rtqa,No Going Back,53n71tD6F4I1afwJtjZCVS,10,not available
59,All This Useless Energy,4LqjKHOtaudDjaDTyq3tzG,Jeff Rosenstock,0wNZvrIMNUCs24G0wFg2D6,POST-,0Bu5ILSVnBtSOfS11vAg8A,21,https://p.scdn.co/mp3-preview/0e8d17cea05fed75d55fa6efa91df735dd61b69c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Lemon Glow,4SMBYxJDFtBlBNJgqzxiui,Beach House,56ZTgzPBDge0OvCGgMO3OY,Lemon Glow,55fqH4ktegy8WIboTNJlXc,29,https://p.scdn.co/mp3-preview/adc088a32b1d687506844f3ab458f3ad80cef0c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Cicada,2AWcTO55L6oS9Iuh6YhKVc,La Luz,6QRlkjrHz5A62mqeNZz7t3,Cicada,3DBFDIQQ4OXAqoU0xaRz0L,22,https://p.scdn.co/mp3-preview/a25d353f5188920a593a32a26a7bac64de6d06c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Primavera Negra,2civ77FiSGgX1DaFe37Z9p,Linda Guilala,0H30k58Q3nJbJF5Bgjwdqj,Primavera Negra,3KOb4MykJAeT2P1sizgD7U,16,https://p.scdn.co/mp3-preview/849250e7b12e058b0b4e628e7a4e60123d2cc3bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,BK,2mZLThzUg408otFTjBRJ5L,Sidi Touré,4GZL0mdaChYedPq4Xr67Nb,Toubalbero,3hvHZ6I8FeBlnL5DyVG2Yz,5,https://p.scdn.co/mp3-preview/35d8315d2087915faee6bd33313679c69dd3f72c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,When He Drinks,0vwIVqyAwcQzvBoOD05Daa,Jason McCue,4EfB2qvmMGOShbrkfSJ7JG,Pangaea,3Xq6AIf0JAcMv1dbLasbpi,4,https://p.scdn.co/mp3-preview/a005625dc9fa2598a1460f1a5722c9e8ef95e51a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Sister,4NyC5l3SuPvyUiIkmquMg4,Tracey Thorn,7xFnmid57ZE6iWEXdEXO3b,Record,4rb4OC3d46iZld05PU927t,35,not available
66,Don't Go Missing,76ZHgB23n4we4gXxLzCrbO,Kung Foo Grip,52zbDqBv1tuK1bG5XL60sf,2.K.F.G.,4Mgou96rbAVyXcQmvN4P6i,7,https://p.scdn.co/mp3-preview/4b647560aaa3567d710a08954b3deb9592fe344f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,AZ,1bI3iymZdHMCjUM14YgBfV,"Now, Now",6ZitSwtBSGqj00w11GvMU3,AZ,0ZSWBsw6McEzU2KHEzbHwk,13,https://p.scdn.co/mp3-preview/780c3c10978bda83cd37addde2002a8e602f7487?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Inhaler,713Hjn4YYwi3I4mADKYUIx,Hilary Woods,4S05GVttpg3rjOte0SX749,Inhaler,1EujZXrr2DnY1Op3lm81WE,11,https://p.scdn.co/mp3-preview/6e7f19f70634eac5042165d48591c9566ca402e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Iowa,5GNdQCPZ0TZCIdSIchFvb9,Exitmusic,1sLflvP9XBFyDA0l6iFNjE,Iowa,2zw1PN53sxt91HgSNanx9a,0,not available
70,Shiny One,31Og4SU4falbzHTxeuxv30,Belly,3h1HOgVmvPlhqjz8o3LglL,Shiny One,3xHR13zy3imFkdSWERQLgb,13,https://p.scdn.co/mp3-preview/4839c313cbc4d5fd87c3f919135630bd6655a3e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Over Rainbows and Rainier,0IHXysjG5JvwJ3AFeTRZd8,Damien Jurado,79JJCxCCfJ8HufX6w8q2k4,Over Rainbows and Rainier,134QHFv2ZaeG3OECLC1qF5,39,https://p.scdn.co/mp3-preview/4eb2cde0f933dfe84cacb0ab393835d70db3d9a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,American Guilt,6v9z6bMUbflgU45QrtCBcs,Unknown Mortal Orchestra,1LeVJ5GPeYDOVUjxx1y7Rp,Sex & Food,7c2Xfq7aQKzs0KdSI3K7Rc,46,https://p.scdn.co/mp3-preview/abe8e032b800543d2c53a788e7310b0d9028852b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Your Dog,3BpUZB0tw4zNmG3Iw1mclL,Soccer Mommy,4wXchxfTTggLtzkoUhO86Q,Clean,36NLDBi2kX7XRHnyLzLOS8,61,https://p.scdn.co/mp3-preview/dc5d59dfe1403ad32a92b632241f6d7da1f0497b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,"Breathe In, Breathe Out",4R75Fblzo15CudTRcSTaNw,Melody's Echo Chamber,1S0vL284jxZYKtZQ2jsQ2X,"Breathe In, Breathe Out",290uH3JtEsjs7mKWqSMln4,0,not available
75,About You,1eGEuykTgQKufImaL8GrXJ,G Flip,4SdIXLzfabqU61iK7SnKAU,About You,6BMNqDshN1jkZhzXgee0UT,0,not available
76,Hell-On,4zG58gSipyazhsiVdS84lM,Neko Case,4Cedjq5BQL3MhapRvDpFED,Hell-On,7boSQfdIK6GAgpF0pW12Vf,0,not available
77,Ehad wa dagh,7rGUqYC0fSyrkWVJIIc6by,Imarhan,1KQ1687z0hWSabx0YswG54,Temet,1RK0pJy13gdxRchYDEemSq,26,https://p.scdn.co/mp3-preview/0bd9d737a542913441f9b0ea3cf3a0cdc82b720f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Sisters,2c2tuRYe7ZxZcl1OTNJLCh,Natalie Prass,0EmUT6i9rTu9ZHy1Tl1iuX,Sisters,50AbCXvtS1mHg0uSsAwKpY,16,https://p.scdn.co/mp3-preview/e95d60b2773cb8080cbcf46455ed75a904e67b22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Paying off the Happiness,01eGVyDzghtZITvKaNBRrE,illuminati hotties,3ztRX1UoIOsFqpD7dB6R8O,Paying off the Happiness,3mMYtgHiZ3ET5eCgi8Zpl2,0,not available
80,Tuck 'N’ Roll,2Kb8XWqhy6DyW67HLepj10,Durand Jones & The Indications,6TVVIyd0fsRDGg6WzHKyTP,Durand Jones & The Indications (Deluxe Edition),0CzFk2RSGJjhXLEGhk6K1E,35,https://p.scdn.co/mp3-preview/227fb23881ba64bf18c598799b66a65833199345?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Can't Deny Me,4PwGt5dBTmdRu4HTN8ZWgR,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,Can't Deny Me,7N3t4G1okTBsoQ6dBmPXAV,52,not available
82,Quiero Otoño De Nuevo,2coM4DhcyI3F2RgLltp89a,Mint Field,3okJi6oq87Mwx0VzywmMgz,Pasar De Las Luces,3c4vVEDCHzxdz6xG5CZztk,25,https://p.scdn.co/mp3-preview/459a6c43aaf4039159d8f12041ae1d1cf6d82e46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Caught in a Wave - single version,1MBrJRtteqzGT9hD8VU7N4,Simian Mobile Disco,31DXlldabwPHwu6dYevuzK,Caught in a Wave,3WBY0vR4bRpnS5swztg79H,17,https://p.scdn.co/mp3-preview/5bba472c4d3579445f16f73d46ba28ffe0e25c8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Notes on a Life Not Quite Lived,5irepICuGP5wHDaHqTpqSm,Mastersystem,4taetje8eIs1EX1xtjVXaF,Dance Music,1AMUxsb2tPBzrEURL0bs9Q,27,https://p.scdn.co/mp3-preview/17dbb6ec4e6617df9e9d52bce30dc254c9db2bbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Native Birds,25VXYYbMc8hUTRFZZbNQTE,Pascal Babare,4E6YmFNmNstBAq3H4LEra9,Native Birds,1Nf15UdptlvUTCYwk98NmZ,4,https://p.scdn.co/mp3-preview/1a3bfa06c05c0180b601916ecb1d6d50bc52a07b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Pulled Up The Ribbon,6gu231nUTjy6OpN76bShUW,Okkervil River,5E7zSu46SqTmgKqsc0tFkY,In the Rainbow Rain,6OvgNPOobLBiiXctTcN5bc,22,https://p.scdn.co/mp3-preview/b68a46ee98e9a7ce50cf914bbc11330d63735c5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Are You Electrified?,34Eo7DubtmPorurLKqHwNG,Joseph Arthur,5aD0uh1BpYTN7AzhiSDgaO,Are You Electrified?,4r4zDlgkwy8j610icsxHVj,0,not available
88,How Simple,7JPIRFlQL2acGnyqujDrDQ,Hop Along,3yYUV3hkJit05YIUEODqgp,"Bark Your Head Off, Dog",7taAuoHvZ4LJzEaB0OzuP3,51,https://p.scdn.co/mp3-preview/254f1929c3a8e3d2eb52763d36de33826eebfea7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Garbage People,3l0K7EhHhTRTCaaZoBzM43,Wimps,6eNVMKPPp3KDkErLErP98E,Garbage People,58WgYLrPjz02XrWj4JXLEf,21,not available
90,The Blue Marble,3lX0VGd68zOapFmfFF2x23,GUM,4Oov8BULUOBiX6UVpP04JW,The Underdog,7ueMHaIkjK0w9EyLNdvNnX,37,https://p.scdn.co/mp3-preview/1d8f304419441a40282860f2692d4a34ca6f58f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Before I Fall,5J7zKZuFMSobujFu3riXUF,Garden City Movement,3HrczLBDJXJu6dJWEMbKHa,Apollonia,0BVTmUQpMXZLgutCeY3tIB,0,not available
92,Reviews,09h7LuwGmLkedCalirYeXd,Tancred,4rdoYKpVduYtHfKJgUnOkS,Reviews,7aUEO5QLfVvEnd1wQ0V6w6,6,https://p.scdn.co/mp3-preview/66f56fa14ebbca49cc372afde3166c30ec4128a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Untie Me,3C16zv108jHsPNLHzWEDr6,E,3IvotlWNssemLpcqAoufpF,Untie Me,18NXNFNy6JIoPmsyRfUfOJ,0,not available
94,Speak,7yxZSyV86ZHLbaugsqs8K7,Sango,7e3FtKBIPLrIVm8g1FJMVg,In The Comfort Of,1MPNdWy8DhAjVTPiDQok0H,29,https://p.scdn.co/mp3-preview/8f12079246b7239ae04e703930a68b3d62ccaee5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Kids These Days,2PWDOEHB1XM4CJUrwX8lBZ,Shakey Graves,1fZpYWNWdL5Z3wrDtISFUH,Can't Wake Up,2Wfr01LIuo5Uy5Es51Q8b5,46,https://p.scdn.co/mp3-preview/feb08bacc7796765a3ee595e4abe8a6944350eeb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Bunny's Blues,1w5Q5baSCYdrpHc729H9lG,Lost Under Heaven,634K1Y2zhBHexel2Ma4xsC,Bunny's Blues,60XS29NiXPkCEhuIEgBALO,9,https://p.scdn.co/mp3-preview/6432399b92fb339acca6f530a27bc9cb7f474881?cid=fa83a2fec7c440b7a2795d600d6b2c7e
