KEXP's Song of the Day 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
35,Tummy Ache,6sr6fEIGEih3o3YGj8RFtT,Diet Cig,6ommlbuccgdiKSgjvVlQ4W,Tummy Ache,2oCg9fZ4vKIDJzjv9g0NDF,23,https://p.scdn.co/mp3-preview/960dbf8090ee2d15d53daea34a8f8daf7c371330?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Sirens of Jupiter,2yM6bVAkaJP5YzTBlAgUbK,The Olympians,0ZPqGxW2iwZz7vGJWzuTUi,The Olympians,2UkCnAUvgigPDKmVjw9dQR,41,https://p.scdn.co/mp3-preview/cb10dbb431f05a46ff63298640eeaeb28f10a042?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Teasin',365KlU8qKefmi4dcdFgFoF,Hiccup,3h4zfGQUTOoyKwRkA9YNdL,Teasin',0yHLokxNnJ2JBYIi0lyh0o,0,not available
38,Something Inside,29AGKiDz2yQ9xnjs63msY2,Weirdo Machine,2lDdX3Kgg5CUoNFM5oaOPT,Eagle,6P9V56LYHwOfhYq4Wzkt3Z,1,https://p.scdn.co/mp3-preview/18e9f5a1826960bfe8cb0b8097bc931c51343035?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Nothing Feels Natural,7jFM0wZch8oJVRVQMl2nvV,Priests,5DT78nxI4rAHYddufPUOBx,Nothing Feels Natural,4Q4PAknSA2wgEY0VPLCqAR,33,https://p.scdn.co/mp3-preview/0b39e378f7e9c1a2448f7706014dd0f498b14802?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Back Pages,6ElcoBzYDiC1exJrxFKy70,The Proper Ornaments,3TIpMWwtIVLALtazdyDhoi,Foxhole,47PZvGxefZNqTQ6V4JzP14,0,not available
41,Sun Kids (feat. Mikaela Davis),0CVTV5FDVN2ywn3Lica1Ry,Spaceface,3rcMe5nRZ2Z6Qbx1OB0vIz,Sun Kids (feat. Mikaela Davis),3dmaiYKNi7oqnkWHyHWVkv,38,https://p.scdn.co/mp3-preview/b5dac687ce0442440774cec33c8176924edb126b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Silver Velvet,52AcgbR1aYNgQTyk0bXx6t,The Courtneys,14jWPTviD30k11Jccwmq8E,Silver Velvet,14cz7doezjWBzSWg7DsIjg,10,https://p.scdn.co/mp3-preview/6f7834334f37e5762926f033d81abd4cd62b309f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Rosetta,6wEeA6jb3CLBj8ZHRLK14N,Haiku Garden,57NEeWjksDtZbDsGkOVjwE,Waver,4hHMcv0sCKr1iVbQZpTdLL,4,https://p.scdn.co/mp3-preview/251eb39e248d9838b0bcbf2ae3353d9f6db27b6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,4:17,39YOgncbcs83sVX0wGUUZh,The Ills,4bw6dczMWjx5X4wUqeSKP7,Ornamental or Mental,5jgH0lodOoptcfRM1jS0Dr,10,https://p.scdn.co/mp3-preview/1daa8c7112cee70644eb57734067ed6b25811282?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Devilishly,0X99aMFPWhW0ycjpeTGAVD,The Jack Wood,5Z296MHvTUXGKb26J038w5,Ritual,0Eo0hsygYT05RkF0eXIBsV,0,not available
46,Bad Fanfiction,3Y5TqcVb7FtRx0b1Wjy0bD,persons from porlock,13VEtKglR9oBPkqu3gASAw,Bad Fanfiction,10jJ9c12TyLTQAFvgy1Upt,3,https://p.scdn.co/mp3-preview/a5790ad9652733b889447f618de0ad691d896b56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Moving as One,13ZGf65qmFqTwWNjppn3f6,LOYAL,2PYzfdTjMDkpIxlOEm3oK2,Moving as One,5ZvgvNcTxd0veDf4RXLAjK,22,https://p.scdn.co/mp3-preview/68b61cc5de56d5bc5d3b78d7a8cb2eb4e0e34dd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Only Songs,4GbAYlr0NadVOs7yyVOaxu,The Wild Reeds,3Q9WLyqkHw04V6DDtvPWwH,Only Songs,44xYDztQBOoXeX01Fn0JUx,1,not available
49,Mental Haven,4PeWKkVFTL8w1eptc8jLUt,Hater,4Xi4aFTZvoMChGDmSVgxTz,Mental Haven,759Q7DBTmR3kzKNkrJiKbF,0,not available
50,Rican Beach,7AQvKMpBr6U8KC9NZ7hX0N,Hurray For The Riff Raff,2xLEV2jDreAOcpJXFNoXyt,The Navigator,0Yj2JpwXLmY2bcqOTGNU7U,0,not available
51,Invisible,45MLgHmYPR1aZ6dIJ7hCdc,Minus the Bear,0YQBN02bmZvwGNrrWsg2sT,VOIDS,0r9TkwFVaxWLmTl7lk9r6c,32,https://p.scdn.co/mp3-preview/c3189596a71d8ab49f8b31e4d88e9aafb493c88e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
