8 Women Who Invented American Popular Music,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,You've Been a Good Old Wagon,0yS8lUmnlbHGPf9hgz0FQ2,Bessie Smith,5ESobCkc6JI4tIMxQttqeg,The Essential Bessie Smith,0NSxpb50uBMgAzOJQpp4Ag,13,https://p.scdn.co/mp3-preview/97bf76f5345b5f9b86d05ca52310627c78ce32c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Guantanamera,6bNZH4O72jD4L5hga6DwHj,Celia Cruz,2weA6hhVqTIN2gSn9PUB9U,Bravo,46y4ilGc0rpC9iSSvPaB2E,19,not available
14,Undecided - Single Version,6d9WGDalJELTYztzxW0uvC,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,100 Songs For A Centennial,3lsjiId5dDmjtbkkTQwOrM,19,not available
15,Drag Em,1xAUFhCmhCF6NUD3JaB1nW,Mary Lou Williams,6hrEc1XqVcGLK0Di6zVADR,Mary Lou Williams: The Asch Recordings 1944-47,2agMAPxFXBhl2oEYFSZWZH,10,https://p.scdn.co/mp3-preview/2daf91ff5495f5fd510843769784b6935afd9422?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Strange Fruit,3YL9s7DupJSruynQLpcMWi,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,The Complete Commodore/Decca Masters,1FqBsGdAki04wMMPst8iZK,24,not available
17,"Frauenliebe und -leben, Op. 42: Seit ich ihn gesehen",2wp4hIr2USiRZB7jEX6TgW,Robert Schumann,2UqjDAXnDxejEyE0CzfUrZ,Schubert - Schumann Lieder,4hV4FP4hli4mLDPrQMCoSH,8,https://p.scdn.co/mp3-preview/fbe59ab9d32a38ba72f3c9beb388d17b7adf1c67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Strange Things Happening Every Day,0uUBfmp0ulkpf6EJzsZJZl,Sister Rosetta Tharpe,2dXf5lu5iilcaTQJZodce7,Sister Rosetta Tharpe Vol. 2 1942-1944,4FkQ3aw8yWpFGEuAcNIM4f,37,https://p.scdn.co/mp3-preview/df71413cea49c0860616d7274487e8a25272a9fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Cannon Ball Blues,7peeKNd4FHqlE6qvTASI3o,The Carter Family,0FRIWJYklnmsll5M6h4gUL,Can The Circle Be Unbroken: Country Music's First Family,3ZA3cI7M6Z5rsy7kIFGeMd,19,https://p.scdn.co/mp3-preview/f3d5b05a2feeeb5fa9268e66ead9bab488959d54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,St. Louis Blues: St Louis Blues,6R990krS9vwKFfb1yMVfRR,Bessie Smith,5ESobCkc6JI4tIMxQttqeg,"All That Jazz, Vol. 57: Bessie Smith - A Decade of the Blues (24 Bit HD Remastering 2016)",4WMGfKoWEeW0FRLS3CvSvs,5,https://p.scdn.co/mp3-preview/133b28195993be21579eed3ac3404f3d76037c4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,God Bless The Child,4rmsOjKe033jhkbEprL14q,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,Ultimate Billie Holiday,6s7MXNWkxPArzzOSdcH3wW,11,not available
22,I Get A Kick Out Of You,33IXE4hyuWJSenLMtRrVZp,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald Sings The Cole Porter Song Book,4iNmDhEZ1WYGecKm9ekWxB,46,not available
23,Quimbara,6ydEhrdfzhI29D2NBAqUY1,Johnny Pacheco,09947uhj2ZwU9mFXK5v50o,Celia & Johnny,416lPCtckkTOPYQslZ6QH1,61,not available
24,Credo (Instrumental),6bJL5YKCocxT3FnzZk4Ioe,Mary Lou Williams,6hrEc1XqVcGLK0Di6zVADR,Mary Lou's Mass,1KuLMVUjXCTb8hArSPa9S4,14,https://p.scdn.co/mp3-preview/9c7aa58df16c8d3a8ba6a10d7fa654868e8dc29e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
