Tiny Desk Contest 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
13,The Bug Collector,5nVE45ithgyVocZp5XLAk6,Haley Heynderickx,73MDShZzdL4vUGMkmXOG6X,I Need to Start a Garden,4I8BEAiq1kPqRRlvWLTo5B,59,https://p.scdn.co/mp3-preview/736a6c5f0fa6098dcf2184a38121dd96e3cca2f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Drinking Song,5KkoM9rbevlWf8EePOrwfS,Haley Heynderickx,73MDShZzdL4vUGMkmXOG6X,I Need to Start a Garden,4I8BEAiq1kPqRRlvWLTo5B,51,https://p.scdn.co/mp3-preview/f30b3bcc028f93a249663cc07bebf1942ea429c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Plastic Hamburgers,6Cj9HRikVFdgx2YJADIvcG,Fantastic Negrito,5QXLMdpKeByOo5ypH9gT13,Please Don't Be Dead (Deluxe),0LDBQBO1sx3MmOfLzB82SN,5,not available
16,Smoke.Netflix.Chill.,04Yi3WxTBY599l1J8RnzIM,Tank and The Bangas,5cAtakaadWHJLxmGKrKcX7,Smoke.Netflix.Chill.,3Hw1yKKePVdonlW1PcXySR,37,not available
17,Watch the World Unfold,6qxeKnMVI5YTHcIV4KYXoh,Gaelynn Lea,68zltLWXjBB3dIqHikDXZy,The Songs We Sing Along the Way,1dtXwCWjmbe0n8XVHxYOAn,17,https://p.scdn.co/mp3-preview/822dcb2ae9b676081149e72c3b3459d1eac1e256?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Peach Scone,4Pj5nvdDibE3sgflD87J2i,Hobo Johnson,05SdqPzK4m3k1ljK2wrTSP,Peach Scone,7vmQrCrkv7whnfvq7zJxU7,68,https://p.scdn.co/mp3-preview/9400cdc0e072f25e69a8e5c83910e64eb6b11c1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Life Crisis,6Uj5aQ6TQQRQaR3GmEuMDC,River Whyless,7gRGh8w4G9zaFJSaIYp8HH,We All The Light,0E53EfIS8RsZs7WRPfH2fm,39,https://p.scdn.co/mp3-preview/2dca5d61c16ea3a549fed606c2f4d7f2f12a3638?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,WHOA,46XrKdR675FmpJhE9kPzsm,&More (Chill Moody & Donn T),7AGLjS3caBsZrIPp57fDGZ,WHOA,5Z2ESllw9YcD1zeqUrEJtz,12,https://p.scdn.co/mp3-preview/421e9b51737b47f9cc67c6b7b396939b0e04dafc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Jo,6bI9qIBdEoB40nfuUy7u5F,Haley Heynderickx,73MDShZzdL4vUGMkmXOG6X,I Need to Start a Garden,4I8BEAiq1kPqRRlvWLTo5B,42,https://p.scdn.co/mp3-preview/2b8a8476f49ca4709936fce980312f50c8b1a7aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Gold,5HVoHuei9MeFWboDEp7W1M,Kuinka,2SgZrcrMDRd6TQjSp4RuNU,The Heartland,2kW62VBSSqawrcv4gVLbNR,33,https://p.scdn.co/mp3-preview/6a6a776c922d05d8273b6c9787709940a0071ddb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Begin Againers,0T8PHkjIkv1hLAE9Z1ndrK,Scott Mulvahill,2wfUus9ndQRBntDugGk5bn,Begin Againers,7rXQ0MzwYp9T6EFfbeJpPB,16,https://p.scdn.co/mp3-preview/3119e899d4b9cb542f081dd321c60b54f0af5ef4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
