Jazz Night In America,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Dinah,54l8ZcxhkjbtTtOtRBix7P,Newport Jazz Festival All Stars,3zCxPWwn99E9vWw72H2MTm,Newport Jazz Festival All Stars,3uZy96NZE0itA5xVjgQql1,3,https://p.scdn.co/mp3-preview/717f3ce584f4fcf84f8c68593c35ea1b84d2db6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,"High Hat, Trumpet, and Rhythm",2UViia967Mi5aTcxSixjXo,Bria Skonberg,0ahtSggrsy1v2oJuKfmzGm,With a Twist,1fg9qsZPv8CfwwsM08stjk,23,https://p.scdn.co/mp3-preview/0f849d131298329e32bcefdcc54ca31fe3dbb963?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Lonely Woman,7LYCoWQkx4lWTmHVfPzd5E,Jeff Cosgrove,3cA8XbbTFynWY8ea883RE8,Hunters and Scavengers,7gmQjsjcF9a7We8QKXsNoi,4,https://p.scdn.co/mp3-preview/e4c411def44f922a588af65dd19d7f1708d8be77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Dublin,6C9nysFcRbeUT8BkqwM63d,Tom Harrell,3YO63Be7QxrxqBQtgKc4Oc,Infinity,1u1MSp3R5PMVCk6tYf0ekp,20,https://p.scdn.co/mp3-preview/2ec5dd7a18df6dc64595975e860ec59c76b2f115?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Trane Thang / Pinocchio,1uAXQhY6dwRWU9NQszDkV1,Igmar Thomas,53N5vTcfFtNWuJYMrbbZQ6,Revive Music Presents Supreme Sonacy (Vol. 1),6mcQP9786f3VBxpVJjWkS1,7,not available
25,A Mellow Good Time,2OSRVwwZaTkKO1F56WMMHW,Jamison Ross,7cWhEUzLtzKg5FH2JJItyK,All For One,6aPzahQdxU6Y2jcmdbb415,31,not available
26,Django,1wHKgpL6wb7V922tOJCIl3,The Modern Jazz Quartet,7wBFjZMHsC6nfV0HOSd6uI,Pyramid,53JQWUSeq9LeRsSLMrXVKZ,33,https://p.scdn.co/mp3-preview/4f512cd44af91044bd2bbb8f7a8e4acbaacbaebe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Ole,5T2Cft0v1qKSmH0GUDzB2b,John Coltrane,2hGh5VOeeqimQFxqXvfCUf,Ole Coltrane (Deluxe Edition),5BGkenbuo3xY3CRblRPj8K,32,https://p.scdn.co/mp3-preview/e145162e1387475b4b4faf49816931007017fb39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Oclupaca,6lAOWn4Ig3KQZhL0jwMadt,Duke Ellington,4F7Q5NV6h5TSwCainz8S5A,Latin American Suite,7Cmz36VEKJas9IPP2aQuHM,18,not available
29,Jambo,0aJEppQ7EziwqZJ5Ji5p3I,Dizzy Gillespie,5RzjqfPS0Bu4bUMkyNNDpn,Jambo Caribe,6lrxnDN2RS4zYVi2JvSElB,11,not available
30,Tijuana Gift Shop,3yDil4HFUb1bwUhlEkcrHx,Charles Mingus,1W8TbFzNS15VwsempfY12H,Tijuana Moods,4kaQvqgh3GVhDhV0OeNYIw,8,https://p.scdn.co/mp3-preview/e7a03732561dae2aaa08a42dc381c4a7c0ae484f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Caravanserai,5hWlJgMknqIi2lbMmjpjmD,Max Roach,6jrlNnS5B830kpi40j3S6g,M'Boom,0uEFetfiIICfto8mXTWhvj,9,https://p.scdn.co/mp3-preview/61b3c04e10501aab251a8c33ad54de327619c57a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,You Go to My Head,2QjpotmPEfQWAuhvq62UEW,Cassandra Wilson,6TZ5t4kclsmGWHqb3mGyha,Coming Forth by Day,3Remng6plhUxCGnBHbQsYU,30,https://p.scdn.co/mp3-preview/315e1e3bf66ddc3c30549dec9cc88b979947793b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Bayyinah,5tP6YZYRLg5gCmDUchNre2,Blue Note All-Stars,1NOtlIr1BeewiY7mrOrfFV,Our Point Of View,5AxDs9B9A7pnsnxPXHFfnV,13,not available
34,When A Man Loves A Woman,332kayFJM84aHpwLkqmEBw,Shirley Scott,1TnGxyraO6Uyfyt2PuVFvI,A Walkin' Thing,5oml0LickWhokFJqeIFbD2,4,https://p.scdn.co/mp3-preview/c1c9adcc7cc76f2f0946b71dbbe04d0debfe0f1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,The Golden Sword,7tOvfKelyZeJ49zZ674VT2,Gerald Wilson Orchestra,3uFJaB8DycK3ZlWTzY3d6A,The Golden Sword (Torero Impressions In Jazz),3NhTPwrtNy3rby5HcTok8L,3,not available
36,Tiffakonkae,7mcQ9QfCWqeRyZkvNeLDuc,Kamasi Washington,6HQYnRM4OzToCYPpVBInuU,Heaven and Earth,2aBgwU4zIm1tekGzphKYp8,27,https://p.scdn.co/mp3-preview/ffd5d1b65d2d276f8acfef0c33c1c64227599f72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,When You Played with Roy,44yukksufrlrJBYlceihWC,Rodney Whitaker,462arlCFMH9CgHpDXJLLgv,When We Find Ourselves Alone,3Se4nLRhbGaNBuJTOQyNdS,8,https://p.scdn.co/mp3-preview/3c45d2a80768ea0b54b75b7d6e6a7186e75b83c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Judy,0UiKlXxet0j4NVZTtGom79,Regina Carter,3lWP7nrnwtWJFOANMDz0GJ,Ella: Accentuate the Positive,2TQYk65AXyOAJLrEIcHNQJ,20,https://p.scdn.co/mp3-preview/8e5c7a36f6adae3ad773371743eb72e3300228f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,"Making America Great Again (All by Myself) [feat. Rodney Jordan, Stephen Riley, Alphonso Horne & Jasan Marsalis]",4zEczQlbaoIy4cYinI3k6q,Marcus Roberts,6dz608P8sHylVvVVo5OLx2,"The Race for the White House (feat. Rodney Jordan, Stephen Riley, Alphonso Horne & Jasan Marsalis)",2upJrQIexq7xTnlN1sm4Z2,2,https://p.scdn.co/mp3-preview/1830eb6aa50970dfc177dacdf348b3fd6d3c223a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Recorda-Me - Live,2BJDi3QqKffkxytJCzIwgw,SFJAZZ Collective,43hgPgMNA2bf8Bh65qKsxh,"The Music of Joe Henderson and Original Compositions Live: Sfjazz Center October 23 Through 26, 2014",0KceSrZcx2yJOyaOBrD1JB,6,https://p.scdn.co/mp3-preview/d92935f4ac8a09ad86014ea0662cd0dd63d82136?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Crepuscule With Nellie,55kNVaxm3H7gqYkzezGQgR,Jason Moran,7g3iwvP459BN53F7CDxemI,TEN,18Z4yumEaGfFohmhJGjdo9,6,not available
42,African Suite,12CoTpHq5ZAwmtNREdCOPJ,Dr. Lonnie Smith,1ZpPJRe9erwiWi548SKVyn,Evolution,21iRkqTniwTtEkAVg2GAsk,8,not available
43,Viper’s Drag,0WP50n8OoGPT0a4tDQAtw9,Henry Butler & Steven Bernstein,5uM931lIjJ9FPHHpDixADW,Viper's Drag,59OUZ3KiBF8DMtlfABvBlI,2,not available
