NPR Music Best Songs Of 2018,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Space Cowboy,5bum4HbCDFoB9wpsc0sQky,Kacey Musgraves,70kkdajctXSbqSMJbQO424,Golden Hour,7f6xPqyaolTiziKf5R5Z0c,68,not available
11,Nina Cried Power (feat. Mavis Staples),7wR5r0KYGXBpyWXCdyYs3F,Hozier,2FXC3k01G6Gw61bmprjgqS,Nina Cried Power - EP,78o6vcPIRwoph8a3StqaTU,51,https://p.scdn.co/mp3-preview/653fb243a941daa76fa07e5f01ea5d66b9c0de75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Me & My Dog,4q9w3UGW3utmeUruBLUoZZ,Julien Baker,12zbUHbPHL5DGuJtiUfsip,boygenius,5BRORKnC2HD5xhgUyR31SH,59,https://p.scdn.co/mp3-preview/f3a1febae2f44c40159ea9e164215dce5188c9ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Need A Little Time,38O0SN9P3sC0UFLsgLqLju,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y,Tell Me How You Really Feel,3l7JWewI3ZByxaT5BCgRx2,46,https://p.scdn.co/mp3-preview/8cf954855470a19eb6e6c7f5f644a1c72acb13be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,APESHIT,0E6PsO3ymCfUh7pJQjBgkj,The Carters,4fpTMHe34LC5t3h5ztK8qu,EVERYTHING IS LOVE,3hCiP4V5Mu3Y0Z8lb70iDp,67,not available
15,Jeannie Becomes A Mom,5iEOCpoeZDAGae1IycuPxh,Caroline Rose,06W84OT2eFUNVwG85UsxJw,LONER,2ztVsnlMAsHqVe1BjoICnr,48,https://p.scdn.co/mp3-preview/1dae5ac5adeae541680df9e959710fc7c94ca2d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,41GuZcammIkupMPKH2OJ6I,89,https://p.scdn.co/mp3-preview/1c3c01c64477b356e28a652b6447f4ef96689a71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,"Aguas da Amazonia: No. 1, Madeira River",65HCrfE4O22mqsv2Y6jEJ1,Philip Glass,69lxxQvsfAIoQbB20bEPFC,Paddle to the Sea,7fvl8TqN4VDdBM9MhQjmy2,37,https://p.scdn.co/mp3-preview/6b2b6ba6b57622677c687244ddd242b0f3d14c9d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Summer's End,511dXUrzAfeivY8f0LUMZd,John Prine,0nJUwPwC9Ti4vvuJ0q3MfT,The Tree of Forgiveness,13UwfQZqne7ZQIkUZsAPLg,52,https://p.scdn.co/mp3-preview/7bd68b49e4d063e3d79d84ef4c30466734ea7566?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,Drake,3TVXtAsR1Inumwj472S9r4,Scorpion,1ATL5GLyefJaxhQzSPVrLX,83,not available
20,May Your Kindness Remain,71l6dkMk6FSKcL4LcC8hzG,Courtney Marie Andrews,1EI0B66miJj5Fl408B7E9H,May Your Kindness Remain,1U8907wmzKNgvDEW3mk21S,39,https://p.scdn.co/mp3-preview/8d098079c21ef5e92d496d870008d2bc3adb4a4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,My Friend the Forest,3UTzBZJoZLMUdsEzTs6ucd,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,All Melody,3MH77JVM17CEdDLz374t1e,1,not available
22,Little Death,0h0XbxeaGfIoVOY7NLGqGR,The Beths,7DjwIxbe8kpw4pqnzAMoin,Future Me Hates Me,4xG41eVnTuDK6uMmcksQ9B,40,https://p.scdn.co/mp3-preview/59d753a0bbf5a880bc76f74a282bc80ae167ac74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Girl Goin' Nowhere,2lyEpuvVOnNGzV5c89Vnpf,Ashley McBryde,371jpyGdoChzUASOIG2ECV,Girl Going Nowhere,2FeaUU9jFydTIsVO5F8rNU,54,https://p.scdn.co/mp3-preview/649aeefc7e62acb296e38cfa277770a8fef61197?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Show Us The Way,4DyIR29DPlnMzLsVj4lGPY,Kamasi Washington,6HQYnRM4OzToCYPpVBInuU,Heaven and Earth,2aBgwU4zIm1tekGzphKYp8,24,https://p.scdn.co/mp3-preview/031e746dca16cb1492591b80d1d652a3c79d52b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,"Doctor Atomic, Act I, Scene 3: ""Batter my heart"" (with Gerald Finley)",0FpOb2Lgvb5QHEezQQ5HLC,John Adams,35OhI7DSls022v9Bz9r0VZ,John Adams: Doctor Atomic,325YXA8ZbSyoStGyvvaQWC,17,https://p.scdn.co/mp3-preview/e36be99ef5b3ef832df44b0b3f6a11ec4b106026?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Wide Awake,7COxY38TB5HTeXRAucOEW4,Parquet Courts,23NIwARd4vPbxt3wwNnJ6k,Wide Awake!,5uTI2HcpAywDP8Vo1DpJta,55,https://p.scdn.co/mp3-preview/0a63992fdbb51736b93482043909c0cc3beccf83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Music Is Worth Living For,5AVPiOi3De9WVR8ExWdyh3,Andrew W.K.,4YJR4xviDKHoelt9WKHlBa,You're Not Alone,0JxUvmY64hj0QKgbChqv6z,38,https://p.scdn.co/mp3-preview/febc88c67840bb60049ba316c664ce9c39a1ebb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Bad Mind,4K2Ny9ccE7D5pekJaPIyft,Erin Rae,167VlZ0C0ewQbgKexRFcs6,Putting on Airs,1LK9gWKqJTOSPE0sHYPVBJ,35,https://p.scdn.co/mp3-preview/167e94b7213b0a6d3b5e918c2096af3f34df23e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,"King's Dead (with Kendrick Lamar, Future & James Blake)",51rXHuKN8Loc4sUlKPODgH,Jay Rock,28ExwzUQsvgJooOI0X1mr3,"King's Dead (with Kendrick Lamar, Future & James Blake)",1NXM5lF9YB7a3f1e4R48oH,75,not available
30,5 dollars,5KO53tfiVN6daF4w6twc63,Christine and the Queens,04vj3iPUiVh5melWr0w3xT,Chris,08LcAgUEeFV4tM3WPPpbYh,54,https://p.scdn.co/mp3-preview/8da7521d0a719ea0165a478df7f80a860788410d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,from,1XwgsaVrEqkKbK09oo4gra,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,abysskiss,5W6TxvIqACEfnxm0VgPhv7,36,https://p.scdn.co/mp3-preview/c1a3663e58484832dabd3ce33bd627a28cfda509?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,The One,1Ahp4PZ1vzdbzBCedUrsqI,Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Lost & Found,3AlSuZnX4ZCab8eoWnnfbm,65,https://p.scdn.co/mp3-preview/8ca5e28cf71e2518ed579964acafc7c10f4dd35f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,November,4eAdqRX5RNQYS9StJx942p,Gabriel Kahane,1ph6inW1HWQbwPSzoD1y0e,Book of Travelers,3gBda6UQb9wuxBqp9MgJ3w,38,https://p.scdn.co/mp3-preview/4893474dd240c7e60e01494a33c5c9cb0e798362?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Volver a los 17,3IEtt7b6cIprbTztHEqxxY,Magos Herrera,2Ns9sLtYVQhj9NU9y96Lwh,Dreamers,7lw4PKGoVPJBs24nYzExS0,16,https://p.scdn.co/mp3-preview/043429024a2ce9e38344bb23b249714f8ce2bac8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,MOOO!,00bWqt93aqLXqKtzZoq7Jw,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,MOOO!,3RElHqlTLwykUD4dXfEK1W,61,https://p.scdn.co/mp3-preview/0bab52168bf67eba3196daa6b6925a1ccea340c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Mujeres,2kKMld9MkBtqmqV2oLwrbt,Y La Bamba,6eb2gxfoBSQhmDYkQKz93b,Mujeres,5WRUBXgOIa8SSZBEQB2UFD,30,https://p.scdn.co/mp3-preview/80686ea481edb7f153da11b7dd4538d7c784056e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,About You,1Fa8IwfaYcmvt9GlDWoKyM,G Flip,4SdIXLzfabqU61iK7SnKAU,Killing My Time,0TSFjQ0wDNJITg7jkJ05aR,23,not available
38,You Worry Me,6jwsbxD1nvTc4UGLgRoCa6,Nathaniel Rateliff & The Night Sweats,02seUFsFQP7TH4hLrTj77o,Tearing at the Seams (Deluxe Edition),4A2z1eFKxkLX3sI57R5y5s,67,not available
39,White Flowers,4ieOPeANKdCvtHnNGWW2BL,Tom Demac,3758ZYkL9uiug7nHTQNWcP,White Flowers,16Iu3dqTMlOUitocEfQhIt,33,https://p.scdn.co/mp3-preview/7718f08646fbd2c5b91f7118bb80999c77f4423d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Believe,67FXBwCa6eU1uBaEdK3T9O,Amen Dunes,1jwOuEBcOKq0BeudSarbEM,Freedom,2H4G8AGta9p8yjgjVI9nZd,53,https://p.scdn.co/mp3-preview/9873a819c0bcf76aabe523c0cef13a8110ee7fbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Short Court Style,2l6S3j7imJtQ2N2nt1YHYE,Natalie Prass,0EmUT6i9rTu9ZHy1Tl1iuX,The Future And The Past,3b4guF43X3i2PNN63tJOCw,47,not available
42,Bad Bad News,7FxzgizJRGTQ3fxUqfvljg,Leon Bridges,3qnGvpP8Yth1AqSBMqON5x,Good Thing,7J9fifadXb0PPSBWXctbi8,65,https://p.scdn.co/mp3-preview/82b8702aa0cd4995ecd7ff37ead0fc9406e24033?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Everybody Wants To Be Famous,4BVFVaa1fDo20Ud1q5Gd2N,Superorganism,0Wkm45quqfx3NepJpXDvwE,Superorganism,15TFB6uLZlb3gnCysRrLix,55,https://p.scdn.co/mp3-preview/c5d97dccff4cf688ea96631e1015984aef4bcab5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Drowning Man,5x6kpKKVTRqksq4g7orx5A,Eric Church,2IvkS5MXK0vPGnwyJsrEyV,Desperate Man,5TjDN2hfsgNWVtP8Ew56Xx,56,not available
45,Noid,6fhH6tRpDX77lDmqBy9LF7,Yves Tumor,0qu422H5MOoQxGjd4IzHbS,Safe In The Hands of Love,1IpYZkYoYCjXTYMDEW8Ksk,50,https://p.scdn.co/mp3-preview/9e84207d44fea273ed0b970c1a5db7b80022158c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Gladly,145xZcFMv1ccyKBgEMtV3y,Tirzah,6f5lOlSFJw9K79gaNnmWAd,Devotion,15GocbF7ybkkPP03YXtLqv,53,https://p.scdn.co/mp3-preview/53355892ccb3de0bee85458b16b383019fe145c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Historia De Un Amor,5D3QuGmdDWtCvMcpVA3l9i,Tonina,5CNjEQS5vkm6B9BGEDqJ7b,Black Angel,1C243tneCDTSgxjZuqr1P5,38,https://p.scdn.co/mp3-preview/564c97c1cd5545e5d2fca7ebaa502360938cc1e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Sweetener,3tx8gQqWbGwqIGZHqDNrGe,84,not available
49,Curious,5btaVjrLBxTvXNmCv5DrW2,Hayley Kiyoko,3LjhVl7GzYsza1biQjTpaN,Expectations,2oRkkW6ZudviRBd6mx4CfL,63,https://p.scdn.co/mp3-preview/13d09cbf5a038b1f1ca674a24eef05f22763c058?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Butterflies,6DMXPshekQJR7uOMj0103y,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,Butterflies,4Yu6DuhOreMSxWngOn5Ya4,67,https://p.scdn.co/mp3-preview/5b3a1dfd02bdefb5a3a12a0cf758d099ee57efbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,BRACKETS,5sWbwccBcyHsg5LEKWGZo9,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,KOD,4Wv5UAieM1LDEYVq5WmqDd,64,not available
52,1950,0CZ8lquoTX2Dkg7Ak2inwA,King Princess,6beUvFUlKliUYJdLOXNj9C,1950,5p0UaZsYWMn4L1dSpc6AhN,80,https://p.scdn.co/mp3-preview/d283f120c773725e74fc2582099dd6833b237a83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,When We Are,21rA2OXZl7rO6FwMQoIBoQ,Nubya Garcia,6O5k8LLRfDK8v9jj1GazAQ,When We Are,1gDxXp9cwL6JVs97ADusiV,36,https://p.scdn.co/mp3-preview/5d6cf367e19305fa6fee72dea1efa5f4f394783c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Thread,76GFPTkt3jihUeXh9AcRJ1,David Bazan,5vwWDRwjVCilY1uYVfJfLL,Devinyl Splits No. 8,2bGqiEhcbIz8ZFyLLfRyZ7,21,https://p.scdn.co/mp3-preview/34f96e74f6c8d2f5d82ad3239a3960d07243e378?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Last Lion of Albion,0nQkQSZMIRBaGFfstOaKva,Neko Case,4Cedjq5BQL3MhapRvDpFED,Hell-On,7I141P48NQw206up7jBezG,39,https://p.scdn.co/mp3-preview/f1faac0b5fa379cc42b1640aa302c62b86746eab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Ghost Town,7vgTNTaEz3CsBZ1N4YQalM,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,ye,2Ek1q2haOnxVqhvVKqMvJe,73,not available
57,MJ,4pk6I8l87QhPwvWT5Wan0Q,"Now, Now",6ZitSwtBSGqj00w11GvMU3,Saved,2omSHllc8JtVw7CqyMvVOr,49,https://p.scdn.co/mp3-preview/1f4f833c2b05dd868291a4ff4a3e13fde2ef99d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,"Widerstehe doch der Sünde, BWV 54 (Transcr. by Víkingur Ólafsson)",5xVcnhVL0AwcOgbpuxTu6W,Johann Sebastian Bach,5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,55XdhiY6nd3iij8msqiagR,37,not available
59,Cry Pretty,7B9UAoGiN4iMCv4s40xoiM,Carrie Underwood,4xFUf1FHVy696Q1JQZMTRj,Cry Pretty,6LURWtPusB5fGenqj0lbFd,61,not available
60,Graffiti,6zWqBxWZRPn0LbKTSy04Yp,CHVRCHES,3CjlHNtplJyTf9npxaPl5w,Love Is Dead,5dj2UjtSxuKGlb17Bzu1mL,2,not available
61,It Makes You Forget (Itgehane),6GRos6Klc30XItsQtGUcak,Peggy Gou,2mLA48B366zkELXYx7hcDN,It Makes You Forget (Itgehane),6KQHrwJdcPIUx1mb97b1Nj,54,https://p.scdn.co/mp3-preview/3ef89a3823eac874b7547e46dda7435a41c700a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Como La Flor,2YBTT3yFtwtTQkQ5V3ZIW9,Dracula,2WLWlfRJMHXTQ56r0vRoje,Como La Flor,0JM9fkvYoV5rih8Xh4ehNu,10,https://p.scdn.co/mp3-preview/973da2b195a0ec3ccf3204cb7383da7b3681502f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Djadja,7sKDftgGirHWTVFMtJoDoh,Aya Nakamura,7IlRNXHjoOCgEAWN5qYksg,NAKAMURA,3jqQFIXUakuDXdhFVvI7Ko,80,https://p.scdn.co/mp3-preview/04b10397e351b84f05856e92054743c3ac800092?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Generator,04vAjpZ2ppNIFcxq9bqj39,Turnstile,2qnpHrOzdmOo1S4ox3j17x,Time & Space,7bZveW9UQfYbkPH9pkpaQx,48,https://p.scdn.co/mp3-preview/5ad88839dc48503c85293a66a6c7f39952bdc11e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Gold Rush,6x9VaGUbiSRvkLEdjeqjsN,Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,Thank You for Today,6agCM9GJcebduMddgFmgsO,57,https://p.scdn.co/mp3-preview/d7200b5663787413bbcfcd90c2bf7f5f43dc9567?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,"Flower of the Universe (From Disney's ""A Wrinkle in Time"")",3F6dDV4voQ5OTTYpzpIVYt,Sade,47zz7sob9NUcODy0BTDvKx,"Flower of the Universe (From Disney's ""A Wrinkle in Time"")",4vdEa3KgM0G1paD9aMhLh2,51,https://p.scdn.co/mp3-preview/4c73c562303d6c086950a3017e5f59d6c9983047?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Cry No More,5PdibyhHV8tRUjn2ktEOxI,Phonte,5SyCTZ8X8YQCI0J1VRp4iC,No News Is Good News,3wUSPhoPQPGWrwIpbuonv1,26,https://p.scdn.co/mp3-preview/460c2c3b9197c8f1448317ddce566130d3fd16f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Jeep Cherokee Laredo,00HvnsjZ0E5Hq2kERNrv16,The War and Treaty,6HhV0jtMMK5HYnYgG0xgtz,Healing Tide,06UpUVi6uLrcg2kjlQoE5Q,26,https://p.scdn.co/mp3-preview/9ab08c62fac7137e269c2164dc94fa159f48786c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,My Mind I Find in Time,5wZBWiK7WNHO6foAzRjLQa,Mary Halvorson,5tCfZ8dYbzaq6auQeSAsRl,Code Girl,1OFdg07N5rkshEfPbTLjnB,22,not available
70,Tambalea (feat. Lido Pimienta & Ceci Bastida),2nKTBvKyRwornO9FmHaCMS,Niña Dioz,7G4N4GY4l0qHm1yflRvsQ0,Tambalea,0BtF7jXQuStRRkzsxOESSY,34,https://p.scdn.co/mp3-preview/6a43bb6b7e650722474d1ab78f1943c13e69bb62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,Lil Baby,5f7VJjfbwm532GiveGC0ZK,Drip Harder,2yXnY2NiaZk9QiJJittS81,86,not available
72,Hangout at the Gallows,5MIrEL3UsDmD7RGezOi4AP,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,God's Favorite Customer,0hMPUtgjezv7gUsmhztvPv,52,https://p.scdn.co/mp3-preview/c512f76247dd42f1a8f0c3ae2557bc98f7c7b15b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Venice Bitch,7AluhhfZ0AO0Zw8MoUstzN,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Venice Bitch,7bbjckenV2z9BwHEU0pLns,55,not available
74,Splinters,5QaUy0q3xCIRtjdtV28WxR,Shal Marshall,7mds6P3MvNyCg7l2QFpx6d,The 2:00AM Project,20XQxBrkD07fk55JehBpjq,48,https://p.scdn.co/mp3-preview/57be26387b0488e559bc97c168591cb6efedea35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Ablaze,3bNwivoZMBQJ8cc6HN8I73,YOB,1hiIe6hmDchjc246cpoAOM,Our Raw Heart,41cwi0xvLmVuVUtJDU8GcS,32,https://p.scdn.co/mp3-preview/e9596ad93aa213fbdfafe0142c37a6090c52ab73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,The Light,0YIfZYYfVytcD1q0Mx57Ey,Jeremih,3KV3p5EY4AvKxOlhGHORLg,MIH-TY,16rRmI5wxWWO5dnRWUKCPA,65,not available
77,She Remembers Everything,3Tla5VE8BSL3wS2n2xhdg4,Rosanne Cash,6lx6XS8umFqYRVbBErx9fE,She Remembers Everything (Deluxe),4lXDkMXaGTpeAeVT4ng2NZ,28,not available
78,My My My!,1YHT1FZv5t3ZFLsVPuy6Rq,Troye Sivan,3WGpXCj9YhhfX11TToZcXP,Bloom,1OyADPvYTlmT5hV0mtxLAY,17,not available
79,"Il Trovatore / Act 3: ""Ah sì ben mio""",2hO8sdTMTsJTJZ2UNPv5xF,Giuseppe Verdi,1JOQXgYdQV2yfrhewqx96o,Joseph Calleja - Verdi,3JDE8sJk4RWe6LS7LRbaVm,13,not available
80,Gold Purple Orange,1PfH3wy2Znu9m69mWZR7ku,Jean Grae,2ipBhKpOYqs6BbysLNGye6,Everything's Fine,22oHrB4SLwayyuLE02t5BD,33,https://p.scdn.co/mp3-preview/0c7142a8f216f21da9e7b6aadc607b253dfd21e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Once In My Life,2MiX5yjl5t1W4HgM6zTbDC,The Decemberists,7ITd48RbLVpUfheE7B86o2,I'll Be Your Girl,2aCFve5jvcVkJ9JFcNeHc6,46,not available
82,Faceplant,2VeHykq7LnldFv0ugSUN57,Ruston Kelly,5zuqnTZOeJzI0N0yQ7XA7I,Dying Star,0HglC8wDUKL0VV5KI31bqU,48,not available
83,Come Over,2hPNuVVSV1tqiD2uPlfehz,The Internet,7GN9PivdemQRKjDt4z5Zv8,Hive Mind,27ThgFMUAx3MXLQ297DzWF,62,https://p.scdn.co/mp3-preview/8dd08262f878ae0739324f8b8d6ae700af29056c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Santeria,4LKSaRoKNnlpKXTT663BrT,Pusha T,0ONHkAv9pCAFxb0zJwDNTy,DAYTONA,07bIdDDe3I3hhWpxU6tuBp,61,not available
85,The Bug Collector,5nVE45ithgyVocZp5XLAk6,Haley Heynderickx,73MDShZzdL4vUGMkmXOG6X,I Need to Start a Garden,4I8BEAiq1kPqRRlvWLTo5B,59,https://p.scdn.co/mp3-preview/736a6c5f0fa6098dcf2184a38121dd96e3cca2f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Estamos Bien,7glCSQqV5o6NU88Cn4zPZn,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Estamos Bien,4BTzqI5BYJZscSgm1TUncT,12,not available
87,2009,6dFn6my1sHK2bcf23GlHwM,Mac Miller,4LLpKhyESsyAXpc4laK94U,Swimming,5wtE5aLX5r7jOosmPhJhhk,72,https://p.scdn.co/mp3-preview/440fa19ee88d93955abb35c5eb2ba1c66b5e9f58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Mo Light,4TQjZr2kVgWJb3o49M6PWX,47 Soul,5nxFmhSekt9Acn4tWZxGge,Balfron Promise,5NNHSG4QC1hMeY7hUejyuI,0,not available
89,Pleaser,5jEQWwrRbUfGlQQXRPPMdA,The Glands,5UNQivDQuLD7eRjJ0Qg7lp,Double Coda,77fatTKbuSLxeiNF6cHxNk,16,https://p.scdn.co/mp3-preview/9b661c633d5cc3479aebaab3d87877e111581758?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Let It All Work Out,3BUWNzPWz2mDbptZmGEXpB,Lil Wayne,55Aa2cqylxrFIXC767Z865,Tha Carter V,50yFYgKdwJANZ5O9MIbMkg,64,not available
91,Carbon 12,5ioQAq97TFyvOoO7hKy1Yg,Jlin,23QKqAkKwti9zBiac6RFBA,Autobiography (Music from Wayne McGregor's Autobiography),3eTCu5yv0a9ZQI2cB3LcdJ,0,not available
92,GTFO,5GjXMhZsT6cdfRB7nurGu2,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,Caution,64zK6tmksJw9gNZR0L4DVx,56,https://p.scdn.co/mp3-preview/89a6fe9fd461e7bc81e2c7543f67666f841c311e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Liquid Days,0nKv9NwOtKfrbevmM3Gc4L,David Byrne,20vuBdFblWUo2FCOvUzusB,ARC,71mEAwJzpMBXLszdMTDdOk,22,not available
94,Anthem (To Human Justice),6pvmdzrrIRaiBpzPPndkcg,Logan Richardson,0SPbho0MYZZGtCWNLr4SPV,Blues People,1zfCrZbN9c31lzVES9lI10,12,https://p.scdn.co/mp3-preview/bb8d96948ce77c603b5d628072539855f5167452?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Black Sheep,6u4FmqYOPznjLlULi5hIYQ,MILCK,62lirbb6qJs4VOGpdCNHK8,This Is Not The End,14NXlqWlb4MGu4KswIm6xU,29,https://p.scdn.co/mp3-preview/17e7c94351a26cf275db412995ce52350e9e09ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,What a Bam Bam,0l6REfKf0k4aX5UsLIXEhe,Amara La Negra,6cdcTRFv0nFBQZPmTLWhRh,What a Bam Bam,2ZkUOPatBkSSJRDKUBbwaz,47,https://p.scdn.co/mp3-preview/c8a8b5dd84661b7f1afc4dcc72e271ff3882ca15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Foundation,4Ls4M6L8PygJ1OwGhwRSgr,Public Practice,5iIR0tru2tKI6NPIYUJjkf,Foundation,1bf3bE3erD3opvml3bla1z,30,https://p.scdn.co/mp3-preview/9268ea5ddb50713c5a3bfdfc6b61acf78694461e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
