Heat Check 🔥,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
34,Hands to Yourself,2hUAWoDLDZLMx5SBbRFzDS,Kyle Dion,5qfkUSH3ip5dD2eEPhjkT3,SUGA,4ZQjhcYbZl4KhMoBekUzUL,41,https://p.scdn.co/mp3-preview/b4f926d613f71ffdf4f13c6275ea1c46f09fa5f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,So What? - Episode 01,2JRo1DJhNhZWs1TzrPNOSZ,Vince Staples,68kEuyFKyqrdQQLLsmiatm,So What? (Episode 01),2aYUBEDBamdjpTQT6h6vAL,69,not available
36,The Feels (feat. Portugal. The Man),2gom1fsNkNh2ETRpLSSmjT,Kemba,0oZASNXz7lmZGoXFh8GnZM,The Feels,4XhQw6n0vRYuPwAshEFihU,48,not available
37,ST. PERCY,3wE9jU1zReHLMHLgAsWIYX,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,GINGER,1jToVugwBEzcak8gJNZG2f,72,https://p.scdn.co/mp3-preview/148ea344f2e02ddb4c7fa19606918964cb9d7ee0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Over,73oMoQsmmfUvAsjcpIh9z0,Baby Rose,6Z4JcgqrqgysyHIPRtDIHo,To Myself,07PqTotv8diLUNtKwYFrxd,37,https://p.scdn.co/mp3-preview/f401a56e29eb50f7fda2dae72b47593aadb157cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Solola,6FrSr8yTs3OTyVLCvEkkwW,Tshegue,3eEAELTLLkQc0PD2S2xAhN,Telema,6znm01LCtg8zJPDJ6aeqRd,28,https://p.scdn.co/mp3-preview/f2f614d74d8fd897734fe3895b7c04833ec28320?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Jaw Jump,2lpaBxdZGChzKUpbEtsx1X,DeeWunn,2QeuYhXNA1WNPCeMLNBqIc,Jaw Jump,78YT26a9QrcWHTKjr4IRmM,39,https://p.scdn.co/mp3-preview/28639be36f45a434773a7ed28c70d7a2c92c402e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Laneswitch,56Sng0NtW0YYy4Edtpybm8,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,Laneswitch,3dAesOchwksFPoWDekVIhd,74,https://p.scdn.co/mp3-preview/cde90e512924b1f309ca1f2fc34be3bdd9343e8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Wet,7yQc0vGMBx6hFRTjB5e2p9,Bibi Bourelly,3jDtqAKltRxJi64svLZGj7,Wet,2wxvip0GfF9kv7xmKxLP6E,44,not available
43,Hot (feat. Gunna),5Z8HZM6iQMhhqyPcCGY5g9,Young Thug,50co4Is1HCEo8bhOyUWKpn,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,90,https://p.scdn.co/mp3-preview/ae942ea0edeae519e31555386d89b49e5242a62d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
