New Orleans Bounce,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Where Dey At? New Orleans Bounce,5XAX4ZKEJ71ahDBUuXeWDU,MC T. Tucker & DJ Irv,59AbVdnFGgdPXmka3SADGi,Where Dey At? New Orleans Bounce - Single,4mJMfthxfujkplA7qPCGRy,19,https://p.scdn.co/mp3-preview/5229c81d5d45d7c8a11d382a4f0eec3761ae63db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,"Get It Ready, Ready!",3d8oeUeDGg5NMIXPxg5mPB,DJ Jubilee,1n4iSRo9CNY0IRnPpMQh6I,New Orleans Bounce Essentials,3bekz0mQaTWA5RdZ65thMt,0,not available
12,You're the One (Bounce Mix),1LNvNVfVJFMV292Ca9SAZa,Blaqnmild,0T4uBnrN4TrAxqwnrHuIfD,"New Orleans Bounce Radio, Vol. 4",1vgBXgC2okOJWft7uoCHt3,13,https://p.scdn.co/mp3-preview/3925b8f9cf32d7cd0ab80e2b107fc1bceda5eaf7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,You (Bounce Mix),5VAFH3JUdh5Sc7XuplySrp,Blaqnmild,0T4uBnrN4TrAxqwnrHuIfD,"New Orleans Bounce Radio, Vol. 4",1vgBXgC2okOJWft7uoCHt3,14,https://p.scdn.co/mp3-preview/6bd4372dbe6ef388a9a74501106e85c5447f257d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Chante's Got a Man (Blaqnmild Bounce Mix),55hObcD3L6iFG8ti8D8Ung,Blaqnmild,0T4uBnrN4TrAxqwnrHuIfD,"New Orleans Bounce Radio, Vol. 1",5Z6WUetkynpHlDV5scIn0l,16,https://p.scdn.co/mp3-preview/c5c03f44c55a2982628f74abf8d358e7e894ae3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Dangerously in Love (Bounce Mix),7MRoUDvzutd0WOeJgXjV8B,Showboy Cj,6qgJ6M6WnaBnZaSEV2GDOd,"New Orleans Bounce Radio, Vol. 4",1vgBXgC2okOJWft7uoCHt3,10,https://p.scdn.co/mp3-preview/eb83205b2c684b2cea747f4ac5769764aa9e67e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Pour It Up (New Orleans Bounce Mix),1occNDRHXDkSUfOgyn1Sk0,Legendary DJs,2ONRBeygB7ZsCaIeYUkMr5,"New Orleans Bounce Radio 4k, Vol. 1 (Special Edition)",4Nr92SkhcZ99xjfRpX1E20,6,https://p.scdn.co/mp3-preview/ccd54237126965de153f81bdc92b63dc24a9fc52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Climax (New Orleans Bounce Remix),4cPAqXcLzJJWCprvw5fOwP,B.Ford,2gqzqq34ado9pi68DKa6Uc,"Bounce City, Vol.5",6ld8neqxII6f6f2B1HeOQX,4,https://p.scdn.co/mp3-preview/f48e7a6d1081edf235945661ed78fb7a56e97010?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Next (Radio Edit) [New Orleans Bounce Remix],58wP9XEndhWlgnR6eqjo1d,B.Ford,2gqzqq34ado9pi68DKa6Uc,"Bounce City, Vol . 7",2WRkS71SHBFLnT55Wal0ND,3,https://p.scdn.co/mp3-preview/4277dd8dd1bef52977c8c8092dded50e86c1ee41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Think Like a Man (New Orleans Bounce Remix),6g90OMTNtFqglLRtFccPAs,B.Ford,2gqzqq34ado9pi68DKa6Uc,"Bounce City, Vol.5",6ld8neqxII6f6f2B1HeOQX,1,https://p.scdn.co/mp3-preview/beb7bceb36aaafde692478df4f63ce774144bb59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Rolling in the Deep (New Orleans Bounce Remix) (feat. J-Dawg),2dve1VTcCIHTK9FkCcp6E3,DJ Money Fresh,71GySzukXElDqeCfftffyT,"New Orleans Bounce Essentials, Vol. 3",39UzhAtgvDhXJlcUZpinZ7,30,https://p.scdn.co/mp3-preview/817802863cbd4964503258880c3b69550a23b8ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
