Deep Listening,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
25,If Mountains Could Sing,1zKbNpXsJjuA3VtGAxSlQO,Terje Rypdal,3EFzYPEP2mCQoqcLjoWwK1,If Mountains Could Sing,4lv1X1oSpU4tHn6PZfkaCj,37,not available
26,Arrival,0kAIEMckzx7krVzOP0xIZZ,Danny Mulhern,4tc9PdoWcfLTI5ZcNIhWuU,Safe House,31cCUJWMaRWwexarEm86Y1,39,not available
27,O’cean Dream,1By0PJ77a8zPaPN8Xi0SXH,Matthewdavid’s Mindflight,6QA05gHLqWpw4hMPqcuHD3,Trust the Guide and Glide,2OUnArCKNtZoMZef1WPzVg,37,https://p.scdn.co/mp3-preview/5ee432f6571e08326c75cc09439712c2f587e35a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Black Is The Color Of My True Love's Hair,35HX8z7O4MaVVrT40YEujJ,Marc Johnson,3AT9157jK9F2gMSViMdRUH,Bass Desires,3ENSb9BRGFVzNinQh8cFhg,52,not available
29,Timeless,2N2SrDqaD0Kf4k2ITxieMQ,John Abercrombie,1OCdpTg8d7Ehpj8B9j4iqa,Timeless,3zrFls5MpfT6VOquQmuXaW,14,not available
30,Demetra,3CIuL3T0PrjzfZ8ZqSmujh,Cucina Povera,46VnhKgQTmPBKdJBTuk0D1,Hilja,2n4BmbmrbnrylB71xFoJIe,31,https://p.scdn.co/mp3-preview/356d893d57a061d20018074cc181a74eb87e9c44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Traces I,1aUAEjPEyazQvsGlw9dEZt,Tigran Hamasyan,0D3h8NZqNp7BN97JwtV6eW,Atmosphères,7Dts1hwy6sVRBQrK9DwZW9,3,not available
32,Piano Aquieu,3sLgMuBTIEp761Zi7bl5im,Stars Of The Lid,36pCa1JHc6hlGbfEmLzJQc,The Tired Sounds of Stars of the Lid,2TnJPCSX9i2etg8jbaMcbl,35,https://p.scdn.co/mp3-preview/824ac249348b55770a79860f49e768cecf630710?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Stratum,5xgMuXY71hCb7VLTqTY6nx,Visible Cloaks,2gqmFO0Wo92qaqwwgL6fZG,Stratum,5dOc0fmih3oQHSU1c4dU5k,45,https://p.scdn.co/mp3-preview/09eb8706edbedecd6fc4a4943a7bd0e2b1978cab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Plantasy,1ZCml39hCuJMIf2Taq6dEf,Resavoir,4Sl3fpSDeo9cMb3ouKm0rV,Resavoir,39jvG7HiXc0hrvPJ0h25F3,33,https://p.scdn.co/mp3-preview/8a6da02fc50db317da6a321311f08e3d9daaaed9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Broken Clouds,7q0OGG60Em2wwPNDpBFPGy,Gaussian Curve,2rxgmguaQSynTMnBKZL73G,Clouds,4FC9qI04vobItNEKVeRh8Q,41,https://p.scdn.co/mp3-preview/da05f52b176ce6e39388ec5ca1ce00470a867902?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Requiem Again,5gBJgL7NUz3dlTBv4Laz50,The Durutti Column,7fh7bwX9qV60tLxxsp9bTe,Vini Reilly,6loUyyw92WAaXM3lzyRwNj,4,not available
37,Sonnengeflecht,34Tsmlc1lm6hcFXtQXVdCo,Roedelius,7v5E9zviGMsOGHRdMVmhDc,Wenn der Südwind weht,00bAjAIqUpoyE1TpJPjz14,35,https://p.scdn.co/mp3-preview/a6213e8b8004ab6165f1f4a38c5cde49ec48dec7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,solari,56TYvI2rgYT3tdH77D44jZ,Ryuichi Sakamoto,1tcgfoMTT1szjUeaikxRjA,async,55BwNuGPkSSKOCBkTSCQWA,36,https://p.scdn.co/mp3-preview/32677ec6c4fa45397059b8672873879ee494f66f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Love-liesse,1iUvwxwZmLBZ2UE1Ynxyu8,Ami Dang,1DAqw4sYHPmgHQ6gzOVDig,Parted Plains,2nlqWxNg2mIxB7SuE0HPK7,25,https://p.scdn.co/mp3-preview/91c76ce0f2ad231a3a108a8dd23a3015ec38410e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Gallery Love,0soip91PhVqvN0g9g65GKz,oso leone,0iViECTHd21gYy1zIEvusi,Gallery Love,6yiSCx0tmLTFK9IRso2tJJ,35,https://p.scdn.co/mp3-preview/1e8a101438dac2c1f738e8835b2214cc849ff2d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Dalston Junction Feb. 1970,3PAubbsJ8CQoIqXlVgPRZu,Al Gromer Khan,7sGvSRxJMoJdO530qjic7H,Another Kind Of Silence,4iLZcdUa17xrCewSUiBffU,35,https://p.scdn.co/mp3-preview/9a44052be006ed6988653f262e063155966edb21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Chronon,3UFviRZ9tFLVG096m0jQCM,Lotte Pen,09klzeoydwwlN5eyyQNNss,Chronon,29OIBexiGE5YpHEF8vqdxo,35,https://p.scdn.co/mp3-preview/61ab668738c85e4d59cd236636d17fa6e4f59ea6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Morgengruß,0R5PALlUm4fT9BBp2eBuFt,Popol Vuh,5zeiqAaIiDrjiDch33A2lT,Einsjäger & siebenjäger,1HO7xQMZ192OZpZVkH9fpp,38,https://p.scdn.co/mp3-preview/911ce996a2b5b4eb2629557aefd488b44ef2249d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Sleeper,1GimT5ZWkbqjzIb6DBWOI9,Trentemøller,4O71i7ke5iIBX6RNSFoZbS,Sleeper,3Tm0MLEI2YF3z7G3rcU5En,43,https://p.scdn.co/mp3-preview/c5d8b17ddb4118b6c289fca5ca60e78b52fccff1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Sekoilu Seestyy - The Madness Subsides,2O5tzTGzB0StE81ogR3rko,Pekka Pohjola,19ijg5n90fExbOKQd3E0p6,"Café Mambo, Music for Dreams: The Sunset Sessions, Vol. 1",2dApocl3L27Wa7y6ZKdyDZ,52,https://p.scdn.co/mp3-preview/10a5272a6c42db8f4e87547e94c0e1df1d1f1cfe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Rendez-vous in Space,5daVRQ0DGaU67wi0iV6ywB,TV Victor,0djRJ1zrkgq8sN17i9NysU,Moondance,2knfI4szAcILTbJMFUtn7t,32,https://p.scdn.co/mp3-preview/9ea6505fa2ae5542f1373fa058431ce1b346b2b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,The Golden Morning Breaks,5fWJfpYyGYD4SzpcD6rZyk,Colleen,0mOPHkTHaD6cFTMODNBxA3,The Golden Morning Breaks,1p3Yw1LPlnabOnywMjsFvD,35,https://p.scdn.co/mp3-preview/87b24e6755ed6201c1a0f65f464242c5cd57191d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Night Music,480h0bX2QQBdO7V1AwH96G,Kelly Moran,1SFqXNEGetmMW6VPZseNqy,Night Music,0Y8XprtUOsraECHCzdoX7G,32,https://p.scdn.co/mp3-preview/4ca60a9505b3e938653f077299cc3166c86072de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Cuckoo Wake up Call,2BwiTu8QrHm09soMmegJbu,Cosmo Sheldrake,6hV6oxGLeLFw17DGjIPkYD,Wake up Calls,6zZr0Y6Z6khPwf2LuZTK4K,46,https://p.scdn.co/mp3-preview/17e03b2f555744db34f724c1079bc91a7e384f04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Die Dinge des Lebens,031TQHn8ICGcAKkOwWvMNG,To Rococo Rot,0DRlmNJq133uYhzXxJfF3a,The Amateur View,5zXCkTQBeSfeSxEG82DRRM,38,https://p.scdn.co/mp3-preview/19b7d54887a59e3922d78dba88123edec9e2aecc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
