Chillige Bässe,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
47,Flowers,6TAUFocVcihHHoAcMkGxUx,The Tech Thieves,06bun5reMRmLxFCbcB6UHW,Flowers,0PqDKQgXKSYVJh0vnXGPz6,50,https://p.scdn.co/mp3-preview/2e144ff75400734202cbccae9e79a5ede0afbd87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Vessels to You,0XOjx3xLjrloHsNEJYbFTw,Super Duper,5zFMLXUnqxwdgTpLCX9LDj,Vessels to You,4DvgLLEuEsnlyoYNSDUJqP,38,https://p.scdn.co/mp3-preview/76993f1a248f3c8eed8e40bf43b36bfa62e5efc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Fallen,4T1lWxar3VkUTEXRyoKYjs,Ambyion,1OX2MZhepUtYnq7FCGMVj5,Fallen,09hNnvCdDBG4aHYYjtv1E1,40,https://p.scdn.co/mp3-preview/fb54de382f9deef6f17bff05af8309313d51551d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Test the Waters,4zDZY6XnZRjGlRDr9h5gOG,Autograf,0FVj4JuzTyudaXAwfqDQ20,Love & Retrograde,1PpnNxo4uBSSLWSNT0S920,54,not available
51,Find You,0wpTXkivIBjIw9YfmiDLi2,Badrapper,1Bl3QCicq2EeV9mY4GLtBP,Find You,2acVeWbRPK55sUP4AOyzaD,32,not available
52,Fading into Fog,2xQ62QLggcpHCsZkI3Qzjp,Hippie Sabotage,4dM6NDYSfLcspt8GLoT5aE,Fading into Fog,0URoBA9pf5Byd9Aa8bTcWR,49,https://p.scdn.co/mp3-preview/e05c8401bfbbff2969e4947606ed06f518c38b3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Looking,4UcP9aFlIFgwQrvW3g8th9,Unkle Ricky,0aiIgteLvFgY1YKmLomHCW,Looking,3G31XvJ8ociCDKQlxpZ8JB,37,https://p.scdn.co/mp3-preview/ad532ad641473f0ebe77326fea85d3688d3026d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Lost in Atlantis,57SRdgtkfzKxzyd4OgEfWW,Smartface,77X9A9UiAgiPubyPr7bWym,Lost In Atlantis,4YkCVmYPrmaLSZIunGngsm,54,https://p.scdn.co/mp3-preview/a98a97342e86a0b2ee5db09456fde22be5e7e27a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,HELP,3ey7v4OxmWKgp8ynQnk4XW,AREA21,76YIoWHp3Ri3q1ocOPtFzp,HELP,17YlmhFEbHInOWeD8vhzXZ,57,https://p.scdn.co/mp3-preview/8fa9e45d700728f59808d0da927268a630e4ae56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Tall Heights,6uWgUlhi6nvXn5lkWuAw9C,Cloudsz,2Ce4SPHPek1LJsgHszu9KL,Tall Heights,2U8qmulygKFdVFaGgncCiW,4,not available
57,Unchained,6xAzjMg1rOv3amGihpzMw6,Catalon Tech,03YgCJsrunICJVWiJpAnVy,Unchained,6xb5NzrQizO76iPRGlukoj,49,https://p.scdn.co/mp3-preview/f675f1280c8b13eb3c3232ee14da7d12cc994e48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Heartless,65CsomYqSI5sgolSa8WR3W,Pauline Herr,66VgJGpaRMwrNaS2MPqIDf,Heartless,5kUs9jSqLmH4fMC5mdG1oj,38,https://p.scdn.co/mp3-preview/8196bddf67c545662d19fc4bfce5992a8db7c6b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Hindsight,6D4INiDH7584iITEtNHqsO,Sullii,51tLJqlaKVjFnDRcMsTDM1,Hindsight,4DDSaiWHSTnG12eFYLlrXD,41,https://p.scdn.co/mp3-preview/7566344ac14b3a5a843e0ddb998ec0e4d43bd9c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,U & Me,1xYDAGUZvkuMnhhGPtZHlL,Kye Grant,4q2bIO2rTgjMIUMH30JHoJ,U & Me,149JQGB2dudtzQq5XHoxod,40,https://p.scdn.co/mp3-preview/ef3b378a2df990de78d1a97718e144d9b8032176?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Better Views,0b1Q8fS5hyHAAmlOfteFzx,Theo Bozzi,2CDnpm9NF0e454UbP7LeTK,Better Views,02KjFKj3iimefmaWuDlYTf,37,https://p.scdn.co/mp3-preview/b56062311c33690887198d4c2541f434b50d64a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Headspace,6sYTBT79lAAIUI9C6bLHMr,Kazukii,5d07MpiIaNmmEMTq79KAga,Headspace,54Jy8Gis0PVq5wcA5ENxtS,39,https://p.scdn.co/mp3-preview/64df24c151a5fc2a66aad935c0a6d7937cf2c1b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Glass Hearts (How Much You Mean),4IRA5uRiNf6rXKvUqBhf2V,graves,4E69riquObrTmBTVuF1b7B,Glass Hearts (How Much You Mean),0ZE8OewUrxsInK1VvLnxit,48,https://p.scdn.co/mp3-preview/da59fc649906fac0899c51275d5cfc9e4664db12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,When I Was Younger,59tXmz8iGuxKzppJ9h0Ubv,Lucian,5CVsjwjuzUOrlEc2OJbUg4,When I Was Younger,2DrvuL7z0HNov9eiDG4rGE,42,https://p.scdn.co/mp3-preview/0e8e977cc90a83a0e02cd8b227cfe5ef15a5df3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Summer Trip,2Cfstb4EX2G6E0VKa2AnFm,Felix Johansson Carne,5tb6pZdgWLr5oHOlSgtiqk,Untruth,67TmiMj2aiOUEwMmvyeijb,4,not available
66,Bipolar,07njLOX4s6NOcScO7kbAUB,BEAUZ,2Wzb0u138rgoZQTK3ytknT,Bipolar,2yQYGw7GZ1iFcOornTAtJF,50,https://p.scdn.co/mp3-preview/b1a0f7cd9e98368ecee9109debb91f14fbda0ee1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,I Don't Need U,7JDex0czJms4M3QS9Qtokr,Matveï,2c8JocB8eI6cCGaF5xGoT1,I Don't Need U,5XZTG1viwp2qeEbTYzuTSJ,38,https://p.scdn.co/mp3-preview/56b6906dd559f87e95879df487f715403636bbcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,New Life,1EStAcduQcqqH3EGOulHJq,TH3 DARP,10W6SIbkGGVlY8yYrUxwmw,New Life,732UpD7jYFofgNt2fr0Qpl,33,https://p.scdn.co/mp3-preview/8e7a61f6d1724a214625bd63a38bec2653c2d0ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Tables Have Turned - Dillistone Remix,1aB0nYNB35csX9o56pHZ58,Ralph,1Ss8sy3C3XXQgxYRwjDln8,Tables Have Turned (Dillistone Remix),1hJqiz9sToMh62pVv1uPVJ,40,https://p.scdn.co/mp3-preview/c0a6a5e0ad93ab1517390a4c1b786de9e89d7ae1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,bad for me,0s3tQKO9U03PZ0cCgC1gTc,guccihighwaters,7EIOmfcBRSR63ZaUptkD09,bad for me,3v23w3qDAlOHwWhJx79nww,44,https://p.scdn.co/mp3-preview/190240cf17346d6398242ffa3783c846fc22e28a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
