Herbst Chillout,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
16,Can't Stop Your Lovin',5P1eorfAD2voGnX7ZbuvFz,Poolside,5szdY7KaSi7epwyffrbV8c,Can't Stop Your Lovin',4wk1q3SvmE08InkoJKodlW,64,https://p.scdn.co/mp3-preview/38ea5c24cead7747e173803cb5145036a8edf79d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,It Ain't Over 'Till It's Over,7wA6qY617cPeWPRLxN5N2K,Haley Reinhart,5cKlE8f6b26h61Ml7m052Q,It Ain't Over 'Til It's Over,2MskW20kaVz24JZEZxkHHP,52,https://p.scdn.co/mp3-preview/083ba64926fa9c321733e5c1b24a74abcb224f18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Easy,4dPlcbrmrG4xSzfzLhEZgZ,Kyd the Band,0NHArXVgYnHIxtWGIS7xWS,Easy,4Hta3peC0b2GN3uqTksnMg,66,https://p.scdn.co/mp3-preview/c17f72d91ebe818058f3281e041b53dcac9ad5cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Tell Me That You Love Me,2wHA4yJKT8TJhGz20QxUqX,James Smith,543ccHFPnZfJMD8tRGPtu7,Tell Me That You Love Me,4oWsCEo45zfCdw8piPQUYm,70,not available
20,Doin' Time,0cLS7FslBJgsuWwJNRnPWB,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Doin' Time,7FsoMmWTbDXgdwvO1uCQ7d,68,not available
21,Alice,2lXNibPcBjxEqtMfV15Mv2,Jack Curley,1Unwe9Xco0JDlTTwpDVrcK,Alice,1OdvrifjMehOnaJO6FgB5g,62,https://p.scdn.co/mp3-preview/d848e2b72802f98a73a7fc207426443f5eae8bdd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Waiting,0mdIIgjVubCqYTBdCpP5k9,KIAN,1TulCA2zO3YxAjQ7ZsvtDq,Waiting,0pVmkcWPDxd6tJNxm2F0yr,19,not available
23,Take My Breath Away,36vROPdYhE7MiUJjZ04kPU,EZI,6JINIoM2HUR5ZNTJwoR9eC,Take My Breath Away,0bdCnzGm9ZXMdBuZr2CKTI,51,https://p.scdn.co/mp3-preview/31238f32e58d86658f61b8c8e81d394647137ebb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Can We Kiss Forever?,1Av69kr9JitqPWo7WJLS5q,Kina,4qIVPF0s71ZYW3qzhu5GkF,Can We Kiss Forever?,1B4ZnEKDAstlatD3ySlsBS,75,https://p.scdn.co/mp3-preview/831f0af5d872ba2b1b9b17f6faf578ae3c7f3133?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Redbone,0wXuerDYiBnERgIpbb3JBR,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,"""Awaken, My Love!""",4Carzsnpd6yvuHZ49I0oz8,82,https://p.scdn.co/mp3-preview/0167089f98ed9b52156232cc17294c7676a88dd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,It's You,6moU77g9RQyMzHNuKEaQKq,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,It's You,40vQONzvJb6sKejDN3eWza,93,https://p.scdn.co/mp3-preview/1219afc55c445aa7c2776f6389a361a4fb55b570?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Older,52iLDrSoRtf9lcgFuLVfqE,Sasha Sloan,4xnihxcoXWK3UqryOSnbw5,Older,2mTA1YzwWs39JdjSIQNCBS,76,https://p.scdn.co/mp3-preview/bd5c8407ddc78db57b8d4ce24ae0f1af04e5029b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Remission,73DDeCMglYDloLSWpJo3ZK,ÄTNA,4ORnI4BzjKFbUply6fRvkX,Ätna,4FctIs0BaHO0ifT5IYMpfn,52,https://p.scdn.co/mp3-preview/34d704a92fe5ac6849e8236960f5a7a410c4f502?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Love Me Now,3rgailFnsvNn9uOZPf76yK,Ziggy Alberts,6tuPdaFPIytg3l2f51L7Hw,Love Me Now,6Jh8psGEwVjIRR7HMx9sps,59,https://p.scdn.co/mp3-preview/89e2e0465aad33c69a4c4deade850cfdb87aba6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Fortitude,2d2nBJ60Dmw4iA5MDJE60T,HAEVN,65Tmt9uAPTYGl1ZhsOeEJ6,Eyes Closed,0zoch0cyNy6vSrtOva07Hc,14,not available
31,Love Me,0rkipYg39tFHNKpGkZkWcA,Reece Lemonius,09G002hKVXhHvB7uFRZzm4,Love Me,2Wrlgetdi1X1SvbunfXQpl,53,https://p.scdn.co/mp3-preview/4bd17ab1d2b2ca9aba92dbb30883628826ce85c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Bitter Sweet Symphony - Live At Maida Vale,20ASg8pVeLmVA80X7oFurV,London Grammar,3Bd1cgCjtCI32PYvDC3ynO,Truth Is A Beautiful Thing (Deluxe),4Wdxu6kwMIfqgTwCLDurM6,13,not available
33,Woes,2uTrOSgkY7bPDh7VLeaicM,Tom Rosenthal,1AgxgADPuRIW1wyaA4OKcB,Woes,4nL3pyiln1AhC10MW2teYy,55,https://p.scdn.co/mp3-preview/8e0a567ae0fe6a145b87ac320fe03d9cc4e97321?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Feel Me - Single Version,44i6jEICONcpRzd3Tyejlp,Aeris Roves,1O5IeYqvtwnWzlNq3Ux3jd,Feel Me,7HM3moOHu6Aah41Vqnut4U,53,https://p.scdn.co/mp3-preview/1a4886ff075cf426954f2380fb8499d8d44a0ed4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,i love you,6CcJMwBtXByIz4zQLzFkKc,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh,86,not available
36,Got It In You,3og4Q2XDHXowizKTDdn9vO,BANNERS,4qWnlmXWuGv2TtuxtIWlJX,Got It In You,0JReeudBVM7GFqC97DhBsj,62,not available
37,Headlights,3IHdzl5BgvBJCScbAC8BPH,Charlie Cunningham,78CiW0UJbHspFaVuVexOK6,Permanent Way,4SJv0ML9KXGtEk6YdPK9Sv,59,https://p.scdn.co/mp3-preview/0a8e5264ac5f310430ad7c195674853b546e66da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Garden,4MDfrzeUFSVavYqUkdcKgV,Kylie Spence,4lLrClIyojd3zSX4k1aA5a,Garden,51KHuIRQziUDCWQxpzkJFJ,47,https://p.scdn.co/mp3-preview/82abbe83e110105fde2370c2f5c6ac4453ae9b63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Lovers,45fAUkBTqnLogZ0tRDchFi,Anna of the North,1mSJCvDX0W7Dn7S9C6vmvI,Lovers,3AvC41kzlTX8QJgY2xMQHg,62,https://p.scdn.co/mp3-preview/068fe5124987ca0783f98b6f272be6cfb18ce7b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,This Time,2xlUfU2qsSF7yCrWhbowEv,Ta'Shan ,5WcbzZ1zwRG5qtwmxXMJCB,This Time,5aSeHV735ix30MlMb5tMYc,47,https://p.scdn.co/mp3-preview/2ea88ac5f537da8bd4508dc1734a03d14a1f2f77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Priorities,74JMCtnIUVepy6Iz6FLqzx,Plested,2nJYGgfTf2846LtVB3AES8,Priorities,2Jwz8d47Z1SjssxwYGMMEE,51,https://p.scdn.co/mp3-preview/4301936e8463f99c33b749aa4233c9c752350352?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Ain't Together,4jvtuOFXhwTJG1sQHkT1bs,King Princess,6beUvFUlKliUYJdLOXNj9C,Ain't Together,1eMuzrmQ6CNhwcTA4eSsdN,63,https://p.scdn.co/mp3-preview/a75ee4295c52f512edb7960b3613704c394d60f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Stumbling,6WXmo6xSehq6wDdSswXAQt,Louis Berry,7xn0Wut7w2BtP54HBd6hzf,Stumbling,0zY1W6V1Q8RhT2jKd6hYvn,48,https://p.scdn.co/mp3-preview/2a1a827100e9fcb723fb99f841b4f94d25bfa975?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Everywhere,771Bmiifs1mKLXAzZU4Tpm,Roosevelt,4AQrqVz6BYwy29iMxcGtx7,Everywhere,5K2c47Opt6BlcIeatY469J,53,https://p.scdn.co/mp3-preview/5887c37e75298b0548a847c5b7d09240c36a79e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Shrike,1LbK1c8pweMzXfqSg5CYHP,Hozier,2FXC3k01G6Gw61bmprjgqS,Nina Cried Power - EP,3kstoK8BAK5pRsHsPV6DH9,12,not available
46,Friends,3Y8JSCYjFznthCYb5HZ8lW,Flume,6nxWCVXbOlEVRexSbLsTer,Friends,5WfM4Cm6YmThxnPQOjMsIz,69,https://p.scdn.co/mp3-preview/581fe4814c63ec5892dc365e48125bdf58054c0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Could You Be Mine?,2IqEgAkF1dqB4El2ImZMVM,Billy Raffoul,5gw5ANPCVcxU0maLiGRzzP,Could You Be Mine?,4HeREPfsDQ201EZjbbWk3i,13,not available
48,Heart of Glass,1X9jYOo5jG8SjQyd29cLpw,Evalyn,68WwJXWrpo1yVOOIZjLSeT,Heart of Glass,4nUFlIieqsJkLVhizTo2kY,46,https://p.scdn.co/mp3-preview/44dc9dd955040345099f796cc2fac02f9e1f2af5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Eye to Eye,4lCG4TvNRtw99ehLzKvc1o,Moonrise Nation,3V3ttZhwHpekK6Hcvwv5ju,Eye to Eye,1DgjVzmP0m1kDUlu9jkxll,46,https://p.scdn.co/mp3-preview/2cb7a66420284a8d8d61d21a2ac63c022a719a01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Human Way,0BWiq1Nza1mrQsHa50SAc4,Declan J Donovan,6bh228LGC3eAzbplPWV02r,Human Way,1fi9RXcTPWEJFZyaYbEMFH,57,https://p.scdn.co/mp3-preview/e2b0bdd4eb87eed7dbf66d52223fb3eaafe02ade?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Get Well Soon,66ikera9KhjjHCj9ZjFNvf,Future Friend,020nlUupITaKA0Bhtmt5xH,Get Well Soon,634kCljGFy0I1lggoZxCHk,46,https://p.scdn.co/mp3-preview/85b4ee70c21712b29cb095d176866e0ed57e5298?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Descent,7GE7xrV4eMXb4gW4pkAE4U,Lawless,4cDQO3NM8cURew5tdHkfrd,Lawless,5RiQ2hSlW21asQYdZegpjM,49,https://p.scdn.co/mp3-preview/95c8dabe486105fc9c73bb982c42620129415a7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Favors,5e9oGn65NNPPEoe02Xr02s,Wilderado,1Tp7C6LzxZe9Mix6rn4zbI,Favors,4FU28dzBKsq8BfFYMSNf81,51,https://p.scdn.co/mp3-preview/95f6a059413a980ca2f684021301192c214200f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Last Night,0mGjx7RlO48qjGczwsfNu3,GRAACE,4nqqGSsclFchZXaiafOYyV,Last Night,6nVzc3LcULOihtwN8tITNN,61,https://p.scdn.co/mp3-preview/b8fcbd7e99a60e4c5d05e20105af02da6d75f7a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,When Love Don't Love You Back,2v0YAf5NghzrhSPRK68s7E,Christian Paul,1Bfi1Jw2HGVbOEjOdtApOe,When Love Don't Love You Back,222NVgfXtSJSu3lGRS21Xn,50,https://p.scdn.co/mp3-preview/26dcdb0cf3e0d7288722b5eaea2d2541530b84b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Shapes in the Sun,33j513nc49tSf7jpGY2A4J,Allman Brown,239Y6QdFqVFfdsw6moqSEN,Shapes in the Sun,3l7eD0ZXtyRkfSYgJXrOmL,55,https://p.scdn.co/mp3-preview/d23d8c1c941f966c6c7a2fe15080fc8d8c69e5eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Collide,2Kik93LzYWedRq41pH6eDN,Tom Speight,02U4dXZhGSo07f66l8JZ91,Collide,3kQX01kdE3GCZNoyowONjK,50,https://p.scdn.co/mp3-preview/818551f6460101e3b12dff9df278bd3a506045e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Girl in New York City,0xh5V0SdictPRzQO75VgCJ,India Lake,6w3dVAguFBzEcoN6Q32eIC,Girl in New York City,0IKMCShxTEQq2CTauF2XVz,46,https://p.scdn.co/mp3-preview/3173410b6fd3a1a3d17fb7cbf1f78ea5fc20a2af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Call Your Girlfriend,5hs8G87IGQq0Sz37oY9efX,Clara Mae,6RHKEd9dpzQ4c09x8Zdaxu,Call Your Girlfriend,1ecFIwEV47tnDAQLAyH8vu,67,https://p.scdn.co/mp3-preview/68dcd44244007a2ee7aa7a0ce0717c70c0e96e15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Gold,4H1ZATU5qU8XvcF5g3iTYQ,Cat Carter,6H3EAJxCgwuUXrhI108mSq,Gold,1cMvXibjk34oMdP4hsATSQ,46,https://p.scdn.co/mp3-preview/82b8d543d1152b6cd415c37b8af4d4b574b6246f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Sunshine,7bQ8aRXRtHgLekOviz5Rjc,Lisa Pac,2S0EVJD6SOdp3uHsSkZObE,Sunshine,0gepTTWWsIrYgSWUtX4X2N,53,https://p.scdn.co/mp3-preview/6805ede00a63d823fe391fbaf8e92f297f7ff123?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,I Want It All,1d37jpOVEvJh0q6M7Ewt88,shey baba,6rqXNMsClfcGgr3LggF7xL,Requiem / I Want It All,3YHsol9wFTZJjYyjGbY0ez,12,not available
63,New Crowned King,3sTusRj5PzgZ9pQIMLk2hW,Cody Simpson,79Xp2rRN7wdsaTJgttdX3K,New Crowned King,7H3GILfUtxKyD3fWepuKVN,14,not available
64,CHEST,02BqvmZoEUtrASEcVNo1Am,Ryan Ashley,6kZjELknW6k5H1kSZDKcoM,CHEST,0GxnuHJhqMxniNGvEGsBML,46,https://p.scdn.co/mp3-preview/d972f1084f4a5c0df69a2a4632338616a07d82c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Pyro Heart,3OyabaomC5SxrezRoMf8Xy,Trevor Myall,7IbAzvDVK8MmaQ4oiZgjcZ,Pyro Heart,6JkJOfIlguhvtC07POKTw0,15,not available
66,Pavement,21DTeeLwvvGlb3OFrd9rTT,Wingtip,1Eie0tY91rpi7Y0jtIOXzI,Pavement,7hjH77qbvXv66TWSWlUco7,13,not available
67,Low Blows,6vQcJA5threi10HjQuT6JM,Meg Mac,4faUajx9k93O56nlmpkOuz,Low Blows,05qv921ngVw42WG1waP1Rf,42,not available
68,Pushing 21,1mrbHxd94wZnyv7nsF2EFt,Liv Dawson,7i8fq2gFSVgPdWVXOlDEx7,Pushing 21,6nmnmfNzBzeyBPPlDCYvwN,60,https://p.scdn.co/mp3-preview/2aec869c08aaeecc189d7062ae67094eba0a03f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Wild Wide Open - (Single),6m5H46e5FXD5jywbEFbWIP,The Senators,3otE1yYNSCVpaQQBqcflI4,Wild Wide Open,2s9VqC5khHStaQVTnROsdO,47,https://p.scdn.co/mp3-preview/19ce6d6081ac405ba8ef05d53348d2458959ffb0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Sheep,2fEcMBdl3BUmPclvQKSBfV,Mt. Joy,69tiO1fG8VWduDl3ji2qhI,Mt. Joy,5h9FO7QRZMcrcnSYvihQ01,57,https://p.scdn.co/mp3-preview/8bcf30e2c5e9d50fdb03632eb5996092bd81b06f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,I’m Not Coming Back,1ur9qTF0WRBA2qmWi30mMP,Meg Mac,4faUajx9k93O56nlmpkOuz,I’m Not Coming Back,51uR6gBQQFro5ChYzYTzRy,50,not available
72,Moonlight,6HlXCJUnOxrnwBux8tmcTr,Lily Kershaw,0p0ksmwMDQlAM24TWKu4Ua,Moonlight,7nUHmSwX7UrocTGKQ3xxhz,11,not available
73,Because of You,7IkliLQPggFtACHPtMnn8X,Aaron Espe,11nbBcaBk8uXBPQsc3Sq9p,Because of You,3A4Nt0PC8Mr5NHOjNwOhAI,48,https://p.scdn.co/mp3-preview/21495e3b627375d7325518a69b83f15da2b63f42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Girl on Fire,6quukIKFdhhQkS563d3i80,Freedom Fry,195hFqaTDENqLCcG8uGtM7,Girl on Fire,2zmVxafQzZeapKDMrE8hPt,45,https://p.scdn.co/mp3-preview/77e347539375b3cf6bfa68cc191f7a94b58d8a0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Sunflower - Movie Version,0rsDhujEJ73Q7I9bvEljAZ,Shannon Purser,1I0u4AcLiYUrTTPAXadpLO,Sierra Burgess is a Loser (Original Motion Picture Soundtrack),0QhI25dZTgZzqttp7iyiy8,68,https://p.scdn.co/mp3-preview/5b6d51295b994a68b67ff35b97af7f3428781f44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Hold Me Like A Fire,6Ps0fZMwBZQZdEtRUqAcSe,Reuben And The Dark,6eXJslu7IJJ6Ej8Czbd0iO,Hold Me Like A Fire,1OfelcDKpEEzyXr204iY9p,52,not available
77,Follow,5qlboxaZT3XiyalfYk8E6Y,SORA,3Q2zow2yvsLMqHNGW11QkT,Follow,0lERXGItUkpxeK8kejF81S,46,https://p.scdn.co/mp3-preview/d8ba7833f2895ccac30832113004b696dec13b30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Flowered Guts,5Kn1y27VGAKYxj5v94zgYd,FLØRE,5aUy7Z5Q1m6f9fNp8or3sD,Flowered Guts,4jspZPoONvW8T413LUyH3l,10,not available
79,Edge of My Seat,3D2YipKkGvQM9n0cIWDXrt,LUME,0Fq3mKaCm9ZtVABzgXeicF,Edge of My Seat,6RwbwqDz1NHFYjm7epVmhu,59,https://p.scdn.co/mp3-preview/ade45b61ce71b2cdb7a5f989f7b18dd6cf32d2e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Endless Mistakes,2Hq6Vy3IgpRkA5kd2lC1HJ,Mayah,5kihLCtqRA3jjMqTtcURW5,Endless Mistakes,69icFuk7pQGP71Qxcqt1Yn,44,https://p.scdn.co/mp3-preview/56e4e3bfd2cae8286f723703d82f094d7025bfb2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Greatest Torture,5SSuRXDVr7xlaYyUUzKpkQ,MELDAY,5EZp5Ws01G1GYjMwbxHHoQ,Greatest Torture,6ylomrFOliHA6KacTypjUA,44,https://p.scdn.co/mp3-preview/8cfdb36de0963aef4e2fa186463c362506f8329c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Are You Bored Yet? (feat. Clairo),2iyWlA4yxOs2hWN3x6fa8g,Wallows,0NIPkIjTV8mB795yEIiPYL,Scrawny / Are You Bored Yet?,0i7wFYWvxxfR5V7DvMZFVL,55,https://p.scdn.co/mp3-preview/d09dcc3195e04df650274c22ef7fff041b5d22f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Say It Too,40UkBKGGBheXZT1SehBdoq,Mark Harding,5MP9icTG77f2pjI8ZXlcPI,Say It Too,1CDgYDp0MWfceFLytyYCPv,48,https://p.scdn.co/mp3-preview/510723d32f2f530a28cac3e8d58806c26531cfd1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Hollow,4nh4WuPKiZrj64VUtUW9R4,Hounded,0ttHbJjRLbyrOgRy0oUMug,Hollow,4p43ZJsukfR7MeO6Iz7qGF,49,not available
85,broken wheel,4cGR1rbmWhbqFa7ADSjlkz,isaac gracie,5Smb3KB29epOb92Btsxulb,isaac gracie (extended edition),0WhOJJJZPWfefjJogtinkD,47,not available
86,Maze,2z4CmPNB8I9qQSkqy7rDAR,Grace Miazga,6CKwil5RhBPJRSbh7y2eCa,Maze,46br8uSp7aCSpJJeg7Zicd,45,https://p.scdn.co/mp3-preview/d0dce992ffd70bf75446e04a802fd2d091e83641?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,What If,3yhInewGeB4AzUJKyz3SUR,Amber Mark,0tbeZu9lv8YEKSQ9tZSslu,What If,0XObJRKFbMGcYmSvctXK4Q,62,not available
88,Why Can't It Be Me,4cm34iGBiozj1ZBMrQp77V,Hasan Malik,7MoCvohNvGTuZAfR0Xehqn,Why Can't It Be Me,5Wc0TFJsBIyXyYh938uapp,45,not available
89,You Never Can Tell,1GLMm7mMGNZznCUDr5JOkX,Elise LeGrow,20biSVcaiwFyvcseOzYKo8,Playing Chess,2Ob030pqqBl9S3DZ6kddLU,49,https://p.scdn.co/mp3-preview/27f510bbd21402c6064b129efeff637e9e6ef024?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Break You Down,0ESwErSx9u8rCo9eZoVVQh,Wild Child,1xLMexpeeTKQ20SwGMaGSK,Alex/Break You Down,3WKc3SqmFVVemcsBhkBzlx,10,not available
91,Blame for That,66CIxnjmWB1kOaVwzFtQZ1,Luke Gibson,1rtZ5sYBdglUKx3FJ3gaIx,Blame for That,0OxmFpqWFYk4gYZFHiuL8g,43,https://p.scdn.co/mp3-preview/18ab15d7295267a1c1d16fb08ebde1e3fbb2c3f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,I'm Drunk and I Love You,2zQWkBniwX0J4XTSjybnJt,Eleanor Jacks,4b6cdAivMBTOsIsNj9mspe,I'm Drunk and I Love You,6rLlkDdQvUDeXHDxi3CADS,44,https://p.scdn.co/mp3-preview/23f1123631d3f8fa8759d836d8837c451aa10820?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Wild,15rhikrRcnWRKJrKvso8o7,Molly Burch,6bEYoIUTLdcs4lZBNVw5L5,First Flower,5zFOyUH5CmSaEhr4CnLJsA,51,https://p.scdn.co/mp3-preview/06a43fae5853e967d59403667b8401eb2df7bd5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Pilot,4oqVzGMUJdDHYw6oMv6J8L,Emma Elisabeth,2VUB65X1Ejr1VWUKRUyCoq,Pilot,57aZlOXFecenor82uTSfKw,9,not available
