Wochenende,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Losing My Religion,7C0NmFbuejL7xwBjiRr1Ti,Jones & Brock,21NGSSCu57Zbh4tSgf9WRQ,Losing My Religion,33xzla7ruFsiN2HcgVeh8p,50,https://p.scdn.co/mp3-preview/04a8687887f1ed7e63728b2ac9544f14350b32c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Sun Comes Out,4wfJt0r7lGcC8Fd28Wkr4f,Hallman,6lQbKezHkug0aJSkAjYYO5,King of The Sun,6NJIYxgReCiiCxN1AzbE0g,53,https://p.scdn.co/mp3-preview/8da733becd33e18c64989eb5b8adb4fc794d7ba1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,See You in Space,3t0JlkjyJhYlTC7hgp3E3j,Adaptiv,6IPc2gsAni4QtYNmv1U6nc,See You in Space,5ndGcx9uBdskLhxny6U5Ls,49,https://p.scdn.co/mp3-preview/6e34a2d06b9d51d68cf674abd1d3bcf9ee3dc7d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Back to Life,24LjGM16ewczPbTR8epM6D,Aérotique,6qOzyug9zoGuMHTmErJ6zo,Back to Life,4d8RSivskW00OVlm5ZftKe,52,https://p.scdn.co/mp3-preview/5a557d36db434ac1fff9bcbff880c6c14212237c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Julia (feat. Soran),4qHQEsFfNDoq5c0FXlREL8,GAMPER & DADONI,6HQ6vf4AloXyVNdyJhrX1J,Julia (feat. Soran),17tOFnReEgt8R97riMgvLC,58,https://p.scdn.co/mp3-preview/90b6a1c33baf881b86f9bf8a708213cd38b3668f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Busy Bye Bye,40lC9xLPSEpWCYcQeSYOWM,El Profesor,2gTcdmBwgyh3EORKIXCzlw,Busy Bye Bye,1WiUGZqxHwhEPdEkBFbLWf,52,https://p.scdn.co/mp3-preview/4b2a701d3d5bec5a863d1c0b64fc20c019aafb85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Hibernating (feat. Zoe Wees),5d1YcXpaA0meOkkcOJaGgm,Moonbootica,1YkHCcMgZ6fTQMeEQyYKTf,Hibernating (feat. Zoe Wees),31pSMpQjwYqPKE5XhnRAL8,48,https://p.scdn.co/mp3-preview/e1747647da62b31d17637b640e6fb922dfede9d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,All In - Ostblockschlampen Mix,2zRFPRWcIBBlTvvn34sj2o,Eastblock Bitches,5ujBuZtDUrPORHkAyQJTjP,All In (Ostblockschlampen Mix),0x6Wk869TKqVPhuzSUXEye,50,https://p.scdn.co/mp3-preview/6c7a4beab4cdf9a0abd6611f3b8cc93157735cdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Let Us Love,2Ln8KzONjBfBYoap9lNh7W,Topic,0u6GtibW46tFX7koQ6uNJZ,Let Us Love,2znIiVu8XHg4Drlcctgmzs,61,not available
19,With Every Heartbeat,2WZ7k9kEvjipzWeuaMr6mE,Calmani & Grey,1mhqV3TKErQZb0mZDaR0Xo,With Every Heartbeat,2PPJAoUoW58tzLbkSvHNDx,49,https://p.scdn.co/mp3-preview/9186b1c0bbcd769bcf3e1380fddff9f7f63c4ba2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,LIITA,5ZTnfOu68a8wceHVB1UG19,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,LIITA,6V7Krn7g4Egbb8B9eLX9Dj,58,not available
21,Geronimo - King Arthur Remix,197NhaECmu1vdkrjrOZqVI,Max Lean,4sOc3KgWiki8GMnvxYH8sh,Geronimo (King Arthur Remix),27r405GsX7m0nkQ6xW8xbc,44,https://p.scdn.co/mp3-preview/0121907338e82c87e6b0af28c0eee981a9200b6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Know You Better,5VrSVEkPSHpWOn3stPrGWE,Stadiumx,0DRf6JJDQnRnz0Yp209CmH,Know You Better,7eJxrkuDWiel2lPQgU33nt,52,https://p.scdn.co/mp3-preview/84bf1b1f3a3cf822f8f80c8216bd26b94b1f4bed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Lights Go Down,4lSLtHGwXLZOaOCrI6QKDV,Syn Cole,6i1GVNJCyyssRwXmnaeEFH,Lights Go Down,5v3tcI06N27PUMa9IKIlHF,60,not available
24,Alone with You,3rMu51ZwOmmpHaHXXngJZ0,Y.V.E. 48,5zSWGyWE5d0PYaYrtdVwOz,Alone with You,38Jyzxxtsm5XIp3skoPWY8,53,https://p.scdn.co/mp3-preview/72a9d75ccc1d4f05c0fb8bb392550dcf5631865a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Someone Like You,0gmQSIM2zqcVm9eKm8BkQm,Klaas,25sJFKMqDENdsTF7zRXoif,Someone Like You,6uYiKKaAB5IkxroK9wBt0Z,59,https://p.scdn.co/mp3-preview/024832eb27f56e200d1c37262786a6d0428d308d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Sun Is Shining,2AO4S1Wq3B8kYfzULMeCIh,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Sun Is Shining,3jBSX66cVMJ2KqHDuXBtrL,56,https://p.scdn.co/mp3-preview/c34b733c3841398997328e64dfdeb49fc45a15a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Seventeen,7hlo2sj0fejYzRwIS7cdfZ,Thomas Gold,1XLjkBxFokuDTlHt0mQkRe,Seventeen,07VTYisyBRv22BwKFFGCTA,47,not available
28,Don't Believe,0c06UPbZy4YaftC2g34b28,Max Fail,6fyLFM7G6aSFpZ1BUUDCLf,Don't Believe,7ICSHlnjCiu3Jo5J3GJQzL,46,https://p.scdn.co/mp3-preview/be868e6eee340da5c4b728c11c1ad829d0d39865?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,One by One - Alle Farben Remix,3d4opgagC9pd2fhDL4HOC3,Broken Back,4nx8ehrFiCOmWgebUKshDV,One by One (Alle Farben Remix),3lI1jWGRWlAkIST52KaOCy,55,https://p.scdn.co/mp3-preview/21548d72c7aada146a10d111c1f9d77860daa913?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,JUST TONIGHT,7Iz9kowll8u9yWnbOPy3YM,TIM PLVNK,1nZvBVvZi86Bjf40oxsYEk,JUST TONIGHT,6PQiZBLmkvJ5fINMuhTTu5,46,https://p.scdn.co/mp3-preview/c077c102a39c952780134e04e59832509429ae10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Don't Give Up On Me,5hw9RzFpyZqkW7ADN2NKeO,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,Don't Give Up On Me,17zVhrzfIc7Fb5FspAahe0,60,https://p.scdn.co/mp3-preview/bda4fed9cd2041e0316b4f21617f0c1187d7a04e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Find You,4pRgU9tlDnPVQV27xOOryV,Nora Van Elken,04m3oUGzjO3EJTQidFzTgM,Find You,2yK7su2tZlws4MJfIvDXeK,26,not available
33,It's All About,0XO3RZYuYKsz0cORoVlQOB,Rooftime,4QZjx3AfLqJhGYkmWAEUm7,It's All About,08ibtOTy0W9Zg81nn4VRmW,51,https://p.scdn.co/mp3-preview/3ddab35cb1d4d1c1cdf33f8946860bbd1f1457d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Faded,1t6X2jxfSeuV3thqKc0o4t,Noize Generation,0KETuRn1Qq622O6Q0WN1r9,Faded,3SUk2hKY1iY36Raq1T0Y2v,49,https://p.scdn.co/mp3-preview/1787ee90fc5a6ece465b6c7e2c69dec8592a3c34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Waiting for You,2L0wPdpLIZBSMmkS8RDFtw,Y.V.E. 48,5zSWGyWE5d0PYaYrtdVwOz,Waiting for You,3p9GXL95N0rNtU2t0bqXPS,60,https://p.scdn.co/mp3-preview/9ba15a1b63f17eb5e53aee2fe55cc5f1af262568?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,SOS,6nDKrPlXdpomGBgAlO7UdP,Avicii,1vCWHaC5f2uS3yhpwWbIA6,SOS,7Jx7doYIXITyR2LQB0Hvbc,51,not available
37,Lucky Ones,3XQRNNfOG6lHP7yk4DfghU,James Carter,5344K3N7rx7kw1HjO8psuq,Lucky Ones,2cqYRLeCq4x9HtbCv8wkqc,52,https://p.scdn.co/mp3-preview/01bedb53e774436cee42ce9d2c1621ae6187a7c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Try Again (feat. A7S),745LUoE5rQZ51Tz4WnBoNp,Tungevaag & Raaban,4cSYNpczcvTUpnPMFDLsIc,Try Again (feat. A7S),1u3cv5nL73WeTFy0JV5H9F,62,https://p.scdn.co/mp3-preview/c59a2cbfb3a8daf0dd67b96dd481a71c7932e2a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Brave,0GRoERSBBky3YgdKW2w2Vc,Don Diablo,1l2ekx5skC4gJH8djERwh1,Brave,1vlt3ZZeHbtRWKOFu45TEJ,70,not available
40,On My Way,3fDTDf6XRXgrSR6DpXLS9E,Sophie Francis,0NQJm4Wlz3rrDJGlQ28L81,On My Way,091VRzGkdNPwBHmVkKMw10,59,https://p.scdn.co/mp3-preview/e96865a435da69504353a1ff440243254d7653b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Say My Name,0sZR0i96GtoJEP8N8ujrKs,Koni,3BETdCqKlraxPwjzH4JUIB,Say My Name,0Hsab4pZfROgtvJXrWtu6n,58,https://p.scdn.co/mp3-preview/50e202e31bb760900f4b53054c23786995f6bcf4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,So Brave - Radio Edit,3w04q0kDsjpOnSMYlAwovd,Blaikz,0uqlT7M0lAL931lCyQLkde,So Brave,4inlsm5tAUXRjgDP6GGn4B,41,https://p.scdn.co/mp3-preview/b47a8192972117e58b5b7aad037f30e3d0c74fe5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Honey,0tz3BqpRlCcD6S0zH7LqVP,CARSTN,3Wb1mXnd1hXkGwys5m54YC,Honey,7gU2tRfvAzOlsFNQldnuV8,52,not available
44,Birthright,4bmZEbZkt0LuV2SCQHAcWo,Nora En Pure,24DO0PijjITGIEWsO8XaPs,Birthright,0bPmYIl8AIHS6SZLOdacJ6,50,https://p.scdn.co/mp3-preview/ad582530e4ffeedde4a0dcfe4f73795cb34575b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,These Are The Times (feat. JRM),5YN0zHycJ0Yxz31A5QsVov,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,These Are The Times (feat. JRM),2OkqLVAw949KZZ8lgMMIdj,75,https://p.scdn.co/mp3-preview/86a231f4cd39bcf8058c94b3e89e1e49799c7c54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Hit The Ground,7qUcpBXMYDrDw23CtQOraF,Aérotique,6qOzyug9zoGuMHTmErJ6zo,Hit The Ground,0AE3cDJx2yT1thkq0emXZL,45,https://p.scdn.co/mp3-preview/1ef4f831266247e70c8406e8ee40d852ad2785ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Never Alone,4w3InOZmItJiSlhnkr3lv6,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Never Alone,3MdfIe4hKDL59tOpVwC7DW,68,not available
48,Don't Let The Sun Go Down,51KAOQZ0ZLYimgnK2bdSeI,Marcus Brodowski,3U5sS2ernX7nUjFZ9GSxWh,Don't Let The Sun Go Down,2Sj4U8PnLYuzABTfNJrNex,44,not available
49,Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,MEDUZA,0xRXCcSX89eobfrshSVdyu,Piece Of Your Heart,0agqVZjOqVtqHkq3pTFPXb,41,not available
50,Home (feat. Bonn),4aTtHoSBB0CuQGA6vXBNyp,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,Home (feat. Bonn),1cL51Zp86zgzMDTXRiq8w9,77,https://p.scdn.co/mp3-preview/74145f27bb06406170aff7bc7b0f377f8e90ec1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Somebody,7CIx6zasWwRTzu9TmuIzAN,Jonas Hahn,7tBpLbevy1QHXITbLo5SIn,Somebody,6Uh85ALlE1rEhwJ8lQCEhg,48,https://p.scdn.co/mp3-preview/2b1c23f4b283888f1223a16fb767146f39ec2c38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,My Best Life (feat. Mike Waters),5kldIyD365H9iq8Cz1Jb5F,KSHMR,2wX6xSig4Rig5kZU6ePlWe,My Best Life (feat. Mike Waters),57lxvNz7Fp3hHNtXspUkjC,66,https://p.scdn.co/mp3-preview/e839b590ded878bcee85ddce726794817aa2ebc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Overnight,4ox38ZsL2D3SeiVHGGjBeK,Aérotique,6qOzyug9zoGuMHTmErJ6zo,Overnight,5AaJHmurV821y3owWU75FE,42,https://p.scdn.co/mp3-preview/5bbe7816aa69ec88f012b896ed78aa17735b7069?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Missing You,1bfXllL6F9cvVQ2fD7NYCJ,Tyson Bay,6OJA9oIAymjgTSxjKdT9He,Missing You,6WFibURntiL2KXpvMA1QPo,44,https://p.scdn.co/mp3-preview/acc3c0f2dd752b76ac92f24ffe144cc65e429e78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,All Night Long,6RVHqpGf18CX4OJjCCAx0u,Nora Van Elken,04m3oUGzjO3EJTQidFzTgM,All Night Long,1TGQx5fMjrUB1FJUsV9UPP,25,not available
56,Over,5epXUUjYiaYGwXoiVV5bFk,Blanee,7zCLvxAS1MLWRfXrXsBBB1,Over,0FziV04ZdSvDuvIARMTjCQ,40,https://p.scdn.co/mp3-preview/1e8b48642242a0575e5ea416bdce206e41272f51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,When We Were Still Young,14VpDEKSX01feZ0Tt9kc7w,Klaas,25sJFKMqDENdsTF7zRXoif,When We Were Still Young,593mhCmRU3NrGGKcLCsTuV,57,https://p.scdn.co/mp3-preview/fb0c79b59a099dfaa79f262d119226bc8e997896?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Vertigo,76b2VWEmFHmAgf98EkwD44,Mushroom People,4ziIr4aQsNzHu1uJssQAUJ,Vertigo,6OU7J6aEkorieWKd7bUH4K,42,https://p.scdn.co/mp3-preview/1991f0ac02dd782e2b46fe9ddcc0770ed209c95b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Deep Inside Your Love,4RYskrjQ56quYK8ITVY2qV,twocolors,7ACEUD7UsmmXrnj4OLt8f9,Deep Inside Your Love,6rKnZibP5ep5F40pBHJw2C,35,https://p.scdn.co/mp3-preview/ec28e8afe30bc9b84cfadccaf4201418b3361c70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Found Me (feat. Maria Hazell),7ubEV4AIzzuaGKnl23GhjR,The Him,5WdqBAQhGFCrZvBKXiPIu7,Found Me (feat. Maria Hazell),35R6pw0z5UDKdk5wjN5o2u,64,https://p.scdn.co/mp3-preview/089d80a67c4667bb74542f71dbc2c5d5c035ace2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,No More,1GbeJwHvcWOELjFFesFvYe,The Prince Karma,6ew7qRw24oov125Oly8pFD,No More,3FKKvVxJEnOI9Y9GxrUzsq,41,not available
62,Snow White,3HZ6JtRuqNsiUkHXYeX0LX,Adon,7l7IyxqOyGDSU6iF4FzisA,Snow White,2qTt5fCzKmAg1BJYAFbN78,52,https://p.scdn.co/mp3-preview/491e92f42b1fae9c9b6f43c494599ebb57bd6207?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,No Way,4o18qnKccRoxfXfWJfDYch,Jako Diaz,0N5xjvZDyBf8kGuYCBJNJz,No Way,2t4lYAx0dOt7z0cJp0KF2X,40,not available
64,Summer Lover (feat. Devin & Nile Rodgers),0JIcWmxwEpv740agHLbVB5,Oliver Heldens,5nki7yRhxgM509M5ADlN1p,Summer Lover (feat. Devin & Nile Rodgers),4pQNg7e4O3XJ8tuVpuslGM,65,https://p.scdn.co/mp3-preview/c2f3a8092043b3990102d849e256f1f66d4525c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,On The Beach,2nNRWUZBeGLuxegmFhJeCZ,Jubël,4FcZfItjVIsfO9TynErl7X,On The Beach,4SxQPH2WUVZbnhLPwDQuQT,67,https://p.scdn.co/mp3-preview/e0adad0ab09088c1c7ee3c8fd45512c7e2684529?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Thing For You (With Martin Solveig),0IhTEIjFaRt3B2NQYf9azQ,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Thing For You (With Martin Solveig),1cbCgek1ORPGZFKlBIhBmH,74,https://p.scdn.co/mp3-preview/11bbbafe92be26d8764f2f033249589881949599?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Something About You (with Rudimental),3hYdai5p5sQ3vAmHQ6uaK6,Elderbrook,2vf4pRsEY6LpL5tKmqWb64,Something About You (with Rudimental),0yFCgpwcC2AMcbEkRTgl31,73,https://p.scdn.co/mp3-preview/75705ae7c893e0c6af8a3c27694aa23637286f77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Love Like This,0g8l9TRpOqvPUbg0EwH9Xh,Koni,3BETdCqKlraxPwjzH4JUIB,Love Like This,4DCTJKiuTW2EExYwljTC7T,52,https://p.scdn.co/mp3-preview/bed5470466ee16668db0143fddebf73c2ff45375?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Walk Away,2ijkXuZ7XQxe2ICFVcnITE,STVCKS,1esyIum2trtiR34sliNlvN,Walk Away,3NYdr8XnRK8FnJxoIALcAv,46,https://p.scdn.co/mp3-preview/25add662b362aef634e862980212fba380ecedd1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Just a Fool,6s6HB2One9UHVTsjzVZwke,SRTW,7vHAcPVlEDksRsCfkez2CD,Just a Fool,4HVIX7D7oGL5SYGqIJ5vmc,45,https://p.scdn.co/mp3-preview/aeb4b6c78bdec9f8729cfe260bffde1d63a7cb5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
