Modus Mio,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
14,Adriana,4G3gFk4oyvt8klQEVJBzea,RAF Camora,0Dvx6p8JDyzeOPGmaCIH1L,Adriana,1BLoY0XQ3Yywsbk2Xkl6aT,80,https://p.scdn.co/mp3-preview/d226e48803dc42f4f264a6d9327fec44a944b50b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Fabergé,7lnQCEtaDJeMZN75siSxLc,RIN,18ISxWwWjV6rPLoVCXf1dz,Fabergé,49FJWzYuQkOYACQ1cMyb6v,79,https://p.scdn.co/mp3-preview/929ff42e551bcd18cf41de389396432de2e04c6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Schau mich an,0HM0ZmnfqRIazmU3coNEwt,Fero47,4A7HeXSd4HtQuf6IR5XZ1b,Schau mich an,6quCV3OnQ2vsrq6SipNQf8,76,https://p.scdn.co/mp3-preview/7785e758d9358910e56f067f04e3706871f50626?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Huracan,6AFIVhbJLR7YVvW9fLFMu1,Samra,6h1s4i4XKIYv4ErDelLDN0,Huracan,33SXk8W4aUohvpdRLCIXq4,82,not available
18,MONEYHONEYDRIP,7uj8AUQSUg8ZAzabYLwt8f,Jamule,4sVieJlKgpZ2k9ESNS5IdN,MONEYHONEYDRIP,7kaO0wgFXhAX9h1pfxZHmn,74,not available
19,Jayjo,4k4vUYR2vNbm5Incmgpe4F,Undacava,0GICHCgSgJrRnanaNRFIMX,Jayjo,4LuvTpvlk3o1QvtgY4RWbJ,72,https://p.scdn.co/mp3-preview/d784f980630415d46455365130b0e4ab25f43e26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Kein Plan,1skUhc3JS3jLCfugI3gm41,Loredana,2Im8m4STDBosjfmb5hmP80,Kein Plan,0a4KL551wKL7l8O6xU0nlB,82,https://p.scdn.co/mp3-preview/b19d69a058bd8ab5fa42b794148b1bf7959ad2bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Hash Hash,0AuriGfdxWcFNLBCPMUJ71,SSIO,3IrUyDPQlQFcB5lMWhPml2,Hash Hash,4zlPfLeR66FyU3KcW4G5qW,78,not available
22,Steige ein,1cEZuE6NQTWBhvebSRY3FT,BRADO,0Mh0QuhaJ6WIW0qrJwzMmt,Steige ein,7I3GQefIDt1ASa9VpMzOvo,37,not available
23,AHU,6ucvQUu7B6hims4gCzfevW,King Khalil,08ao8gzTHBtNf5Laf9jjwR,AHU,1xY1JALyu2Wxdf3cm6JXYk,25,https://p.scdn.co/mp3-preview/7a929a90a6ed03f892719e83c127a47c902e887d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Narco Trafficante,5Vvmyb3EPpCJLTObQ8rCDG,18 Karat,5oWFxbBrbk2Mw86PLUg3OZ,Narco Trafficante,2ewPCHJiU7dOcvidIbkpdQ,36,https://p.scdn.co/mp3-preview/e64c958ebe904f174e9566a9b806056d710dbecc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Keiner kann was machen,3sJReCcPq9Ff3Xs4B7g5j7,Fler,75ctWsRuGXmxMxnFPkuEwA,Keiner kann was machen,1deDNR6Fv1qKEEf3VjWMkN,66,not available
26,Run Run Run,65NX0qTlnZTDYzTypKfOWD,Capo,5y9wg9qkGBl0n9v9RzaPKu,Run Run Run,7uq7CHKIM2QXQRD1IHo5YD,78,https://p.scdn.co/mp3-preview/fee938c25e21a662986f1bfb2698757df7449e10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Barcelona,7GoQIEDTGyYLKgQv4XGkxO,Gringo,5Sjj30aHCmKcM9SdVX7PBK,Barcelona,4Hy9DQBcnZLKqBZbXhCXLo,74,https://p.scdn.co/mp3-preview/f4a3039ca1e4792fc7874591fe925eff668edb94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Fendi Drip,1e9QSdX5uLUw6vbrkZJyXi,Luciano,3CJKkU0XuElRT1z8rEtIYg,MILLIES,1vb7b2AGw1Ko98yX0gJaN1,78,not available
29,Intro-Résumé,7kQMPnMzK1bykUxmF4QXbV,Miami Yacine,1XKjtpH5P81gpOXDB91IEB,Intro-Résumé,6MURl2rxjcgcAjP94BiBhd,77,https://p.scdn.co/mp3-preview/f2b99769902c433d9a6f58955c2c32fe3ad314dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Biturbo,6mh1ErQFwTq8aCZMbPoKWj,Bausa,13bDjug9N0pyv3ZUINjkDV,Biturbo,5Hc7qKx9kTHzGMjneg7tJm,71,https://p.scdn.co/mp3-preview/542050122aadbcc725c23abc8d7aa92eae68a2fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
