Gegen den Strom,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
18,Rusty Strings,2vGVua096slel3Zw92MRXD,LUI HILL,3fuo46vtxoWxN4jo0irBTS,Rusty Strings,2Yl9Ki4VTsuHjV3wNIczfb,32,https://p.scdn.co/mp3-preview/39738b7121497bd07c8b25efcd310c13575c89f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Ry - Edit,3Tc6x9waprUmAwaOjEIWEa,Christian Löffler,3tSvlEzeDnVbQJBTkIA6nO,Ry,4vFo3InuBDrRVEuBxBVMb5,54,https://p.scdn.co/mp3-preview/dab4ed2281ffc4e6994f058ba4d328ed3b7837bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Scarcity,6NoB1Pkdj45zrD1R9lSFX0,Vök,7oDTyDfeA2JE2jUZztkBj8,In the Dark,3dEDYEAgPI15tCuAOOKBol,39,https://p.scdn.co/mp3-preview/95a507f9f58d825c1d20c832f72137ace576384a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Sinners,1eo36VI77vfRsfCXNAyL8T,Benjamin Amaru,05HjXsZCR2S4JW473HsFvp,Sinners,1t8LCPaq3wjpNabZWjHwgV,36,https://p.scdn.co/mp3-preview/0ee8139fe28a0c125adcd4d7e84d997ac09b42dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,A Place Called Home,1Gdi3VTMqZoBGTDVorgtON,Stereo Honey,0EoyyN15NtrdLYrJmCfiwi,What Makes a Man EP,5SJqL2My3MSrIqwIiTPUKp,35,https://p.scdn.co/mp3-preview/ce1d04709be8552567b2113e9a1dec03f581db74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Into Waves - MUUUN Remix,6fIqj3bqDFtBLUCboX84bG,A Little Nothing,6NNQ0216pMjyKkkBANKRXl,Into Waves (MUUUN Remix),0cfSkyv6oVYjdJirZUC0dg,45,https://p.scdn.co/mp3-preview/297bd01006b8ed8e482cdba3d4fb6bde70fe258c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Imperfection,7N3YM4TB8V5nFlveeSPBzM,Cella,3w7ASanLoAsQcWhd7V9DpJ,Imperfection,66at4mviIEjs8Y5cqy49C9,47,not available
25,Fünf Jahre nicht gesungen,4UpQZNmNikaCAufrdEITO1,Thees Uhlmann,4nBVmMKK89dAUaanGPBgpY,Fünf Jahre nicht gesungen,4Kt4QQEH1z7FNHn8RMRbBI,56,https://p.scdn.co/mp3-preview/51d9dfcc9ca36b90b8fd93c065be2a029b0a70c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,January,0NS7DFpw5PfCESUJiNRe0n,FINE.,4asOB3NDvX82XNePNZpqQj,January,6SHmCkxsGQjLNp5XKCafjo,37,https://p.scdn.co/mp3-preview/1a220b50b9ff37206b625eaf4eca45684b2f0a0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Integrity (You Don’t Owe Nothing To Me),1iOHKGRFCPelf1fn9fuxwo,Seed to Tree,5eTXENvednmXhr6r5lUWhY,Integrity (You Don’t Owe Nothing To Me),58nE6EETwQwUIWAgxuzctq,30,https://p.scdn.co/mp3-preview/1be1b9dae58ac5dc4bc0f030afbee0b8045dd79c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Wait N See,3IvTDVuELx1MOfcDOPMQDe,Perera Elsewhere,5RwI5ghnexeunsvJsZ1rDQ,Wait N See,6uQE1NSjucFSdpQDJAW4jY,40,https://p.scdn.co/mp3-preview/84299c981e8c4c6bc9a587d1a00284f84b4628b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Perfume,65sU8P8AF8owabvNVz5Uoi,HYMMJ,56xfHSJ3RgYdHHupuyL2ia,Perfume,1n7wqQuRF2NwIGIv53zuGy,27,https://p.scdn.co/mp3-preview/cb7aa9c24a2e12cbdd4a69afecc20aaeb5f4598f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Waiting Line,4bSFgtC0MBzGO6V01fuuHb,KOII,53qPO5I4houQbBukv05Rls,Waiting Line,2uacd3zSkKE8pLwzEnjuwZ,35,https://p.scdn.co/mp3-preview/8828f7a269ae189623676221d7ef8d13d33bb36f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Lo,5sIOWpTCOljNdUXY6VYAA7,Andrew Applepie,5BYcwjrQth7em7maAt0yKE,"This Amount Of Songs Almost Broke The Internet, Vol. 4",1H3iBWyLO8gOV4E585ogOe,33,https://p.scdn.co/mp3-preview/e879fb5b7321a585c3f7a4af6d7cddbc01d44949?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Easy Way Out,6soNoFe7xhheQKQXPU9LpX,LEISURE,7b04D0yLktCUpvxQBhmG7R,Easy Way Out,6HXN7RS2g98CgLSPhyTFJb,33,https://p.scdn.co/mp3-preview/f098e9fe7bfec8edd8e1bd431f7c46e9679df90d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Ferrero,4aLrqv1XbApnl8PywMQbi1,Chai Khat,6kpXGU7MLpmSFn2XSXthBx,Ferrero,75sqlTMOfAaxswXOZtQ4wA,25,https://p.scdn.co/mp3-preview/dea0697d52583bcec4ceb0444a5901e941f153f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Drastic Measures - Single Edit,0nMwcep8TzjPqokMJ19t2z,Bayonne,6BbqU3r1G2mwkRIfIbkCek,Drastic Measures,2KBHJWhqz3ohObURbhXaKe,39,https://p.scdn.co/mp3-preview/54164882c7eade7e73fe947b1e3ec3607d3ebee6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Sierra,2AFJdc3uu64nmJbeboXaQw,ESCHES,38XzG3WR91KrZPn7GxeMKS,Sierra,1GYHWt81yRLaojg5Vqlyae,26,https://p.scdn.co/mp3-preview/0999057f5a45143412c4aa400f75e491438cc871?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Nach Hause gehen,4O9U8kvRw2dGXoJHvVexhp,Wanda,6Kg9EvjSnEm5swmrvWCJyB,Nach Hause gehen,5SOQlEXux7B6uefFxfioNY,45,not available
37,A Wave of Goodbyes,0NgZyIvIXc9Ze9BOkJtLhG,Camel Power Club,2ziSUHAT6LbHKCJIlwHhDG,A Wave of Goodbyes,6rI6UtlJWYyVxvEPe885UK,35,https://p.scdn.co/mp3-preview/efc3a2b7615623d1d023f73203fe2904344a86a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Top,6AMvkm7NKeT3JlRHgs17Bi,Faber,0k70gnDBLPirCltbTzoxuM,Top,4yVmXQ8paqgQPkJnHkABYG,57,not available
39,Falling Back,7iA8BlFVOityG3DGPExJtx,Roosevelt,4AQrqVz6BYwy29iMxcGtx7,Falling Back,3dRyi7KJOlQxfzA2hrMjJe,56,https://p.scdn.co/mp3-preview/cde5bc2740e251b3f0c0d3f5eff654a9b9a54a6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Souvenirs,4PebSMi5y4792I1JkYV747,Fox Shadows,2UgwNsimp3W6x6AdlLt2hN,Souvenirs,3h4XsNBfkP9EFVJeIwH32K,25,https://p.scdn.co/mp3-preview/2c9a5ef3dfbe5238202697d9a69fd625d601045e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Sheep,0yBOPni3efW1XvvUuXqoH1,Ina Viola,3Nb68Xm9Qb2t165c34WOnu,Sheep,6HaV2Z8QOrIUKfx32JNbuL,32,https://p.scdn.co/mp3-preview/ebdc2a4a395677a5e9ee04f2a782af22c21611b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Within Me,10NUaZXUQiYdqMbRhK5FPs,Seed to Tree,5eTXENvednmXhr6r5lUWhY,Within Me,66eGrkddQc5C3eAXC6scSu,32,https://p.scdn.co/mp3-preview/5560bcd3fbdc4e3986423bd8c3fac56e5803fefa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Curiosity,6h8VNNF6AGShvrMArQXYYX,CATT,4vECkYVXR5tUXqDk2LVzkJ,Curiosity,6pDKE0Fm9EyKjjEoUFVXpR,29,https://p.scdn.co/mp3-preview/2a2acf49515271250efb8c9bc1a70d3a8bf8eee9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Mango,3lGEWmq0S5bhAuJDgTd0Rj,DOTE,0OxUICX98hef3SYXRXZUNi,Mango,1vsNd80TUxZX2xoZ3C1YQk,35,https://p.scdn.co/mp3-preview/6696681f69ec73f9df71f602ea6e02a9c6f59c05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,1000 und 1 Nacht,5uKEh9C9erUO2oHQnVfeTn,Drangsal,16rfiZrUbpoIJKqvJjbOk1,1000 und 1 Nacht,5WkaaV4yNkXfZTyY6ZY7Ij,44,not available
46,Believers,0Hjcj5P4ZKvVY7DUjU5ILC,At Pavillon,6cOhhwyjb3UD6DSB3z3WIc,Believe Us,1SqJ1wIhpb65LhuSZMjom6,34,https://p.scdn.co/mp3-preview/2658bb2edbb162a239dd077e9c313a9c1bdf4509?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Das Boot ist voll,7x14cm2P7HHI5kh7tgjTCC,Faber,0k70gnDBLPirCltbTzoxuM,Das Boot ist voll,003uneZTNXQmE8SXwcsL5l,58,not available
48,Bang Bang,2JPFrY4uQ2WIFThXoYpmzr,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m,Bang Bang,4oOCxjoU3V6GKU1uePmGEP,57,not available
49,Bei Dir,6uVEu6kmTTCUPRGk5XDsoY,KUMMER,2TiXt00aPsggbxZxL1RaG7,Bei Dir,0Eeiv0Chbt4XRSoooGkGjb,69,not available
50,Fall,56rK9xmaRMIIbN3VrMqCjW,Like Lovers,0puXK77dHMF8fzrgmov6MF,Fall,6ppzHVrjS3V78EjbDtZevB,30,https://p.scdn.co/mp3-preview/e95915bdd1b6a2cb2b00078341b1e760c820155d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,The Light Upon Us,42dXViLOK80GFk3Ss0t2EU,Talos,5pdzKTGQAcRcxDOfN4mXSc,The Light Upon Us,1a4nLsspx2YZWXtcmpnUSb,38,https://p.scdn.co/mp3-preview/b1a009429a02c543faebbbe4544c2f38cbf6c557?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Howl,5Gu9NqnVHf7mmlCWYb25Ix,Yoste,2wwZDwSBHaVaOI6cE2hfhf,try to be okay,6ZEaeupABwXllQb1Q5DYHv,53,https://p.scdn.co/mp3-preview/2fa2f058db3b1ec777abc4beadf08b86b1f14061?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Emily,3VY42CX63Kshy77EbM6Zrr,Tourist,2ABBMkcUeM9hdpimo86mo6,Emily,3df1BIiTr2gxRch1Et9LaB,55,https://p.scdn.co/mp3-preview/580635f610783cb066e53a46841ad7ed63951f84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Mars Mission,5GDtiMZfvmnl6P2rVB0x6O,Andrew Applepie,5BYcwjrQth7em7maAt0yKE,Earth Ran Out Of Disk Space 1,2s3PW3ADhsx4VZkP7L93nr,36,https://p.scdn.co/mp3-preview/be329617a82cf9bcff286f22b80326f9201f833c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,The 1975,6sQeHBkvilt6ycKfnJMki4,The 1975,3mIj9lX2MWuHmhNCA7LSCW,The 1975,5djTpOucD83kTKF9ETjBwW,57,not available
56,Running out of Time,0XFYtI0ggSqcsklslxJ7IF,Felix Räuber,16msWAQnQ3L2GIIWPSVcfL,Running out of Time,0uJry9aCwXg7u2fmUhvL72,26,https://p.scdn.co/mp3-preview/65fdf5cc707fe9ee117d0acb0acdeb91d05ec2d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Glowing,5a1jnECEInfdRnxIka7OlE,Those Goddamn Hippies,5GwTmLS15PuaqFZDawkU7V,Glowing,5p41k7rgum6E6oMeC4qz2N,24,https://p.scdn.co/mp3-preview/300817ef424edc40e7fd3c8f21f96293a1f2bd12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Ghost 2 U,6lg6fVmb52zeBbWxR8cel2,Jinka,4QQ7oTTczMTot51xhy1giT,Ghost 2 U,0nZpXfmQylAbVduwuuXzoq,25,https://p.scdn.co/mp3-preview/1e2a6a1b9cdbcc941223c7a7dea7ac912020cd20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Luke,40CmJMjQvBP0frmdb8lMtb,Woman's Hour,0X4ahw9q93rwIg9QPUwKAk,Luke,7t80ZtS0lRMqlWbZ6solyc,31,https://p.scdn.co/mp3-preview/6942dbba5df093bb431928c3fa01056732902c0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Again,0Sy1aNunl1dSt9ICrIxYOl,Royaume,1swVObg0XMdHhgXtgXg8oI,Again,3TjTFMBCsyl9emsaAsbrdT,31,https://p.scdn.co/mp3-preview/40ee75b5c3695f0e09f53fe3273c5fad9d2052d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Money,0PHfwQr1A4JTA2FBpK6cQN,narou,4WZfEIgHLAMmAxATgVjspH,Money,6eJka9N7hNYghl7RoWS0Yd,35,https://p.scdn.co/mp3-preview/681a347ac44ea8cf8d2ee1667d7f9f98c770a110?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Erase You,4YAlzVwHWGaPYIkuMMGy1c,Vök,7oDTyDfeA2JE2jUZztkBj8,Erase You,2uYPm1Hbm7OEGl8trLwn0K,3,not available
63,A Bridge of Starlings,5VihTGTfGNTlHDx70Jr5wo,Ben Osborn,7xl2ryRjHsbvCfcAt30QUS,A Bridge of Starlings,0s73fOw6Qv216qsZqlCEfC,26,https://p.scdn.co/mp3-preview/010bd53b5f4c217c4fc670674aead43621b99877?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Old Bone - Jim-E Stack Remix,6YKLlLoEYRujlAH8SgkTge,Wet,2i9uaNzfUtuApAjEf1omV8,Old Bone (Jim-E Stack Remix),0N4gagOhj0I1XT9jLwKV6t,54,https://p.scdn.co/mp3-preview/1fd815933c5078bb6d2adafbee3332bc4002ac7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Yeah Yeah,4sHzWjyGYKXemf9xGDsee9,Perera Elsewhere,5RwI5ghnexeunsvJsZ1rDQ,Yeah Yeah,62A6rkgrlfgZrR1esegLXq,29,https://p.scdn.co/mp3-preview/6bd22b114d264da9156bb0db54ac2b955f1919bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Follow Me Home,4MoSergiyYFtZQUID5IUNx,Esther,3POjAYvvEzzCFAWm4uHEza,Follow Me Home,24H7hRXnvN0ona2j5JY5sN,42,https://p.scdn.co/mp3-preview/f5216d19a758cd6481edffdaebe6fea954e2c84b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,So siehst du nicht aus,4RDlaw7MZDC5WGbs5doxCa,Die Höchste Eisenbahn,2NnrINoqFoPEteJ6m1TR72,Ich glaub dir alles,25zMVZBvlHmirxo0voJF8H,44,https://p.scdn.co/mp3-preview/6fc2ce4dc3185d17846d30adf5af0ebd6825ef79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Disteln,0YbSWtJdo0deLaq66BAGFs,Neufundland,2EOZCoVCpBwgOSP09Cg551,Disteln,3xIgy4CzPPR3fW4Pl4ecXo,27,https://p.scdn.co/mp3-preview/c95ee1dc04fd29faef568e5115d8af2cffbbdb1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Wolken aus Beton,67OnzwEI7yKoxj04wL1c42,Enno Bunger,0aiAgFPJcZggIkSUGDFdkD,"Was berührt, das bleibt",6cpRUhuci9y1Px0aqUv5to,40,https://p.scdn.co/mp3-preview/2a928288a6cf55ac386f04df230cdcb87177ad0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Flower - Radio Edit,0vZBWHKkhVVGTb0lKcIXUV,Gospel Dating Service,5P9Y6YrGik6EVQTb75x3i3,Flower (Radio Edit),65v7GK9Ousu4Ael9Un6DPZ,24,https://p.scdn.co/mp3-preview/7c9187050a0a023e5de73d050eb2b034af8353e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Tell Me You Started to Pray,5Dk4FuIK038cpBoDnqI4nv,Benjamin Francis Leftwich,7D5oTJSXSHf51auG0106CQ,Gratitude,0tSgMY6Bpy4Ip15CRdTNCL,24,https://p.scdn.co/mp3-preview/ad3b77b80ad4042f79cb35f5d4c2549869fc46fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Don't Bother,4tIlz0juwyQQ7ngrIzzimK,We Are The Way For The Cosmos To Know Itself,6c4Wv7wneLAWdQOiBItwgn,Flashbacks,3huGMGjeV9gHoNcFJLeTab,25,https://p.scdn.co/mp3-preview/3db1aa7ec51263e29ba9187ed25274bdf7ac9714?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,we're a dream nobody wrote down,3Kr64ALJnmi4f0eKxf1azc,Ludovic Alarie,5YQJ21kmCLdhMccxqJoDWU,we're a dream nobody wrote down - single,4X4skquBOp2wBqD5730NFU,26,https://p.scdn.co/mp3-preview/cfa4ef95842a53f54cb578a01cd947af39c21eef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Turning,7eYlX2Ju50SmeQcRK5SC45,Foreign Air,5ApQnMT6oR8eLguf24xb9S,Turning,4S29vSzgU8bsW0NrHAPqy8,38,https://p.scdn.co/mp3-preview/741f244360ae84b578de4c202dbed4f787d58784?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,The Borders,4oZxIJoCv6UVuseYGoy0h3,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,The Borders,5x4JCQ9nQE7qQoKyWY7D6f,66,not available
76,Never Die for You,7dnlnK1s5HPbQDZOtVEszA,Diskopunk,5Ck4KWOZsbrSQpiLimooDp,Diskopunk EP,1C2wZZ4GKNtQyGN9c60dp8,29,https://p.scdn.co/mp3-preview/e68572566114c69fdfdc26432b053a269992c25f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Enough,6XDOFMTKoydw1z91btaNqk,Aisha Badru,3vsVCHUe68gqUMIZwaVUIK,Enough,3eEjPpmaN2t52BwaXnEgVX,42,https://p.scdn.co/mp3-preview/18a392255dc4504f8964a6a917a4c315752dacab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
