Zuhause,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
49,Worry,4y4BjkAk3VMvZV8ocRtO7l,MaJLo,5aTUKcNsRYdEPhdEh7bOwL,Over The Woods,77v43OEmXslTsE0aYCPZcc,39,https://p.scdn.co/mp3-preview/143d0e2abb40a3a6cfbe9a3d3421f1e17befeea0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,All of This,71zvhPCvpV27aj5DHDh0QI,A Tale of Golden Keys,0i4t71X76r7XeeDN9iGqTY,Everything Went Down as Planned,2Jkta9ZyvxhkZMNfwLLUCr,42,https://p.scdn.co/mp3-preview/02e4ff4c2061db9a6b69e0f3c922cb6ea64edb0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,"Harmony, CA",1yNIFJ1wESOnBhR1wt3uAh,Omar Velasco,7hyKm6cdFkaqtPCN3afkTJ,Golden Child,2Ry9sf0Dyn9uFluyFVQz2g,40,https://p.scdn.co/mp3-preview/d43748d84f5296c194204b9214dcb0286f2b2005?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Summersnow,0b28zvWaXpxHEGGVpWyrMv,Nina June,1YyIIzRWYsa0kIJpqoSTRZ,Summersnow,3Twx0BtjxSk72qwPiZJLMu,38,https://p.scdn.co/mp3-preview/1d1d56b1ee46d8292e1789a1d46f0ef915144c17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Most Anything,4fSiaIPk5vK9yaei2iJpzh,Sage,5dDQASlR9FyeP4VO0jw35F,Most Anything,3skurFTCTcFLZqDu6bJ0pj,42,https://p.scdn.co/mp3-preview/f50f8d6cf2a66165038ac3b0b9cdb6516debdaa9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Betsy,44MymW41kEmbIfJK0mGHzI,Billie Marten,02YLJJnWC7YQVixkjEBRn7,Betsy,3PULVt0k5VViDDMmOudDhq,49,https://p.scdn.co/mp3-preview/d29505691376172f341007798944c62d553ecb71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,An Opening,0cLlYO4FtEHAqxFFmmKQlV,Charlie Cunningham,78CiW0UJbHspFaVuVexOK6,An Opening,4FvN7g30EPlbO2OUI83gMw,9,not available
56,Don't Mean to Pry,72FDjAAcsSChcDO6rybcCP,Horse Feathers,0lO2c86rQmrRJArBxgw0v8,Don't Mean to Pry,1ZoMU0udqYfcOpFFy1Nn0Z,29,not available
57,Empty Handed,7gf3NC4PdRjnoyR5WUoci9,Christof van der Ven,4OmL1NFB2mS4Ipv9TAWC1F,Empty Handed,1yBOI5xVLoxzQ7KDyRHQqR,8,not available
58,Be Good (feat. Tom Rosenthal),7ksUuRAALPLYjhlpwTcDCH,Max Brodie,08Fba5XNvK4sXAbH68DYPf,Be Good (feat. Tom Rosenthal),4IWLXhyvj0rH2cm5VwuuW9,58,https://p.scdn.co/mp3-preview/998300d8072caccdf6fcd8195c27b14b2063bdb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,We Were Wild Once,2oFwrwH2Wu0UrmAJI0RBUW,Farewell Dear Ghost,08tgxSRGYOyDmH1UFG5v5L,We Were Wild Once,75npaWYcuwqzPV7feKIfg7,5,not available
60,Oh My Blue Sky,4zjTyzvQMZbpCiLIqbxvqk,The Well Pennies,1bkuqagwavNQJVWEmYDoQi,Murmurations,5ZMd9jB6kRJylWpjbsRN0o,40,https://p.scdn.co/mp3-preview/42fc54c9faf99cdefe21b14c62cdaea2da120930?cid=fa83a2fec7c440b7a2795d600d6b2c7e
