Gold School,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
36,Dancing In The Rain,5BegRQCcJu4trXT6PPdih9,Blu,1KeJhR0ENFviw187pD4LPT,Below the Heavens,2OnNdRdzqs0Xe6VU2uGdPe,54,https://p.scdn.co/mp3-preview/1cd996ce5bacaf82186b20476d1a0269905d001e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Young G's (feat. The Notorious B.I.G. & Jay-Z),1z1btB03Hw1gYwSLPlt67z,Diddy,59wfkuBoNyhDMQGCljbUbA,No Way Out,4OGaOZUHLhSeiicZB909aL,47,https://p.scdn.co/mp3-preview/7edd85aa68cf71123cd46fe67026705fe3f8fb23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,3 Tha Hard Way,4B1w3clws55HXvcVoItOqS,Bahamadia,6ZcRUVs3I5U8EOnm9ZdCsO,Kollage,4ioG1W3KU4WBhYlwEBp7BA,40,not available
39,Beware,0fpVsdhxofrLCZL1CWETxa,Big Pun,2Xu7q46Hf02xOoEIm4E1Qs,Capital Punishment (Explicit Version),3IIHk2ZLXKWuVAjCbQ9g4Y,53,https://p.scdn.co/mp3-preview/8537e09fc6f7e2ec7f96aea564b5f0bd29a66e9f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,What U See Is What U Get,4ezafcOuI5em8LoE2xxnpv,Xzibit,4tujQJicOnuZRLiBFdp3Ou,40 Dayz & 40 Nightz (Explicit),1jlbr51uTL95Vqmw2G8rpA,42,https://p.scdn.co/mp3-preview/e90062726e437dafcee39075572544a2dc69e197?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Tru Master,6jn2A66ztgXPrpeNsdiGHE,Pete Rock,3BeQqzKdlARoOd6y30kCO2,Soul Survivor,6aUbIlHtJf14LG1bdy8caf,60,https://p.scdn.co/mp3-preview/de004eac9c521824758fdca1d695c3b0b529e45e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Got My Mind Made Up,3AYFNoXF0xw5Shsg0lHvBn,2Pac,1ZwdS5xdxEREPySFridCfh,All Eyez On Me,4CzT5ueFBRpbILw34HQYxi,55,https://p.scdn.co/mp3-preview/f5cfe9419418005bf8f162b06b89c93d4a882206?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,"Front, Back & Side to Side",0z4Ryh7Qg9jKOQXzkUZLVK,UGK,6ZhjJOJXXwnPS8PrXdmjLw,Super Tight,4rjGyhPnaKV5hfwFNiHtQA,45,https://p.scdn.co/mp3-preview/26cdc1b02d3203e5bc29dd0bd005394bc912480a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Space Age Pimpin',1b8WvjQ6aT3MrqouZHCqsE,8Ball & MJG,7iUhmKPNkkPPS6FCQxqtNq,On Top Of The World,2UBBDl07r4miPVFPp0OMCX,47,https://p.scdn.co/mp3-preview/8d9912752ac3e3762f58e6cc17c16c5dbf61203c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Blast,1l7xvA5XajmKQDo1h8Vc3K,Reflection Eternal,6vwJ3e6KaQAhLEpBPxCMBC,Train Of Thought,2PbWFmysd3j9MEacjjhozx,47,not available
46,When I B On Tha Mic,2p9sprAX27D6U5cuSE9NsM,Rakim,3PyWEKLWI0vHPmoNrIX0QE,The Master,3mvWfqa4cceoGyA7qECPWH,67,not available
47,Bloody Money,3iG4WlH1GlZkiWDZi41M0C,Capone-N-Noreaga,6KVPfr3ujUkKOrJf4QeRWD,The War Report,0JL0th3R8yhWIwoo6XunRw,43,https://p.scdn.co/mp3-preview/42e25dd7a20c9032adf2b3ddcaffad4f3743f53d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Tight,2c3JFVHCIcupZ6C9eBZJP0,Rah Digga,1uT0jnwsq3AifrLorG4UDt,Dirty Harriet,6OUIOBJjnQvKB3e22hAQEm,34,https://p.scdn.co/mp3-preview/39dbb5b1332c5ac322703583d2eac7f531191d74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Fatty Girl,7gUk6jBAXio5xONTkoYDCq,LL Cool J,1P8IfcNKwrkQP5xJWuhaOC,Yeah Yeah U Know It,6MEQG5ZJaYD7sLFFRdReWP,34,not available
50,Hip Hop Drunkies,51aJEzSZv9jVyNTQNRTYti,Tha Alkaholiks,2FiRV4AeJUGaW98BhDIAKI,Likwidation,3gcQIclnFFN65pyjYKqRmY,36,https://p.scdn.co/mp3-preview/8ac1d31200e2c3fd881cd263348ff5eff74e0e76?cid=fa83a2fec7c440b7a2795d600d6b2c7e
