Soft Pop Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
55,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,All Your Fault: Pt. 2,6t5D6LEgHxqUVOxJItkzfb,83,https://p.scdn.co/mp3-preview/8965aca26c5af239f57cb6ec1570db1fd8be00f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Ho Hey,0W4Kpfp1w2xkY3PrV714B7,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,6NWYmlHxAME5KXtxrTlUxW,71,https://p.scdn.co/mp3-preview/57e57e6eb594e55de01b85cea4d470243f6121f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Sugar,2iuZJX9X9P0GKaE93xcPjk,Maroon 5,04gDigrS5kc9YWfZHwBETP,V,2Auw0pTT6EcQdvHNimhLQI,80,not available
58,Love Song,4E6cwWJWZw2zWf7VFbH7wf,Sara Bareilles,2Sqr0DXoaYABbjBo9HaMkM,Little Voice,2Z9WUERfMjOgQ6ze9TcGbF,77,https://p.scdn.co/mp3-preview/6a346c9d0573a678ca5b2d001c8884d4161b850c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Home,2ZQyksYO4zzhyHNcueL0CP,Phillip Phillips,6p5JxpTc7USNnBnLzctyd4,Home,3ZZ8jN93SBl4v8lF79eVzS,18,not available
60,Come On Get Higher,38YgZVHPWOWsKrsCXz6JyP,Matt Nathanson,4NGiEU3Pkd8ASRyQR30jcA,Some Mad Hope,45A2E1YR00sPSwxJw5d3qu,74,not available
61,Put Your Records On,2nGFzvICaeEWjIrBrL2RAx,Corinne Bailey Rae,29WzbAQtDnBJF09es0uddn,Corinne Bailey Rae,141Mp3P2VKHQMhtkW1DyQg,78,not available
62,I Don't Want to Be,4vl2zwXsTmAxgu9iY0g6UK,Gavin DeGraw,5DYAABs8rkY9VhwtENoQCz,Chariot,5YTn3PFD7mrjhucfeafJE7,64,https://p.scdn.co/mp3-preview/23849aca5add574f6700fb36e4df8aba8f327626?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Marry You,6SKwQghsR8AISlxhcwyA9R,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Doo-Wops & Hooligans,6J84szYCnMfzEcvIcfWMFL,74,https://p.scdn.co/mp3-preview/b50deda939ea24755b044a89c7997bb43f252f5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Send My Love (To Your New Lover),3LGxef3inmn5jMLGDz9lqw,Adele,4dpARuHxo51G3z768sgnrY,Send My Love (To Your New Lover),7xX2GJWXXgIwamzN2vxXy0,62,https://p.scdn.co/mp3-preview/2f7c4f6de9f5a25ed2d59d353c62a06c2ac57c96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Stay With Me,5Db9VIdDsN5yu3Eu7CT0i4,Sam Smith,2wY79sveU1sp5g7SokKOiI,In The Lonely Hour,2Jg7JZ0ZXOGje1bkq7CVgK,23,not available
66,I Miss You (feat. Julia Michaels),0Ult84lvFuqNvbyXwyRQ58,Clean Bandit,6MDME20pz9RveH9rEXvrOM,What Is Love? (Deluxe Edition),1MvF4ulZKH7SaDQs9rE5nc,78,https://p.scdn.co/mp3-preview/8ff021535ae4be15542c4d63361f0cbfee4956e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Chasing Cars,11bD1JtSjlIgKgZG2134DZ,Snow Patrol,3rIZMv9rysU7JkLzEaC5Jp,Eyes Open,6fb7z9rBdrjzpBTg1R1Bwp,79,not available
68,"Hey, Soul Sister",0KpfYajJVVGgQ32Dby7e9i,Train,3FUY2gzHeIiaesXtOAdB7A,"Hey, Soul Sister",5lTCUyQrKcSmcw5ULkt75O,30,not available
69,Unwritten,1D1nixOVWOxvNfWi0UD7VX,Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a,Unwritten,1meis09isQJFDA65afUTt8,78,https://p.scdn.co/mp3-preview/54cf4f47feb840242695d20e560efaa2990d5f6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,All of Me,3U4isOIWM3VvDubwSI3y7a,John Legend,5y2Xq6xcjJb2jVM54GHK3t,Love In The Future (Expanded Edition),4OTAx9un4e6NfoHuVRiOrC,86,https://p.scdn.co/mp3-preview/488c53471e56ff9f629652691444438951e880bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,My Mistake,0UlguQTHxZSh4NKDMpQATl,Gabrielle Aplin,3w6zswp5THsSKYLICUbDTZ,My Mistake,6bSw5n7sUs3oE7MxhZ1Leb,65,https://p.scdn.co/mp3-preview/8ec7fd507bb4428af5e279db965f12fdcb6ee69d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Magic,27jdUE1EYDSXZqhjuNxLem,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Magic,4cCfFozyo6JC8acN8uIP7u,64,https://p.scdn.co/mp3-preview/4bbc6c3a61b175ca895e0f5a2ab79804f290b263?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,4IWBUUAFIplrNtaOHcJPRM,Back from the Edge,7oiJYvEJHsmYtrgviAVIBD,86,https://p.scdn.co/mp3-preview/00825cb1779b31d68964eda6f2a7911fc2ae96c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,5JZ7CnR6gTvEMKX4g70Amv,I Like Me Better,7l6fTSFvlumnPFpOSrbnDV,85,https://p.scdn.co/mp3-preview/fa069a3be2d69aab5378b55f6c66d8b3eff1a6d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Royals,2dLLR6qlu5UJ5gk0dKz0h3,Lorde,163tK9Wjr9P9DmM0AVK7lm,Pure Heroine,0rmhjUgoVa17LZuS8xWQ3v,79,not available
76,One Call Away,7soJgKhQTO8hLP2JPRkL5O,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Nine Track Mind,3kndSWeE2IYOrZEToZrHEV,69,https://p.scdn.co/mp3-preview/0c4bed645d246486c6b16fe0ac48d418259edecf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Home,4OsBjrJQbPSMAqdjLBaGOt,Bruno Major,0hDjKSKjl1DC7ovYTDJHe8,A Song For Every Moon,5UFBJXQtytWA9vfaO2DxLx,61,https://p.scdn.co/mp3-preview/e19551e857d927a458b3cecdc6c59cc858bf6b6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Better Together,4VywXu6umkIQ2OS0m1I79y,Jack Johnson,3GBPw9NK25X1Wt2OUvOwY3,In Between Dreams,7tTc46dNdE6GGuiQsssWxo,73,not available
79,Lucky,0IktbUcnAGrvD03AWnz3Q8,Jason Mraz,4phGZZrJZRo4ElhRtViYdl,We Sing. We Dance. We Steal Things.,04G0YylSjvDQZrjOfE5jA5,78,https://p.scdn.co/mp3-preview/6d11c0ffe71a18048e675c42c184efad8742f9fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Rude,3tCwjWLicbjsMCvXhN0WOE,MAGIC!,0DxeaLnv6SyYk2DOqkLO8c,Rude,2Qm9AzJHWLG9vbJCeXRaAW,70,https://p.scdn.co/mp3-preview/9b3bd39a3460c7678e2ec2db2f05fe986797d137?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,"Love Me Like You Do - From ""Fifty Shades Of Grey""",1ip2IGDWMrUmlaepEbWlL8,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,Fifty Shades Of Grey (Original Motion Picture Soundtrack),38WMYJ0LhCKAiRflk43Xt9,63,not available
82,Issues,7vu0JkJh0ldukEYbTVcqd0,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,Nervous System,1qyjZGIeeLJlXbYWuoloWj,73,not available
83,Let It Go,13HVjjWUZFaWilh2QUJKsP,James Bay,4EzkuveR9pLvDVFNx6foYD,Chaos And The Calm,5BxvswQSGWrBbVCdx6mFGO,74,not available
84,Somebody Else,5hc71nKsUgtwQ3z52KEKQk,The 1975,3mIj9lX2MWuHmhNCA7LSCW,"I like it when you sleep, for you are so beautiful yet so unaware of it",1JFmNyVPdBF1ECvv4fhpW4,75,not available
85,Stay,2QTcJmSgeLRtG1c82ZYHQc,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Unapologetic (Deluxe Version),4HsLpiXxuq5kxvMEALLyrh,48,not available
86,Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd,85,https://p.scdn.co/mp3-preview/097c7b735ceb410943cbd507a6e1dfda272fd8a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",4LloVtxNZpeh7q7xdi1DQc,John Mayer,0hEurMDQu99nJRq8pTxO14,Where the Light Is: John Mayer Live In Los Angeles,4Dgxy95K9BWkDUvQPTaYBb,77,https://p.scdn.co/mp3-preview/00548c90c377c0a5a62b8f161773e9542d2576c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Budapest,7q0aQpiLv5tIsupcgQ3Ny4,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,Wanted on Voyage,7L4ZwpSwKQCerDQv9C4O1M,69,https://p.scdn.co/mp3-preview/5342882884df422c954a1b12dc77750267d2e2bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Home,7w5cxTEzp1rfV3KCy0Bd5N,Edward Sharpe & The Magnetic Zeros,7giUHu5pv6YTZgSkxxCcgh,Up from Below,39xrkt8RILtwa9DMyLkv32,70,https://p.scdn.co/mp3-preview/8e1ff07117c78984d221597a80148e80eae6e146?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Woodstock,4VzzEviJGYUtAeSsJlI9QB,81,https://p.scdn.co/mp3-preview/c32d9479367a99fcf5f881e23e1381e6f87214e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Hello,4sPmO7WMQUAf45kwMOtONw,Adele,4dpARuHxo51G3z768sgnrY,25,0K4pIOOsfJ9lK8OjrZfXzd,73,https://p.scdn.co/mp3-preview/0b90429fd554bad6785faa2b8931d613db4a0ee4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Bleeding Love,7wZUrN8oemZfsEd1CGkbXE,Leona Lewis,5lKZWd6HiSCLfnDGrq9RAm,Spirit,0VaAFegRAAn4OCg7p4QjN5,80,https://p.scdn.co/mp3-preview/b0aace1f8a27b540a9fd96775d7665e3e2b73029?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Breakeven,38xWaVFKaxZlMFvzNff2aW,The Script,3AQRLZ9PuTAozP28Skbq8V,The Script,51Hn2Wiq1jmUfI0BLaUhuF,76,https://p.scdn.co/mp3-preview/498ef064bef20a0690c10fb8067e71bd73411056?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Fight Song,37f4ITSlgPX81ad2EvmVQr,Rachel Platten,3QLIkT4rD2FMusaqmkepbq,Wildfire,0mFDIOqypzHp6Xd0el1hoT,80,https://p.scdn.co/mp3-preview/e637c2d18133fe780d89df9e603028661a19c818?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Counting Stars,6sy3LkhNFjJWlaeSMNwQ62,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Native,2bbhW5ifCwOYM8DMkqoYBF,75,not available
96,Sweater Weather,4pGqFOfzvfe6avb9kbZicC,The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,I'm Sorry...,64uUQtKfndQguejYmA40lL,64,https://p.scdn.co/mp3-preview/ff64df97746e9b97673169f97e0eb5045c552278?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Halo,4JehYebiI9JE8sR8MisGVb,Beyoncé,6vWDO969PvNqNYHIOW5v0m,I AM...SASHA FIERCE,39P7VD7qlg3Z0ltq60eHp7,79,https://p.scdn.co/mp3-preview/3c97985f3736fab6d4abcd2067f346a9b30955fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,River,0NeJjNlprGfZpeX2LQuN6c,Leon Bridges,3qnGvpP8Yth1AqSBMqON5x,Coming Home,4svLfrPPk2npPVuI4kXPYg,75,https://p.scdn.co/mp3-preview/3a8497767824cf218a9b5247c3c17b526cede1a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,You And Me,7L605WhF5EGf34ggj87yK6,Lifehouse,5PokPZn11xzZXyXSfnvIM3,Lifehouse,3wJfFDP79V0vuGaAasTIz6,21,not available
100,Yellow,3AJwUDP919kvQ9QcozQPxg,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Parachutes,6ZG5lRT77aJ3btmArcykra,83,https://p.scdn.co/mp3-preview/c119ca773ef844108da21c4679dc54c007cf0926?cid=fa83a2fec7c440b7a2795d600d6b2c7e
