RapCaviar,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
25,On The Road (feat. Meek Mill & Lil Baby),0hGH0S74Eoyv6mXZcOKtdQ,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3KziODx7ieQTgYCVrS6nBv,80,not available
26,Hot Shower,00ko9WaS4jOX1kEk3gvHjf,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,The Big Day,7bgi7zCoDsZdlLKPonHZqP,84,https://p.scdn.co/mp3-preview/9f63076bc91da7435bdd87c68b465a9c25c382bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,BIG,7cyeGclH71MayOuQ7qtLFl,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,Herstory in the Making,1F1JJHhqMo5DETJkesqGpG,73,https://p.scdn.co/mp3-preview/c3d71296a50ec9c1da21722ad00ea671008721e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,JT First Day Out,0Otdui0avqjOxuCAzC7Jfc,City Girls,37hAfseJWi0G3Scife12Il,JT First Day Out,4kqU7ojcMMAGEmEuJjfghx,70,not available
29,Big Rocks (Offset feat. Young Thug),2JdIqJBbIiwEah4ejqIWGj,Quality Control,6i392l38cR3uBPF0DbNs7S,Quality Control: Control The Streets Volume 2,59zpaLOByFkJhc9D5Xqna9,79,not available
30,What's the Move (feat. Lil Uzi Vert),3pTScODwk9tggZzmuH6xDY,Young Thug,50co4Is1HCEo8bhOyUWKpn,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,78,https://p.scdn.co/mp3-preview/f6a29aa98348ae5d594d9cce43079a9b9f09723e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",5WnfnSpuNEGXyEt78PBA6d,Dreamville,1iNqsUDUraNWrj00bqssQG,Revenge Of The Dreamers III,2n3quCZ0anEa46j2IveacI,83,not available
32,Shots,5xjei7JnROsAzLY2a7RdZU,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,We Love You Tecca,65T18oWoikW2MAilg9j8lW,81,not available
33,Routine (feat. Rick Ross & Meek Mill),5MqPHMhLXyZDDPHMGEF6MQ,Wale,67nwj3Y5sZQLl72VNUHEYE,Wow... That's Crazy,0JRDNN0AuZZiwyrOWkNDXC,68,https://p.scdn.co/mp3-preview/3fcd0bc3f922c1cc188cc5f52dd0c2d558ad8615?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Hold On,03i4lR6ZZo0214WhmrE8t9,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,Hold On,6oFeA7Pda0jOC7jVNIAp9k,76,https://p.scdn.co/mp3-preview/579e5874c1f1ff299883d9eae54e23af982c293d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Saint-Tropez,7C39RtGhnEw7cyf0Pyw7PV,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3KziODx7ieQTgYCVrS6nBv,83,not available
