MistaJam's Jam Hot (BBC 1Xtra),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
26,Sekkle Down (feat. J Hus),40Rt7th5q02OzIZC6VGYLd,Burna Boy,3wcj11K77LjEY1PkEazffa,Sekkle Down (feat. J Hus),7LyYqsVRGYi7mZXjbirQC0,48,https://p.scdn.co/mp3-preview/1af2f635f4ffb5247710d7870ce1e8682534e225?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Game Changer,3dQ5HBfKh8Vj17A3eQOIpt,MIST,63X1WKthLQidtqxxO2sgeq,Game Changer,20XLjkueXZ4C586Z1nkdPH,48,https://p.scdn.co/mp3-preview/3da0e8ca638df52aa7ba4a789bf505ceecfab7c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Bad Vibe,2aeKv96tpmi1T3ctpAZBqB,M.O,6Ur6METz02CC9zcJWDFicC,Bad Vibe,41RyCJ0ac534VrOeKrU7c6,5,not available
29,Under Construction,6dQ0rKobE47AnAlUEWVdQH,Stylo G,7qPISKHhhKDLZTmYcX7bWd,Ten Years Later - EP,7CibBdQghxVI6PeG8SjTxF,0,not available
30,Take It Slow,1jkjVZ34pTaIU8aUBNNXak,Bru-C,7GDrXlpRrdG29o4n0pNR5D,Take It Slow,3bIucwMxhafrSFgSDMihbf,45,https://p.scdn.co/mp3-preview/559671a07ea4580c1aadba37aba18864454d5eb8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,"King's Dead (with Kendrick Lamar, Future & James Blake)",08qFPu7ksp9KrQJJPuFXxu,Jay Rock,28ExwzUQsvgJooOI0X1mr3,"King's Dead (with Kendrick Lamar, Future & James Blake)",0xgbaoVF9zal8Z8qTDbuqT,5,not available
32,Let Me Down,2tpYmda4mM7XFvpbhOfERH,Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Let Me Down,006wfSK6TYpZIFU9yEzPEo,11,not available
33,Only You,44g8frfeEaUkUAqjiimK5j,Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,Only You,5a0CpnnkDjyEvc1vJnNcr1,42,https://p.scdn.co/mp3-preview/f3d0ba687902f723901547204b37ab38f57b2019?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Upstart - Road Trip,4V3o0xCNX4TpFBWdZmUEUI,Goldie,2SYqJ3uDLLXZNyZdLKBy4M,Upstart (Road Trip),0ir5SRIy4Vixc3vJQEVvTf,30,https://p.scdn.co/mp3-preview/86bc316e7dcf76d382beeb9f6ff9c1b028dc78c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,No Odda,4p7iggZIyG97xOTy6jzDJ9,Kranium,1LKo6ZA3RNvKtLa6zDu32S,No Odda,39KZYAJshmamLxlPohz2YW,51,https://p.scdn.co/mp3-preview/5ee19e0ed484caa43d1ba0d53c4000dfd4fb2e87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,YRF (feat. Fredo & Not3s),5BhRfzO3MokDQVJUKurRTV,GRM Daily,4PCeJ2EIn3YtzYYRsHHWyy,YRF (feat. Fredo & Not3s),1OIHloTKDfryAIxQ74uBU8,59,https://p.scdn.co/mp3-preview/b3e0b13f491ad4c096e90e5906961a49422ccdb0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Trigger Bang (feat. Giggs),5f8U3QzmZZrK0BkAeQut2q,Lily Allen,13saZpZnCDWOI9D4IJhp1f,Trigger Bang (feat. Giggs),7n60CxUUyChtRksoF0PekI,46,https://p.scdn.co/mp3-preview/7d46925c1f53a47e2dcf905fad2089bce1f8ee3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,I Can - Toddla T Remix,3lwfJgi2RgLi7mthwltt18,Chronixx,2oZcMYiKpjaA2Et5mU3RPP,I Can (Toddla T Remix),3GSjaF3IWXUkwxV31kiXLk,27,https://p.scdn.co/mp3-preview/7bcef268297a94ecd86ad6bd983944bfd944b44b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Find Space (feat. Shakka),6zLNCjN2c1YIgdNdXS8RmY,Original Dodger,17Zj5hkKPZFY0jyh7bVaJV,Find Space (feat. Shakka),0qH51qErKV3ALAiIVmA2re,24,https://p.scdn.co/mp3-preview/7f0e8257fa239a7dce4588c2a14e9fe1fffc787b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Gene Kelly (feat. Yungen) - Remix,6uiqri4J7at6PyA9TBL6xo,HEX,2XfxJqzWxfNSBNIdmVeNLI,Gene Kelly (feat. Yungen) [Remix],4ZF7Mrhg84miWpxpbrlyl7,27,https://p.scdn.co/mp3-preview/25e8e84f425dd2905d7e65c437c39a181419321c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Hush,70l9PRXDJPPRGVjEhG6OOE,Liv Dawson,7i8fq2gFSVgPdWVXOlDEx7,Hush,5fQVekdSw43Y2gfef267Tv,0,not available
42,Cakin',6ZMMWaqasb926blYRmVzRV,Yogi,0QiCCpzEYPFaWqkWtDQTmH,Cakin',2ViodKQH04wYnHvJAG7cg4,28,https://p.scdn.co/mp3-preview/aa8be35ef34f8e835c0f7a79e5b4831f0730f246?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Forever,5LcOcrpJDFSrHDYwZnOvXi,Sigma,01pKrlgPJhm5dB4lneYAqS,Forever,3V7MsV3oWUNodUCRTCvaMa,0,not available
44,Pon My Mind,5usSDb7kTvUaxuBghlItKZ,Maleek Berry,520qA5VGL9iI0SbmEnTVNg,Pon My Mind,6XABNkfLqkPb59inlc20it,0,not available
45,Separate,1zfetR52LLjLvntGWdXVvU,KAMILLE,0XSz7OqyhKBKRq4ZU8WpAo,1. my head's a mess - EP,6gdSlayq0XsbjCLRL2HDic,0,not available
46,No Drama,5qwn8rYXOyvZ5dx7zJzJcX,Not3s,40NRiKuuhj1pgGYppptlBO,Take Not3s,0mhLuqOLyfZeFaO8JIZnPN,43,https://p.scdn.co/mp3-preview/d49aee6d47f0cec531e003170efafc621f5d5f75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Good Good,6R0ZSGyI3dipwqPbsDjPAg,Bossman Birdie,13sqxAHntdRq2aWVbuYmSg,Good Good,2LrHFjLRyNhSZtFl0qwiao,0,not available
