Kermode & Mayo's Wittertainment Playlist (BBC Radio 5 Live),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Rock 'n Roll is Here to Stay,4UGMbl1R3f5nQvPggbz4mS,Sha Na Na,2SmjZ060s1uBMud6afmImP,40th Anniversary Collector's Edition,4MWshDEC6XLYoiJhyLlyQM,13,https://p.scdn.co/mp3-preview/c52258549f7547138ee8d05acab79a450a35c633?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Hey Rock and Roll,3zpOFtXRKNlf9exeRx2kuP,Showaddywaddy,3zIIUxcnIoUMouVQdphkeC,The Complete Singles Collection 1974 - 1987,1fqBWH3Y843aJSapYSJAQY,16,https://p.scdn.co/mp3-preview/16564a30699ad24d37b3c56d5b0f4aa1c6e07ec9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Ode To Billy Joe,5C2dvUepy9OwcTAdvPZ8DE,Bobbie Gentry,4E9w0bms6HcEppFlWjeW2d,La Légende Country,4IsQNwpdhRDL9XjKi4MX62,0,not available
13,Television The Drug Of The Nation,1VVcdEcwrQyyleRIsa5qY8,The Disposable Heroes Of Hiphoprisy,6RqyNFZlXUHKZHEoAws5Jd,Hypocrisy Is The Greatest Luxury,32RPBIthlaFGpOjf5t9FS7,36,not available
14,Jet - Remastered 2010,13VWHWIIVckG3bHq6oduFJ,Paul McCartney,4STHEaNw4mPZ2tzheohgXB,Band On The Run (Standard),5WDwQd1NNzitecaWN7BoUB,10,not available
15,"Old Siam, Sir",4BvnZ0jWbuM3LXMBPTAeBY,Wings,3sFhA6G1N0gG1pszb6kk1m,Back To The Egg,4iXS68l7QPNL1qtkK0d4P6,0,not available
16,"Everybody Have Fun Tonight - 7"" Version",4GLRMNsG2nVJgL07mMVCme,Wang Chung,6Zh3xrWlA0SA9Fsfj9AVwm,"Legs, Leggings & Lycra",0AtxQ85toYtZB4UxXwKuj2,13,not available
17,The Sound of Silence,1Cj2vqUwlJVG27gJrun92y,Disturbed,3TOqt5oJwL9BE2NG9MEwDa,Immortalized,3qFQ4XNQ15alZrAaj5oGJK,75,https://p.scdn.co/mp3-preview/27a108ea31c7a2e5b3622696d2cfe3885c59f913?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Cool For Cats,4wZSxAXLNRFfQ0yyaCvHei,Squeeze,6Jrj26oAY96EEC2lqC6fua,Cool For Cats,1WWmLNVao1zR1wf9YZDb08,4,not available
19,The Tears Of A Clown,5cHoKMNwYETeEnVf1KoyoH,Smokey Robinson & The Miracles,6TKOZZDd5uV5KnyC5G4MUt,The 35th Anniversary Collection,2qCc29FRlPx7b4rXl30YOv,2,not available
20,I Can’t Let Maggie Go,3SKofHyrVw6xDGida7NT8C,Honeybus,5jSbiP9GtHrT2doGLJqbKu,Original Hits: 1968,7iMO2KcuwzNTj1bEHZEJm7,0,not available
21,Little Fluffy Clouds,3dpCA7DiU1giuhNjlMfQDj,The Orb,5HAtRoEPUvGSA7ziTGB1cF,I Am Sleepy,4BU7uEygD2NqBDuc2GmvQi,27,not available
22,School,4j6rSruR2yQO6dOkf0OXbU,Supertramp,3JsMj0DEzyWc0VDlHuy9Bx,Crime Of The Century (Remastered),1EbD5Et2mLqG2Sw098iaFG,10,not available
23,Chuck E's in Love,3Z7mFVDy2izZNCvUWGy13Z,Rickie Lee Jones,0dYkMe3wK29DulSa0uR8Rq,Rickie Lee Jones,6IzMnrSzyRykaltIvnlNuk,43,https://p.scdn.co/mp3-preview/a9fccabb0f5c7bf77ccee864a6261252d96375a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,"The Future's So Bright, I Gotta Wear Shades",1Up8VJyZlar7WtrbJp9wHL,Timbuk 3,1NdZSjGpm3jktmGbvkLadW,Field Guide: Some Of The Best Of Timbuk 3,63KmNM0cuU7BQVRNGLL2Sr,32,not available
25,That Joke Isn't Funny Anymore - 2008 Remaster,7pjJv032RyElLGu8l81k2Y,The Smiths,3yY2gUcIsjMr8hjo51PoJ8,The Sound of the Smiths (Deluxe; 2008 Remaster),59gl3QDzCgH4GXzXLEwe55,35,https://p.scdn.co/mp3-preview/975123fbfbe171b00742c1ac55084517bcf94de2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,A Thing Called Love,4ZlpX0nGu9oNrBFdtE9FqI,Johnny Cash,6kACVPfCOnqzgfEF5ryl0x,The Legend,5Tw0sanofDSd7h44GySmoa,26,https://p.scdn.co/mp3-preview/31c73d0ce986755df76d693304cea2378dc90f0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Get Dancin',5Vvnu4DTG3hRpuJO1WHlwN,Disco Tex & The Sex-O-Lettes,1ZxFDRFB5f4B64eMjOL7Wl,Soul City,6qmsi8GX4HswakyPpQfk3T,0,not available
28,The Bed's Too Big Without You - Remastered 2003,02bovumqq8bRDB1ZUJm74j,The Police,5NGO30tJxFlKixkPSgXcFE,Reggatta De Blanc (Remastered),4dB2uBf7IEazBMreDVZmB2,2,not available
29,Gangsters,60bZSbsw5fFuwMZDIXLm9J,The Specials,6xnvNmSzmeOE1bLKnYXKW3,The Best Of The Specials,6rrLvfVJh2GoIY36EphGSo,2,not available
30,Speed of Life - 1999 Remaster,0elOGHuXSgkvpNimG93jlp,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Low,0Oqi3Mm316FRX5H9mHjF0b,0,not available
31,Hotel California - 2013 Remaster,40riOy7x9W7GXjyGp4pjAv,Eagles,0ECwFtbIWEVNwjlrfc6xoL,Hotel California (2013 Remaster),2widuo17g5CEC66IbzveRu,83,https://p.scdn.co/mp3-preview/50e82c99c20ffa4223e82250605bbd8500cb3928?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Lucky Stars,7tWa6QGmVjUkjzRES5jU3Z,Dean Friedman,4IT7iUyEDGX4pJDo6CfFRB,"""Well, Well,"" Said The Rocking Chair",0PILMflCD5XJBvZhj9K0zp,35,https://p.scdn.co/mp3-preview/177eb6ef355934879690481d8de4d44fdcf696bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Michael Caine,5ng2E5QeLjFQ757BvIOpPx,Madness,4AYkFtEBnNnGuoo8HaHErd,Keep Moving,0rls075dwLFDArsXRanPsf,0,not available
34,All the Way from Memphis,5lP2EYWk8LFUkM0grPWUFT,Mott The Hoople,6ysQi6NI88X627t2srsWz6,Mott (Expanded Edition),3ApRy4edE6ZYi081aFpq4s,46,https://p.scdn.co/mp3-preview/0861a336eb2b9266e8d972d40170d7b6e892cb1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,All The Way From America,6AiU79mlqlMHDrDg2ZXWXe,Joan Armatrading,1bdAJUX6JPsnYHbTl5jbk6,Me Myself I,0a01GmU3AcIbBP4yX9b2kJ,30,not available
36,Love Missile F1-11,6nURTcHJwFrtBwNeflZQUZ,Sigue Sigue Sputnik,6GKVXdXGEOPzpilArcqBun,Flaunt It,5UzShGWJIpOfH98tnk2qQl,44,https://p.scdn.co/mp3-preview/700d66aafa5022b79948c27fc0ec15f6acd94d0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Let the Day Begin,59YYheZHNWi44imVPTp8hX,Michael Been AKA The Call,4FOHo86KeTlh7TunKSn29m,The Best Of The Call,22HEaGicc9xGx4ojzYiiWk,23,https://p.scdn.co/mp3-preview/1a0387380ab945e9ba73e58e71a696e8c2f5e682?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,'A' Bomb In Wardour Street,5MnB2wiZ9xTu4eptzP3CRg,The Jam,2P560DaOMNDUACoH8ZhOCR,All Mod Cons (Remastered Version),5b533EfxPpiYtk0MmilEJO,0,not available
39,Always Crashing in the Same Car - 1999 Remaster,521DgRQKh2sDXmHilFIkVc,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Low,0Oqi3Mm316FRX5H9mHjF0b,1,not available
40,Day Trip to Bangor (Original Album Version),0DMvsvqpTjLl5kyi1ShkHG,Fiddler's Dram,06BtvGNmAV9RjsbXPTTcXb,Didn't We Have a Lovely Time. The Fiddler's Dram Anthology,63Rj846eAeZMmbAvORbJ5l,12,https://p.scdn.co/mp3-preview/d1d91f6854427f4c7408e5bf40ea21d71ed0493f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Snoopy vs. the Red Baron Live,29Ezzswu6YUtyTXl1GHOjJ,The Royal Guardsmen,2ltpcCK86foogli20z9raq,Snoopy vs. the Red Baron Live,0ngISTK9nvDpXiHOdPJwQr,22,https://p.scdn.co/mp3-preview/cfb565806e9c06012249cda6c4e5d7fe8d5bfe8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Snoopy Vs the Red Baron,55xj9dgSJ3SyGxNzoZDxFg,The Hot Shots,6aXiMZrt4avAeA5fO4HDiP,"This Is Trojan: The Original Sound of Ska, Rocksteady and Reggae",6ePkxOla3bvL8UR6r0NgAu,0,not available
43,Breathe Life,6zQFzZnkHTE01QwGp11i9y,Jack Garratt,1Zp054Jc86WVKCxKEqZGOA,Phase,2cz1pfV5Irt3yVCj3sfIKD,4,not available
44,Boom Oo Yata-Ta-Ta,66pv6fW37GeDthDgqqu7iu,Morecambe & Wise,2tBhWqKkavzMihQWh3ktA7,EMI Comedy Classics,6myVBlQ2vOvdt6SUAA9tVT,15,https://p.scdn.co/mp3-preview/a1e79f0afa0ddb1b901ffd34b5c4422148aa4b5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,The Deadwood Stage (Whip-Crack-Away!),6YiLW1v3S4AyxHZVIjbTRO,Doris Day,3ESG6pj6a0LvUKklENalT6,The Magic Of Doris Day,2cROxGC6p2fWIcBvrSfRxH,14,https://p.scdn.co/mp3-preview/0d7dbc7744b64d31fef93da39b44b0db0516db79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Being Boiled,6fbeOOv9u5JQwZx4pyW4mY,The Human League,1aX2dmV8XoHYCOQRxjPESG,Travelogue,3nRP83YnVmP4TTyEzieq2H,33,not available
47,Never Gonna Give You Up,6JEK0CvvjDjjMUBFoXShNZ,Rick Astley,0gxyHStUsqpMadRV0Di1Qt,The Best Of,2mCuMNdJkoyiXFhsQCLLqw,52,not available
48,Sketch for A Summer,74CXQDbpYhp5mu8La3VreE,The Durutti Column,7fh7bwX9qV60tLxxsp9bTe,The Return Of The Durutti Column,6alOwXJTwVyZE8ktbWA6De,1,not available
49,Maple Leaf Rag,5cO1oGqX8S2w96CwISPlLE,Scott Joplin,5FgkTUuCNKDlilidPvZqOq,Scott Joplin Piano Rags,3EKlROHx6QjV1V8ABeckbb,34,https://p.scdn.co/mp3-preview/688003c434a6b9e7d55477577db5638ecd081b8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Move It On Over - Single Version,3lGqElQWmGnC7y8PBthIec,Hank Williams,1FClsNYBUoNFtGgzeG74dW,40 Greatest Hits,6xSIkWmRSu7INDL0jf4WsN,0,not available
51,"Theme From ""Prisoner Of Second Avenue""",0EK87FwLGtHqjN9wUMbCWm,James Last,5UyJW2eCOuXtyYftgbMxZG,Lounge Legends: James Last,5Nv0M0OjcdwNSDP8O7Jeaq,0,not available
52,Sussudio,07zkNvtcmPOFlMOXbma13k,Phil Collins,4lxfqrEsLX6N1N4OCSkILp,No Jacket Required,3qtMUaEjvbHbPCmnGcrVCi,10,not available
53,Dancing With Myself - 2001 Digital Remaster,54HWkXBa3O7jH4vletYhc6,Billy Idol,7lzordPuZEXxwt9aoVZYmG,Billy Idol,7356ztInCyuUn4iQVdJxGy,1,not available
54,Smells Like Teen Spirit,1f3yAtsJtY87CTmM8RLnxf,Nirvana,6olE6TJLqED3rqDCT0FyPh,Nevermind (Deluxe Edition),2uEf3r9i2bnxwJQsxQ0xQ7,82,not available
55,Blitzkrieg Bop - 2001 Remastered Version,33iQW2OneB0oNh2NfrAzqW,Ramones,1co4F2pPNH8JjTutZkmgSm,Ramones (Expanded),4X44NrhroDDaWXheAhcvYY,11,not available
56,Upside Down - Single Version,0mfuLe4ieDy2ijx6dd9X4d,Diana Ross,3MdG05syQeRYPPcClLaUGl,The Greatest,72TbL8ZXa1CbJLLwHpOPxw,0,not available
57,Sultans Of Swing,3LTMnFa0hhwisyq6ILahyj,Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits (Remastered),3QEcBcqPmefFWd5ZrLNuDX,26,not available
58,"Piano Concerto in A Minor, Op.16: I. Allegro molto moderato",2Z4aQJh0kesRMookvtfR4y,Edvard Grieg,5ihY290YPGc3aY2xTyx7Gy,Grieg: Piano Concerto & Lyric Pieces,5HokgmfmgFExUbbVgkvz3n,53,https://p.scdn.co/mp3-preview/eff0bdf3e282a3e59114c24dd5453e7d549f07c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Indiana Wants Me,3spSny34V9y5OenCAqoJab,R. Dean Taylor,4Yg38CnYMoN09sMLf6KDdW,Indiana Wants Me,4EKLaeZvUHNKsnUCa8tWYQ,0,not available
60,"Hello Muddah, Hello Faddah (A Letter from Camp) - Remastered Version",2Vo28PCuSInCfdZ2WMHVPL,Allan Sherman,1enLi8njBlk1YlDg44MtJm,Rhino Hi-Five: Allan Sherman,2W7wZFYh2EUNpCIMieT9fx,33,https://p.scdn.co/mp3-preview/ed2629dc067375023c3061ca960250f66b6ca4a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,La Gioconda / Act 3: Dance Of The Hours,7lOoMd5uBad2G6Qi1DuJWA,Amilcare Ponchielli,088fpww3Ae4U9cMZv5O6m8,100 Classical Favourites,4EjKpnhFJf4s5Vvow7C1iz,36,not available
62,You're Moving Out Today,5oD8P21OVKcd1TyXq7izfj,Carole Bayer Sager,6yjU0SoX3vxPV7KoopXlWe,Pop Muzik,6UjlaUBSBRsstfiAtmowob,0,not available
63,Big Gay Heart,4oMsNztMMPsilrZOcXWf7G,The Lemonheads,6w7fc6IZlo5zwBaKT5jU1X,Come On Feel The Lemonheads,3VRRQ7ZomlkmGQfTmf6qDH,0,not available
64,Calling Occupants Of Interplanetary Craft (The Recognized Anthem Of World Contact Day),71gUk7uuUvz8CsvdLRkiO8,Carpenters,1eEfMU2AhEo7XnKgL7c304,Passage,7okRGyvGj3T234w0AAMUvB,0,not available
65,Panorama,7pyKPSvZwiPGUj4Kt5Q3YN,Daniel Lanois,5S0AJvE9NB1kGrXRfYh690,Belladonna,05tAz0b9gHjjlpaIOxNvfy,21,https://p.scdn.co/mp3-preview/489ce22183b670cce5615d55f24e0894cf3a3da0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Out Of Control - Single Version,4T8BwyoH135ptOcdUATNF7,George Jones,2OpqcUtj10HHvGG6h9VYC5,The Best Of George Jones,7i9SBViXieoiyjxoYcOXWJ,5,not available
67,Tarzan Boy,273uCXd7NPrInaiNqtkOrA,Baltimora,6czfQ8MjHVmvJKA4LAnviG,Living In The Background,2AclHzFubT46QrjWFSfkk9,65,not available
68,No More Lonely Nights,2ZQvEUOmzHM86vq3EsTPUp,Paul McCartney,4STHEaNw4mPZ2tzheohgXB,Wingspan (UK Version),4FqFaw9BTntS6dZkk0PNe4,0,not available
69,Rosanna,37BTh5g05cxBIRYMbw8g2T,TOTO,0PFtn5NtBbbUNbU9EAmIWF,Toto IV,62U7xIHcID94o20Of5ea4D,71,https://p.scdn.co/mp3-preview/3403638ffd1eb774d3e65483d88eab699c97c5e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Sugar Baby Love,1WZ7nC1GSk8rCF3X4cRiOv,The Rubettes,44ef9VXkdKxbx4XpoNqH39,The Very Best Of,122LCDrUADWvBil3bOkGgn,55,not available
71,"Sugar, Sugar",4GAI8BxeMgrvhZNEU59UfR,The Archies,33QmoCkSqADuQEtMCysYLh,"Sugar, Sugar",1tjurhbCd70ZjsXhN8fGUC,61,https://p.scdn.co/mp3-preview/fd715f884bfba5bdea13b9fcd4b425965de9883d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Wouldn't It Be Nice - Stereo Mix,2Gy7qnDwt8Z3MNxqat4CsK,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Pet Sounds (Original Mono & Stereo Mix Versions),6GphKx2QAPRoVGWE9D7ou8,74,not available
73,My Coo Ca Choo,0TvB9fkf3Ne2x0UaDIzyj6,Alvin Stardust,2yoCXbhsq5CqLCnzDR7a7l,The Platinum Collection,1xWsgPI9T3U7IPMJfAb7OI,26,https://p.scdn.co/mp3-preview/ed4ecc6244a48d5454d5ef2de8e877aa98b5bf85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Under One Roof,1fBEjYXxTZjGiBmR6vspVq,The Rubettes,44ef9VXkdKxbx4XpoNqH39,The Very Best Of,122LCDrUADWvBil3bOkGgn,16,not available
75,Away From The Numbers,3IyB5PgAUbW4LEKOP1fcS5,The Jam,2P560DaOMNDUACoH8ZhOCR,In The City (Remastered Version),5DD8e6UAxYd8f1f7j94hWp,0,not available
76,The Butterfly Collector,1eXH00om1mi230GdrY56yD,The Jam,2P560DaOMNDUACoH8ZhOCR,Direction Reaction Creation,3kv8k652F6XxKeG99Y8L7H,0,not available
77,Batman Theme,3Wgt7HE2HNFrZ3p5oLVmJh,The Jam,2P560DaOMNDUACoH8ZhOCR,In The City (Remastered Version),5DD8e6UAxYd8f1f7j94hWp,0,not available
78,Batman,2R375kK43Ut6jEMjuueT3u,The Who,67ea9eGLXYMsO2eYQRui3w,A Quick One (Remastered),0tLm9oyw4uz02ZHJDBRdmM,0,not available
79,Walk Tall,1ym0cgck4ySM1VxOmFAs62,Val Doonican,4CkylgE063jGrbE07BZ8D4,Walk Tall: The Very Best Of Val Doonican,1RgF65FYgkPVASpNvIabZm,17,https://p.scdn.co/mp3-preview/b83b760a85ad288345ef94b09d0feeb77a9d074d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Ring of Bright Water,4Eb7DDjC9a8sZJP4M97OuT,Val Doonican,4CkylgE063jGrbE07BZ8D4,Ring of Bright Water,6sW9HVtDSDzP6dlLJyHjvm,0,not available
81,Break on Through (To the Other Side),6ToM0uwxtPKo9CMpbPGYvM,The Doors,22WZ7M8sxp5THdruNY3gXt,The Doors,1jWmEhn3ggaL6isoyLfwBn,73,https://p.scdn.co/mp3-preview/d8f685ff9b50f2f6f7672fc86642df000b195481?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,(Do) The Hucklebuck,6AdCfDBDnPhvYZ5a3Kc1cj,Coast To Coast,6J8qwug3okmGmFNBgYUcZb,Totally 80's For Kids (International Version),7Codm3ZX61XJ2RinPbsdEn,26,not available
83,Ham 'N' Eggs,7vXdsLj7qx3Qw1A5dnznKS,Lonnie Donegan,6dIOTeSQDBSR6gwsL0WB2n,The Original Hits Of Lonnie Donegan,1goe2kQjxMetGhrY33fJGj,0,not available
84,Rock Island Line,6qTtiKM7qOewrBLw7Zkeb2,Lead Belly,3Ovf2lytXSXWFM2cwsJACC,Leadbelly Vol. 1 1939-1940,5PNFQb49tKuOAb1q1FR5TX,9,https://p.scdn.co/mp3-preview/73bd540a1085d3f5c3a3b25273fd65279b9f2dc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,You've Got to Pick a Pocket or Two (From Oliver!),3V6fMTDIornUNrf3PZoEA6,Ron Moody,5RmzhMLOxnGPvfTrHE4y6N,Food Glorious Food - The Songs of Lionel Bart in a Nutshell,1rTOhE5M8D13RqEwyyAimW,0,not available
86,Take the Skinheads Bowling,6JqO5tszjs5RrbY4GEGdEl,Camper Van Beethoven,1JXB7XQ9hjLB5pnr1eowKR,Popular Songs of Great Enduring Strength and Beauty,52gph6AOiWhLBih7VwEa7X,0,not available
87,Roadrunner,6KKMaySM5L8r1drPrebwN9,Jonathan Richman & The Modern Lovers,0NjdXlUziaK1qv3kgZV4Jy,Roadrunner: The Beserkley Collection,5iKbwJTf8URd3TSR3xlsuH,0,not available
88,My Way - Radio Edit,57AMZqvUpCpE1vMO4ArBNz,Christopher Lee,7ziAy2bJOgjFO50ThstObl,Metal Knight,2CXgml1dXF1Mzm3qzxFF51,0,not available
89,Like a Prayer,2v7ywbUzCgcVohHaKUcacV,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Like a Prayer,48AGkmM7iO4jrELRnNZGPV,63,https://p.scdn.co/mp3-preview/274e7167b6222fc3f8e167bf036c7286bf265f2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Papa Don't Preach,6A8OnjnpShshNpcqWtZRjr,Madonna,6tbjWDEIzxoDsBA1FuhfPW,True Blue (Reissue),6fmnT17jc2Sc69q3nza1eD,63,https://p.scdn.co/mp3-preview/6cfffa34f16e52d3da14f6dc6d9b0b25fba14a83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Too Much Too Young - Live,6dAPDUcin8fkAmemnzVxbz,The Specials,6xnvNmSzmeOE1bLKnYXKW3,The Best Of The Specials,6rrLvfVJh2GoIY36EphGSo,0,not available
92,It's Not Unusual,1GqAnfNhm0sCGvgo447IiC,Tom Jones,1T0wRBO0CK0vK8ouUMqEl5,It's Not Unusual,0j5KURgO7zBE66gKpGV9md,5,not available
93,Kung Fu Fighting,2mXbqtqKuOX9pyyUga7UZ1,Carl Douglas,5Pqx4mXYDGIDcg8E5FYjZ8,The Soul of the Kung Fu Fighter,6UzPMXO3uKDzBxwPQpOoiy,6,not available
94,The Streak,0NeDIuQttwXob1UMD8rEcR,Ray Stevens,7MpUvihmfilIxyN20kXwQj,The Very Best of……,6yjDTl9eUDIUzWeq2MVLRG,8,https://p.scdn.co/mp3-preview/b4512bfc3dbaf6d7a44a33736b61dcfe636c2e8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Misty,3uO8oSAAFaueJyzkK39zqs,Ray Stevens,7MpUvihmfilIxyN20kXwQj,The Very Best of……,6yjDTl9eUDIUzWeq2MVLRG,37,https://p.scdn.co/mp3-preview/1984a5c79b05dda4c26a326d51bf617d880822ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,From Russia With Love,5tdIhK9ep6QRXaTBPcqRLj,Matt Monro,06kr5yNAM2rOf4DXemM8fl,From Russia With Love - Soundtrack,0a7yNa4FvIsrzDDSDPgxgi,0,not available
97,Frankenstein,4aK0vJsPXFsFdBUh8hPaDT,The Edgar Winter Group,7j9PMegEgVN1fNp8NZXNCI,The Best Of Edgar Winter,6knWE50fnmU6X50X7QGfQY,47,https://p.scdn.co/mp3-preview/79e833846631dd402bf28ad3693fe40bdb3786da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Heartbreak Hotel,7v1GxlbFevo4kLJGZf8aAZ,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,The Essential Elvis Presley,3X3rFfVKCW58sKMO0UXkwO,39,https://p.scdn.co/mp3-preview/33a3a4d629947677cceb4b4a65b29b3cdbae4037?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Heartache Avenue,4sUsKsKD56QEixq7wyeMHN,The Maisonettes,4oPf8z5ISQIxTGI6gAgfvH,Heartache Avenue: The Very Best Of The Maisonettes,7vv4BG0YlgBcmzeyoWWnPV,43,https://p.scdn.co/mp3-preview/3ebd9d71c98586345c618a0639a48fc0c5d71f35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,I'd Like To Teach The World To Sing (In Perfect Harmony),6zcKSlHN6ouQwO4A1lJYv1,The New Seekers,4jrTNltJtTMUfXybDdsHDn,The New Seekers - Their Very Best,6JN0tbwmXoUWYZW0RYadav,0,not available
