BBC Music Jazz: 50 Greatest Jazz Albums (BBC Music Exclusives),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,Ole - Mono Version,36WCWt27PXmxD6Ctkg2XnR,John Coltrane,2hGh5VOeeqimQFxqXvfCUf,The Atlantic Years In Mono,2ghKiaxxBZzgYZCECfSvXe,12,https://p.scdn.co/mp3-preview/29fd2e38791bf9f23da41ff32fc9a688105e255a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,One and One,7jlmo5JvOnnTcUIEn4HoRw,Miles Davis,0kbYTNQb4Pb1rPbbaF0pT4,On The Corner,4K7w2LiKZz0CyHXl6OtkOu,26,https://p.scdn.co/mp3-preview/2e6018391fe1e4d8e1adaf6a4240e1740ab492f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Willow Weep For Me,0nWGNAQG3bdcBTxRjEHsW8,Dexter Gordon,3NUsiT2JSyaWAnWaXxDzhQ,Ballads,5lzhBDGZKhGKFFVlMOKR0K,35,not available
25,Gazzelloni - Rudy Van Gelder 24-Bit Digital Remaster/1998,75N2HRLQXJXwupON6cTbb8,Eric Dolphy,6rxxu32JCGDpKKMPHxnSJp,Out To Lunch (The Rudy Van Gelder Edition),3PIVqZzL1PnrxFZDzuT1aX,25,not available
26,In the Wee Small Hours of the Morning,4wpBmwRslROTDCqHVFR1cU,Jamie Cullum,3XxxEq6BREC57nCWXbQZ7o,Devil May Care,5KDrrdXFHFmwvCqBA0CJyU,25,https://p.scdn.co/mp3-preview/c21e40648ccb48594756dcddf99512594cacfe74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,St. Thomas,5Kwd8HB9VQ12yFSu0dM4Yi,Sonny Rollins,1VEzN9lxvG6KPR3QQGsebR,The Essential Sonny Rollins: The RCA Years,3R5sCFT6kTHnjbNuPCC7ud,41,https://p.scdn.co/mp3-preview/359b55a981fa777b1bd01988211d8dc25aab0581?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Concierto de Aranjuez: Adagio,52Yff0auh1j8694vkL8QSt,Miles Davis,0kbYTNQb4Pb1rPbbaF0pT4,Sketches of Spain,2xyhltm9XWSQ5xok4C81BD,36,https://p.scdn.co/mp3-preview/4acf8bad535e4d1ab6cd6f639d5eca965a3df8bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Darn That Dream,4TfOThMFT9EWyR99n1AATO,Thelonious Monk,4PDpGtF16XpqvXxsrFwQnN,Solo Monk,4Bxg4OFb2wA6IjoeuWilRF,27,https://p.scdn.co/mp3-preview/420c4d2d3779549c9bd40c591047bb974734fcdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Speak No Evil - Remastered 1998 / Rudy Van Gelder Edition,0qxiaagtTvTeNvzxHHc441,Wayne Shorter,0ZqhrTXYPA9DZR527ZnFdO,Speak No Evil,27Rl7A8jXEQOkIfUKOa6ZU,47,not available
31,Gloria's Step [take 2],3SdGtfVKE1wkV8Bl2Undlj,Bill Evans Trio,3VEG6gxFIMfl4Cdog26avS,Sunday At The Village Vanguard [Keepnews Collection],6FSgsN5ROADI1YQOieljKD,0,not available
32,The Rhythm Changes,3t4DPlzLD3gRia6LjQhwSR,Kamasi Washington,6HQYnRM4OzToCYPpVBInuU,The Epic,2j2q2ySuVk43eHB8wI5XQj,34,https://p.scdn.co/mp3-preview/d655815177362381e567d60e6e360447933db5a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,The Sidewinder - Remastered 1999/Rudy Van Gelder Edition,1dZHIbmuBDAwXfQOM4dyM3,Lee Morgan,38C3okxv3fyyOIQUVPCdGX,The Sidewinder (The Rudy Van Gelder Edition),1n1trPeeY9Q5H4eLbbHHRg,48,not available
34,I'm Just A Lucky So And So,1XlkGVjAYXHDEln4cwDMKf,Yusef Lateef,33XkS6h90eeK7e6OJHw0mq,The Three Faces Of Yusef Lateef (Remastered),0RhXUxui7vBNXIhO6VFRbz,0,not available
35,Take Five,5p6me2mwQrGfH30eExHn6v,Dave Brubeck,3kUKwTJdH8FuWzF8p6Dg9E,On Time,5LiPzuR79DTTmyROUm2luC,56,https://p.scdn.co/mp3-preview/7582281fdf2ef5ba3daa6640336666b9d5f1ccbb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Ugly Beauty,1PxoY4D53B1rKW4zX3HyOV,Thelonious Monk,4PDpGtF16XpqvXxsrFwQnN,Underground (Special Edition),2qLdSdHPeLCWPtaDnD5qKT,18,https://p.scdn.co/mp3-preview/ac3b01967fbcc3945ed1315f76965491e23f3ff9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Blossom Tree,4XHob1lxCI5bQmQ9rjYTJs,Zara McFarlane,2KwROtmoJfRcQHqDMiV6uo,Until Tomorrow,40kt6PxnkROnmA5IKUt8wd,12,https://p.scdn.co/mp3-preview/e2dc9fdd00516be2d102cf943908143d13648e55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,My Foolish Heart,6J973mNweqCDzoGfl2v8SA,Bill Evans Trio,3VEG6gxFIMfl4Cdog26avS,Waltz For Debby [Original Jazz Classics Remasters] (OJC Remaster),3jrQgQYZ3WDW3mn55SFuUv,16,not available
39,"Angola, LA & The 13th Amendment",2Pdpco8s7olAuiS6CxSYcX,Christian Scott aTunde Adjuah,2q37Nw8NND2z1T1KU5XVfn,Yesterday You Said Tomorrow,7L1redTxd0xR0VFM9VVJFs,0,not available
