Matador Picks: Perfume Genius,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Can't Help Falling In Love,1xu7UZFg8infyIxZRyAW6H,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,Can't Help Falling In Love,1VgqVwpByOTyAFeKDoxvUq,39,https://p.scdn.co/mp3-preview/1065eccb40118907736417ef2e67c75189c89ff5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Jonathan (feat. Perfume Genius),42XSlEZd8Oj9SduzXruA2V,Christine and the Queens,04vj3iPUiVh5melWr0w3xT,Christine and the Queens,5qYhFUAumctJEgm6nFJJfO,30,https://p.scdn.co/mp3-preview/6b7d1da8b3b395d0e156cdca73751dce1fbf7442?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Wreath,1zlWvyrJcfyHi2m97PYbgW,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,No Shape,7awgq3vvlsIeA7dZduR9x4,40,https://p.scdn.co/mp3-preview/785fb0670d97ff07bcc089efb2ba09ab05d39301?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,I'm A Mother,6G8ogV2dE7vaUnLUGp8L0e,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,Too Bright,5qtHbJAK0C1IkacqJBqsa2,0,not available
14,Go Ahead,7B10g9qmM65Nnc4GFZBsae,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,No Shape,7awgq3vvlsIeA7dZduR9x4,36,https://p.scdn.co/mp3-preview/30d50c6ced1985a8e13f24a9f7888981619bed6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Floating Spit,4C7F5zCFfppYauKHjKpC34,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,Put Your Back N 2 It,5hjlzVCJCePW4DmMJVryla,28,https://p.scdn.co/mp3-preview/f93f489709007bdb8b91efd60f7e293ca9595974?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,You Won't B Here,6sOsEZUWM5Ksflf79e2u9O,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,Learning,4PWFQia8JgPaWomVti8Rmh,24,https://p.scdn.co/mp3-preview/d07347835e97b8c14c3583ec83ce2d31dbc74b79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Alan,3TQCzciq8PfujkmzYQrx8B,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,No Shape,7awgq3vvlsIeA7dZduR9x4,52,https://p.scdn.co/mp3-preview/68f0dd17f4e8e26a08d9c971c34278e80136449d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Dreeem,5C6hoDvr3jS2PKb7SgSoLR,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,Learning,4PWFQia8JgPaWomVti8Rmh,21,https://p.scdn.co/mp3-preview/047bc370ac3f8666a88d1becba1f96d10dee2a70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Valley,0EScPNUSasv4VbXyLZKgSG,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,No Shape,7awgq3vvlsIeA7dZduR9x4,49,https://p.scdn.co/mp3-preview/5bd4c8dc6fcb485c3f97dfe53e5ba7bc5af41018?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Take Me Home,4qkqqKgFjEF88fzlt8erpg,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,Put Your Back N 2 It,5hjlzVCJCePW4DmMJVryla,33,https://p.scdn.co/mp3-preview/ee2065a3ed1457780137c8e5646196b6d68ac901?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Mr. Peterson,0hRhtFNJBo6fmR8Qyifcak,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,Learning,4PWFQia8JgPaWomVti8Rmh,31,https://p.scdn.co/mp3-preview/a17268a57691f6d3ef420af077a5b361f3f083e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Normal Song,7eqvBMxS4zAunq8DlI4Jij,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,Put Your Back N 2 It,5hjlzVCJCePW4DmMJVryla,44,https://p.scdn.co/mp3-preview/4f2f6e73b325c0b4208087df9c03600597688ee4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Your Drum (Formerly Lake Vue Gardens),2EZvLk7PI0Fh0SZEVdyepS,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,Learning,4PWFQia8JgPaWomVti8Rmh,19,https://p.scdn.co/mp3-preview/9a0a8ee925bb8fc873efb0202aeb4b75bc66b132?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Braid (mmph Remix),51Dw8QaHl3vp1rDesAHVMs,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,Reshaped,38ckwzi09abDlt8RP2McK8,43,https://p.scdn.co/mp3-preview/9ce71162fc23a300475cfa77e094e32c2a39cdee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
