The Scene,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Better Way,0LjklANrsd2v6HheBkMyOb,bloom.,2pe5XkD5nb5nTQeVsPn4uD,Withered,0FjBK3l1bTQUfTBb0N1d8Q,21,https://p.scdn.co/mp3-preview/0aa9a9a9bdf18866d833cf10d55d5c2576a0c7ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Moving Boxes,7lSqt09mk5hlzVWLzYIuWI,With Confidence,2PWXHVDEtObSmUrNhfPRav,Love and Loathing,07aGx2IErugtk4d7clL03j,57,https://p.scdn.co/mp3-preview/fbc4398a2a283516abdf7bfdad5cf753945280c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,The Awful Truth,1FAlry81kFuC6ihhhpVAtM,Catholic Guilt,5PCZtucj9Akr6zuVUqXYQZ,The Awful Truth,0q8RzansKF3z4GvL13MxmW,20,https://p.scdn.co/mp3-preview/459cd3cc30a7a0c721b5c4d927da4821bc227434?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Baby Blue,3W8kkKICWGoH413PLYUcGh,Grayscale,6Xq9CIMYWK4RCrMVtfEOM0,Nella Vita,5j86yI68MjgZLKaYsL6Sd7,54,not available
14,Blue In the Dark,178W1K11wWHLzuRM0aaKTh,Bearings,0qpDBxRgLp6g0k2esJlUDn,Blue In the Dark,0bK34PAk9qgpVvZMbct5Wz,14,https://p.scdn.co/mp3-preview/c78d24cc3790ca168aa1cbaee9adf67fd10ff12a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Bring Me Back To Life,3WfRxX5uM7RfgqLnzftK0g,The Dangerous Summer,0iMnpaEHXkgMT956CmP1kj,Mother Nature,5Mh4kAFfP8BXkhS6PAfx6H,44,https://p.scdn.co/mp3-preview/fc4d5520fe5eb347df6e3694ca0d04080d1488ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Strange Love,1y9AS8gXPuF8sn3K6Awbyb,Simple Creatures,4svozL97Y6aqWeZNJPqvsL,Strange Love,1j6QSpMFpwtR9SEZvGgR4L,58,https://p.scdn.co/mp3-preview/9d92c67124e76594dea39e77d2b1740fe4f0463c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Darkside,39n1y2JqVOPIdfUeLqzgfl,blink-182,6FBDaR13swtiWwGhX1WQsP,NINE,4gARZz9eV7zbGbtOjhVTPF,72,https://p.scdn.co/mp3-preview/1e5f5e74dbf0595887a3258ff58bf3dcc98e171f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Anastasia,2VejQRvDP3AqC2EGRkmusq,Glass Cactus,2h6mHZgVdxvl9YfoVuUltu,Anastasia,4vNxiTmeU1Jx1SpViPHium,33,https://p.scdn.co/mp3-preview/eba03e0ae1cd050710ebf043f65bf1dc08aa2607?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,"Heaven, We're Already Here",48Kt0Zugeset3zlvhLPJmz,The Maine,4o0pNHbyj36LPvukNqEug0,You Are OK,0DRUOQBsax8QLUVctbEIAT,27,not available
20,Skinny Dipping,7s7xOgct7HWsNjGO3YOtqt,Stand Atlantic,1W2Fv4YUnjC8hx2qQd6fGh,Skinny Dipping,4xtHySb6XaNo8SLRgfpUSu,52,https://p.scdn.co/mp3-preview/fcbc0dbedff8e8b912ca6893fb25d6c0d3cfcdeb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Adrenaline,5vxX2POnp7NBbaCAIVQix7,Simple Creatures,4svozL97Y6aqWeZNJPqvsL,Strange Love,1j6QSpMFpwtR9SEZvGgR4L,57,https://p.scdn.co/mp3-preview/0f803f1f2499ae464c6f20d2e2c3e8d6e7dff1be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Violent Red,53fBgckGdEXTQ2YhvdlGjZ,The Dangerous Summer,0iMnpaEHXkgMT956CmP1kj,Mother Nature,5Mh4kAFfP8BXkhS6PAfx6H,38,https://p.scdn.co/mp3-preview/61994c9cf3bce5181a16e34fe05add1b22582530?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Plus Ultra,5WLvGmjfyAEYCvFNsLon0i,Carousel Kings,2Dr2zHoPEuASW1kOODc5I2,Plus Ultra,4eKXJrrx1JkMeyv3b0YDfM,44,https://p.scdn.co/mp3-preview/a62b308a95862646703a7cbf96a3940f81cf66cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Heartbeat,0GTN1pUhCHBBC2nOKCtxFt,Have Mercy,2UvzehEVGcYTPKNwJSZ2kM,Heartbeat,58Jj06chZroknlToUAFtwp,31,https://p.scdn.co/mp3-preview/671ab94c09a84e27452c24467f6bd522d4377b75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,After Tonight,2hf23pG2ylOyhua5jUH5vz,Sleep On It,5FmgqLlJ8MJ9A8zmOPFxK2,After Tonight,56KAUCXd4WzhH6h2tAHpwn,36,https://p.scdn.co/mp3-preview/ab488c5ea8739e0321a679578dbc13fb31227b10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,"Thanks, I Hate It",1DVPl37UU468V6RK8fMJPX,Simple Creatures,4svozL97Y6aqWeZNJPqvsL,"Thanks, I Hate It",5maB3BSB7Lo0ykXq0ihbSR,57,https://p.scdn.co/mp3-preview/be22306dab3f2ed53bb46f3cbf537486c2dd76cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Lavender Bones,27wvnSTpsyS9k06aDtXvt8,Stand Atlantic,1W2Fv4YUnjC8hx2qQd6fGh,Lavender Bones,6CvGI6E8zQzbHLXPEsWnnt,48,https://p.scdn.co/mp3-preview/5bd9a9b4938f00c0505ce167c9004d0a594a32e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Ave Maria,7IinPt4vvhVk1UzvTq32Ov,The Early November,2rxtSTPBJawYhQAXIpgEAi,Ave Maria,1CEYuQJHqjqNPYX9v1SjRz,42,https://p.scdn.co/mp3-preview/d3610b3bf26e9275694376a434d94b54cb290d6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Clair,7hPogwNcXHMPrasiZ5Q9x3,Have Mercy,2UvzehEVGcYTPKNwJSZ2kM,Clair,2StVchzr8RK5EEYwd1tn0n,38,https://p.scdn.co/mp3-preview/4f5667f1b2d3734126974038b43702f1ee8239b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Pin the Grenade,330cmrgtnIj4NtPTYdDOZv,blink-182,6FBDaR13swtiWwGhX1WQsP,NINE,4gARZz9eV7zbGbtOjhVTPF,73,https://p.scdn.co/mp3-preview/43a19fc09a1d47d5c5f00cb5f41c2257dab3a8a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Liquid (feat. John Floreani),4mTnrDYJsLnIiuR4RVAclQ,Boston Manor,4WjeQi9wm84lYTIWZ95QoM,Liquid,3v7gPd16D6HvzKYyctLhqO,32,https://p.scdn.co/mp3-preview/010104aaae29e1ec975aa7f3159dd00718fa2638?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,I Think I'm OKAY (with YUNGBLUD & Travis Barker),6bWBLZLBRQEJ5KsLicouNB,Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX,I Think I'm OKAY (with YUNGBLUD & Travis Barker),6iGIjsBt4RJQFYlBBiNk39,62,not available
33,I Don't Think I Live There Anymore,73HiWcZxgR2JKthCPdc8ur,ROAM,0q74f5UdR3j14Lis4AKKxq,Smile Wide,4cadqhi42JfMXBN8E8mBL5,42,https://p.scdn.co/mp3-preview/c41c38e842796baa132f604347d12559760199ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Pleasures,5ekE0YObbldEeDivc3fxy7,Seaway,0JXDwBs1sEp6UKoAP58UdF,Fresh Produce,4WWoHnK6aJKPPUiVrS9cnk,27,https://p.scdn.co/mp3-preview/77fa2927957b67ae2fd967c7853063e9589a45c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Save Me,4EZ2kjZgcxhvgPubV1sG7v,Homesafe,5vV4gEs3O35SdrdwhvhYwe,Save Me,73utkAO5DupJeydwRF1zJ9,23,https://p.scdn.co/mp3-preview/5e4733371b9f9a49cd8113beccbce9ab8667e6c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Suburbs,4NT2TosSrrtvkryRZmaTjv,Woes,75l6n3i5Hmn8vCUZeMIM6F,Suburbs,2sQTfh3TKC3KZYTs4KwSn3,34,https://p.scdn.co/mp3-preview/31ba9a78a49a625f37b5e08063fd3e0e3420444e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Kiss & Tell,2YZrjrLRMfGdyue73N6BLY,Angels & Airwaves,7xklw3WodFZiNNmQt3DIgp,Kiss & Tell,1ACakLGeWspQA1SROEtr9X,63,https://p.scdn.co/mp3-preview/2f291dcb81074e3b8b25e9140bdeb7d73fc3d3c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Cave In,7foB3FgACotzkH5hkWOOAS,I The Mighty,1aK2PiGHyEgc4wAIKQzMj2,Cave In,62qer7kVON5XSwZ3wd8W7B,47,https://p.scdn.co/mp3-preview/1196d9ab426c031898b86889efcb30def1639b1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Numb Without You,22aSl53GhZ1y0R4neQ11pd,The Maine,4o0pNHbyj36LPvukNqEug0,You Are OK,0DRUOQBsax8QLUVctbEIAT,30,not available
40,Degenerates,77Ht6FFAeyHgKl6X87mnTk,A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,Degenerates,3G3EHIjrfZAcy6w5zIOggZ,68,https://p.scdn.co/mp3-preview/6c137edb6ebe31af1fe00d053cc7b4588bc6178a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Carousel,12q0i0bpDwti8pIPtqO4yQ,Eat Your Heart Out,1Zj2DULoJ6vo0FZ2R8HM3i,Carousel,6jkeginjmIxiNCDts3bltL,4,not available
42,My Reason to Come Back Home 2: Electric Boogaloo,1sK8mNyeNuOfT73apnxqXP,Settle Your Scores,4QXKSmZgWNMDbQBidvuh4O,My Reason to Come Back Home 2: Electric Boogaloo,4VPI9zrAKGVz9xus48M7sj,40,https://p.scdn.co/mp3-preview/7b7195314510c9dbca5a2846642b7c0f0e92c62a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,She's Got Style,3AGOZftGZgBejXvHezJijP,Lilac Kings,01pBL0us3fnmy2SHHmgYQT,She's Got Style,33VxXCyqyVVvggtMWm7DuK,28,https://p.scdn.co/mp3-preview/c29bba58dd6aeeefc64b7531878a4c519cba6d72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Golden Age,7kRYQJmeP8br0ZZrDXl8cX,The Story Changes,4ESrVjoUNUtw0QUZl6t3nF,To Hell with This Delicate Equation,53RDG8S4bVMArK8jN7o21x,26,https://p.scdn.co/mp3-preview/c12de385ef5588f08174187f1322ca3fb14e22d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,King of Nothing,6sPXo5wTA3IKBK2mOJbUbY,Broadside,7EGdqeEDe7WMqOVyDFUYyo,King of Nothing / Empty,4jJzaQ6ovtPPqnMErF6xfR,40,https://p.scdn.co/mp3-preview/99adce9508287a6ada418b053ddf079d0b9945ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Piranha,0hOsHZGwjoVZmdVUV9P1Ge,ROAM,0q74f5UdR3j14Lis4AKKxq,Smile Wide,4cadqhi42JfMXBN8E8mBL5,36,https://p.scdn.co/mp3-preview/5f9fbfe9350c53dead5a275bec259c6d2410836c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Out of Reach,5MiiIqEDmr9EpZ4GV5vq8U,"If Only, If Only",3C9LYR59IuuR7lgiVPsnDs,"If Only, If Only",6JhzlIFfONkUnhc3UjPM65,16,https://p.scdn.co/mp3-preview/f9ed47cfc5ea74d4a3f4c78c5f64609f9a91a33f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Burn It Down,21iym8UpADqnG2p5GrzHrb,Silverstein,1Tsag5J854qxeOo2apszug,Burn It Down,4CAwR5GCqpfDAHE85WsAqK,60,https://p.scdn.co/mp3-preview/4ac3eca068922dc6ba41072f2e92270f62e7f797?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Half Empty,3ZU1XnruAHEVtQAUtC5rsD,"Sincerely, Me",1zzb0p4HHnAI0MsOWFMdR8,Half Empty,1yMVC1lUAGlniJkmyMyWex,29,https://p.scdn.co/mp3-preview/59808f9927607b72c7da52c43aa188f0235e3447?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Rose,3IpfXGWXrVi7jMgC2QnBUz,Telltale,6bmGjHSXH8rPaZ2iQhgNQ0,Timeless Youth,7G5N1BiL2zUwallGNgvQhl,26,https://p.scdn.co/mp3-preview/e3a5fc0bd69cfe8b4a30bee131e10a518bc18eaa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Steady Glow,7z0BWWSUAfK2nq59IAHAyf,In Her Own Words,3NBHNlkwYabSLvnisILPSI,Steady Glow,7xXGabh3KEE6qt7pk9iro3,43,https://p.scdn.co/mp3-preview/445202f9156e45d41ba81a76b196d7186c5e7eed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,You and Me (Forever),4UoCW9HNxMWqHDDMQsXKL4,Crooked Teeth,37gTAIe8kJ5xGtkJLsfFgP,You and Me (Forever),3xgU7O3LWEPPGFWXfmVq8k,30,https://p.scdn.co/mp3-preview/a0edeb51d49c482efaef6c3bfa04138cbae30e24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Prayers,6yuPyWu2I5RvuYgDIdaHWp,Bayside,51J0q8S7W3kIEYHQi3EPqk,Interrobang,1GYrUGqVBmMSA5W1WiAqLX,45,https://p.scdn.co/mp3-preview/7ef63f2bae895ee14279fcc93083e5283b6e1c05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Fairytale,1idRNmfKufjZPlCic15EsI,WVNDER,56LuTyFDFBgcq4hkc4XMu5,Nothing Stays,2yP06M3lbojJ7ihnjlSdX5,29,https://p.scdn.co/mp3-preview/6ec51f1711288d73b3419c1edda47ea0ea16c61e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,All The Way (Stay),7qVnkPY1UPmSeWULwXSW7a,Jimmy Eat World,3Ayl7mCk0nScecqOzvNp6s,All The Way (Stay),1nCmHK3wd62FLPSh1F4TfN,60,https://p.scdn.co/mp3-preview/c9b3bda41a88cf1a9c647cb72a6b734ad3c97ea7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Leave It All Behind,5J1tThACf3JLPc3cC1neEH,Sleeping With Sirens,3N8Hy6xQnQv1F1XCiyGQqA,How It Feels to Be Lost,19BZXyyyJmxcCys5VDFOOB,58,https://p.scdn.co/mp3-preview/589268fc4467e79c9e969f428d5ff1ded7b28065?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Momentary,6wQM6tOGdlQUFOPWO8CZEU,Ever Elsewhere,7AiNXTV5q9I5veaBAQhxZu,Momentary,479Slb3YjNSfpJqbpuwobb,24,https://p.scdn.co/mp3-preview/4d096804924f9c55c1d6c76e8a148255d14562a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Playing the Part,0f1mFpPDAQHpGpK0HN5chu,Junior,1XMnNBkyhE4NwqQuSM4jzm,Playing the Part,5cXZN42GEdr2HDt7PWWJGW,22,https://p.scdn.co/mp3-preview/5ad105f768e3b013a6153c3637c9026599ac100a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Send Her To Heaven,3HbablKHLbUEpn04GZiOWU,The All-American Rejects,3vAaWhdBR38Q02ohXqaNHT,Send Her To Heaven,4kN0SVgy0MShWKWpurdkBi,58,https://p.scdn.co/mp3-preview/2c5ff4a36196fe3e0026c86bbad1f43397644354?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Get Up,3cdEeAflQvXD2Orv5pRrVy,Alone I Walk,15KhAhIzQCzIDNDq1QXAGc,The Hardest Years Yet,5E7poYFGzid178kNqDAuRW,13,https://p.scdn.co/mp3-preview/6f3db5f57e6e790ad06251205fb882a0929cae2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Beg,3s9oKWdvPOF7KMgtApYVE4,Crooked Teeth,37gTAIe8kJ5xGtkJLsfFgP,Beg,1gb1U1Rb3xqq6xMFGHrcSG,1,not available
62,So Damn Wrong,5uA23N6BjBV2HLsoZS0v45,Bearings,0qpDBxRgLp6g0k2esJlUDn,So Damn Wrong / I Feel It All,4HB6wB4QcTfL36jAaEH3v4,40,https://p.scdn.co/mp3-preview/40da57469074aa13fdf0a38f54fcf1ad5ca02930?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Echoes,4b6fFrGqGEzE5vhrcUtjTJ,John Floreani,6melTVZFYp3m5UU72sIhdY,Echoes,0ENjKdafhEJ6oBZ63xk6Wa,37,https://p.scdn.co/mp3-preview/68817001e6c142c2e179a80ed0b32e9d40fbfaa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Dream Boy,2D9g5ehdnHMnnzO2npi9PG,Waterparks,3QaxveoTiMetZCMp1sftiu,Dream Boy,3DKbtLyzu1kGFSiaRWD9dC,59,https://p.scdn.co/mp3-preview/7d72b6af3e62724d2560e946d15c902b567ca3ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,40 Over - Alternate Version,5Jh8SBqHT91x7shg2VNNWx,Seaway,0JXDwBs1sEp6UKoAP58UdF,Fresh Produce,4WWoHnK6aJKPPUiVrS9cnk,10,https://p.scdn.co/mp3-preview/fa6ac8c79064e95afc44b4435f7aafbb0ec039d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,How It Feels to Be Lost,3A1jkLwsYjaH30J0v6oZCF,Sleeping With Sirens,3N8Hy6xQnQv1F1XCiyGQqA,How It Feels to Be Lost,19BZXyyyJmxcCys5VDFOOB,61,https://p.scdn.co/mp3-preview/4700f7b9662315a664f113a4094ee49ad1ab8cde?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Criminal,0CXQ2LNOcb6oJTWYEWKtyK,State Champs,1qqdO7xMptucPDMopsOdkr,Living Proof,1Qb73C8hC76e3R8udyit5I,52,https://p.scdn.co/mp3-preview/9a21a40546597395514be30caff8e31b02913dc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Upside Down,6trJelO46qKNUso5FtqgzG,The Story So Far,6meTcQ79DrfkIuSLPZkpBg,Upside Down,7HFSSWViGV3f6FvIY8evex,41,https://p.scdn.co/mp3-preview/346a351727071776eb0dbb21c1781591289771b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Rebel Girl,1EEt3kxO1yZSZd13DqvT8f,Angels & Airwaves,7xklw3WodFZiNNmQt3DIgp,Rebel Girl,7lKVIu2Sl941CXlpzG5ibO,60,https://p.scdn.co/mp3-preview/2bea6183b409986f0e629be214fe8809741cf137?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Swinging Away,6L0tcB8up2j5F18rcd72Si,FigureItOut,1IuyjI3FTndgSAXk2cMXXV,Swinging Away,2ePVUu1lFLbhrYobMS9vy5,30,https://p.scdn.co/mp3-preview/015ac8c571c4354c7b2cfd60a2bf07e9c78322b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Medicine,7EjQmae7fFXTXfQszaEewb,Tiny Moving Parts,5rJVTTK0ucAxQhkUc0nXbH,breathe,2F2RkJb7kGZitRS6C8O2XT,51,https://p.scdn.co/mp3-preview/126147df66fc03ed17c60c5bc5331b8181ef4358?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Break Me Down,19zeIKIKfqwONdb9v6l80j,Out Cold,19YZoaNwpqy1vPn69ofnIC,Break Me Down,3WXJhBqkjbR88bVH1RMe6n,19,https://p.scdn.co/mp3-preview/95a9a222e42aa334868b1aa3fa683bcff6a5b373?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,From The Outside,7fHfn8mvEYI57Pz9bMT3PG,Real Friends,6dEtLwgmSI0hmfwTSjy8cw,From The Outside,0kyY01XQw8dhBFFVIgGbUX,0,not available
74,I Don't Care,1I6s7XgnKIkGXtm4bcUWuf,Our Last Night,00YTqRClk82aMchQQpYMd5,I Don't Care,4z09qzhq7zGxibWmwcZxFE,52,https://p.scdn.co/mp3-preview/c22fb9b615cd370d4e79bbefb46b81d4af1e4181?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Birthday,6YnzuikUWRlZbWr2jzMX6h,All Time Low,46gyXjRIvN1NL1eCB8GBxo,Everything Is Fine On Your Birthday,0qoAs8GrXH5rfFN2EbUQ81,53,https://p.scdn.co/mp3-preview/bb3237449a93fc8ed992def2611cb5584976bf90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Tonight,1ZZugNgBHi4c9ZMkZ56jQz,Northbound,0bV8hivDiFzeCTUT8DVPop,Karma Heart,21Z8bvlR6ma2gdeSJKdcMW,20,https://p.scdn.co/mp3-preview/b006064f7c285ead198254e51f3c97becbfdda9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,These Streets,08Aw51tvt6ZXNiKACB9yGH,Have Mercy,2UvzehEVGcYTPKNwJSZ2kM,The Love Life,2rRq896YwSkRE72jHZMxDd,35,https://p.scdn.co/mp3-preview/b085cc75c461aaa5e978b86a6146eb940dc56f8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Out for Blood,4VgSAJr33E8dkG9bseg1TH,Heart Attack Man,5esKrGWvWmBAmjnao5jInN,Fake Blood,6k8qOuAcyMoZi69txxTTtb,37,https://p.scdn.co/mp3-preview/865841d7d8131c9a140176955c6a509c845a616d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Dear Future Self (Hands Up) [feat. Wyclef Jean],3Fm4KEBiLmj4e3x4Qqv7W0,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,Dear Future Self (Hands Up),7u4VcQQ0tr36gfYmwdtF9K,72,not available
80,Devil’s Callin',3S6nCKyCS7lBM5FHyKxQ68,dying in designer,3QZxOYl5zlZtfigtXOZsfT,Devil’s Callin',2qnEdFCQnmgB5gAoJ4BwyZ,40,https://p.scdn.co/mp3-preview/4fe1b9a5861417b59ebb4dccdba3a53bfc78cfd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
