mint,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
43,Midnight Hour with Boys Noize & Ty Dolla $ign,5AFrctm65wWIqJsjHPPx85,Skrillex,5he5w2lnU9x7JFhnwcekXX,Midnight Hour with Boys Noize & Ty Dolla $ign,65Xj1lewlRP7RB5LiCeNBV,73,https://p.scdn.co/mp3-preview/6dfbb3ea4e3befe8df62d451a1cf6f9cfa2f7e5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,One Touch,5EKiBMhzRLALeGDPdoAKkQ,Jess Glynne,4ScCswdRlyA23odg9thgIO,One Touch,73JUDiyiu0OXCzzM2jjVkL,75,https://p.scdn.co/mp3-preview/ead38ad10d9ab85f99be5fd1e3eabee11c6633c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Death & Desire (feat. Harrison),3xmJo7JydhDml7GAS9YTcN,Knife Party,2DuJi13MWHjRHrqRUwk8vH,Lost Souls EP,3Gnp75gdbUn4ygyXRJw8GM,63,https://p.scdn.co/mp3-preview/9da6ec76ba2d0084b2e945b2638a31f3cee03eed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Never Be Alone (feat. Aloe Blacc),3GT2CBmJWIEdCpHiB31WYK,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Never Be Alone (feat. Aloe Blacc),2bSuTiPTy8EhtwWbbmiPdK,73,https://p.scdn.co/mp3-preview/731cea22023a0298bbd39ccf70b7168c4dbbeb67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,I Could Get Used To This,6u8epWzzk3CsJ05sqExF6T,Becky Hill,4EPJlUEBy49EX1wuFOvtjK,I Could Get Used To This,7zprQiHCzlyXnqKbkfCUTs,73,not available
48,Higher Love,6oJ6le65B3SEqPwMRNXWjY,Kygo,23fqKkggKUBHNkbKtXEls4,Higher Love,4wquJImu8RtyEuDtIAsfcE,92,https://p.scdn.co/mp3-preview/a74efdaa12f708673a14fdf67bfb6ec365d8ebf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,All Day And Night - Jax Jones & Martin Solveig Present Europa,3O83h4LS797N23DpweeRAa,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,Snacks,33YnOxRjRcB4R6kPeAxLJx,50,not available
50,Truth Hurts - CID Remix,3gOLLo0zS2GJPkLRoSaZjA,Lizzo,56oDRnqbIiwx4mymNEv7dS,Truth Hurts (CID Remix),7crLDwbXRNbsWQM9K0YBiW,64,https://p.scdn.co/mp3-preview/ba9b8b2b1227b9b3dfd42a934020474323779cc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Sorry,6y1UtRcHQU07aUs3oxZ8Yn,Joel Corry,6DgP9otnZw5z6daOntINxp,Sorry,1PvEp0qeU6o2rm0i2qUC2N,82,https://p.scdn.co/mp3-preview/7821cae529a3cfafd1919b05a1c154e9cb5fc53d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,No Option (feat. Burna Boy),4lDYedHtcFwkMTVwpdSRUN,DJ Snake,540vIaP2JwjQb9dm3aArA4,Carte Blanche,2MFS6WG6jnPAgvJpV3PehR,63,not available
53,I Feel It,5FzuDFYmUFcvjraadJXv28,Leftwing : Kody,7eYXtOjJGhrM16cK2hRmnR,I Feel It,45DCBEkvzjYfjpZNaphhg3,69,https://p.scdn.co/mp3-preview/aaca1f62d5bce8416ebc2236dc67d48f0691f3c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Kind of Love,1V028kR7hQgxkibAYOMntP,Rat City,6VSMAVF00xwG8Adoqnbqy6,Kind of Love (feat. Isak Heim),2n32yXbJfmXJHF28laEV7j,58,https://p.scdn.co/mp3-preview/2c76b9b3818c3711057fc770762b5622e9d86f50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,You Little Beauty,71NOmiKvk7s5R7dUurNjuy,FISHER,1VJ0briNOlXRtJUAzoUJdt,You Little Beauty,5DJeZP2GgxLqCl2JsxppbY,36,not available
56,Can We Pretend (feat. Cash Cash),7GfKD5B7fVAzUgDvqAIbSL,P!nk,1KCSPY1glIKqW2TotWuXOR,Hurts 2B Human,0hgt3tZlHEGukN56ueTGcL,68,https://p.scdn.co/mp3-preview/5e10fb922b2432b3dff86ebcd51f7491a2429302?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Baianá,7MUazB4rGIqFFIkjT95rCO,Bakermat,3MyFDtqB80WZvbtCZRsekM,Baianá,7ImQIxwDqi9OKS93QMsKQN,73,https://p.scdn.co/mp3-preview/4753a081cba26c93a9972e1d912755b0c7d3178f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Don't Wanna Dance,6b56B8Ew3d0WDnd4Vq01Gh,Boston Bun,1Na1sVrGWKwAigaW7a6hi5,Don't Wanna Dance,3KY9oIQZYFg1w2h2DQFmpz,62,not available
59,mint = today's top dance,02gbY9lLSx77JX5zNohHHm,Various Artists,0LyfQWJT6nXafLPZqxe9Of,@mint on instagram,2xmyEkCdugUqLP7UAVRUMm,0,https://p.scdn.co/mp3-preview/7a748a0a3c8769e00e1adf824d532edf48b3420c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,mmmminty,7x4CLIbKdDm2XrD1df1DGI,Various Artists,0LyfQWJT6nXafLPZqxe9Of,@mint on instagram,2xmyEkCdugUqLP7UAVRUMm,0,https://p.scdn.co/mp3-preview/72429f7eb034a5eef0560478ba8ed71889ee778d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
