All Out 60s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
40,"Monday, Monday - Single Version",46PzYzseHf3mSdkTMd8sgC,The Mamas & The Papas,1bs7HoMkSyQwcobCpE9KpN,If You Can Believe Your Eyes And Ears,6zK7GV2JCqLknAdTeIhooB,41,not available
41,Don't Worry Baby - Remastered 2001,1GLmaPfulP0BrfijohQpN5,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Shut Down (Remastered),1G8AfOjrE0FO9w1gfemIy1,65,not available
42,Mr. Tambourine Man,2HCaIYjkvWSZzaSKUoOh3d,The Byrds,1PCZpxHJz7WAMF8EEq8bfc,Mr. Tambourine Man,0pkrqPjeq9K5KD0hFqAKNa,63,https://p.scdn.co/mp3-preview/2147c3bcac56bd48da6e54a5dc3fadf0e79bc5a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,I Heard It Through The Grapevine,1tqT6DhmsrtQgyCKUwotiw,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,In The Groove,36VMWZPLjg9rucvMxdA2Pz,63,not available
44,Be My Baby,2G2YzndIA6jeWFPBXhUjh5,The Ronettes,7CyeXFnOrfC1N6z4naIpgo,Be My Baby: The Very Best of The Ronettes,3vLFWR3fLqfY82WGvaLuyV,72,https://p.scdn.co/mp3-preview/3853f673d763a993fae64d464254c9ef4236f1fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Sugar Sugar,2niam1u5gMXIKbEsqgGQoW,The Archies,33QmoCkSqADuQEtMCysYLh,Intro: The Archies - EP,0WhFJl87HYwJV5rjfMHAWO,49,https://p.scdn.co/mp3-preview/2463c3dd6b85c226ad159b837179d7a3be345734?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Can't Take My Eyes Off You,13jJu9zoXOQnqiLaJsg41K,Frankie Valli,3CDKmzJu6uwEGnPLLZffpD,Oldies 60's,3y2gHDcfKpQG21SutK6ErH,52,https://p.scdn.co/mp3-preview/59009fe6bfd7e19f010c643a37867d35c86c8033?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Somethin' Stupid,3cVWNLd0uEHkc2tnBoE3Ay,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,The World We Knew,00vMwG6tYLzcwXgwvzlzyK,20,not available
48,"Everybody's Talkin' - From ""Midnight Cowboy""",1Yp16rwCxTScYhK5ThYUZR,Harry Nilsson,3RTzAwFprBqiskp550eSJX,Aerial Ballett,4lQ72Rx2xpc7gGNoNJ4dlH,13,not available
49,Do You Believe in Magic?,1udKn1oNKYQSQ9OmiIWCMu,The Lovin' Spoonful,7CCn4PFRRRZF127jtCBAUe,Do you Believe In Magic,5bx2ZHa0KUDMD5T0r9V030,68,https://p.scdn.co/mp3-preview/3a68c7436943a6cb0680e953842368aadad7513c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
