Power Workout,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
37,Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,Look Alive (feat. Drake),7GGoJfKFOwDNuiLjjfzyCS,81,https://p.scdn.co/mp3-preview/4c9c1f93e4b6032679d772a0a8c3c28cef5a42ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Hold You Down,64sNuNoOwq7AHzzmFA3e4A,Ramz,6ywXRaHY7m2DJ0dd7CsLAB,Hold You Down,3OjvP7IGiT9CyfihAMyQbM,60,not available
39,"Movie (feat. B Young, Kranium & Ebenezer)",29ws2I8YO5rSkBpgfngj0m,ADP,0QAjuB54V29PdceQCHXq2i,Movie,3ktalvxro0Zg6ykzsGX9RV,53,not available
40,"That's My N**** (with Meek Mill, YG & Snoop Dogg)",3i1B1PnsfnOQPGVIzhf1lr,Meek Mill,20sxb77xiYeusSH8cVdatc,"That's My N**** (with Meek Mill, YG & Snoop Dogg) [From Bright: The Album]",3wDMK9yGHVUEweHksZmGTU,73,https://p.scdn.co/mp3-preview/c441c0dd911c52755375e4cd3ec7961599a85316?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,6:30,6lU7kJ6k1oUew36PbPl15E,Geko,5vfmmb3UHpuQWJ55JP9slk,6:30,11dnUQibapfiyHLUZGrVvt,67,not available
42,God's Plan,6DCZcSspjsKoFjzjrWoCdn,Drake,3TVXtAsR1Inumwj472S9r4,Scorpion,1ATL5GLyefJaxhQzSPVrLX,86,not available
43,Mariah - Remix,0IHZweEFocoR53zvPopaRy,Koomz,4I53vdZJP1OzinYf615C62,Mariah (Remix),7x06Vxyp1DMHk4QhN9dv7C,63,https://p.scdn.co/mp3-preview/51f3eb02ca6c6fbb48b9104494969563457bcedf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Die Young,1lWK70HfYRFZtWJUwUrY48,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,Die Young,18km9wofbFMkGbUAkdBT2y,67,https://p.scdn.co/mp3-preview/9a3aad43991889197eaa6ea35811c33ed5a77963?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Needed Time,1k65BavLispRXs7vzBuRLV,Yxng Bane,5AbLpsnTQVNB3OEadYiVrK,HBK,4izRWE4MnP9bLwKXteQ7FH,65,https://p.scdn.co/mp3-preview/62bdbdff6ae2b2f0f3e0fa70b03d44cc425a8bd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Advice,1fp2uoWXPca3mIdxRHIgQm,Cadet,1Gm0kKaDx4GH6pQF88rjSK,Advice,4wOuGy0YTmOHjHIUo6drO8,70,https://p.scdn.co/mp3-preview/bfc9a7c01ac6b2f32f0004023a76cf6e06f66770?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,Drake,3TVXtAsR1Inumwj472S9r4,Scorpion,1ATL5GLyefJaxhQzSPVrLX,82,not available
48,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,TESTING,3MATDdrpHmQCmuOcozZjDa,83,https://p.scdn.co/mp3-preview/2cfefc8f262be77650db96a60e2f879fa436ee1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Just Fine,5mrBq5DkcKEEliR8iz5d7l,Not3s,40NRiKuuhj1pgGYppptlBO,Take Not3s II,6bdoXR3dL58zoYjiUwhR3r,57,https://p.scdn.co/mp3-preview/f2fef293c6fd25ea6da47438a53444ffcd8aea1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Your Lovin' (feat. MØ & Yxng Bane),1p6Sc7zeA9dMIDT1mIpCJ1,Steel Banglez,6k970rXaWAWVfWMjqWtFNI,Your Lovin' (feat. MØ & Yxng Bane),3FTyGAlsbzIVtJPnLFNN4v,66,https://p.scdn.co/mp3-preview/7f66fde9caac6620038db9db214be13887288cc5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
