RapCaviar,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
27,Mac 10,4e34Qq2lkp92egwgjacVcT,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,Mac 10,2HLwLpyTKv5C2ezhxYuQ5U,77,not available
28,Ransom,1xbtojAZsQjOgiGdGX6ChU,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,Ransom,0Pjp31DH4uBcFUi7w2QCCt,53,not available
29,Mood Swings,2xE16muNCmhZwSOv3i1d1H,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Mood Swings,0ewO3paYhoJwMGX1Yjyebw,81,https://p.scdn.co/mp3-preview/6624c5f2bd5d29d8ed40b4b65ec97ffc178480f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Saint-Tropez,7C39RtGhnEw7cyf0Pyw7PV,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3KziODx7ieQTgYCVrS6nBv,85,not available
31,No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Indigo,1BfLzaTFI5qKsAAk0Ae6aV,90,https://p.scdn.co/mp3-preview/7c3bc7b4d1741a001463b570fe29f922d9c42bd6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Juicy,7qvsl2pYzrsYgPeFBN5jxp,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Juicy,4gr1eiDfKDgoXT9HX2EdNT,77,https://p.scdn.co/mp3-preview/ea22758b8b6aecceb7a2c30b9b2c0807a81d362a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Through Da Storm,3NqCEpT8xsHdzpiRlM1kpS,Polo G,6AgTAQt8XS6jRWi4sX7w49,Die A Legend,26ztFK3E69j5THJQdyxC5w,80,https://p.scdn.co/mp3-preview/8c8da4573b582381de1d6e6b78eb55e6507237b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Broke As Fuck,1faIb3PPSzEifCHUOJ691R,YBN Cordae,0huGjMyP507tBCARyzSkrv,The Lost Boy,6Pb7PMZtW0fuEM1lCGvCDu,79,https://p.scdn.co/mp3-preview/26b166ec6ed2cdf881dbba5045945529b64baa12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2Xqs4kJBrZAHN1XVqy9QOK,87,https://p.scdn.co/mp3-preview/dd347607f1db8efba0a312403853ac07ba412ff2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Shots,5xjei7JnROsAzLY2a7RdZU,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,We Love You Tecca,65T18oWoikW2MAilg9j8lW,83,not available
37,Self Control,6kyT7ubem08Egg9a8f77OL,YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,The Continuance,2I9XHDB70SfH4Kkjakc90X,79,https://p.scdn.co/mp3-preview/bd9dbaa54373aeb011113118048fac391d7e75e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Hot Shower,00ko9WaS4jOX1kEk3gvHjf,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,The Big Day,7bgi7zCoDsZdlLKPonHZqP,83,https://p.scdn.co/mp3-preview/9f63076bc91da7435bdd87c68b465a9c25c382bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Babushka Boi,643PW82aBMUa1FiWi5VQY7,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Babushka Boi,3zOkSAbg9o7gQ3yXtZhx5v,84,https://p.scdn.co/mp3-preview/831dae9f38d24f6f02f126326882e86f6916847f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Bussin (feat. Lil Pump),4eZKAB9uNMIG0yNri34PBp,Blueface,3Fl1V19tmjt57oBdxXKAjJ,Dirt Bag,4eAiHYd3nih3os2BqHm0vt,76,not available
41,Bezerk (feat. A$AP Ferg & Hit-Boy),2B9wgj9XzbJZLty03PRbVo,Big Sean,0c173mlxpT3dSFRgMO8XPh,Bezerk,6UgZHNJFfmKLSGLuW9T114,81,not available
42,Satish,4hbcs8vaamKTPevPIJsY7N,Tee Grizzley,6AUl0ykLLpvTktob97x9hO,Satish,1Qs0qbWADzRVQ7MxD5MvZe,76,https://p.scdn.co/mp3-preview/8c1731e404bd42eb549309eb73ecb477c1f297fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Pose (feat. Lil Uzi Vert),6e9biVAugkOfydEN8OiJpi,Yo Gotti,6Ha4aES39QiVjR0L2lwuwq,Pose (feat. Lil Uzi Vert),6nIe8wxpDcAzUJVj4v2v5r,77,https://p.scdn.co/mp3-preview/a4552ae3bf2deee5fe177fa4c63529ffd037a35c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,My Type,5KBARWIxeMGkvUax9VtVC9,Saweetie,6cK3NBO6uP7hh0oyuVELFl,ICY,7mdpibDh6Sec6o6zItcSEH,84,https://p.scdn.co/mp3-preview/7a97ae9661d1c1acefeccf2b356435e722f547ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,She Like I'm Like,2W2txJXyjPO61rD7xAxwAp,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,Herstory in the Making,1F1JJHhqMo5DETJkesqGpG,70,https://p.scdn.co/mp3-preview/b4f48f04f607f95eac95ab30e6b208c1ffde5e0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,By My Lonely,25AEevSO1lu4EKMIP5Sy5p,Kevin Gates,1gPhS1zisyXr5dHTYZyiMe,I'm Him,7JgDLtQ8g7RrfNdLf4Dk2I,73,https://p.scdn.co/mp3-preview/812b5f5a471965eddc5e340ba5c159848be58ef7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Jet Lag,0AUurCHJ6A8Ua4yXyKXNuM,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Floor Seats,0Q3h1Bm5T7QPo8lI1S9mT6,61,not available
48,Big Booty (feat. Megan Thee Stallion),3g8sG483Es7NcJyXgkF1nT,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Big Booty (feat. Megan Thee Stallion),109HkQfABlciphATRx9VnF,70,https://p.scdn.co/mp3-preview/b40c40518744a1ae9a5c18a48ba85fc45025d6a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,No Cap (feat. Rich The Kid),7mrhHSuzD5DbREtXat77rK,83 Babies,0IBDUrXqsJZAAnipcupIRc,No Cap (feat. Rich The Kid),0ttGal8Gg0Okxy5GF0Mm7X,61,https://p.scdn.co/mp3-preview/7528b4e44e70eacf09c7660c8109c78699578832?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Choosy (feat. Jeremih & Davido),4gWAcvkVLzqnzFOcrYBut7,Fabolous,0YWxKQj2Go9CGHCp77UOyy,Choosy,6TcKWIXJvIVJHXerQtc81l,61,not available
51,Playing Games (with Bryson Tiller) - Extended Version,2xyx0o4xNOLLjBSbOOdcbA,Summer Walker,57LYzLEk2LcFghVwuWbcuS,Over It,1qgJNWnPIeK9rx7hF8JCPK,75,not available
