State of Mind,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
14,Designer,0ypoiJsQKWq7jyYOotHUiY,Sheff G,1tG7s7S4sq2eFFW0QZyLbm,THE UNLUCCY LUCCY KID,3Xvvi8uwGnuj9nF7fr2h39,52,https://p.scdn.co/mp3-preview/7b0e8fef1c674eeed7394deaac7e59b1cbcc3f48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,In My Zone,6h34uraDjPgIpI3pJODJNs,Bishop Nehru,1b5fazYV5ecKkQHKTlwLG8,In My Zone,0FqTLoqC6vL7M34wMlaHpG,53,https://p.scdn.co/mp3-preview/799d1ceaf423fed7da8f85833ea8b9d0ca401587?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,not available,not available,not available,not available,not available,not available,0,not available
17,ADHD,5L0X8T8HNaUAIYw1oofg1M,Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa,ADHD,3j2L4sg2WK22mSWKkQ62Ml,74,https://p.scdn.co/mp3-preview/b09cfb670b2a09d1a0f8cbd8765727e351162af9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Laneswitch,56Sng0NtW0YYy4Edtpybm8,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,Laneswitch,3dAesOchwksFPoWDekVIhd,73,https://p.scdn.co/mp3-preview/cde90e512924b1f309ca1f2fc34be3bdd9343e8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Believe in Flee,3SmzR4wCBW9Bt0Jb0iy3p3,Cam’ron,7iMvwE8qANp3aIfAGKEAwS,Believe in Flee,1AkUmrQlUqeHP6BU13R7cv,43,https://p.scdn.co/mp3-preview/f128e74a13c5da3ef783bee01d34ab95b012a2b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Anything Can Happen (feat. Meek Mill),04VO6VICgMJgTe2dLxFBoW,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,Anything Can Happen (feat. Meek Mill),5DToNHmi1v9YZacvKqg7aG,68,https://p.scdn.co/mp3-preview/f6ff107e4e13c61a69ff82a5f4a465235100c377?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Gang Shit,7idKKQKjQ347chse0PkI0M,Marlon Craft,7MigDh04CCntQbsBvugEmb,Funhouse Mirror,61RaTAy2yvHeLHN5VTLyK2,50,not available
22,Family and Loyalty,5tHf0v419Ia09AS9sEK6iF,Gang Starr,5cMgGlA1xGyeAB2ctYlRdZ,Family and Loyalty,0lUDIeE7KurGUVHrlmQTEN,68,https://p.scdn.co/mp3-preview/edaf3f8611570531c930c0afa97cf1eab8f34bc2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Jet Lag,0AUurCHJ6A8Ua4yXyKXNuM,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Floor Seats,0Q3h1Bm5T7QPo8lI1S9mT6,61,not available
24,Everyday (feat. Gunna),4DhsfADUqrygvLlrvWBLmm,Dave East,7e10JUMF7MJmmwYpnTSMI5,Survival Pacc,1TN1PfKVAme28YrCC31SBT,61,not available
25,Fendi (feat. Nicki Minaj & Murda Beatz),7H1591r6SfmZZh6BUE7Gue,PnB Rock,21WS9wngs9AqFckK7yYJPM,Fendi (feat. Nicki Minaj & Murda Beatz),00M4ecLNv6pzPmr5lheMPr,74,https://p.scdn.co/mp3-preview/34fc6de54a6cba8e37ed9cccf6e2706205887159?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Fendi,6yOjonk24vCo5oRnoemWQC,Mmbvelli,73fEMgbNiY5dc2BUu56hMA,Streets Don't Love You,26B5WmNWUoyOjd92uu4qGo,41,https://p.scdn.co/mp3-preview/60ff3d27e1bfc3767225ab62a17e8a4131369a4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,War,0JhonNQL2ixH1JcsgEj4Hn,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,War,7rF0hkAw7bmas9Cd44F7tA,61,not available
28,Distractions,5k1S0s4VnHYI7YEyysnZQw,Shordie Shordie,5fyvTyetDr7gvLafBsEEhU,Distractions,4SzifOHIkYu9THTe4SOCyG,56,https://p.scdn.co/mp3-preview/a32ed00da3ebfcaa4ae11b658b677ccb6f3ab4c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,New Chanel,04ke1V28Ib1DzkdmXS8QOq,G4 Boyz,4ZtqSJYEh407LR6NM5hNcS,New Chanel,716eScjzVuT7EGhtF460Nb,50,https://p.scdn.co/mp3-preview/01a953fd79a841683097f72c53b61d6274e12aae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,18 Wheeler (feat. Pusha T),0r2aLoohhPKNZ9z6WkaYyp,Benny The Butcher,5Matrg5du62bXwer29cU5T,The Plugs I Met,5So31JibrTO74WvuCozsAb,58,https://p.scdn.co/mp3-preview/1a86b3a1f3c8e4b37007d6afbf7cfc5151dd9d5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Sugar Honey Iced Tea (S.H.I.T.),3HoUNL9JuiS183RkLn8qDh,Princess Nokia,6lay1nwbE6hTx1jivysUAL,Sugar Honey Iced Tea (S.H.I.T.),1FoWeLNQPaBc9h9OnM0U7Q,65,https://p.scdn.co/mp3-preview/660be09d0c88ecd2c043ab36408ac57b620309b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Lilly,2buuesSQNcXtvL0XBwGav5,IDK,6aiFCgyKNwF9Rv5TOxnE8E,Is He Real?,2JnOb2SpW5DSOHhbW6GKru,59,https://p.scdn.co/mp3-preview/595f92a662a63baf0e50cbffbeaf866d26bd5f92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Jollof Rice (with EARTHGANG),3eCulo5yg6EwkTfYcy1Xmh,Bas,70gP6Ry4Uo0Yx6uzPIdaiJ,Spilled Milk 1,5L0fqBCRKpkOHDNiwTgJbZ,65,not available
34,That's a Rack,4pCEIQ6wBVuaJdER5bALtO,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,That's a Rack,7jV7IRYpTLmTJe7uZXZCZh,77,https://p.scdn.co/mp3-preview/45f42426125907cf4c3d28e015ad4d495143f16f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Somebody To Blame,1MHPezv9Myy3yoMcZWwdyy,Doley Bernays,16WMnfMmfhqT4XWD9bkPch,Is It Fall Yet ?,1tP3PUoE28sSR5ZoICHYLH,34,https://p.scdn.co/mp3-preview/f3568415b480c717059d8b9cad99a32e9356e1dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,LV Smoke,65APBxUtoaJnO97ohduFmD,Ryan Trey,5YHM0i7v5TqqibZhS0YiuX,LV Smoke,2a6VzBrlPdO5cxEwt15wME,60,https://p.scdn.co/mp3-preview/fb6f639f58ac712c5cb26797068024605202f485?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Rudebwoy (feat. Joey Bada$$),36H64KxCcXoYlybYtBApqq,CJ Fly,41yEdWozNYEzA2RfgYQHgr,Rudebwoy (feat. Joey Bada$$),6IFlJoyD2owxC8cLaJWZXq,58,https://p.scdn.co/mp3-preview/f600dfea37863dfdedf042b1fe209cf8a108202d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Monica Lewinsky,1rS0eq80peCPCgfT2t0Kmm,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,Ghetto Lenny's Love Songs,06vukn88R2dOCd6sfMaogd,71,https://p.scdn.co/mp3-preview/274b9eac8c9b25927c22525b237d16ed7b490fce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Get You Sum,1lroEK8T7V6lQnFHMJBQkA,Smoke Dza,3kf0gOpxWtkyeMNJVDQPtd,Get You Sum,6VUFUpKVCDtazOS81sIOR5,53,https://p.scdn.co/mp3-preview/74a2aa45814774c30799b6fe9652d39767f96f97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Babushka Boi,643PW82aBMUa1FiWi5VQY7,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Babushka Boi,3zOkSAbg9o7gQ3yXtZhx5v,84,https://p.scdn.co/mp3-preview/831dae9f38d24f6f02f126326882e86f6916847f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Peter Pan,3XXVtfAkTYBzhK7yfp5HPh,Kemba,0oZASNXz7lmZGoXFh8GnZM,Gilda,1uCv6gKoP1IlE5Y4R7t3rt,44,not available
42,No Hard Feelings,4dHLTRnNrrs3pDXeQxj1g5,Melii,4udfTw7V8jI4AHi7PEfJfj,No Hard Feelings,3JO4jf0x5q2Wa5XlhyPqys,57,not available
43,Drive Way (feat. Azul Wynter),0nkwj667p0oMEURBST8Nyx,GASHI,0JOxt5QOwq0czoJxvSc5hS,GASHI,1fd9ERd2XLppseTB8bTbBW,56,https://p.scdn.co/mp3-preview/c101c4987b0f1fe0e5eb97110c67a9b241a56d77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Zoo (feat. Tee Grizzley),5SBOdLSx6cOKFLyDZXdtOj,Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,Zoo (feat. Tee Grizzley),0ZNDVHEPSJno1D7LnPSOar,61,https://p.scdn.co/mp3-preview/43eb246dc2d4b944ba85e0bb616c108782bdced4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Waikiki Flow,7uxlLOOwa0at9Yh2uW2uRW,Shy Glizzy,1DvtabXAjfrMihPP6JQdHs,Waikiki Flow,6JUEHJEXq2ohh8kq7MrNQI,58,https://p.scdn.co/mp3-preview/8cb14fd6d5a56390d60eb3389ceafef148942543?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Love And Loyalty (feat. Manolo Rose),45LIIWuEnGWQifDpFOghEF,Maino,20apXQGKM00jJTvYfyKwlb,Love And Loyalty (feat. Manolo Rose),1YLZ1AjFQNPx1hGog4YOvB,43,https://p.scdn.co/mp3-preview/ae536ca043c40946824c3af08e98d2ef29cbe96f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,New World,6wYlH8EBwJmd70i4HLRlIu,Ghostface Killah,6FD0unjzGQhX3b6eMccMJe,Ghostface Killahs,7EYx33pYJKBfjCaDsfIjp4,53,https://p.scdn.co/mp3-preview/5e78dffc39e10e2aacec459411088b2aab6b6774?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,So Brooklyn,2ilkJUTXjd773UKTo3tZe6,Casanova,6dXsR7VDJvXnF1LTZlwULx,So Brooklyn,6GyFv0GLkVUF3X5kTAzFxm,59,not available
49,Peach (feat. City Girls),2G3CKfjQjwbjHRh8lgsefl,Pardison Fontaine,7Gkyjs2OYQpJdOvvmwIz2Z,Peach (feat. City Girls),5JqffrwWEXAVCArbzvvMGi,56,https://p.scdn.co/mp3-preview/48c6ed8bb070903157f92e92239593b8265f6a5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,STP,4wO6OM08BQPGtX5LyXdOkT,Cousin Stizz,0KpCz7V5XRkqKuM1JDf56O,STP,6eWpqjnPLKjeyOyGpACutX,46,https://p.scdn.co/mp3-preview/ba02d0cee6c5115c7271ea026708fbcc3371541d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
