Rap in deep,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
35,Seit du gesagt hast,3pZR2jLSPB7b9kFROuCxZ2,Danger Dan,2jXb8AWz82Sn3RRGOaia7a,Reflexionen aus dem beschönigten Leben,74CrIDwLDcI8HFvye6Vkht,47,https://p.scdn.co/mp3-preview/f76293dfeae67ab69214a135d25057d80dfa7b31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Schutzengel,1AhCWp3EdGnOZdp41wMOI4,Azad,7LQLsKs1Qulq0BxYdhRnBU,Schutzengel,1kFpMgx0K19qJrQmZOPD8N,51,https://p.scdn.co/mp3-preview/ee7d6e95e93adde16f371e49fe8b8ca7d3c31619?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Ich will vergessen,6loP4mG1sXbsmQu56Afz98,Fard,7iZ5x5fwRwROoX3iRWpVgN,Alter Ego II,6J6vIjnNsLp1Z0bjI0xTrt,55,https://p.scdn.co/mp3-preview/6b7506b58898f885ed0d6cf6008cf0f667c631f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,BRUDERHERZ,0CRjn1YkWU91lng9x4sWHa,Massiv,33Dtwad3snCG92mhmi17WM,BRUDERHERZ,6XRmTwOUMdrOy6C8QZZgYg,52,https://p.scdn.co/mp3-preview/05433f652bf5ed6dbcfb59136acbb5a9ffbf1076?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Die Anderen,6e072NkXMDdjRP8cvdA9zw,Fatoni,4riceIF5JCEKaSIwwLqIYt,Die Anderen,5Sum2mQhyto7fmqt2r8M4A,38,not available
40,Venedig,5y5IhxcU44QOwPfcmuxu1y,Montez,5ZY4M2aGiTaZQEP6HfqeJc,Venedig,3ed5WnBtOEgVEvZeQ8h5XH,51,https://p.scdn.co/mp3-preview/a49821526d6e71a753d7308a6674ab62b593dfb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Tausend Tattoos,1rGZd7EVl4aOClpzDLNPwy,Sido,4Yttlv9ndGjCDCVLqM7ACq,Tausend Tattoos,7mxNuldTYg5SScgpyNsMd5,67,not available
42,Nostalgie,28coSh1PJ51UgkGsovqVdt,Fard,7iZ5x5fwRwROoX3iRWpVgN,Lost Tapes,6pFcpG2HomsBu7QqRYyXyW,55,https://p.scdn.co/mp3-preview/b41bcbebcd58b91868b74296c7d5ff7dc064dd8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Hasso,3TN6azWcvHM18VxhYVB1AG,KC Rebell,5p7mWeX4RlvqBCxylfiXdE,Hasso,48b0kS3HdssHcuQGjNv6Fb,56,not available
44,Jederzeit,7lI5Vz0TwhW7Wk6crkT87l,Umse,3nYA3xQYNjMXqtaE6wXP0g,Jederzeit,0F1REL4x8mWtzUbY0huRUM,0,not available
45,Heimweg,46qU1V3tZy1ctP4k8JDPwf,Prinz Pi,3OYM3jjPVR60kOqmamRRgk,Heimweg,3WfvJM8Er3XkSY3Pspgkg3,58,https://p.scdn.co/mp3-preview/2e84ce7c9f8b6432d052414e6bb5f31d927c0218?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Jedes Wort ist Gold wert,42jwAQgfw7GIYJdfxjhnGp,Kool Savas,1SUu1Bi7ev9HbOzyVC77qD,Royal Bunker,6QuWkRmCPHTXIJabMrLuSt,54,not available
47,Alles für mich (feat. Moe Phoenix),337IpkRKsb4oEFnsU84eLX,Fard,7iZ5x5fwRwROoX3iRWpVgN,"Habuubz, Volume 1",6GMwPADX93UZF1DsSeGXNW,57,https://p.scdn.co/mp3-preview/469260d7695f95f28a8f09156d3ad62510557243?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Für immer,58ozG7g6Jd2blFckYH6VSq,Miwata,5RwRoCyyMD8TpyPaRAa0yr,Für immer,5mMa4M7zz5ONUQyhBGpedu,43,not available
49,Timeout,483rskmuo4E3cKyUBxvohi,MORYZ,0fnO7GBpawb6ELmtKvfGpY,Timeout,02A1SiuzO3gw1OOLoKht77,35,https://p.scdn.co/mp3-preview/c77cd33898d4f870c1f24e464d6cfd2c5e5debb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Clint Eastwood,1FE3EBiTkUoreJTHPfGi2b,Fatoni,4riceIF5JCEKaSIwwLqIYt,Clint Eastwood,2AqTnEVN8kJZmhpb7FFqgZ,36,not available
