Gegen den Strom,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
32,Al Pacino - Single Mix,7c4VoqmbYhKnZE6pyagG9V,Die Kerzen,23taB3vAKvN6eOECKJyyNi,Al Pacino,7bchPkA0YXZLjje1pFx0gl,50,https://p.scdn.co/mp3-preview/d4d8e773b9c03bbaa44e777c888157c98ace55d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,The Light Upon Us,42dXViLOK80GFk3Ss0t2EU,Talos,5pdzKTGQAcRcxDOfN4mXSc,The Light Upon Us,1a4nLsspx2YZWXtcmpnUSb,39,https://p.scdn.co/mp3-preview/b1a009429a02c543faebbbe4544c2f38cbf6c557?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Tell Me You Started to Pray,5Dk4FuIK038cpBoDnqI4nv,Benjamin Francis Leftwich,7D5oTJSXSHf51auG0106CQ,Gratitude,0tSgMY6Bpy4Ip15CRdTNCL,24,https://p.scdn.co/mp3-preview/ad3b77b80ad4042f79cb35f5d4c2549869fc46fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Curiosity,6h8VNNF6AGShvrMArQXYYX,CATT,4vECkYVXR5tUXqDk2LVzkJ,Curiosity,6pDKE0Fm9EyKjjEoUFVXpR,29,https://p.scdn.co/mp3-preview/2a2acf49515271250efb8c9bc1a70d3a8bf8eee9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Money Machine,6rKml3MFnfXoeM2ixY4uIs,Joplyn,32Jt1AK733JbFR82hEZ0Ih,Money Machine,54WsW0M7yyPINtchIubCqQ,34,https://p.scdn.co/mp3-preview/46f4b65eda218069a6c7456e2a1dfa6a3c9ee428?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Scarcity,6NoB1Pkdj45zrD1R9lSFX0,Vök,7oDTyDfeA2JE2jUZztkBj8,In the Dark,3dEDYEAgPI15tCuAOOKBol,39,https://p.scdn.co/mp3-preview/95a507f9f58d825c1d20c832f72137ace576384a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,A Place Called Home,1Gdi3VTMqZoBGTDVorgtON,Stereo Honey,0EoyyN15NtrdLYrJmCfiwi,What Makes a Man EP,5SJqL2My3MSrIqwIiTPUKp,35,https://p.scdn.co/mp3-preview/ce1d04709be8552567b2113e9a1dec03f581db74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Better,03xSfGDm55OsQp4Mqf0l9X,People Club,6qhU2FHDtigwAIOd7M3pFj,Better,14RdI7MPQrut5ugzvtYibi,23,https://p.scdn.co/mp3-preview/7d0d283ddf69a898e91c9a06dee0a25f5bbabbf2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Peachy Keen,2YGrOzLnwBOWFaL3g93nki,Tusks,2JexLbBGkh1FnSWF1uoehP,Peachy Keen,393gcDlEaG2pluOtGbmjjy,22,https://p.scdn.co/mp3-preview/e0f4138a3911b927ddf851465e1b2e24a4ce131b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Viganella,1wMJiKezKnCIUfyA4Si419,Paper Thieves,0mor6cJ1cgi873nutk2unu,Viganella,1mwiuhgCecScIaBCwFQteD,15,https://p.scdn.co/mp3-preview/eef79c3c97df870e57f6aa7d45bfc18f70e799d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
