Indie Radar,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,My Trouble,7vt419ygTNF0BXbgMuVGAI,Elbow,0TJB3EE2efClsYIDQ8V2Jk,Giants of All Sizes,4EqYFNisfHX1IPA0IoaKI2,52,not available
11,Fado,7bt5kLZihTKWaS86lYvj3g,Milky Chance,1hzfo8twXdOegF3xireCYs,Fado,0eWKQ5acjy0pKaXbx1oieB,63,not available
12,Hit the Back,7ww6gTkfd21QU9CD8PG39m,King Princess,6beUvFUlKliUYJdLOXNj9C,Hit the Back,6QgNrl3BSgNmnhDBAeMTpf,67,https://p.scdn.co/mp3-preview/5a9e6a2d79203e7652f664751f50bdbaa11fb708?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Ready for Love,0b83PbtmkBN8lWRXQPLmkd,June Cocó,0g3Rqfcl1SIoXRZRF0uAGg,Ready for Love,11izbBYfraQnPBlvd2ACJR,17,https://p.scdn.co/mp3-preview/f2c8a6a6dffeacf548ae54285ef6fcd64f91b90d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Difficult Love,5B036NTl35McrlKBVEYqid,City and Colour,74gcBzlQza1bSfob90yRhR,A Pill for Loneliness,1FgQzEqXePnyHC8YxaRl04,43,https://p.scdn.co/mp3-preview/784a6daa13841e4393619ff30e85f5196e269a04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Before We Drown,0eGVf0SuQ7dY6loPLl6vGL,boerd,5E5cEevLYdQHU04gIkA3ff,Before We Drown,2eTQnmqY9Qu57ZhWrqmcKH,36,https://p.scdn.co/mp3-preview/5c99cc5f61bd3169f91a03947904d4c8ba4a4a83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Falling In Love,1eoC1H5GBM9IikwdHxsdhJ,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Falling In Love,4rcgLAYSMhKWeUSuJaEO9u,61,https://p.scdn.co/mp3-preview/bc42b3f7ce04661c68cc41812121fb4ef72f8374?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Kil Scott,4MsNNpwDHKE0e3cgax3bmC,People Club,6qhU2FHDtigwAIOd7M3pFj,Kil Scott,119UkF0Aelou70zD6sPLEw,25,https://p.scdn.co/mp3-preview/530f23ede8e131b1b837825034fc89075ae300c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,OKAY COOL,2oGDzyfzbtj09rBQPAjpys,Run River North,0INDB6Snts5NDbzh8jC3lk,OKAY COOL,4d39q2x5RC5uEIc1dLP9CT,45,https://p.scdn.co/mp3-preview/1fcedcd960e176c699cf575175e2639d6ccee709?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,I Know I'm Not the Only One,0kTzTXAzvfx4ojKw8aLgT6,Tegan and Sara,5e1BZulIiYWPRm8yogwUYH,"Hey, I'm Just Like You",4tnkPLLedgamtrRCDdpqwX,56,https://p.scdn.co/mp3-preview/a6f942914edf537f5c3e3b3b67176230aa4ac654?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Baby's Arms,1fU38kdhVLyU6vVhvoCP9f,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Baby's Arms,1D9sKlavapVhzY6jp6e82U,54,https://p.scdn.co/mp3-preview/b3b621f824123c829478ee655c81a4418680d16c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Hades,6iOnFHsT8Sy31tAxXTuPSg,Adam Barnes,5tkNOTMRZLcFnj534GQYmQ,Hades,7f8uG3JNcMv46UlkO2zYzj,26,https://p.scdn.co/mp3-preview/6d1f70eb09bf54b7ce55cc30915497c31a228ecc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Dancing in the City - Radio Edit,4Y9zlfVFRh6EUTfcRq7BRX,Siamese Elephants,7bgOhFs7p8ZGBMIIORey80,Dancing in the City (Radio Edit),2AmS3ThS4dVeyQskQTNXzt,19,https://p.scdn.co/mp3-preview/6fae642e0779a87bb16a7c99f36aac160a701968?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Hungry Baby,7yjpux2zHz5p0Fv1BNXlAd,Kim Gordon,3n8qeKQViV1waeCzZmS4Tx,Hungry Baby,7y0FXbTyTXizY3u5pw7Ybm,33,https://p.scdn.co/mp3-preview/a88a034a344ccedeeda8aeb313f34602439a2a8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,New Love Cassette,4SsWVvNKAHJP1T2bP6d2ut,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,All Mirrors,0RedX0LZkGUFoRwFntAaI0,64,https://p.scdn.co/mp3-preview/d75ccf98fd8ce989406ebfbe149959fd10bd1ae4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Obstacles,1yqnOCJPxfOWvhJnyA9Lqq,Jim Kroft,78QTCDzD1QOaVmtBCtxOuC,Obstacles,3mMosT3UBX3hXbZRU86zS9,20,https://p.scdn.co/mp3-preview/2ec37c4fbbf71a6a5fdf0f0a3870a08af0ddb44e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Heartworks,17onAqgx91Bp9MXtF4TvJ8,Wingtip,1Eie0tY91rpi7Y0jtIOXzI,Heartworks,1HIM724n5CusJzGpfbIBX7,45,https://p.scdn.co/mp3-preview/32df75c8c6455f1150ef33f5a096c3d0b73d8d6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,This Song,44E9cdsKzZhQU9IQN6gSp3,A Little Nothing,6NNQ0216pMjyKkkBANKRXl,This Song,680TA3Q4VdkLMnTAgArLjd,21,https://p.scdn.co/mp3-preview/f76fb0155632b333f31587a13a347519ddae6b87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,SNOWCONE,1VBcGsab5bnDFr319bzSWO,REI AMI,6U1dV7aL68N7Gb0Naq34V5,SNOWCONE,4niafdNQY4a0pNDNFQq4vv,55,https://p.scdn.co/mp3-preview/10f4295fb82383734ba289dd5d18e2e001a08660?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,20.15,23CAL7Bi9z6IJXBzfl3APj,Tristan Brusch,2XbRunIT35jrB8HRsISPgT,Operationen am faulen Zahn der Zeit,2M9fBnPSSa0SD1oByhxyeq,26,https://p.scdn.co/mp3-preview/74d9ddc76fcc4898f6db98ff74b783aec6509e93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Birdy Buddy,0YCBoeKe3a5cANXdmECUBe,Love Machine,6MgZ73c3qpkEhiQSu01bo8,Mirrors & Money,7p4oVLyhlhAZGgScZ4SjVh,16,https://p.scdn.co/mp3-preview/b1fb0757f3a7aa30f3092ec26a060e43b425feda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Dead Ringer,5K9xQBVuVSwNUS6HNvKrTm,Yoke Lore,7FU0xCgmSYQEiBeevUqQ4S,Dead Ringer,2mSxuSnQSEsoCUliri4oQR,32,https://p.scdn.co/mp3-preview/f2972adda0bb50dc5eb430111d840cfd60bdc95f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Burning,2xkFKQygrGheziYy7hzLNz,Imbibe,17KVMmnqvKAER3z0CD16cJ,Burning,7b0tbazWRw1lvzsKiFWOH8,4,https://p.scdn.co/mp3-preview/83f082ccad60ab03b8644532a909ac9f014c65bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Hold On,4ckXJt0WEgvrIjIvXCzwQI,DRAMA,7LvvNoUPwTZpgXDWBRrfHg,Hold On,1ERH4Rjx5Wr944STJvxL15,52,https://p.scdn.co/mp3-preview/76757950bdf653ae2e6cc56777544e87c019ee9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Traurige Träume - Single Version,4j60O6eN2t87r5D5NFzC3o,Schrottgrenze,4MlmB78LOE1IvGIExd0wDp,Traurige Träume,0gDuzydlmxsvXF0ApxxlUV,36,https://p.scdn.co/mp3-preview/c882f094abeea8e4b9da8e18f48121116fb7f19e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Can I Be Forgiven,7qql1tuSA7oRCXJ6f2DxJQ,Highasakite,5awQWdBpLqN2KFVRN8w56T,Can I Be Forgiven,4J7LzyYIZVw46NGnJrhWKj,58,https://p.scdn.co/mp3-preview/18ea197d009a8b5d2d7056f5016adfb7639e7481?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Galleon Ship,0Z04fUQyKGls1iV1LLHVER,Nick Cave & The Bad Seeds,4UXJsSlnKd7ltsrHebV79Q,Ghosteen,6UOvMBrdfOWGqSvtQohiso,64,https://p.scdn.co/mp3-preview/4f3e74ea37eb5629d210c0d35cc20e60accc5483?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Later Flight,3CqGOLstgDheqqSgRJQvRE,Jack River,4xrDCETyApzUQ6xzcc6QtS,Later Flight,3ssUnvqWLaLE9wM4kE0z8w,48,https://p.scdn.co/mp3-preview/6702df08da98cc1461e9fc890e34d452b1028375?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,For the Love,7cLp5vs4MkDmkT9NXCocQe,Kat Cunning,0THdxk7bYWo6wciF1gInBK,For the Love,1YgXBMsUGajPJ5ls20eNDM,37,https://p.scdn.co/mp3-preview/269b817aa435c694e8215b6ec329565d24a383ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Disko Disko,2mgrkUH9ubQtHHsnGMXx21,Louka,4BDlejutbmUAMCMyaTMOmZ,Disko Disko,66AAdHaj7pFacZIl8SR31k,25,https://p.scdn.co/mp3-preview/3e0701c927e0166ebf2b00b43c8898330f04d602?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Call Me (feat. Portugal. The Man),2aMqUGxjw1tCcKFxTlRH76,Cherry Glazerr,3pIGm1omCcHIb1juBNHspg,Call Me (feat. Portugal. The Man),4mvUbJ9k6IOf7KG0QihKNH,47,https://p.scdn.co/mp3-preview/170037c3f5d8596265cd97b958ec944ccf1e2007?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Missing Me,1SyHf758OvYbPqewRGDznd,TRACE,5k7Y2t4cB5dG219QgFCvXW,Like Hell EP,0sfZTYKInHK166Ka4Nz8Be,34,https://p.scdn.co/mp3-preview/140aad5364d3513d5f06ddb8205e1d9c3022bda4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,boys r dumb! duh!,2fswhJOAJ4myANknmgOl5W,Silver Sphere,4xjJOu0MWVWuaDVZOy0Dx2,yikes!,7MMhGXIuHsVNqck2wTf8kZ,51,https://p.scdn.co/mp3-preview/8d771154207171baf069a845064cbcf7e52b7fb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Remember Me,4r1FhUHZRzH7oiZioqRwpB,Amistat,24gClotFFIb7genYn5C3OU,Love & Light,5Ys0Bmso4KvIRdSX5kC3Yv,28,https://p.scdn.co/mp3-preview/903a54a08e2461a63b543a88a89124c4054b7c0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Mary Lane,4MlKkj3GCzKFYWukaLmZ5a,LIONLION,39vMeaxc9e74z7v6HdSYC6,Rise & Fall,6zbL5hyGLpw1lfO3boeRxa,24,https://p.scdn.co/mp3-preview/3e5205b47a75586e0942eb35a2308753ad314240?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Fever,6WePGtZoFUOjqYFdKFwmgT,Vancouver Sleep Clinic,77BznF1Dr1k5KyEZ6Nn3jB,Fever,56n7qDmaew4z2HQ602Vx5M,51,https://p.scdn.co/mp3-preview/5d1314d7860c71d8878f2062a9b3caac947032fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Numb,5F8zNY6JZqJEyOOgqAZoa3,Abbie Ozard,03Xxe7sWXZW0NlayYQQHIn,Growing Pains EP,08C70GkuhCLWn4xIFNna8K,29,https://p.scdn.co/mp3-preview/00e41a332f3b1a866c6439b55d6f9063cb80f851?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Daisy,5EdtjUe9kSJGfwRtghJWTJ,Kate Davis,4jXKRg7GZPm3mKGgKwUEco,Daisy,3g5fAPg2lVLcjfWxQNV9BJ,41,https://p.scdn.co/mp3-preview/d09c6078af300597417fafce2c41eb73066dfa00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Eng,5GKqQQMm8c8pGtx524WK8J,Das Moped,3JwwCZUNR8yoUDsNbmY86a,Eng,4Zbp9p9eEXiehdtW0bCgmo,39,https://p.scdn.co/mp3-preview/48cb109dfc4f4d28ee346aecfe7b9618e899740b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Days,716OZGLBg3vkNfMTpfbYm6,No Vacation,32zeX1IoVKAGWMyy1isKUq,Days,1iKJd6McKWLpeWNotqfZDz,55,https://p.scdn.co/mp3-preview/f991d4440526b4f8ed8a9e4422fce79f214add0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Barricade,0PSj54qCoKwNSHry64RatK,Elliot Moss,2xGCGoulmU85qYdpb2Z4xx,Barricade,2F2kpvmhIxbyGlnwDtHGb5,21,https://p.scdn.co/mp3-preview/531a68bc02680459ce20c2e30b599c3a17ce0713?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Navy Blue,2V5YXks1lzRLR4qx4NTADJ,Charlotte Lawrence,7LImGq5KnzQobZciDJpeJb,Navy Blue,3fa2dzsrpIZBgUniutmj7V,63,https://p.scdn.co/mp3-preview/54a7eb849116a038814ecb41cc1101329132c6af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Like Before You Were Born,0K8N0F3efUhd55TxNGgmGD,DIIV,4OrizGCKhOrW6iDDJHN9xd,Deceiver,66aYL3AZPfk6leHxlJDYQ0,59,https://p.scdn.co/mp3-preview/7c34f2bace5d51b1124e39bd8e1fce7a267dabd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Want To,1HFFkBC80X2eHzhtHwjpg9,Claud,5MaQlvNGOaTj39apHsXVq1,Want To,0vuxBG7PlEL28N4x9NhjHF,50,https://p.scdn.co/mp3-preview/a98f3d4597b6af055a7a7646f5715841e4216605?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Ausser Kontrolle - Rebel for Life,2QBhsfyXhUwJ2N5wBFwTkW,Yachtklub,25EFijeB6bCIDdB8xeOIrI,Ausser Kontrolle - Rebel for Life,6yG2POhLU5xvVoOBiMLKql,31,https://p.scdn.co/mp3-preview/0ff2266af09fd94c78d371b6e3ab429ee881f5f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Rhizome,6ttEKLENY1kjMjaB897Wgs,Black Sea Dahu,5JrIBQLdYU5SkSdu0zrO70,No Fire in the Sand,3pFgeFgOp354TJhd7I7rwQ,37,https://p.scdn.co/mp3-preview/25f8e761255efb4829f5ccfcc9efe0001ba3bdc9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Youth,040biVya1wdxHojlYhlcpK,Menke,56fiEsX7uP1maw2NajHZXJ,Echo of Youth,2arypATxnVXJDLa10gaBT9,38,https://p.scdn.co/mp3-preview/68e9f03a147873ca0480502c9f4cdfce4de2ec6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,I've Been Thinking,1SKfwDg95YigyDAa0KIB8C,La Santa Cecilia,2FZrEn80eCoWrrkGXPLF0v,I've Been Thinking,7e5XJzk05SUTVbnLQqUsBu,40,not available
58,magicalove,4HP9EMDM4IAZIUsvUmZD7O,Isaac Delusion,2HGAZDmVV3GAH4XFAZdvSG,magicalove,3Vs7pcXCgQgav2fwZBSvMY,44,https://p.scdn.co/mp3-preview/53601232b995be02c25ffbf9a4b26c5812b122b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,What Am I Here For?,2VQDFvuOFHiCRApHjQC7t4,Sakura,3lZQq9C8VzgwrQDnw7GZWT,What Am I Here For?,0PZ1ncYeyvhJucXB5lNAWl,22,https://p.scdn.co/mp3-preview/09f106aa6efe76205f5987850275a7f5d15460a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Ghost Particle (ft. Liam Magill),0wlU9hg1J74WDBQkfLyJi9,Psychemagik,3Mo1LckxhZk6jwf3pjamD0,Ghost Particle,60ApWR4VpoEQU4cNhQ5tQR,28,https://p.scdn.co/mp3-preview/7d62c236fabd65c3b3cb5bc76cabfb948a9883ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
