cozy chillhop beats 🍂 lofi/chill hip hop beats to chill/study to,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,Yay,1h6ELVZSTdTVd8lXqhZgZb,The Kount,24OnVX6EYwtu7P3jpMenPY,Function,6DlDhJLvRUatO537YG6cHO,42,https://p.scdn.co/mp3-preview/e7ad15211d80a6cc8118bd9c08172c6744f6e6a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Early Morning,3SxDI6XJumfD8HNggxeGcY,Ruck P,0SIxAAknV8iR2jHcQJ9Sfn,Chillhop Essentials Summer 2019,0xqLG9KaR7gw3Bkc5Bza1v,45,https://p.scdn.co/mp3-preview/9e507cafff8fa163a299097d8e2e97fba14e0a48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Rucker Park,0kypdPGzA3WiR7voq9Tg3q,Ian Ewing,6QrRSfwkZsixVIgDRhpToh,Always Home,41UC3rVr8QlcwvhBRNxkJB,41,https://p.scdn.co/mp3-preview/c8cce741c686e5cd601416eda2ee1c4c1baebb6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Woodnot,1D6H7ijYv3UR7qMOBbYlvd,Shopan,2XHa2Sy9IYid9hnQ2YmtGl,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,49,https://p.scdn.co/mp3-preview/4618818553ee04ec03c591c8f99accb12dbb6e4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Reaching,5Xrzx082RgzRrujQu4lybv,Dontcry,3vzJueN7TkCtYpz1myVmDU,Reaching,4s4Jn2572FIDSynZ6mLGk9,53,https://p.scdn.co/mp3-preview/01051139911e16148a71ef479b10fe19e64c2377?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Bonfire,6Jjom83XUHsW0DzQlUemiW,SAINT WKND,4vO1cl2ndGrUPSl6IYTHs6,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,45,https://p.scdn.co/mp3-preview/8725953fdb2115419fac3aa1e10e44ed9cc5e610?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Mallets,1FBJPyS0Sh4ZyxkhUiZaER,Clap Cotton,1ruRdyWeMcnliO3CPJ2gtA,Mallets,6LZENt5wIlkXwLccdfW46i,21,https://p.scdn.co/mp3-preview/e9edfe4457398b665d119bafe505cac9b8c78108?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Alright,6S4Ks3HGM6oMlr2Ifv8pHF,Aso,45Ui3GdcxzbdJhhTtZLXO8,Chillhop Essentials Summer 2017,6fG4dVZ14qXKOkB0PvJhpM,0,not available
30,sekao,4c2TiYoJHIjEPZ5syRZhsY,Delayde,254ga0emOv4GhfUUw5J16h,running around dreaming,2yTJ6fdaX9ZYGzdEJyrvna,64,https://p.scdn.co/mp3-preview/8320b1a4cc73ebc1322d9204102e01a3bb424121?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Midnight,73dlzGP7irXmDW4QsiRJSt,Ian Ewing,6QrRSfwkZsixVIgDRhpToh,Always Home,41UC3rVr8QlcwvhBRNxkJB,43,https://p.scdn.co/mp3-preview/ff8d47b1dd640764120adf0a87d08da42a119d99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Boreal,46Y4Qz8yPvrWsg1iKSe9ZN,Ghostnaut,2RBJhPBOr8mI5evwaL4HR3,Boreal,0Y2wem1kHX7RXOQn11595y,62,https://p.scdn.co/mp3-preview/39057194a127562e84b212c2bf44e50107ea8d6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Stanley Narell,5p1Og2ScJp2tmV9Vkh43AG,Hydrogenii,00RdKm1RuV3yg0hd79ZcPF,Another Heap of Sequences,5pLth7f6tuDDrC61Ba5tfe,3,not available
34,Meaux,5KyOfjz2WFdGj97airzbA7,Ian Ewing,6QrRSfwkZsixVIgDRhpToh,Always Home,41UC3rVr8QlcwvhBRNxkJB,42,https://p.scdn.co/mp3-preview/25a8e8551706d5096b333f6151e9de7ea5355bd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Enjoy Your Life,1tBNamNIdekpdyr7swunCd,Melodiesinfonie,3YndyZk8nVLJKspIBo0nLd,A Journey to You,6oL8GBIZvqBrzmMm0l5S8O,36,https://p.scdn.co/mp3-preview/ff45e7d4713db5ff829fb47608acf919fe617791?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Favourite Jazz,3cDEgmIn4hgTaDKL8H4wbI,Psalm Trees,5pmXkV6A8yQdoa64xzvZ0S,You Don't Know What Love Is,1ujIpuxtWkMjAnVn1QeFvt,56,https://p.scdn.co/mp3-preview/93da91bc1e510b6431f2089bee6665c403e7770d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Moss,6lZuxJZ0CV0HUjmKW04yjJ,Kupla,7daSp9zXk1dmqNxwKFkL35,Coniferous,2dPa5nSDfNDStYSYJBc6sU,55,https://p.scdn.co/mp3-preview/32c8451605910b9b16b619cd577d5756ca4f0a68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Scala Naturae,1lzU3b54oXZ0tBroaW55mO,invention_,7uA2p3333eiW9Cknf1twtU,Holism,155p29rU8pw6xIN4a8w1fR,24,https://p.scdn.co/mp3-preview/af7e8cd76e2213487645cf4ab9d0b9efb6dbcd24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Bonita,0FT3qwUSXn3YBtWmbHUa6b,Psalm Trees,5pmXkV6A8yQdoa64xzvZ0S,You Don't Know What Love Is,1ujIpuxtWkMjAnVn1QeFvt,28,https://p.scdn.co/mp3-preview/aa3d1a6f60ff06682f7626351ecba3b61dd12581?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Common',04ahHGfST9G63DMFJb3ME8,ØDYSSEE,6f2Y46Pw2IYGoURJREJDiA,Berlin 64,1xcNibWL2YTMIMJksCSkTW,54,https://p.scdn.co/mp3-preview/2631911e0842da65da62e1e265a1ad315579bafc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,YouNivErsIty,0PWR7HkFbNOGKlVY5xheSj,TEK.LUN,3CE8Ux0j4kdaWpqCssKnVA,YouNivErsIty,2GgBULzNlV8hV864N7qE1G,35,https://p.scdn.co/mp3-preview/cbeed923ae8723aa572182d2041c9edcb96f7e6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Reminisce,3dqasc8Jr0GI6mXF7nWymv,Jake Milliner,5GbsEElDfxIjlM3rknGexS,Reminisce,3ChXg4GZXHN2ZJuvPOgA51,58,https://p.scdn.co/mp3-preview/74da46259bc962d915c86561ba58c0c2bf63f9eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Under the Stars,6tYvotn0EpTvXAbIpGEwlF,Sofasound,3pOOUcLNTiZ8nljgMJDXQ6,Do You.,1cDeKK9pFw0BauwC4GHm9E,53,https://p.scdn.co/mp3-preview/4252d3a1348278fb31d988fb7f713120076a4876?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,graze,7oAfb9p79qaNktgCyBoQtK,"quickly, quickly",5XTn5Az9AcSKu0oaauC5ES,graze/luvagain,0ks6sQ6MvtGcer0VuMXwVB,25,not available
45,Nostalgic,1R1b7WJyRm8gt1T7fJLC3T,junior state,0SNEph9mcT3XMM7XRRf5ox,Levitate,3sAObG3eO23xXwqtLf2Izs,43,https://p.scdn.co/mp3-preview/67aabd32826ae6410b0db99099958327f3e1ff1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Cloud Cut,66u0JQWg6D0bxvAKNcjboD,Falls,3ATHXs1f58nnxQGsP90xbz,Shadelight,6FiuNS13bKGpWMMbE5ucoz,27,https://p.scdn.co/mp3-preview/1ce787d45d51a326ca25707b87dcd1f4f6b149e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Mighty,7EvrNIE8EEgBUhtARbKk0H,junior state,0SNEph9mcT3XMM7XRRf5ox,Levitate,3sAObG3eO23xXwqtLf2Izs,51,https://p.scdn.co/mp3-preview/59715771bb8034ee4dad4884b89a8dbc160f8884?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Hope,4n6JQTNqJOuvQLys4l11ov,Ajmw,64StAk1W7veJKQ9x0rlE2R,Eternal,3rsR5odp7XMk9yetDLY9xT,54,https://p.scdn.co/mp3-preview/b7187b9b04bb976963000d7e19ec96653070f387?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Levitate,6P2QhqPjwompubGtRyN7Kp,junior state,0SNEph9mcT3XMM7XRRf5ox,Levitate,3sAObG3eO23xXwqtLf2Izs,42,https://p.scdn.co/mp3-preview/b4ddc001c0aeaadfb050893eaaf59e8c9890182e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Pisco Sour,2yK150Ix9UWKYU5oW6JdFT,Brous One,1B8h9tQRqagUQ7XcHRvh3k,Cinta de Ritmos Vol. 1,2IckkhI3PcoWQDSJVtdbVs,24,https://p.scdn.co/mp3-preview/05ecda9efe6730cf78d881ba1c1ecf721781770a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Nice and Easy,3NYcbxlKeXOMRwIMFeHcEm,junior state,0SNEph9mcT3XMM7XRRf5ox,Levitate,3sAObG3eO23xXwqtLf2Izs,42,https://p.scdn.co/mp3-preview/cc0fff7fa00d648ff4cc3ca517fc2a493959557a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Whistle Song,6gJXt2HY0onebviLv0HRqs,Ajmw,64StAk1W7veJKQ9x0rlE2R,Eternal,3rsR5odp7XMk9yetDLY9xT,55,https://p.scdn.co/mp3-preview/d1ae34b8b9c8da18d226f2ccd3a11f03f503549e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Persuasion,69czV6GVs1E2KOzhlqP2o7,junior state,0SNEph9mcT3XMM7XRRf5ox,Levitate,3sAObG3eO23xXwqtLf2Izs,42,https://p.scdn.co/mp3-preview/a156cfb1b1f355ded79d83a8dd6c2bab330fda3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Chiaroscuro,1rHMFGBpzSrqvrK0zRLoOm,Toonorth,5cnRXRa8otbppSiXvfdmo3,Ambedo,64aEpHVFHEgilPEJOCFGsF,7,not available
55,Townie,0kNyIrBLw7CUIK87kVnoRc,junior state,0SNEph9mcT3XMM7XRRf5ox,Levitate,3sAObG3eO23xXwqtLf2Izs,56,https://p.scdn.co/mp3-preview/56eba8b13ceeca87b5da6cb6c9a6dca16f716f3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Place 2 Be,3ET8GAm7T4baxBWZVl6Unc,The Kount,24OnVX6EYwtu7P3jpMenPY,Function,6DlDhJLvRUatO537YG6cHO,41,https://p.scdn.co/mp3-preview/35d752f1ccfab8fda2443eda6c3a290889f5098f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Old E,2EsZZNL2AvTWZMFt2wuF99,Flitz&Suppe,49WbztFLx9iDTh8LHEIF84,Ijin,3jYUZXIiWi2Usqca7IcRIG,33,https://p.scdn.co/mp3-preview/59bb2b278eb23e647838858c80b82463333c28fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Peruvian Wine,1tnSMVNrAM9TwqJ9ZnEmfC,7apes,4smeBjKru2y3oeQkGSfotv,Marbles,4tMJEK1hHkbuBpnWXMDl2P,23,not available
59,Wedjit,3RVnic4dOhzyI5yVBXcvsg,Natureboy Flako,41gy1E3ZlSK5KOjiDiqgmH,The Mesektet,4TkqDlrOj1rAHCVYxNlrLQ,23,https://p.scdn.co/mp3-preview/6c88995dc8788d942d007b54892c726472f6dbcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Modern Ways,1YxPIXeiI5zlY0JJvjV6iJ,Emapea,3BiFZY6zbND5L3MEM6niE6,Modern Ways,7khXM0Eek7jUwaeuEAITLk,31,not available
61,Longtime,5EWnr2EqqWC6EtkDmL1ZhP,Brous One,1B8h9tQRqagUQ7XcHRvh3k,Cityscapes,34dQjXykRhnz5Uw03NswmM,28,https://p.scdn.co/mp3-preview/5ca0581f1b51e57273ef62bab11e9493273ee769?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Midsummer Breeze,2SSAZg0KffHzAXdq3PXnAl,Hubert Daviz,5q0zWFDxHYStTxfgjGHgW7,Teñido,7nT4joVBAnFmC5HvzO0s5s,54,https://p.scdn.co/mp3-preview/abd91503145e6995d9ae89f49b6f255539292ad3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,wantuback,4U3jZQF6mMTwotTroneb9P,digitalluc,4WT5TNNUvgRLjAiWce3K5z,wantuback,1U001o6Qt9iKI2z8Em4ASk,38,https://p.scdn.co/mp3-preview/fd334483c945f5d067ff0a1f28b915e23dfffb3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Customs,6hNCVfETbnEmGNuLwAZEhw,The Kount,24OnVX6EYwtu7P3jpMenPY,Function,6DlDhJLvRUatO537YG6cHO,41,https://p.scdn.co/mp3-preview/52aed1c13efb08d207f07044e9ef470558440471?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Sunset Blvd,2VhbfT4qyB4KFhVEDplXxX,7apes,4smeBjKru2y3oeQkGSfotv,Sunset Blvd,0JkqkDXmAOTihmfJ6Ntq25,38,not available
66,Yo,3aRnSEEdQo2LYFO9reNF3g,The Kount,24OnVX6EYwtu7P3jpMenPY,Function,6DlDhJLvRUatO537YG6cHO,43,https://p.scdn.co/mp3-preview/dc86607dd1441ed18382d61276566e9bc9d6a0d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Function,3v8e7DakDNOXvtVsReu4t7,The Kount,24OnVX6EYwtu7P3jpMenPY,Function,6DlDhJLvRUatO537YG6cHO,42,https://p.scdn.co/mp3-preview/9100e6de147797f4f3f2f4ad4721f6b5d386f500?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Venice,5VmL8CrjM82tIGWwum8Cbo,Gyvus,6qNRi3Mn9apPNnMSt6Qbvn,Venice,380nnXWEOGoB4ILSl7mijj,65,https://p.scdn.co/mp3-preview/7020b05880edc18a22d9a7f536ad146974198d92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Armogan,22b7N7LzYXaWMdWeVfpJOc,Toonorth,5cnRXRa8otbppSiXvfdmo3,Armogan,57Q0J3rRxFGNEbkBps0adY,33,https://p.scdn.co/mp3-preview/7b0134bc7e3a4f520d875c9478d3ba9c0942bf50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Tips and Tricks,4QGa3d47r9pXzAPPHvhZls,Yasper,1axdL80XjVHdInGsJbURyt,Build,12GNXzHWdzTfUcW4JYZIvd,40,https://p.scdn.co/mp3-preview/987877981fd6dbf3c6e61dbd053485edcb844ab8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Searching,18AWTh6fYSU99rWhxsENwa,Philanthrope,13ACz7DIictCpSYGglNTHs,Aura,0fehSnl65NS7YmLoYrVVCc,44,https://p.scdn.co/mp3-preview/743f74c174293c44388cf69afc4d897b34800e01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,They Act Brand New,6TEP1Bu3fgdbW1yaoWxVVU,Dibia$E,21H0kHbS41lECHguMnjGpb,Baker's Dozen: Dibia$e,5PiI28uyogheaNTUw9FcYk,38,https://p.scdn.co/mp3-preview/6211418fe3307099f4324de6bd8dece5790754de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Sadie,1vISmUEfILKEOEK2GDHTn1,Strehlow,1pUWzVmu8ACMnIAu9BsOHm,"Sleep in, Love",7lq1pDU8BmaBBpXq0nmCoQ,41,https://p.scdn.co/mp3-preview/f269773cbda59500955692ee788893ac984df585?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Blxxm_no.1,3l5p7QBn525wt59FonDKga,invention_,7uA2p3333eiW9Cknf1twtU,Re-Leaf,3eZ7LrRTbuKQzkxz2gFBo5,34,https://p.scdn.co/mp3-preview/50b96683ed824a77bb55461f37a7701ff0f12272?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Jupiter Moons,2jQs6i9fN6rvSxxFOAkmcm,Strehlow,1pUWzVmu8ACMnIAu9BsOHm,"Sleep in, Love",7lq1pDU8BmaBBpXq0nmCoQ,42,https://p.scdn.co/mp3-preview/702bb00be2962902e0b80c819d370738e5434338?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Rhum Mosa,4GkMQAHXuXgFu4is2uGvAV,Unda de Sango,1StdU6nDKuMpA1XSnSqwCW,Rhum Mosa,7xNDxL17GgG5yUphbSz6pn,21,https://p.scdn.co/mp3-preview/b692cfcd62d3a9e6768515034f9c2f9347dd3cc0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Split a Tree,5qayecgERStUOa7fXywi3I,blnkspc_,3hZaebXqrD5crmyMP2x1qa,Split a Tree,6G2BkvoTNd3rRsWnVzdMOD,22,https://p.scdn.co/mp3-preview/352a6e4e4d3cd3fb5fea7512e56f238fc4fdbd3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Private Island,5CKM2ikjVTa6Y8bX6jKsar,Strehlow,1pUWzVmu8ACMnIAu9BsOHm,"Sleep in, Love",7lq1pDU8BmaBBpXq0nmCoQ,41,https://p.scdn.co/mp3-preview/d0ac09a651fd451734e603b5846d85d0b8d99a0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Huebro,7icNLIi9YQhaSCbfHecKQj,Bluestaeb,67pW04a6jpdQR2yWqjcfxs,Rodalquilar,7wBs5iQko9h2nBIdj6I266,25,https://p.scdn.co/mp3-preview/494f61ae1fba781fbe8d6b64b845316bb969ba95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Blue Skies,5sT1eylxrupi2gOCtGjvU9,Shuko,1mOiWC7OH9ANUtt3vd0A10,Blue Skies,0G2ugPOU02bwjUf8Mx4FqD,61,https://p.scdn.co/mp3-preview/c174debbd9fc4bac856e40fa23b6cbb052148127?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Nimbus,77asu3n9ukC5YmHw4gGIhJ,Toonorth,5cnRXRa8otbppSiXvfdmo3,Ambedo,64aEpHVFHEgilPEJOCFGsF,6,not available
82,No Sides,1f2DU60RGtaAnuOQagvg79,Devaloop,0eEQAbC1TFqlGdqIa5YjKY,From The Bits To The Cosmos,0jsZucgd3NTikPYSXOUOfA,38,https://p.scdn.co/mp3-preview/254944ead140bcadde472b9eff4d5ec0638c8a0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Wonder,1emYXvMJdtINXVD171yQY1,cocabona,5V8HGb7Pt982HEbpmglIYT,Aura,0fehSnl65NS7YmLoYrVVCc,40,https://p.scdn.co/mp3-preview/7246fb0b67acf394178677d07efa1af77d739f16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Recurring Dreams,1SSwmIukZCn5ZQVWDkgZa4,Slom,0UswO8FFKS2tv6dzyNyJLD,Alone,5eWt3DeiqNPEZguSUJ81YM,23,https://p.scdn.co/mp3-preview/40725ee97a00614cbae09f01213a838a3bf24128?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Birds,18otUbtXQEwhOa1UqM89U3,Misha,4dPYdHTBZATnTYABJ39sY7,Aura,0fehSnl65NS7YmLoYrVVCc,40,https://p.scdn.co/mp3-preview/47ff4f234b6cc395018426e3e1c878c55955c2d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Be Alright,3wkZZCqk1XMOab32bWZbUe,weird inside,4iylWAhvTVtSVhIeAoM7Bl,Be Alright,76atsGXdeh6O0Iy3qYjkTB,56,https://p.scdn.co/mp3-preview/0af3c05ef9540830a37ba35ce46c82560a0d65e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Effervescent,4pPL6ISxDI4k40xj2vN9Zh,Toonorth,5cnRXRa8otbppSiXvfdmo3,Effervescent,0CsShqHvizLnWq7Y0OoocG,53,https://p.scdn.co/mp3-preview/8e92b70668a641a07c2a690ee6a633046cdbaced?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Bubble Island,4F4Fr9gKN7CEDR1ewr8OAx,HM Surf,6TeBxtluBMQixZcKkJ3ZrB,Porch Life,1Wg5S9r2dxT3HYhyQ216VE,24,https://p.scdn.co/mp3-preview/26bdf84486a3417bc87043686552e754e5ff2d78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Magnoliya,5YMtNRWWpebj6YJ4kkAeGs,Raw-Suppliers,4jZGoU5zNlugIC8NWD4XFJ,Tandem,7dHrw1lpcDovlxqhbmuHkU,22,https://p.scdn.co/mp3-preview/08aadcac044e9fac264744b27d6d2effec20df52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
